Similarity Score,Incident ID,Incident Title,Incident Description,Use Case ID,Use Case Name,Agency,Intended Purpose
0.764,735,"AI-Enabled Fraud Schemes Reportedly Increasing Consumer Harm and Challenging Detection","Scammers are reportedly using AI tools such as language models, voice cloning, and synthetic IDs to create more convincing frauds, leading to financial losses and identity theft. Banks have begun deploying AI-driven verification tools to counter these schemes, but experts warn that AI-enabled fraud continues to cause real-world harm and remains difficult to detect.",6045,"National Insurance Crime Bureau ISO ClaimSearch","Department of Justice","Purpose: The purpose of the AI features in National Insurance Crime Bureau ISO ClaimSearch is to analyze insurance claim data and highlight suspicious patterns or anomalies more efficiently. By applying AI-driven pattern recognition, risk assessment, and anomaly detection, this tool streamlines what would be a lengthy manual review process. This leads to faster fraud identification, more accurate identification of problematic claims, and better resource utilization, ultimately strengthening inve"
0.762,1068,"AI-Powered Presentation Tool Gamma Implicated in Multi-Stage Phishing Campaign","Attackers reportedly exploited Gamma, an AI-powered presentation tool, to create convincing presentation pages that hosted links to a spoofed Microsoft SharePoint login portal. The phishing flow allegedly used compromised email accounts, Cloudflare Turnstile for bot evasion, and adversary-in-the-middle (AiTM) tactics to validate credentials in real time and capture session cookies. The campaign aimed to bypass MFA and compromise accounts.",5623,"Phishing Email Identification","Federal Housing Finance Agency","Knowbe4 PhishER is a tool to report and manage suspicious emails. This tool use ML and AI to analyze suspicious emails to identify if the email is spam, phishing, or malicious. The primary benefit of this tool is to automate responses without requiring human intervention to analyze each email that end users identify as suspicious."
0.761,704,"Study Highlights Persistent Hallucinations in Legal AI Systems","Stanford University’s Human-Centered AI Institute (HAI) conducted a study in which they designed a ""pre-registered dataset of over 200 open-ended legal queries"" to test AI products by LexisNexis (creator of Lexis+ AI) and Thomson Reuters (creator of Westlaw AI-Assisted Research and Ask Practical Law AI).  The researchers found that these legal models hallucinate in 1 out of 6 (or more) benchmarking queries.",6127,"LexisNexis (AI assisted legal research)","Department of Justice","Purpose: Conduct legal research.  Expected benefits:  Improving accuracy and efficiency of legal research."
0.761,531,"AI-Assisted Body Scanners Reportedly Subjected Transgender Travelers to Invasive Body Searches","Transportation Security Administration (TSA)'s use of image-processing body scanners at airports led transgender and gender-nonconforming travelers to be subjected to allegedly discriminatory and invasive searches, such as being asked to remove undergarments in private rooms by officers not of their gender.",4401,"Accessible Property Screening (APS) Checkpoint CT Prohibited Items (PI) Detection","Department of Homeland Security","This AI helps airplane luggage checks by the TSA officers scanning bags to have a continuous always watching partner to alert them to anything suspicious.   Currently, a Transportation Security Officer (TSO) who is assigned to every X-ray equipment at an airport checkpoint visually inspects each image. This officer resolves the system generated explosive alarms as well as visually inspecting the image for the presence of non-explosive prohibited items such as guns and sharp objects (see TSA Trav"
0.761,735,"AI-Enabled Fraud Schemes Reportedly Increasing Consumer Harm and Challenging Detection","Scammers are reportedly using AI tools such as language models, voice cloning, and synthetic IDs to create more convincing frauds, leading to financial losses and identity theft. Banks have begun deploying AI-driven verification tools to counter these schemes, but experts warn that AI-enabled fraud continues to cause real-world harm and remains difficult to detect.",5549,"Spoofing Detection AI/ML Project","Commodity Futures Trading Commission","Pilot project that applied AI/ML techniques to identify spoofing patterns in order message data. Project used a variety of supervised and unsupervised techniques trained with DOE's existing set of expert based spoofing detection algorithms."
0.761,1089,"Purported AI-Generated Content Circulates Widely in Sudan Amid Civil Conflict and Information Vacuum","Purported AI-generated deepfakes have circulated widely on Sudanese social media during the ongoing conflict, allegedly spreading false claims, impersonating public figures, and distorting political discourse. Reported incidents include fabricated videos and audio used to mislead or satirize, some of which gained traction among journalists and officials. Observers warn that poor detection tools and limited moderation may be enabling the manipulation of public trust.",5330,"Chemonics International Inc.'s ""Disinformation Monitoring and Sentiment Analysis""","United States Agency for International Development","The Transition to New Sudan program, through a program subcontractor, uses AI technology to monitor social media posts for disinformation, and to monitor citizen sentiment analysis."
0.761,699,"VA Suicide Prevention Algorithm REACH VET Reportedly Prioritizes Men Over Women Veterans","An AI program named REACH VET, designed and used by the Department of Veterans Affairs (VA) to prevent veteran suicides, was reportedly found to prioritize white men while neglecting female veterans and survivors of military sexual trauma. This oversight persists despite rising suicide rates among these groups. The incident is an example of algorithmic bias and the exclusion of critical risk factors for female veterans.",5897,"Recovery Engagement and Coordination for Health – Veterans Enhanced Treatment (REACH VET) 1.0 predictive model","Department of Veterans Affairs","The REACH VET 1.0 model is a predictive model using predictors extracted from the patient’s medical records (into the VA’s Corporate Data Warehouse), such as diagnoses, prescriptions, and health care utilization, to estimate statistical risk of a suicide death in the next month.   This predictive model is used for two purposes. (1) Primary use case is to support identification of patients at elevated statistical risk of suicide in the next month for referral to a clinical case review and outreac"
0.760,173,"AI Tools Failed to Sufficiently Predict COVID Patients, Some Potentially Harmful","AI tools failed to sufficiently predict COVID patients, some potentially harmful.",5326,"AI for Predictive Analysis of patients on HIV treatment","United States Agency for International Development","JHU ACCELERATE used Artificial Intelligence (AI)/Machine Learning for identifying People living with HIV(PLHIV) on treatment who are at risk of becoming lost-to-follow-up (LFU). Identifying the PLHIV on treatment who are at risk of becoming LFU will allow the project team to provide pre-emptive counselling and intervention to target/customize approaches patients who could become LFU."
0.759,1055,"FBI Reports AI Use by Threat Actors in Broader Cyber Context Including Infrastructure Intrusions","FBI Deputy Assistant Director Cynthia Kaiser stated that adversarial actors, particularly those affiliated with China and organized cybercriminal groups, are increasingly integrating AI tools across the cyberattack lifecycle, with documented use cases reportedly including purported AI-generated spear phishing, business identity fabrication, internal network mapping, and deepfake-enabled fraud. The tools are allegedly already assisting intrusions targeting U.S. infrastructure.",4331,"Critical Infrastructure Network Anomaly Detection","Department of Homeland Security","This use case delivers improved internal government tools for hunting and detection of malicious threat actors on critical infrastructure networks. It automates manual data fusion and correlation processes and highlights potential anomalies, allowing CISA analysts to focus more  time on hunting adversaries. "
0.759,1055,"FBI Reports AI Use by Threat Actors in Broader Cyber Context Including Infrastructure Intrusions","FBI Deputy Assistant Director Cynthia Kaiser stated that adversarial actors, particularly those affiliated with China and organized cybercriminal groups, are increasingly integrating AI tools across the cyberattack lifecycle, with documented use cases reportedly including purported AI-generated spear phishing, business identity fabrication, internal network mapping, and deepfake-enabled fraud. The tools are allegedly already assisting intrusions targeting U.S. infrastructure.",6158,"TIPS","Department of Justice","Purpose: The Threat Intake Processing System (TIPS) database uses AI algorithms to accurately identify, prioritize, and process actionable tips in a timely manner. The AI used in this case helps to triage immediate threats in order to help FBI field offices and law enforcement respond to the most serious threats first. Based on the algorithm score, highest priority tips are first in the queue for human review.  Expected benefits: The AI used in this case helps to triage immediate threats in orde"
0.759,559,"Grant Reviewers Fed Applications into Generative AI to Produce Reports, Allegedly Breaching Confidentiality","Peer reviewers of Australian government grant applications inserted applicants' work into generative AI systems such as ChatGPT to generate assessment reports, which allegedly posed confidentiality and security issues.",4479,"Grants Program Administration","Department of Commerce","Our team is exploring using AI to support our grant program administration, specifically supporting some AI-enable knowledge management for our internal team and supporting reviews of post award technical/progress/performance/financial reports to identify trends, identify inconsistencies, etc.  The latter may be more machine learning/compliance-based analytics and be on the fringe of AI.  "
0.758,704,"Study Highlights Persistent Hallucinations in Legal AI Systems","Stanford University’s Human-Centered AI Institute (HAI) conducted a study in which they designed a ""pre-registered dataset of over 200 open-ended legal queries"" to test AI products by LexisNexis (creator of Lexis+ AI) and Thomson Reuters (creator of Westlaw AI-Assisted Research and Ask Practical Law AI).  The researchers found that these legal models hallucinate in 1 out of 6 (or more) benchmarking queries.",6121,"Bloomberg (AI Assisted Legal Research)","Department of Justice","Purpose: Provides AI-assisted research to help streamline legal research and document review.   Expected benefits: Increases the speed at which attorneys can review and evaluate caselaw to determine if it is applicable to their current investigations. "
0.758,941,"AI-Driven Phishing Scam Uses Deepfake Robocalls to Target Gmail Users in Credential Theft Campaign","A sophisticated AI-powered phishing scam has reportedly been targeting between 1.8 to 2.5 billion Gmail users, allegedly using deepfake robocalls and phishing emails to steal credentials. Attackers impersonate Google security. They claim suspicious account activity and direct victims to fake Google login pages. The stolen credentials have reportedly been used for identity theft, banking fraud, and session hijacking. The FBI has urged vigilance as AI increases the scale and effectiveness of such ",6009,"Advanced Threat Protection","Tennessee Valley Authority","Protecting against attackers and exploitations means testing using the same strategies that adversaries use. Leveraging billions of data points across operating systems, mail flow, and identity patterns, mathematical and probabilistic based decisions can be made to mitigate and even completed remove threats to the organization. ML and AI technology help reduce phishing emails, malware spread, leveraging compromised accounts, and further promote visibility to threats."
0.758,531,"AI-Assisted Body Scanners Reportedly Subjected Transgender Travelers to Invasive Body Searches","Transportation Security Administration (TSA)'s use of image-processing body scanners at airports led transgender and gender-nonconforming travelers to be subjected to allegedly discriminatory and invasive searches, such as being asked to remove undergarments in private rooms by officers not of their gender.",4411,"Axon Capture Application","Department of Homeland Security","The Transportation Security Administration (TSA) uses body-worn cameras that incorporate artificial intelligence (AI) technologies as a part of the underlying software which transcribes and translates video footage. The technology provides rapid access to LEO and Investigative data, through transcription.  This will cut investigative processing time significantly, while also increasing accuracy."
0.757,466,"AI-Generated-Text-Detection Tools Reported for High Error Rates","Models developed to detect whether text generation AI was used such as AI Text Classifier and GPTZero reportedly contained high rates of false positive and false negative, such as mistakenly flagging Shakespeare's works.",4347,"Commercial Generative AI for Text Generation (AI Chatbot)","Department of Homeland Security","DHS employees are permitted to use commercially available generative AI for text generation in day-to-day work. Commonly referred to as AI Chatbots, these tools are able to dynamically create written content through text prompts submitted by the user. They use Natural Language Processing (NLP) and Large Language Models (LLM) to produce natural sounding language in a wide variety of contexts and styles.  Approved applications of commercial Gen AI tools to DHS business include generating first dra"
0.756,1055,"FBI Reports AI Use by Threat Actors in Broader Cyber Context Including Infrastructure Intrusions","FBI Deputy Assistant Director Cynthia Kaiser stated that adversarial actors, particularly those affiliated with China and organized cybercriminal groups, are increasingly integrating AI tools across the cyberattack lifecycle, with documented use cases reportedly including purported AI-generated spear phishing, business identity fabrication, internal network mapping, and deepfake-enabled fraud. The tools are allegedly already assisting intrusions targeting U.S. infrastructure.",6019,"Intrusion Detection Analysis","Tennessee Valley Authority","Threat hunting and Security Operations Center (SOC) analysts leverage automated tooling to refine alerts that enable discovery and detection of anomalous behavior across the network. These tools use a massive amount of data and provide intelligence beyond what could be seen from a single vector. Correlated network traffic data with proxy communications help identify compromised systems and networks."
0.755,830,"Error-Prone AI Accessibility Tools Reportedly Lead to Navigation Issues for Blind Internet Users","AI-powered accessibility overlays on websites frequently mislabel or misinterpret content, in turn complicating navigation for blind users and others with disabilities. Users report that the AI tools interfere with screen readers and mislead them with inaccurate descriptions. The reported unreliability in these tools have prompted legal action, as the companies behind them seek compliance with accessibility laws. ",5190,"Insight","Social Security Administration","This AI use case is decision support software used by hearings and appeals-level Disability Program adjudicators to help maximize the quality, speed, and consistency of their decision making.  The use case analyzes the free text of disability decisions and other case data to offer adjudicators real-time alerts on potential quality issues and case-specific reference information within a web application.  The use case increases decision quality and reduces human error."
0.755,554,"Google Results for Johannes Vermeer Featured AI Version of His Artwork as Top Result","Google's search engine featured an AI-generated hyperrealistic version of the painting ""Girl With a Pearl Earring"" as the highlighted result when users search for its Dutch artist Johannes Vermeer.",5011,"Information Search from Google","Department of Health and Human Services","Google's search engine provides AI-assisted techniques to process search requests efficiently. "
0.755,1109,"Year-long AI Surveillance Pilot in Two South Australian Aged Care Facilities Reportedly Overwhelmed Staff with False Positives","Between March 2021 and March 2022, an AI-enabled video and audio monitoring system was trialed in two South Australian aged care facilities. According to an independent audit commissioned by South Australia Health, the system produced over 12,000 false alerts, overwhelming staff and contributing to at least one missed real incident. The report concluded the system did not reach accuracy levels acceptable to staff or management during the pilot.",5891,"CareLink Home Monitoring","Department of Veterans Affairs","The CareLink home monitoring system collects data transmitted by patients with implanted cardiac monitors from their homes for review by clinicians on a password protected Web page. Transmissions are made by the monitors when certain criteria are met suggesting an important heart rhythm abnormality is present. A proprietary industry-created AI system evaluates the transmitted data and classifies whether the findings that triggered the transmissions are true arrhythmias or false positives. The ho"
0.754,264,"AI-Based Vehicle Speed Estimation App Denounced by UK Drivers as Surveillance Technology","Speedcam Anywhere, an app allowing users to document and report traffic violations via AI-based videographic speed estimation of a vehicle, raised concerns for UK drivers about its capabilities for surveillance and abuse.",4297,"AI for Autonomous Situational Awareness","Department of Homeland Security","The AI for autonomous situational awareness system is intended to use IoT sensor kits to covertly detect and track illicit cross-border traffic in remote locations. The system will leverage a motion image/video system enhanced with Artificial Intelligence that is capable of vehicle detection and direction determination, to allow for more active monitoring of remote camera feeds that prompt operators to review the items of interest once detected.  This will reduce the overall operator burden of c"
0.754,32,"Identical Twins Can Open Apple FaceID Protected Devices","Apple's iPhone FaceID can be opened by an identical twin of the person who has registered their face to unlock the phone.",5291,"Enable Face ID to unlock M365 apps on Government iPhone and iPad","Department of the Treasury","Improve Ease of use for customer accessing Org Data in M365 apps and TEAMS on government iPhone and IPad.Customers would no longer need to continuously input Password into the M365 apps if Face ID is enabled. https://support.apple.com/en-us/102381"
0.753,896,"Alleged Misuse of Facial Recognition Technology by Law Enforcement Reportedly Leading to Wrongful Arrests and Violations of Investigative Standards","Law enforcement agencies across the U.S. have allegedly been misusing AI-powered facial recognition technology, leading to wrongful arrests and significant harm to at least eight individuals. Officers have reportedly been bypassing investigative standards, relying on uncorroborated AI matches to build cases, allegedly resulting in prolonged detentions, reputational damage, and personal trauma.",4371,"Facial Recognition Service","Department of Homeland Security","The Facial Recognition Service is used during investigations conducted by Homeland Security Investigations (HSI) agents and analysts for identification of known individuals, as well as extracting faces for further investigations from perpetrators including child exploitation offenses, human rights atrocities, and war criminals.  This is a DHS HSI Innovation Lab/RAVEn project. The Repository for Analytics in a Virtualized Environment (RAVEn) facilitates large, complex analytical projects to suppo"
0.753,846,"Social Media Algorithms Amplified Disinformation Campaign in Honduras Election","In October 2021, a coordinated network of over 317 fake Twitter accounts leveraged AI-driven algorithms to amplify disinformation about the Honduran presidential election, targeting opposition candidate Xiomara Castro. The campaign spread false narratives to suppress voter turnout and undermine the election's integrity. Social media platforms, including Twitter and Facebook, removed the accounts only after being alerted, which also raised concerns about inadequate moderation.",5453,"Tracking COVID-19 misinformation on social media","United States Agency for International Development","Countering COVID-19 misinformation in areas affected by conflict, Murmurate: Murmurate tracks how misinformation spreads in communities via social media. Using Computer Vision and Natural Language Processing, Murmurate maps COVID-19 conversations online, identifying misinformation that delivers false and damaging public health statements.These insights drive the production and distribution of OVID-19-related counter-messaging. Funded through Humanitarian Grand Challenge"
0.752,831,"NYC Subway AI Weapons Scanners Yield High False Positive Rate and Detect No Guns in Month-Long Pilot Test","NYC implemented an AI enabled weapons scanner for a month-long pilot with limited success. Despite not finding any weapons during the September 2024 testing phase, there were 118 false positives in which a person was searched under suspicion of carrying a weapon with no actual gun detections.",4401,"Accessible Property Screening (APS) Checkpoint CT Prohibited Items (PI) Detection","Department of Homeland Security","This AI helps airplane luggage checks by the TSA officers scanning bags to have a continuous always watching partner to alert them to anything suspicious.   Currently, a Transportation Security Officer (TSO) who is assigned to every X-ray equipment at an airport checkpoint visually inspects each image. This officer resolves the system generated explosive alarms as well as visually inspecting the image for the presence of non-explosive prohibited items such as guns and sharp objects (see TSA Trav"
0.752,829,"Facial Recognition System in Buenos Aires Triggers Police Checks Based on False Matches","Buenos Aires's facial recognition system mistakenly flagged innocent people as criminals, leading to wrongful stops and detentions. Judicial investigations indicate the technology may have been misused for unauthorized surveillance and data collection. Despite privacy risks, the system has been used widely without full disclosure of standards or safeguards,",5476,"Video Surveillance System","Department of Agriculture","The purpose of this system is to conduct facial recognition video surveillance to provide enhanced security. Benefits include reduced labor hours for technicians and augmented surveillance capability.    "
0.752,1010,"GenNomis AI Database Reportedly Exposes Nearly 100,000 Deepfake and Nudify Images in Public Breach","In March 2025, cybersecurity researcher Jeremiah Fowler discovered an unprotected database linked to GenNomis by AI-NOMIS, a South Korean company offering face-swapping and ""nudify"" AI services. The exposed 47.8GB dataset included nearly 100,000 files. Many depicted explicit deepfake images, some involving minors or celebrities. No personal data was found, but the breach was a serious failure in data security and consent safeguards in AI image-generation platforms.",5253,"Deepfake Detector","Department of State","Deep learning model that took in an image containing a person's face and classifies the image as either being real (contains a real person's face) or fake (synthetically generated face, a deepfake often created using Generative Adversarial Networks). This project is retired."
0.752,307,"iPhone Face ID Failed to Recognize Users’ Morning Faces","The Face ID feature on iPhone allowing users to unlock their phones via facial recognition was reported by users for not recognizing their faces in the morning.",6386,"iPhone Facial Recognition Technology","National Credit Union Administration","Saves staff time accessing information on their agency-issued phones."
0.751,545,"Chatbot Tessa gives unauthorized diet advice to users seeking help for eating disorders","The National Eating Disorders Association (NEDA) has shut down its chatbot named Tessa after it gave weight-loss advice to users seeking help for eating disorders. The incident has raised concerns about the risks of using chatbots and AI assistants in healthcare settings, particularly in addressing sensitive issues like eating disorders. NEDA is investigating the matter, emphasizing the need for caution and accuracy when utilizing technology to provide mental health support.",5442,"Chatbot photo diagnosis for malnutrition","United States Agency for International Development","Smart and effective communication in nutrition; ""Chatbot photo diagnosis platform"", Fundación Acción Contra el Hambre (Spain): This project establishes a smart communication channel for effective malnutrition diagnosis and monitoring, a joint effort between the World Food Programme (WFP) and Action Against Hunger (ACF). Funded through Humanitarian Grand Challenge"
0.751,735,"AI-Enabled Fraud Schemes Reportedly Increasing Consumer Harm and Challenging Detection","Scammers are reportedly using AI tools such as language models, voice cloning, and synthetic IDs to create more convincing frauds, leading to financial losses and identity theft. Banks have begun deploying AI-driven verification tools to counter these schemes, but experts warn that AI-enabled fraud continues to cause real-world harm and remains difficult to detect.",5619,"Enhance Market Surveillance and Fraud Detection Use Case ","Federal Energy Regulatory Commission","The AI solution aims to assist staff in analyzing large and complex market datasets for market integrity and compliance purposes. It will process and interpret vast amounts of trading data at high speed, identifying anomalies, trends, and potential regulatory violations. This capability will help maintain fair and transparent markets, enabling staff to focus on strategic decision-making. The AI’s efficiency and precision will save time, improve compliance, and uphold public trust in market opera"
0.751,173,"AI Tools Failed to Sufficiently Predict COVID Patients, Some Potentially Harmful","AI tools failed to sufficiently predict COVID patients, some potentially harmful.",5920,"Glassbeam Clinsights ","Department of Veterans Affairs","The benefits of this AI is to gather medical device data, and use machine knowledge to attempt prediction of when medical equipment may fail. "
0.750,240,"GitHub Copilot, Copyright Infringement and Open Source Licensing","Users of GitHub Copilot can produce source code subject to license requirements without attributing and licensing the code to the rights holder.",5974,"Github Copilot","Department of Veterans Affairs","The intended purpose of GitHub Copilot is to assist developers by providing intelligent code suggestions and completions, thereby enhancing their productivity and efficiency.  Increased Productivity: By suggesting code snippets and completions, Copilot reduces the amount of time developers spend writing boilerplate code and looking up syntax or API usage. Improved Code Quality: Copilot can suggest best practices and common patterns, helping developers write more robust and maintainable code. Lea"
0.750,1104,"AI Chatbot Allegedly Used to Research Explosive Materials in Palm Springs Fertility Clinic Bombing","An unnamed AI chatbot was reportedly used by Guy Edward Bartkus and Daniel Park, the perpetrators of the 2025 Palm Springs fertility clinic bombing, to research explosive materials and optimize fuel mixtures. Records show the chatbot responded to queries related to ammonium nitrate fuel oil (ANFO) composition. The bombing resulted in one death, four injuries, and significant structural damage.",4352,"Hazard Mitigation Assistance Chatbot","Department of Homeland Security","The intended purpose is to deploy an AI-powered internal chatbot that serves as a centralized, intuitive user interface for staff across all FEMA regions and headquarters. The intended outcomes include: Improving Efficiency and Consistency by providing quick access to accurate information, the chatbot streamlines work processes, reduces redundancy, and ensures consistent procedures across regions. Accelerate Onboarding of new hires become competent more quickly, reducing the time to full product"
0.750,1104,"AI Chatbot Allegedly Used to Research Explosive Materials in Palm Springs Fertility Clinic Bombing","An unnamed AI chatbot was reportedly used by Guy Edward Bartkus and Daniel Park, the perpetrators of the 2025 Palm Springs fertility clinic bombing, to research explosive materials and optimize fuel mixtures. Records show the chatbot responded to queries related to ammonium nitrate fuel oil (ANFO) composition. The bombing resulted in one death, four injuries, and significant structural damage.",5112,"NIAMS AI Chatbot Pilot","Department of Health and Human Services","To develop a secured AI Chatbot environment where NIAMS staff can 1) conduct general research, 2) help staff in writing grants/publications/papers (e.g. foreign researcher with their English grammar, sentence structure, etc.), 3) scientific and IT code generation, 4) summarizing meeting minutes and 5) providing a platform to learn how AI can be used in their daily work tasks.  Aside from what is described in 'Use Case Scope', other expected benefits are to assess the cost vs benefit value of hav"
0.750,700,"Meta's AI Chatbots Are Reportedly Entering Online Support Communities Uninvited","Meta's AI chatbots have reportedly begun entering online communities on Facebook, providing responses that mimic human interaction. These chatbots, often uninvited, disrupt the human connection critical for support groups by giving misleading or false information and pretending to share lived experiences.",4806,"Facebook Mobile App","Department of Labor","AI is not the primary technology of the use case and is not necessary for the use case, but rather a feature within the application that cannot be turned off. The application use case is for PR needs and external communication to the public coming from the Department. "
0.750,690,"ISIS Utilizes AI for Propaganda Videos in News Harvest Program","ISIS supporters have created an AI-generated media program called News Harvest to disseminate propaganda videos. The program produces near-weekly broadcasts featuring AI-generated news anchors discussing ISIS operations globally, using cheap and easy-to-use AI tools. This development showcases the use of AI as a powerful propaganda tool for extremist groups.",5330,"Chemonics International Inc.'s ""Disinformation Monitoring and Sentiment Analysis""","United States Agency for International Development","The Transition to New Sudan program, through a program subcontractor, uses AI technology to monitor social media posts for disinformation, and to monitor citizen sentiment analysis."
0.749,827,"AI Transcription Tool Whisper Reportedly Inserting Fabricated Content in Medical Transcripts","OpenAI's AI-powered transcription tool Whisper, used to translate and transcribe audio content such as patient consultations with doctors, is advertised as having near “human level robustness and accuracy.”  However, software engineers, developers and academic researchers have alleged that it is prone to making up chunks of text or even entire sentences and that some of the hallucinations can include racial commentary, violent rhetoric, and even imagined medical treatments.",4804,"Audiate","Department of Labor","Audiate primarily uses AI for  Speech-to-text transcription, text-based audio and video editing, AI-generated scripts and audio, text-to-speech conversion, and multilingual translation. "
0.749,706,"Scammers Using AI to Impersonate Small Businesses","Scammers are using AI to impersonate small businesses by copying their videos, logos, and social media posts. They create fake listings and ads, diverting customers to cheap knockoffs or stealing their money. This has severely impacted businesses like Bee Cups, Darn Tough Vermont, and Cascade hummingbird feeders, leading to significant financial losses, negative reviews, and damaged reputations. Their deployment of AI makes it challenging for small businesses to combat these fraudulent activitie",5549,"Spoofing Detection AI/ML Project","Commodity Futures Trading Commission","Pilot project that applied AI/ML techniques to identify spoofing patterns in order message data. Project used a variety of supervised and unsupervised techniques trained with DOE's existing set of expert based spoofing detection algorithms."
0.749,602,"Russia Using Artificial Intelligence in Disinformation Campaigns to Erode Western Support for Ukraine","The Russian government has been stepping up its foreign influence campaigns by using artificial intelligence and emerging technologies to spread disinformation and sow distrust in policies supportive of Ukraine. Part of the strategy includes carrying out influence laundering operations by disseminating their messages to the American public via allies inside nominally independent organizations, according to a recent declassified analysis.   This incident is an evolving project.",5330,"Chemonics International Inc.'s ""Disinformation Monitoring and Sentiment Analysis""","United States Agency for International Development","The Transition to New Sudan program, through a program subcontractor, uses AI technology to monitor social media posts for disinformation, and to monitor citizen sentiment analysis."
0.748,744,"AI Work Assistants Require More Effort Than Expected, CIOs Say","AI work assistants, such as Copilot for Microsoft 365 and Gemini for Google Workspace, are proving to be more labor-intensive than anticipated for enterprises. CIOs report that these AI tools struggle with outdated or inaccurate data, leading to incorrect outputs. Companies are finding they must invest heavily in data management to ensure reliability. This added effort has led to delays in deployment and frustration, as businesses work to maximize the potential of these expensive AI tools.",5742,"Microsoft Copilot for Internal Employees ","United States Agency for Global Media","USAGM is exploring the potential of Microsoft Copilot to enhance workplace productivity and collaboration across its internal teams. The tool leverages generative AI capabilities integrated within the Microsoft 365 suite, enabling employees to streamline workflows and focus on high-value tasks. Key features include drafting documents and presentations, summarizing content, automating reminders, managing editorial calendars, scheduling meetings, recording and transcribing conversations, and condu"
0.748,1151,"ChatGPT Reportedly Validated Autistic User's Faster-Than-Light Theory and Failed to Provide Grounding During Delusional Episode, Preceding Hospitalization","A man on the autism spectrum reportedly engaged extensively with ChatGPT while developing a speculative theory on faster-than-light travel. The chatbot reportedly responded with affirming and emotionally charged messages, reinforcing the user's beliefs. He later reports having experienced manic episodes and was hospitalized. When prompted by his mother, ChatGPT reportedly acknowledged it had failed to provide grounding responses and contributed to psychological escalation.",5143,"HHSGPT","Department of Health and Human Services","ChatGPT is an AI-powered chatbot developed by OpenAI, and it can be integrated with Azure, Microsoft's cloud computing platform. ChatGPT leverages the power of OpenAI's language model to provide natural language understanding and generation capabilities.  Scalability: As an AI-powered chatbot, ChatGPT can handle multiple conversations simultaneously, scaling up to meet high demand without the need for additional human resources. Increased Efficiency: ChatGPT can automate repetitive tasks, freein"
0.748,941,"AI-Driven Phishing Scam Uses Deepfake Robocalls to Target Gmail Users in Credential Theft Campaign","A sophisticated AI-powered phishing scam has reportedly been targeting between 1.8 to 2.5 billion Gmail users, allegedly using deepfake robocalls and phishing emails to steal credentials. Attackers impersonate Google security. They claim suspicious account activity and direct victims to fake Google login pages. The stolen credentials have reportedly been used for identity theft, banking fraud, and session hijacking. The FBI has urged vigilance as AI increases the scale and effectiveness of such ",5623,"Phishing Email Identification","Federal Housing Finance Agency","Knowbe4 PhishER is a tool to report and manage suspicious emails. This tool use ML and AI to analyze suspicious emails to identify if the email is spam, phishing, or malicious. The primary benefit of this tool is to automate responses without requiring human intervention to analyze each email that end users identify as suspicious."
0.747,897,"AI-Assisted Ransomware Campaign by FunkSec Allegedly Targets Over 80 Victims","The FunkSec ransomware group allegedly leveraged AI tools, such as Miniapps chatbots, to develop and refine its ransomware operations, which is reported to have allowed apparently inexperienced actors to produce advanced malware rapidly.  It is reported that the group claimed to have launched its data leak site in December 2024, allegedly targeting over 80 victims with ransomware and double extortion tactics. AI reportedly supported the creation of detailed code comments in order to refine the g",4332,"Malware Reverse Engineering","Department of Homeland Security","This use case delivers improved internal government tools for reverse engineering of malware and speeding the development of cyber threat intelligence that can be shared across the government and with CISA partners.  Threat actors can leverage the same malware for long periods of time, so having the ability to improve analysis and generation of shareable cyber threat intelligence forces threat actors to spend more resources generating new malware. Machine learning and other analytical tools are "
0.747,264,"AI-Based Vehicle Speed Estimation App Denounced by UK Drivers as Surveillance Technology","Speedcam Anywhere, an app allowing users to document and report traffic violations via AI-based videographic speed estimation of a vehicle, raised concerns for UK drivers about its capabilities for surveillance and abuse.",6061,"Thomson Reuters - Vigilant Vehicle Manager","Department of Justice","Purpose: The purpose of the AI use case in Thomson Reuters Vigilant Vehicle Manager is to intelligently organize, correlate, and analyze large volumes of license plate and vehicle sightings data. By automating the identification of recurring patterns and providing data-driven insights, it streamlines the workflow for identifying vehicles that may warrant attention. The AI capabilities reduce time-consuming manual reviews, improve accuracy in spotting significant trends, and help allocate investi"
0.747,803,"Facebook's Algorithm Reportedly Amplifies AI-Generated Content, Fueling Misleading Posts","AI-generated spam images are increasingly filling Facebook feeds, with the platform’s algorithm reportedly amplifying these posts. Many of these images are bizarre, fake, and used in scams, misleading users into engaging with non-existent products or clickbait. ",4806,"Facebook Mobile App","Department of Labor","AI is not the primary technology of the use case and is not necessary for the use case, but rather a feature within the application that cannot be turned off. The application use case is for PR needs and external communication to the public coming from the Department. "
0.747,994,"AI-Enabled Organized Crime Expands Across Europe","Europol’s EU Serious and Organised Crime Threat Assessment (EU-SOCTA) 2025 warns that AI is accelerating the growth of organized crime throughout Europe. Criminal networks are leveraging AI for cyber fraud, ransomware, money laundering, and child exploitation, while AI-powered social engineering and automation are making criminal operations more scalable and harder to detect. ",6012,"Extended Threat Detection","Tennessee Valley Authority","Detecting threats within any environment requires large amounts of data, baselines of normalcy, and ability to detect anomalous behaviors within that baseline. Automated detection capabilities leveraging deep packet inspection and real-time analysis to identify the patterns that deviate from what's considered normal enables threat detection and response. Use of unsupervised machine learning models, that learn from previously seen behaviors and are able to determine when something becomes malicio"
