2_use_case_name,3_agency,3_abr,4_bureau,8_topic_area,8_question_type,10_commercial_ai,11_purpose_benefits,12_outputs,16_dev_stage,17_impact_type,18_date_initiated,19_date_acq_dev_began,20_date_implemented,21_date_retired,22_dev_method,23_contract_piids,24_hisp_support,25_hisp_name,26_public_service,27_public_info,28_iqa_compliance,29_contains_pii,30_saop_review,31_data_catalog,31_question_type,33_agency_data,34_data_docs,35_demo_features,35_question_type,37_custom_code,38_code_access,39_code_link,40_has_ato,41_system_name,42_dev_tools_wait,43_infra_provisioned,43_question_type,45_compute_request,45_question_type,47_timely_resources,47_question_type,49_existing_reuse,50_internal_review,51_extension_request,52_impact_assessment,53_real_world_testing,54_key_risks,55_independent_eval,56_monitor_postdeploy,57_autonomous_impact,57_question_type,59_ai_notice,59_question_type,61_adverse_impact,62_disparity_mitigation,63_stakeholder_consult,63_question_type,65_appeal_process,66_no_appeal_reason,67_opt_out,67_question_type
FirstNet Authority OCIO MS CoPilot Project,Department of Commerce,DOC,FIRSTNET - First Responder Network Authority,Mission-Enabling,,Improving the quality of written communications using AI tools.,Microsoft 365 Copilot can improve content creation and boost user productivity experience.  Microsoft 365 Copilot in the Microsoft Office apps will likely assist in creating content more quickly and improving existing content.  This helps the users to convey their ideas with reduced effort and unlocks the value of existing organization information and knowledge. ,Text and/or graphics generated by user-input.,Initiated,Neither,,,,,,,,,,,,,,,,,"Documentation is missing or not available: No documentation exists regarding maintenance, composition, quality, or intended use of the training and evaluation data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FirstNet Authority Communications Topaz Labs Photo Editing,Department of Commerce,DOC,FIRSTNET - First Responder Network Authority,Mission-Enabling,,Creating visually appealing presentations using AI-driven design suggestions.,"Utilize AI photo and video editing tools to improve picture quality, smooth video, and scale images without degredation.",Digital photo and video files.,Operation and Maintenance,Neither,,,,,,,,,,,,,,,,,"Documentation is missing or not available: No documentation exists regarding maintenance, composition, quality, or intended use of the training and evaluation data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Business Navigator Chatbot,Department of Commerce,DOC,ITA - International Trade Administration,Diplomacy & Trade,,Searching for information using AI.,ITA’s Global Business Navigator ChatbotBeta uses artificial intelligence (AI) to answer your questions on the exporting process and the resources available for exporters.,"Deliver concise, accurate responses to frequently asked export questions
Guide users to relevant resources within Export Solutions content
Refer more complex inquiries to trade specialists for personalized support
Provide multilingual assistance, broadening accessibility to diverse user groups",Implementation and Assessment,Neither,2/2/2024,4/18/2024,N/A,N/A,Developed with both contracting and in-house resources.,"1331L524A13ES0005 (MS EA)
1331L523P13500087 (Data Svsc)
1331L524P13500090 (AI COE)",Yes,International Trade Administration - DOC,Service details are forthcoming,Yes,The GBN Chatbot is restricted from referencing any content from the internet or outside of the approx. 160 pages of authoritative content created by ITA tradecraft experts on trade.gov (and as published on trade.gov/export-solutions).,No,Yes,No,,"In formulating responses to user queries, GBN is restricted to referencing only the approx. 160 pages of web content in the trade.gov/export-solutions section of trade.gov.
To fine tune the chatbot, ITA will explore using temporarily retained AI responses to customer questions, in order to evaluate the chatbot's performance.
","Documentation is widely available: Documentation is not only complete, but is widely accessible within the agency, and has an owner and a regular update cadence.",Other,Does not use any demographic variables.,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Microsoft Azure ,Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,No – Agency did not request an extension for this use case.,No,"Performance evaluation in operational environment: The AI use case has been tested in an operational environment before being fully implemented as a solution, or has been tested in simulated or controlled environment using operational or synthetic data.","Key risks for using the AI chatbot on Trade.gov include data privacy and security, accuracy and reliability, and compliance with legal and regulatory standards. They were identified through project scoping, stakeholder consultations, and legal assessments. Mitigations involve strict cybersecurity protocols, continuous testing, and adherence to legal regulations.",Yes – by the CAIO,"Automated and Regularly Scheduled Updates: Some aspects of the plan to monitor the AI system post-deployment are automated including re-training of models after detecting drift; however, data science teams are still significantly involved in the monitoring and re-deployment process.",No - Some individual decisions or actions require direct human oversight.,,Online - in the terms or instructions for the service.,,No,"The agency has ongoing monitoring and regular audits are performed to identify and address any emerging biases, ensuring equitable service for all users.",Other,This feedback was incorporated during beta testing to refine the chatbot. Continuous monitoring ensures the chatbot meets the needs of all users.,Yes,,Other,"If they ask to speak to a person, they will receive the following answer: ""To speak to someone, first find your local office and the contact information (name, phone number, and email address) for one of our experienced trade professionals. Whether you're looking to make your first export sale or expand to additional markets, we offer the expertise you need to connect with lucrative opportunities and increase your bottom line. Understand Local Resources and Assistance.""

Feel free to ask any follow-up questions!"
Generative AI Tools Pilot - Global Markets,Department of Commerce,DOC,ITA - International Trade Administration,Diplomacy & Trade,,Improving the quality of written communications using AI tools.,"Accelerate and streamline report production.
Enable analysts to focus on higher-level, strategic tasks rather than repetitive reporting.
Reduce costs and improve efficiency, leading to better client service and faster decision-making.","Generate initial drafts of market research reports incorporating public data sources
Provide data-driven insights to identify top markets and recommend strategic directions
Integrate with existing workflows, supporting analysts in refining and finalizing comprehensive, actionable reports",Acquisition and/or Development,Neither,2/3/2024,N/A,N/A,N/A,Developed with contracting resources.,Planned or in Progress,No,,,,"All AI outputs will be considered first drafts only, requiring staff review for accuracy before release. This provides a critical check to catch and correct any inaccuracies, preventing their wider dissemination. The information obtained through the generative artificial intelligence pilot will be subject to existing Information Quality Act guidelines.",No,Yes,No,,TBD,"Documentation is missing or not available: No documentation exists regarding maintenance, composition, quality, or intended use of the training and evaluation data.",Other,Does not use any demographic variables.,No,No – agency does not have access to source code.,,No,TBD,Less than 6 months,Other,"Planning to use a COTS product, no IT infrastructure is required",Other,"Planning to use a COTS product, no IT infrastructure is required",Other,Planned or in-progress,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,"No documentation is available: No documentation detailing model performance metrics, model architecture, features and intended use of the models have been created or are currently accessible to other data science teams within the agency.",No – Agency did not request an extension for this use case.,Planned or in-progress.,No testing: No testing of the model to simulate performance in an operational environment has been conducted thus far.,N/A - Users will be required to take all reasonable action to validate response from the generative AI tool,Planned or in-progress,No monitoring protocols have been established: Necessary infrastructure needed to perform monitoring of AI systems in production is not available and/or a plan to monitor models has not yet been established.,No - Some individual decisions or actions require direct human oversight.,,N/A - individuals are not interacting with the AI for this use case,The use of the generative AI tool is not public-facing,No,N/A - The generative AI tool will not be leveraged in a way that results in this type of disparity,Direct user testing,,No – it is not operationally practical to offer this.,N/A - The use of the generative AI tool will be user-led,Other,Users will opt-in to the pilot
Generative AI Tools Pilot - Enterprise & Solutions Architecture,Department of Commerce,DOC,ITA - International Trade Administration,Mission-Enabling,,Improving the quality of written communications using AI tools.,"Reduce manual effort in creating and managing architecture documentation
Accelerate solution design
Enhance overall operational efficiency and service quality","Assist in drafting architectural documents and reference models based on standardized templates
Summarize complex data sets and highlight key insights for faster decision-making
Generate initial technical documents 
Aid in compliance checks by referencing and applying relevant frameworks and standards",Acquisition and/or Development,Neither,5/17/2024,N/A,N/A,N/A,Developed with contracting resources.,Planned or in Progress,No,,,No,N/A,No,Yes,No,,TBD,"Documentation is missing or not available: No documentation exists regarding maintenance, composition, quality, or intended use of the training and evaluation data.",Other,Does not use any demographic variables.,No,No – agency does not have access to source code.,,No,TBD,Less than 6 months,Other,"Planning to use a COTS product, no IT infrastructure is required",Other,"Planning to use a COTS product, no IT infrastructure is required",Other,Planned or in-progress,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,"No documentation is available: No documentation detailing model performance metrics, model architecture, features and intended use of the models have been created or are currently accessible to other data science teams within the agency.",No – Agency did not request an extension for this use case.,Planned or in-progress.,No testing: No testing of the model to simulate performance in an operational environment has been conducted thus far.,N/A - Users will be required to take all reasonable action to validate response from the generative AI tool,Planned or in-progress,No monitoring protocols have been established: Necessary infrastructure needed to perform monitoring of AI systems in production is not available and/or a plan to monitor models has not yet been established.,No - Some individual decisions or actions require direct human oversight.,,N/A - individuals are not interacting with the AI for this use case,The use of the generative AI tool is not public-facing,No,N/A - The generative AI tool will not be leveraged in a way that results in this type of disparity,Direct user testing,,No – it is not operationally practical to offer this.,N/A - The use of the generative AI tool will be user-led,,Users will opt-in to the pilot
WAWENETS,Department of Commerce,DOC,National Telecommunications and Information Administration,,The algorithm produces estimates of telecommunications speech quality and speech intelligibility.  The input is a recording of speech from a telecommunications system in digital file format.  The output is a single number that indicates speech quality (typically on a 1 to 5 scale) or speech intelligibility (typically on a 0 to 1 scale).,,,,Operation and Maintenance,Neither,,,,,,,,,,,,,,,,,"Documentation is missing or not available: No documentation exists regarding maintenance, composition, quality, or intended use of the training and evaluation data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Streamline Spectrum Activities,Department of Commerce,DOC,National Telecommunications and Information Administration,Other,Spectrum Management,None of the above.,Streamline NTIA Office of Spectrum Management (OSM) processes and enhance Federal spectrum management. This includes using Azure and CoPilot capabilities to reduce the level of effort and improve the timeliness of OSM and Federal spectrum management processes.,"OSM CoPilot provides General office productivity outputs. Additional outputs include orchestration of current spectrum management functionality, speeding processes by eliminating clicks and keystrokes while under the supervision of  spectrum stakeholders.",Acquisition and/or Development,Neither,12/10/2024,12/10/2024,,,,,No,,,No,,No,,Other,NTIA spectrum data exists but requires transformation to AI-ready / machine-readable format ,NTIA Manual of Regulations and Procedures for Federal Radio Frequency Management,"Documentation is missing or not available: No documentation exists regarding maintenance, composition, quality, or intended use of the training and evaluation data.",Other,Does not use any demographic variables.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spectrum Visualizations,Department of Commerce,DOC,National Telecommunications and Information Administration,Science & Space,Creating visual representations of data sets for reports and presentations using AI.,,,,Initiated,Neither,,,,,,,,,,,,,,,,,"Documentation is missing or not available: No documentation exists regarding maintenance, composition, quality, or intended use of the training and evaluation data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use of Lexis. Other searches for legal research ,Department of Commerce,DOC,National Telecommunications and Information Administration,Law & Justice,,,,,Initiated,Neither,,,,,,,,,,,,,,,,,"Documentation is missing or not available: No documentation exists regarding maintenance, composition, quality, or intended use of the training and evaluation data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grants Program Administration,Department of Commerce,DOC,National Telecommunications and Information Administration,Government Services (includes Benefits and Service Delivery),,,"Our team is exploring using AI to support our grant program administration, specifically supporting some AI-enable knowledge management for our internal team and supporting reviews of post award technical/progress/performance/financial reports to identify trends, identify inconsistencies, etc.  The latter may be more machine learning/compliance-based analytics and be on the fringe of AI.  ",,Initiated,Neither,,,,,,,,,,,,,,,,,"Documentation is missing or not available: No documentation exists regarding maintenance, composition, quality, or intended use of the training and evaluation data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grammarly,Department of Commerce,DOC,NIST - National Institute of Science and Technology,Education & Workforce,,Improving the quality of written communications using AI tools.,"Improving the quality of written communications, idea generation, refine tone and style. ","Grammar, punctuation, style improvements, content generation",Operation and Maintenance,Neither,2/3/2023,6/16/2023,1/17/2024,,Developed with contracting resources.,NNG15SC82B,No,,,No,,No,Yes,No,,N/A,"Documentation is missing or not available: No documentation exists regarding maintenance, composition, quality, or intended use of the training and evaluation data.",Other,Does not use any demographic variables.,No,No – agency does not have access to source code.,,Yes,GrammarlyGo,,No,,Other,There is a process in place to request a Grammarly account. GrammarlyGo does not use our data for training.,Other,Grammarly is a cloud app that we support and provision accounts for those that request a license,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,"No documentation is available: No documentation detailing model performance metrics, model architecture, features and intended use of the models have been created or are currently accessible to other data science teams within the agency.",No – Agency did not request an extension for this use case.,Yes,No testing: No testing of the model to simulate performance in an operational environment has been conducted thus far.,"Risks to NIST were determined through Assessment and Authorization process by NIST Security Control Assessors. They documented that the most significant risk to NIST is moderate-level data going to a cloud vendor that does not have a FedRAMP authorized package and is not currently in process to become FedRAMP. Grammarly does not meet Department of Commerce Security and Privacy Assessment and Authorization Handbook requirements. There are deficiencies restricting staff to US only personnel, specific documentation about use of FIPS 140-2 validated encryption, TIC 2.0 architecture implementation, and Grammarly is unable to send logs to DOC SIEM tools.

This is mitigated in multiple ways:
•	Grammarly has multiple independent assessments, including a SOC 2 Type II assessment.
•	Grammarly provided other internal security documentation for review.
•	NIST data is only used by Grammarly to perform grammar recommendations. All data is purged from Grammarly servers within 3 hours.
•	NIST data is not used for training purposes.
•	Grammarly uses Amazon Web services for its infrastructure, which has FedRAMP Moderate authorization.
•	Grammarly uses Microsoft Azure AI for AI recommendations, which has FedRAMP High authorization.

Other key risks are as follows: 

•	Logins to Grammarly are logged and viewable by administrators, but the actual usage of Grammarly by the user is not logged. This is mitigated by Grammarly’s limited built-in data loss prevention (DLP) that is enabled. This prevents the following data types from going up to Grammarly for analysis: email addresses, URLs, phone numbers, credit card numbers, and Social Security numbers.
",Yes – by another appropriate agency office that was not directly involved in the system’s development,"Automated and Regularly Scheduled Updates: Some aspects of the plan to monitor the AI system post-deployment are automated including re-training of models after detecting drift; however, data science teams are still significantly involved in the monitoring and re-deployment process.",Yes - All individual decisions or actions are automated and may be rendered without direct human interaction.,,Other ,"Training was provided to end users on how to use the Grammarly application. If users have any questions, they submit a ticket through ServiceNow.",No,The model provides grammar and phrasing recommendations. All staff are presumed to be English subject matter experts and do not need to accept any proposed response from Grammarly. Staff are advised that they are ultimately responsible for the content of their responses.,None of the above,,Yes,,Yes,
Science Data Portal Autosuggest Search ,Department of Commerce,DOC,NIST - National Institute of Science and Technology,Science & Space,,Searching for information using AI.,"Assist end users is discovery,  access, and re-use of scientific,  engineering and technical information provided by bureau","Dynamically generated terms,  filtered and ranked for frequency",Operation and Maintenance,Neither,10/1/2021,10/1/2021,2/1/2022,,Developed in-house.,,No,,Enable increased self-service through an expansion of digital costumer service tools,Yes,N/A ; See https://www.nist.gov/director/nist-information-quality-standards,No,Yes,Yes,,NIST public data repository metadata corpus,"Documentation has been partially completed: Some documentation exists (detailing the composition and any statistical bias or measurement skew for training and evaluation purposes), but documentation took place within this use case’s development.",Other,Does not use any demographic variables.,Yes,Yes – source code is publicly available.,https://github.com/usnistgov/oar-autocomplete,No,https://data.nist.gov,More than 12 months,No,,Yes,,Yes,,Re-use production level code and/or data products: This use case re-uses production level code as well as data products that have been published or made widely available for data science teams for within the agency.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,No – Agency did not request an extension for this use case.,No,"Impact evaluation in operational environment: The AI use case has been tested in an operational environment before being fully implemented as a solution and has utilized randomized experiments with a control group or other counterfactual, social systems analysis, or other rigorous research methodologies to evaluate impact and identify potential harm to users as well as broader groups of people.",Risk is low to no risk in use,Yes – by another appropriate agency office that was not directly involved in the system’s development,No monitoring protocols have been established: Necessary infrastructure needed to perform monitoring of AI systems in production is not available and/or a plan to monitor models has not yet been established.,No - Some individual decisions or actions require direct human oversight.,,Online - in the terms or instructions for the service.,,No,N/A,Direct user testing,,Yes,System provides customer support via email submission for feedback and questions/issues related to system Search functionality ,Yes,
FathomNet,Department of Commerce,DOC,NOAA - National Oceanic and Atmospheric Administration,Science & Space,Ocean imagery,None of the above.,Ocean image annotation and model building,,Acquisition and/or Development,Neither,Unknown,,Ongoing,,Developed with contracting resources.,,,,,,,No,No,,,,"Documentation is missing or not available: No documentation exists regarding maintenance, composition, quality, or intended use of the training and evaluation data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastal Change Analysis Program (C-CAP),Department of Commerce,DOC,NOAA - National Oceanic and Atmospheric Administration,Science & Space, Landcover developement,None of the above.,Develop high resolution land cover data for the United States.,,Implementation and Assessment,Neither,7/7/1905,2015-2022,Ongoing,,Developed with both contracting and in-house resources.,,,,,,,No,No,Yes,,Existing NOAA C-CAP and other U.S. government authoritative geospatial datasets.,"Documentation has been partially completed: Some documentation exists (detailing the composition and any statistical bias or measurement skew for training and evaluation purposes), but documentation took place within this use case’s development.",Other,Does not use any demographic variables.,Yes,Yes – source code is publicly available.,https://github.com/NOAA-OCM/CCAP,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
"CoralNet: Ongoing operational use, improvement, and development, of machine vision point classification",Department of Commerce,DOC,NOAA - National Oceanic and Atmospheric Administration,Science & Space,Coral reef conservation,None of the above.,Computer vision for coral reef monitoring and conservation efforts.,,Acquisition and/or Development,Neither,7/7/1905,,,,Developed with contracting resources.,,,,,,,No,No,,,,"Documentation is missing or not available: No documentation exists regarding maintenance, composition, quality, or intended use of the training and evaluation data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coral Reef Watch,Department of Commerce,DOC,NOAA - National Oceanic and Atmospheric Administration,,In production: more than 1 year,,,Remote sensing data interpretation and prediction,Initiated,Neither,,,,,,,,,,,,,,,,,"Documentation is missing or not available: No documentation exists regarding maintenance, composition, quality, or intended use of the training and evaluation data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steller sea lion brand sighting ,Department of Commerce,DOC,NOAA - National Oceanic and Atmospheric Administration,,In production: more than 1 year,,,"U-net model, using R and a package called TLC specifically designed for this project",Initiated,Neither,,,,,,,,,,,,,,,,,"Documentation is missing or not available: No documentation exists regarding maintenance, composition, quality, or intended use of the training and evaluation data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CoralNet: Ongoing operational use, improvement, and development, of machine vision point classification.",Department of Commerce,DOC,NOAA - National Oceanic and Atmospheric Administration,,In production: more than 1 year,,,FCNN,Initiated,Neither,,,,,,,,,,,,,,,,,"Documentation is missing or not available: No documentation exists regarding maintenance, composition, quality, or intended use of the training and evaluation data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BANTER, a machine learning acoustic event classifier",Department of Commerce,DOC,NOAA - National Oceanic and Atmospheric Administration,,In production: less than 1 year,,,,Initiated,Neither,,,,,,,,,,,,,,,,,"Documentation is missing or not available: No documentation exists regarding maintenance, composition, quality, or intended use of the training and evaluation data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operational satellite product quality monitoring AI-ready training data,Department of Commerce,DOC,NOAA - National Oceanic and Atmospheric Administration,Other,Satellite Data and Product Utility,None of the above.,"NOAA NDE and NESDIS Common Cloud Framework (NCCF) are current and future NOAA satellite product generation environments. There are hundreds of products based on a variety of national/international satellites (US, Europe and Japan) that are generated in near real time. The anomaly detections of the satellite product quality are still manpower intensive and in a traditional way. Nowadays, with the AI technology getting mature, the AI use case can be extended to this area of anomaly detection. In the traditional way, the maintenance programmers eyeball the product maps with 24/7 support which is stressful. On the other hand, AI has the strong capability of pattern recognition with high accuracy. The AI-based technique will relieve manpower and automate the alert system.","Detection/Identification of the satellite product anomalies, e.g. the bounding boxes locate the pre-defined error types. ",Acquisition and/or Development,Neither,11/6/2022,3/29/2024,N/A,N/A,Developed with contracting resources.,1332KP21DNEEB0011,No,,,No,N/A,No,No,No,,A variety of operational satellite products,"Documentation is missing or not available: No documentation exists regarding maintenance, composition, quality, or intended use of the training and evaluation data.",Other,Does not use any demographic variables.,Yes,"Yes – agency has access to source code, but it is not public.",,No,,More than 12 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,No – Agency did not request an extension for this use case.,Planned or in-progress.,No testing: No testing of the model to simulate performance in an operational environment has been conducted thus far.,Lack of funding for Phase II development and transition from research to operations. ,Yes – by an agency AI oversight board not directly involved in the system’s development,No monitoring protocols have been established: Necessary infrastructure needed to perform monitoring of AI systems in production is not available and/or a plan to monitor models has not yet been established.,No - Some individual decisions or actions require direct human oversight.,,Email,,No,"Test, assess and feedback collection",Direct user testing,,Yes,,Other,"No – This AI use case is not subject to the opt-out requirement because the AI functionality is solely used for the prevention, detection, and investigation of satellite data product quality."
LightningCast: AI for lightning prediction,Department of Commerce,DOC,NOAA - National Oceanic and Atmospheric Administration,Other,Hazard Prediction,None of the above.,"LightningCast provides prognostic information on lightning, before the threat is realized, thereby allowing for actions that protect life and property",Probability that lightning will be observed at a given location in the next 60 minutes,Implementation and Assessment,Neither,9/1/2019,9/1/2020,Scheduled for FY2025,N/A,Developed in-house.,N/A,No,,,No,N/A,No,No,No,,Data from the Geostationary Operational Environmental Satellites,"Documentation is widely available: Documentation is not only complete, but is widely accessible within the agency, and has an owner and a regular update cadence.",,,Yes,Yes – source code is publicly available.,https://cimss.ssec.wisc.edu/csppgeo/lightningcast_v1.0b1.html ,No,,More than 12 months,Yes,,Yes,,Yes,,Re-use production level code and/or data products: This use case re-uses production level code as well as data products that have been published or made widely available for data science teams for within the agency.,"Documentation has been developed: Complete documentation detailing model performance across a range of benchmarks, architecture, relevant features and information regarding the appropriate use of the model for predictive tasks has been created.",No – Agency did not request an extension for this use case.,Planned or in-progress.,"Impact evaluation in operational environment: The AI use case has been tested in an operational environment before being fully implemented as a solution and has utilized randomized experiments with a control group or other counterfactual, social systems analysis, or other rigorous research methodologies to evaluate impact and identify potential harm to users as well as broader groups of people.",None,Yes – by another appropriate agency office that was not directly involved in the system’s development,"Intermittent and Manually Updated: A plan for monitoring the AI use case is in place, and requires data science teams to work with DevOps engineers to manually update models at scheduled intervals, and create metrics to detect data distribution shifts between the operational environment and the training data for the model. ",No - Some individual decisions or actions require direct human oversight.,,Online - in the terms or instructions for the service.,,No,N/A,Direct user testing,,No – it is not operationally practical to offer this.,The AI does not provide a service. It provides guidance.,Other,This AI is a decision-support tool used by meteorologists. Utilization is completely optional.
CyberSecurity Hardening & Automation,Department of Commerce,DOC,NOAA - National Oceanic and Atmospheric Administration,Other,CyberSecurity Information & Configuration,None of the above.,"Promptly analyze cybersecurity architecture, documentation, inventories, and vulnerabilities for remediation, automation opportunities, continuous monitoring, responding to data calls, and architectural risk assessments (e.g. Security Impact Analyses [SIAs]).","Risk Assessment, documentation generation, responses to data calls",Initiated,Neither,1/1/2024,6/1/2024,N/A,N/A,Developed in-house.,N/A,No,,,No,,No,,,,,"Documentation is missing or not available: No documentation exists regarding maintenance, composition, quality, or intended use of the training and evaluation data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI based Community Radiative Transfer Model,Department of Commerce,DOC,NOAA - National Oceanic and Atmospheric Administration,Other,"Satellite radiance assimilation for operational eather forecasts, physical retrievals of environmental data records",None of the above.,Fast radiative transfer calculations for increasing satellite data needed by weathers forecasts and the generation of satellite products.,simulated satellite radiances and sensitivities (Jacobian) of satellite data,Acquisition and/or Development,Neither,7/1/2024,7/1/2024,1/1/2027,N/A,Developed in-house.,N/A,Yes,,,No,N/A,No,No,No,,Meteorological data such as profiles of temperature and water vapor,"Documentation is widely available: Documentation is not only complete, but is widely accessible within the agency, and has an owner and a regular update cadence.",,,No,No – agency does not have access to source code.,,No,,More than 12 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,No – Agency did not request an extension for this use case.,Planned or in-progress.,No testing: No testing of the model to simulate performance in an operational environment has been conducted thus far.,Lack of funding,Yes – by another appropriate agency office that was not directly involved in the system’s development,"Intermittent and Manually Updated: A plan for monitoring the AI use case is in place, and requires data science teams to work with DevOps engineers to manually update models at scheduled intervals, and create metrics to detect data distribution shifts between the operational environment and the training data for the model. ",No - Some individual decisions or actions require direct human oversight.,,N/A - individuals are not interacting with the AI for this use case,,No,"Test, assess and feedback collection",Direct user testing,,No – it is not operationally practical to offer this.,Very low risk to use this AI based application algorithm.,Yes,
Operational Enterprise Cloud Mask,Department of Commerce,DOC,NOAA - National Oceanic and Atmospheric Administration,Science & Space,Operational satellite data product,None of the above.,Used to create internal ECM algorithm classifiers to optimize cloud detection over different surface types and atmospheric conditions,Cloud detection ,Implementation and Assessment,Neither,Pre-2021,Pre-2021,Pre-2021,N/A,Developed in-house.,N/A,No,,,,,No,No,No,,Data from operational satellites,"Documentation is widely available: Documentation is not only complete, but is widely accessible within the agency, and has an owner and a regular update cadence.",,,Yes,Yes – source code is publicly available.,https://gitlab.ssec.wisc.edu/clavrx/clavrx-dev,No,,More than 12 months,Yes,,Yes,,Yes,,Re-use production level code and/or data products: This use case re-uses production level code as well as data products that have been published or made widely available for data science teams for within the agency.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,Planned or in-progress.,"Impact evaluation in operational environment: The AI use case has been tested in an operational environment before being fully implemented as a solution and has utilized randomized experiments with a control group or other counterfactual, social systems analysis, or other rigorous research methodologies to evaluate impact and identify potential harm to users as well as broader groups of people.",None,Planned or in-progress,"Intermittent and Manually Updated: A plan for monitoring the AI use case is in place, and requires data science teams to work with DevOps engineers to manually update models at scheduled intervals, and create metrics to detect data distribution shifts between the operational environment and the training data for the model. ",No - Some individual decisions or actions require direct human oversight.,,Online - in the terms or instructions for the service.,,No,,Direct user testing,,No – it is not operationally practical to offer this.,The AI provides scientific guidance for cloud detection.,Other,This AI use is a component of an operational satellite data production algorithm.   The product is used by atmospheric scientists. Utilization is completely optional.
AI Snowfall Detection and Snowfall Rate estimation,Department of Commerce,DOC,NOAA - National Oceanic and Atmospheric Administration,Science & Space,,None of the above.,,,Initiated,Neither,,,,,,,,,,,,,,,,,"Documentation is missing or not available: No documentation exists regarding maintenance, composition, quality, or intended use of the training and evaluation data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Rain Rate estimation,Department of Commerce,DOC,NOAA - National Oceanic and Atmospheric Administration,Science & Space,,None of the above.,,,Initiated,Neither,,,,,,,,,,,,,,,,,"Documentation is missing or not available: No documentation exists regarding maintenance, composition, quality, or intended use of the training and evaluation data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Total Precipitable Water estimation,Department of Commerce,DOC,NOAA - National Oceanic and Atmospheric Administration,Science & Space,,None of the above.,,,Initiated,Neither,,,,,,,,,,,,,,,,,"Documentation is missing or not available: No documentation exists regarding maintenance, composition, quality, or intended use of the training and evaluation data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Cloud Liquid Water estimation,Department of Commerce,DOC,NOAA - National Oceanic and Atmospheric Administration,Science & Space,,None of the above.,,,Initiated,Neither,,,,,,,,,,,,,,,,,"Documentation is missing or not available: No documentation exists regarding maintenance, composition, quality, or intended use of the training and evaluation data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
