Use Case ID,Use Case Name,Agency,Bureau/Component/Division/Branch,Contact Name,Contact Email Address,Use Case Topic Area,Is the AI use case found in Appendix B’s list of general commercial AI products and services?,What is the intended purpose and expected benefits of the AI?,Describe the AI system’s outputs.,Stage of Development,"Is the AI use case rights-impacting, safety-impacting, both, or neither?"
DOJ-0044,"Databricks (Forecasting, predictive analytics, data/statistical analysis)",Department of Justice,ATR,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: Databricks is a product that incorporates fundamental modeling, AI and machine learning techniques for predictive modeling, natural language processing, computer vision and deep learning. This product assists in the design and development of sophisticated economic models to analyze markets. This is a general-purpose tool for quantitative analysis and modeling that is generally used for analyzing and modeling market conditions and scenarios. While it is not practical to inventory all the ways in which this tool is used in individual cases, when the tool is used to develop evidence offered in litigation, ordinary rules of evidence apply.

Expected benefits: Provides ATR with the ability to analyze, summarize, synthesize, and manage various data sources and data formats to support economic and statistical analysis of corporation and market conditions. ATR relies heavily on data analytical tools to support mico - and macro-level analysis. ","Predictive model outputs, statistical analysis, natural language processing, text analytics, forecasting predictions, optimization recommendations, risk analysis scores, anomaly detection, 
customer segmentation groupings, decision tree analysis paths",Implementation and Assessment – The AI system associated with the use case is currently undergoing functionality and security testing.,Neither
DOJ-0045,Salesforce,Department of Justice,CIV,DOJ Chief AI Officer,AI@usdoj.gov, Government Services (includes Benefits and Service Delivery),None,"Purpose: CIV is testing instances of Salesforce to determine whether AI features would make it easier for our litigators to organize their case files.

Expected benefits: Time savings over manual categorization.",Files are organized into cases for user review,Initiated – The need for an AI use case has been expressed and its intended purpose and high-level requirements are documented.,Neither
DOJ-0046,ChatBot,Department of Justice,COPS,DOJ Chief AI Officer,AI@usdoj.gov, Government Services (includes Benefits and Service Delivery),None,"Purpose: The Intelligent Bot tool is implemented using Question and Answer (QnA) Maker and the Language Understanding (LUIS) services which is developed using the Microsoft Azure Software As A Service (SAAS) infrastructure in the Cloud on the COPS website.  

Expected benefits: This will allow COPS to easily implement a brand new knowledge base of questions and answers feature on the site which will respond via a chat box based on a question entered by the customer. ",Response,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Neither
DOJ-0047,BMC Helix ITSM,Department of Justice,CRM,DOJ Chief AI Officer,AI@usdoj.gov,Mission-Enabling (internal agency support),None,"Purpose: BMC Helix's ITSM AI capabilities include Proactive Problem Management and Incident Correlation, which will allow CRM's IT Service Desk to more efficiently identify issues, resolve incidents, automate case routing, and perform root cause analysis. 

Expected benefits: Increase IT service desk productivity, prevent issues before they occur, and decrease user downtime. ","Prediction, recommendation",Initiated – The need for an AI use case has been expressed and its intended purpose and high-level requirements are documented.,Neither
DOJ-0048,Thomson Reuters CLEAR - License Plate Recognition ,Department of Justice,CRM,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: CLEAR LPR enables investigators to identify location history for license plates, connect addresses and individuals of interest to a vehicle's location and obtain images of a vehicle. CRM uses CLEAR LPR to aid in investigations. 

Expected benefits: Streamline investigations, reducing the need to search multiple platforms, while saving costs and allowing investigators to more quickly identify relevant information.","Object recognition, OCR, prediction","Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
DOJ-0049,Clearview AI,Department of Justice,CRM,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"CMS's Child Exploitation and Obscenity Section used Clearview fewer than five times in 2020 as part of evaluating and experimenting with the software. CEOS stopped using Clearview almost immediately after obtaining it, because of a reported data breach within Clearview. CEOS no longer has a Clearview license, is not using it, and does not plan to use it again.",N/A; not in use,Retired – The AI use case has been retired or is in the process of being retired.,Rights Impacting
DOJ-0050,Veritone,Department of Justice,CRM,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: CRM uses Veritone to convert speech in audio or video files into text transcripts.

Expected benefits: Transcribe audio and video, saving manual review time and associated costs. ",Transcription,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
DOJ-0051,,,,,,,,Removed due to administrative error.,,,
DOJ-0052,ArcGIS,Department of Justice,CRT,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: AI could be used in ArcGIS Pro for identification of ""Clustering"", ""Regression"", and ""Classification"" of a wide variety of types of spatial data.  AI could be useful for identifying discriminatory patterns or practices in bank loan lending, student attendance zone anomalies, disability compliance or a wide variety of criminal activities. This tool's AI features are not in use.

Expected benefits: AI implementation in geospatial software (ArcGIS Pro) would have direct benefits to DOJ CRT's mission.  It would speed up customer wait time by automating many of the geospatial processes that were previously done manually.  It would increase more comprehensive map/outputs by allowing AI to assess the geospatial data more thoroughly than a human could.  AI would also provide customers with more options for illustrating their output on maps, such that the customer can secure the map(s) that best represent the point they are trying to make for any given matter.",No output. The AI capabilities are available but not used or configured. Activation of these capabilities would require downloading special folders.,"Acquisition and/or Development – An AI use case has been identified for development, or the AI use case is currently under development with the necessary IT tools and data infrastructure having been provisioned.","No, use case is too new to fully assess impacts; will be reassessed before end of acquisition and development stage."
DOJ-0053,AWS/cloud.gov -  Network Routing,Department of Justice,CRT,DOJ Chief AI Officer,AI@usdoj.gov,Mission-Enabling (internal agency support),None,"Purpose: To enable network routing technology to optimize speed of routing and re-route traffic around any configuration issues.

Expected benefits: Helps sustain reliable networks access to CRT networked infrastructure by CRT staff.",Decision and action relating to network routing and load management.,"Acquisition and/or Development – An AI use case has been identified for development, or the AI use case is currently under development with the necessary IT tools and data infrastructure having been provisioned.",Neither
DOJ-0054,Azure Platform/Tools - Network Routing,Department of Justice,CRT,DOJ Chief AI Officer,AI@usdoj.gov,Mission-Enabling (internal agency support),None,"Purpose: To enable network routing technology to optimize speed of routing and re-route traffic around any configuration issues.

Expected benefits: Helps sustain reliable networks access to CRT networked infrastructure by CRT staff.",Decision and action relating to network routing and load management.,"Acquisition and/or Development – An AI use case has been identified for development, or the AI use case is currently under development with the necessary IT tools and data infrastructure having been provisioned.",Neither
DOJ-0055,Camtasia - Auto Captioning ,Department of Justice,CRT,DOJ Chief AI Officer,AI@usdoj.gov,Mission-Enabling (internal agency support),None,"Purpose: Dynamic captions uses AI tech within the local client software to convert speech to text and produce a transcript file. This tool's AI features are not in use.  

Expected benefits:  The captioning is used based on user  preference within their client app.  The feature for production and retention of transcripts is disabled by CRT IT Policy. ",No output.  The transcription saving is disabled. ,"Acquisition and/or Development – An AI use case has been identified for development, or the AI use case is currently under development with the necessary IT tools and data infrastructure having been provisioned.",Neither
DOJ-0056,Cloudflare Turnstile,Department of Justice,CRT,DOJ Chief AI Officer,AI@usdoj.gov,Mission-Enabling (internal agency support),None,"Purpose: To automate the disqualification of reports not submitted by a human but submitted by bots.  This tool monitors submissions by bots and may eventually block that bot-associated IP addresses from submitting reports.

Expected benefits: Saves pre-processing time by CRT staff and only routes actionable reports within the routing workflow.",Decision related to routing of a civil rights violation report submitted by a bot.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
DOJ-0057,Dragon,Department of Justice,CRT,DOJ Chief AI Officer,AI@usdoj.gov,Mission-Enabling (internal agency support),None,"Purpose: Use natural language processing to convert spoken audio to text for employees with vision or mobility limitations.

Expected benefits: Increased accessibility. Employees with a disability are provided a solution to accommodate their reasonable accommodation for Section 508 obligations.",Text transcription of spoken audio. ,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
DOJ-0058,Evidence.com - Axon,Department of Justice,CRT,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: CRT uses the auto-transcribe feature to transcribe body worn camera footage to text making it more easily searchable.   CRT also uses the redaction assistant feature to remove sensitive information from videos.

Expected benefits: Improved speed of pre-processing workflows, faster identification of relevant audio, efficiency of investigations.","text transcriptions, video with sensitive images redacted","Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
DOJ-0059,Zoom - Auto Captioning,Department of Justice,CRT,DOJ Chief AI Officer,AI@usdoj.gov,Mission-Enabling (internal agency support),None,"Purpose: CRT uses an AI feature to convert speech to text and produce a transcript file. This tool's AI features are not in use. 

Expected benefits:  The captioning is used based on user preference within their client app.  The producing and retaining a transcript is disabled by CRT IT Policy. ",No output.  The transcription saving is disabled. ,"Acquisition and/or Development – An AI use case has been identified for development, or the AI use case is currently under development with the necessary IT tools and data infrastructure having been provisioned.",Neither
DOJ-0060,DEA Drug Signature Program Models,Department of Justice,DEA,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: Understanding the manufacturing origin and distribution route of illicit drugs by analyzing the chemical composition of seized drugs is a core DEA task. The purpose of this use case is to use AI/ML techniques to develop, maintain, and improve models that enable designated forensic chemists to identify a notional geographic origin or notional manufacturing route of samples selected for DEA's Drug Signature Programs.

Expected benefits: The solution supports designated forensic chemists at DEA to automate analyses and to more quickly identify trend changes regarding drug sample notional geographic origin or notional manufacturing route.",Designated forensic chemists responsible for a particular Signature Program are provided with the model's output - a notional geographic region of origin or a notional manufacturing route of samples -- which these forensic chemists then evaluate along with other available information to better understand drug trends.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Neither
DOJ-0061,LPR 1,Department of Justice,DEA,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: DEA has a mission to protect communities. It requires a deep understanding of drug markets, manufacturing, and distribution channels. License Plate Readers (LPR) can be one important investigative tool to support cases.

Expected benefits: License Plate Readers (LPR) can be one important investigative tool to support cases. ","This License Plate Reader (LPR) technology captures images of vehicle license plates, automatically converts the information they contain to characters, and can add metadata such as the time and location the image was captured.","Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
DOJ-0062,LPR 2,Department of Justice,DEA,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: DEA has a mission to protect communities. It requires a deep understanding of drug markets, manufacturing, and distribution channels. License Plate Readers (LPR) can be one important investigative tool to support cases.

Expected benefits: License Plate Readers (LPR) can be one important investigative tool to support cases. ","This License Plate Reader (LPR) technology captures images of vehicle license plates, automatically converts the information they contain to characters, and can add metadata such as the time and location the image was captured.","Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
DOJ-0063,LPR 3,Department of Justice,DEA,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: DEA has a mission to protect communities. It requires a deep understanding of drug markets, manufacturing, and distribution channels. License Plate Readers (LPR) can be one important investigative tool to support cases.

Expected benefits: License Plate Readers (LPR) can be one important investigative tool to support cases. ","This License Plate Reader (LPR) technology captures images of vehicle license plates, automatically converts the information they contain to characters, and can add metadata such as the time and location the image was captured.","Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
DOJ-0064,LPR 4,Department of Justice,DEA,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: DEA has a mission to protect communities. It requires a deep understanding of drug markets, manufacturing, and distribution channels. License Plate Readers (LPR) can be one important investigative tool to support cases.

Expected benefits: License Plate Readers (LPR) can be one important investigative tool to support cases. ","This License Plate Reader (LPR) technology captures images of vehicle license plates, automatically converts the information they contain to characters, and can add metadata such as the time and location the image was captured.","Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
DOJ-0065,Friction Ridge Print Comparisons,Department of Justice,DEA,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: DEA has a mission to protect communities and save lives. The purpose of this use case is to compare friction ridge prints to other prints within the boundaries of a case. 

Expected benefits: To assist in friction ridge analyses, which can save significant amount of time and resources. It can standardize DEA's friction ridge program and reduce missed identification errors.",Outputs images and portions of print cards.,Initiated – The need for an AI use case has been expressed and its intended purpose and high-level requirements are documented.,Rights Impacting
DOJ-0066,Automated Count of Items in Photos,Department of Justice,DEA,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: DEA has a mission to protect communities and save lives. DEA's Forensic Sciences Division receives tens of thousands of diverse drug seizures (e.g. drug form, shapes, sizes, counts) annually. The purpose of this use case is for forensic chemists to utilize object detection as a second validation step. 

Expected benefits: To ensure timely high confidence of counts, this use case allows forensic scientists to accelerate validation and enables quality control checks by serving as a unbiased count against submitted paperwork and manual counts. This will reduce a labor and resource intensive counting process.",Outputs recommended counts with image labels.,Initiated – The need for an AI use case has been expressed and its intended purpose and high-level requirements are documented.,Neither
DOJ-0067,Body Worn Camera (BWC) Audio-Video Software AI Tools,Department of Justice,DEA,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: DEA has a mission to protect communities and save lives. DEA has dedicated personnel to review the proposed AI-generated redactions of extracted video files. Redactions are applied to a copy of the original file to ensure the raw files are not altered in the process.

Expected benefits: To further DEA's mission of protecting American communities, this allows dedicated DEA personnel to review proposed relevant footage, resulting in time and cost savings. In addition, this solution helps standardize the audio/visual redaction process to produce video evidence connected to judicial processes and FOIA requests.","Outputs include proposed redactions and text transcriptions of audio and video footage that require a dedicated DEA personnel to review, possibly adjust, and approve recommendations. ","Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
DOJ-0068,Supply Chain Analytics,Department of Justice,DEA,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: DEA has a mission to protect communities and save lives. It requires an understanding of global drug markets, manufacturing, and distribution channels as well as the impact of illicit drugs on communities and individuals. Supply chain analytics is a tool to further drug trafficking investigations and protecting the American public.

Expected benefits: Supply chain information can further investigative leads and allow dedicated DEA personnel to better understand the impact and trends of drug markets. ",Supply chain analytical outputs vary by query and generally focus on specific markets or business entities.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Neither
DOJ-0069,Data & Analytics Tools: Publicly-Available 1,Department of Justice,DEA,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: DEA is a data-driven organization that integrates data and analytics capabilities across its mission. The purpose of this use case is to search, monitor, and analyze wide variety of public-facing unstructured and structured data sources such as scientific literature, social media, dark web, news, public records, public internet forums, and more to protect American communities and save lives. 

Expected benefits: This use case enables DEA to gain key insights at exponentially higher speeds with lower costs by fusing variety of data sources. Benefits include: operational insights, emerging threat detection, agent safety, public safety, improved mission-enabling services, etc. ",Outputs vary by use case.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Both
DOJ-0070,Data & Analytics Tools: Publicly-Available 2,Department of Justice,DEA,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: DEA is a data-driven organization that integrates data and analytics capabilities across its mission. The purpose of this use case is to search, monitor, and analyze wide variety of public-facing unstructured and structured data sources such as scientific literature, social media, dark web, news, public records, public internet forums, and more to protect American communities and save lives. 

Expected benefits: This use case enables DEA to gain key insights at exponentially higher speeds with lower costs by fusing variety of data sources. Benefits include: operational insights, emerging threat detection, agent safety, public safety, improved mission-enabling services, etc. ",Outputs vary by use case.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Both
DOJ-0071,Data & Analytics Tools: Publicly-Available 3,Department of Justice,DEA,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: DEA is a data-driven organization that integrates data and analytics capabilities across its mission. The purpose of this use case is to search, monitor, and analyze wide variety of public-facing unstructured and structured data sources such as scientific literature, social media, dark web, news, public records, public internet forums, and more to protect American communities and save lives. 

Expected benefits: This use case enables DEA to gain key insights at exponentially higher speeds with lower costs by fusing variety of data sources. Benefits include: operational insights, emerging threat detection, agent safety, public safety, improved mission-enabling services, etc. ",Outputs vary by use case.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Both
DOJ-0072,Data & Analytics Tools: Publicly-Available 4,Department of Justice,DEA,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: DEA is a data-driven organization that integrates data and analytics capabilities across its mission. The purpose of this use case is to search, monitor, and analyze wide variety of public-facing unstructured and structured data sources such as scientific literature, social media, dark web, news, public records, public internet forums, and more to protect American communities and save lives. 

Expected benefits: This use case enables DEA to gain key insights at exponentially higher speeds with lower costs by fusing variety of data sources. Benefits include: operational insights, emerging threat detection, agent safety, public safety, improved mission-enabling services, etc. ",Outputs vary by use case.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Both
DOJ-0073,Data & Analytics Tools: Publicly-Available 5,Department of Justice,DEA,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: DEA is a data-driven organization that integrates data and analytics capabilities across its mission. The purpose of this use case is to search, monitor, and analyze wide variety of public-facing unstructured and structured data sources such as scientific literature, social media, dark web, news, public records, public internet forums, and more to protect American communities and save lives. 

Expected benefits: This use case enables DEA to gain key insights at exponentially higher speeds with lower costs by fusing variety of data sources. Benefits include: operational insights, emerging threat detection, agent safety, public safety, improved mission-enabling services, etc. ",Outputs vary by use case.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Both
DOJ-0074,Data & Analytics Tools: Publicly-Available 6,Department of Justice,DEA,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: DEA is a data-driven organization that integrates data and analytics capabilities across its mission. The purpose of this use case is to search, monitor, and analyze wide variety of public-facing unstructured and structured data sources such as scientific literature, social media, dark web, news, public records, public internet forums, and more to protect American communities and save lives. 

Expected benefits: This use case enables DEA to gain key insights at exponentially higher speeds with lower costs by fusing variety of data sources. Benefits include: operational insights, emerging threat detection, agent safety, public safety, improved mission-enabling services, etc. ",Outputs vary by use case.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Both
DOJ-0075,Data & Analytics Tools: Publicly-Available 7,Department of Justice,DEA,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: DEA is a data-driven organization that integrates data and analytics capabilities across its mission. The purpose of this use case is to search, monitor, and analyze wide variety of public-facing unstructured and structured data sources such as scientific literature, social media, dark web, news, public records, public internet forums, and more to protect American communities and save lives. 

Expected benefits: This use case enables DEA to gain key insights at exponentially higher speeds with lower costs by fusing variety of data sources. Benefits include: operational insights, emerging threat detection, agent safety, public safety, improved mission-enabling services, etc. ",Outputs vary by use case.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Both
DOJ-0076,Data & Analytics Tools: Publicly-Available 8,Department of Justice,DEA,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: DEA is a data-driven organization that integrates data and analytics capabilities across its mission. The purpose of this use case is to search, monitor, and analyze wide variety of public-facing unstructured and structured data sources such as scientific literature, social media, dark web, news, public records, public internet forums, and more to protect American communities and save lives. 

Expected benefits: This use case enables DEA to gain key insights at exponentially higher speeds with lower costs by fusing variety of data sources. Benefits include: operational insights, emerging threat detection, agent safety, public safety, improved mission-enabling services, etc. ",Outputs vary by use case.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Both
DOJ-0077,Data & Analytics Tools: Publicly-Available 9,Department of Justice,DEA,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: DEA is a data-driven organization that integrates data and analytics capabilities across its mission. The purpose of this use case is to search, monitor, and analyze wide variety of public-facing unstructured and structured data sources such as scientific literature, social media, dark web, news, public records, public internet forums, and more to protect American communities and save lives. 

Expected benefits: This use case enables DEA to gain key insights at exponentially higher speeds with lower costs by fusing variety of data sources. Benefits include: operational insights, emerging threat detection, agent safety, public safety, improved mission-enabling services, etc. ",Outputs vary by use case.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Both
DOJ-0078,Data & Analytics Tools: Publicly-Available 10,Department of Justice,DEA,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: DEA is a data-driven organization that integrates data and analytics capabilities across its mission. The purpose of this use case is to search, monitor, and analyze wide variety of public-facing unstructured and structured data sources such as scientific literature, social media, dark web, news, public records, public internet forums, and more to protect American communities and save lives. 

Expected benefits: This use case enables DEA to gain key insights at exponentially higher speeds with lower costs by fusing variety of data sources. Benefits include: operational insights, emerging threat detection, agent safety, public safety, improved mission-enabling services, etc. ",Outputs vary by use case.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Both
DOJ-0079,Data & Analytics Tools: Publicly-Available 11,Department of Justice,DEA,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: DEA is a data-driven organization that integrates data and analytics capabilities across its mission. The purpose of this use case is to search, monitor, and analyze wide variety of public-facing unstructured and structured data sources such as scientific literature, social media, dark web, news, public records, public internet forums, and more to protect American communities and save lives. 

Expected benefits: This use case enables DEA to gain key insights at exponentially higher speeds with lower costs by fusing variety of data sources. Benefits include: operational insights, emerging threat detection, agent safety, public safety, improved mission-enabling services, etc. ",Outputs vary by use case.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Both
DOJ-0080,Data & Analytics Tools: Publicly-Available 12,Department of Justice,DEA,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: DEA is a data-driven organization that integrates data and analytics capabilities across its mission. The purpose of this use case is to search, monitor, and analyze wide variety of public-facing unstructured and structured data sources such as scientific literature, social media, dark web, news, public records, public internet forums, and more to protect American communities and save lives. 

Expected benefits: This use case enables DEA to gain key insights at exponentially higher speeds with lower costs by fusing variety of data sources. Benefits include: operational insights, emerging threat detection, agent safety, public safety, improved mission-enabling services, etc. ",Outputs vary by use case.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Both
DOJ-0081,Data & Analytics: Chemistry Instrument Library,Department of Justice,DEA,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: DEA is a data-driven organization that integrates data and analytics capabilities across its mission. In the course of analyzing drug seizures, chemists within the Forensic Sciences Division encounter uncommon and or initially unknown chemical compounds. The purpose of this use case is to identify unknown drug samples by comparing them against a library of known spectra.

Expected benefits: For less commonly encountered compounds, this use case saves time and provides information for human decision-making. The  comparison/matching also fulfills requirements to provide spectra from known/traceable materials.",Outputs a recommended list of best matches to be decided upon by the analyst and included in the case file as supporting evidence for the identified substances reported.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Neither
DOJ-0082,Data & Analytics: Gunshot Detection System ,Department of Justice,DEA,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: DEA is a data-driven organization that integrates data and analytics capabilities across its mission. The purpose of this use case is to utilize a sensor system to detect gunshots for physical security. This system is not for operational matters. 

Expected benefits: To assist DEA with protecting DEA employees in the event of an active shooter.",Sensors report gunshot activity.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Both
DOJ-0083,Data & Analytics: Financial and Cryptocurrency Transactions 1,Department of Justice,DEA,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: DEA is a data-driven organization that integrates data and analytics capabilities across its mission. The purpose of this use case is to enhance the investigative process and search for patterns and relationships in financial transactions including cryptocurrencies to support drug trafficking and money laundering investigations.

Expected benefits: Enhances the detection and prevention of financial crimes related to ongoing investigations.",Outputs include recommended results and data visualizations.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Neither
DOJ-0084,Data & Analytics: Financial and Cryptocurrency Transactions 2,Department of Justice,DEA,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: DEA is a data-driven organization that integrates data and analytics capabilities across its mission. The purpose of this use case is to enhance the investigative process and search for patterns and relationships in financial transactions including cryptocurrencies to support drug trafficking and money laundering investigations.

Expected benefits: Enhances the detection and prevention of financial crimes related to ongoing investigations.",Outputs include recommended results and data visualizations.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Neither
DOJ-0085,Data & Analytics: Financial and Cryptocurrency Transactions 3,Department of Justice,DEA,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: DEA is a data-driven organization that integrates data and analytics capabilities across its mission. The purpose of this use case is to enhance the investigative process and search for patterns and relationships in financial transactions including cryptocurrencies to support drug trafficking and money laundering investigations.

Expected benefits: Enhances the detection and prevention of financial crimes related to ongoing investigations.",Outputs include recommended results and data visualizations.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Neither
DOJ-0086,Controlled Substances Act (CSA): Automation of Reports and Consolidated Orders System (ARCOS) Data Summarization,Department of Justice,DEA,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: DEA is a data-driven organization that integrates data and analytics capabilities across its mission. The purpose of this use case is to automate the validation and summarization of ARCOS data for further analysis.

Expected benefits: To save time and effort of fully manual review of ARCOS data. ",Outputs a list of recommendations with validated data with summary information.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Neither
DOJ-0087,Controlled Substances Act (CSA): Transaction Data Ranking,Department of Justice,DEA,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: DEA is a data-driven organization that integrates data and analytics capabilities across its mission. The purpose of this use case is to rank CSA transaction data based on the factors identified/calculated as part of a manual analysis.

Expected benefits: To reduce time and effort of manually ranking.","Outputs a data visualization that highlights activity, based on certain factors, and includes a ranking.","Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Neither
DOJ-0088,PenLink PLX,Department of Justice,DEA,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: DEA has a mission to protect communities and save lives. It requires a need to understand communications within criminal operations. Multi-language machine transcription of audio files is intended to filter massive audio files to relevant data for review. This is one feature of a larger system.

Expected benefits: To allow search of audio files to identify which parts of the conversations should be reviewed and interpreted officially by human translators and analysts for discovery purposes.",Outputs vary by use case.,"Acquisition and/or Development – An AI use case has been identified for development, or the AI use case is currently under development with the necessary IT tools and data infrastructure having been provisioned.",Rights Impacting
DOJ-0089,Generative AI / Large Language Model: Call Center Management and Service Delivery Support (Salesforce),Department of Justice,DEA,DOJ Chief AI Officer,AI@usdoj.gov,Government Services (includes Benefits and Service Delivery),None,"Purpose: DEA is a data-driven organization that integrates data and analytics capabilities across its mission. The purpose of this use case is to improve the effectiveness of the Diversion Control Registrant Call Center by automating the routing of incoming calls, providing answers to common questions for Diversion Control Registrant call center agents to identify and quickly propose steps toward resolution, and monitoring customer feedback.

Expected benefits: To expedite responding to registrant needs with timeliness and consistency of DEA's customer service posture to DEA registrants. To decrease labor costs while maintaining high levels of customer service to DEA registrants. To capture needed improvements to service for implementation.","Outputs a recommended course of action with recommended response for the call center operator to the DEA registrant to resolve the interaction, a priority classification and response to customers needing higher level intervention of call center staff, and a report that summarizes the survey responses with quantifiable and qualitative metrics.","Acquisition and/or Development – An AI use case has been identified for development, or the AI use case is currently under development with the necessary IT tools and data infrastructure having been provisioned.",Neither
DOJ-0090,Generative AI R&D Sandbox,Department of Justice,DEA,DOJ Chief AI Officer,AI@usdoj.gov,Mission-Enabling (internal agency support),None,"Purpose: The purpose of this use case is to create a R&D environment to enable DEA to test and prototype Generative AI based solutions.

Expected benefits: To provide a safe environment to prototype and test experimental AI based use cases.",Outputs vary based on the use cases.,Initiated – The need for an AI use case has been expressed and its intended purpose and high-level requirements are documented.,Neither
