2_use_case_name,3_agency,3_abr,4_bureau,8_topic_area,8_question_type,10_commercial_ai,11_purpose_benefits,12_outputs,16_dev_stage,17_impact_type,18_date_initiated,19_date_acq_dev_began,20_date_implemented,21_date_retired,22_dev_method,23_contract_piids,24_hisp_support,25_hisp_name,26_public_service,27_public_info,28_iqa_compliance,29_contains_pii,30_saop_review,31_data_catalog,31_question_type,33_agency_data,34_data_docs,35_demo_features,35_question_type,37_custom_code,38_code_access,39_code_link,40_has_ato,41_system_name,42_dev_tools_wait,43_infra_provisioned,43_question_type,45_compute_request,45_question_type,47_timely_resources,47_question_type,49_existing_reuse,50_internal_review,51_extension_request,52_impact_assessment,53_real_world_testing,54_key_risks,55_independent_eval,56_monitor_postdeploy,57_autonomous_impact,57_question_type,59_ai_notice,59_question_type,61_adverse_impact,62_disparity_mitigation,63_stakeholder_consult,63_question_type,65_appeal_process,66_no_appeal_reason,67_opt_out,67_question_type
CE Interview Item Code Estimation,Department of Labor,DOL,BLS,Mission-Enabling (internal agency support),N/A,None of the above.,"Custom machine learning model to predict an expense classification category (item code) for expenditures with text descriptions from Consumer Expenditure Interview Survey. Item Code Estimation assists with human function by approximating decision-making. It does not assign categories; it only suggests categories that the economist can then apply if correct, to speed up human review and decision-making. Benefits: improved productivity.",Expense Classification Category,Operation and Maintenance,Neither,10/1/2016,10/1/2016,7/19/2024,,Developed in-house.,N/A,No,N/A,N/A,NO,N/A,No,N/A,Yes,N/A,Agency-internal; expenditure descriptions and corresponding item code assignments,Documentation is complete,None,N/A,Yes,Yes,N/A,Yes,BLS Internal system,Less than 6 months,Yes,N/A,Yes,N/A,Yes,N/A,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Yes,,,,,,,,,,,,,,,,,,
CE Interview Imputations,Department of Labor,DOL,BLS,Mission-Enabling (internal agency support),N/A,None of the above.,"Custom machine learning statistical models to impute missing expenditure values within the Consumer Expenditure Interview Survey when survey respondents answer ""don't know"" or refuse to provide an answer for an amount. The machine learning models are a more modern statistical method for replacing missing data than previous statistical methods. Benefits: improved statistical quality of imputations.","
Imputed expense amounts",Operation and Maintenance,Neither,3/1/2020,3/1/2020,10/20/2024,,Developed in-house.,N/A,No,N/A,N/A,NO,N/A,No,N/A,Yes,N/A,Agency Generated,Documentation is complete,"age, gender, family structure, race, urbanicity, education, primary sampling unit",N/A,Yes,Yes,N/A,Yes,BLS Internal system,Less than 6 months,Yes,N/A,Yes,N/A,Yes,N/A,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Yes,,,,,,,,,,,,,,,,,,
Note taking bot,Department of Labor,DOL,OCIO,Mission-Enabling (internal agency support),N/A,None of the above.,"

The bot will take the transcript and summarize the meeting notes",The output will be a transcript of the meeting and from the transcript summary and action items,Initiated,Neither,10/2/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Determine Occupation Codes from Text (NIOCCS),Department of Labor,DOL,OSHA,Mission-Enabling (internal agency support),N/A,Digitizing text from scanned documents or smart forms for archival purposes using AI.,"The Industry and Occupation Computerized Coding System (NIOCCS), a free tool offered by NIOSH, used to code industry and occupation from text descriptions of job titles. (Public Tool) ",Occupational codes by analyzing job descriptions.,Acquisition and/or Development,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camtasia,Department of Labor,DOL,OCIO,Education & Workforce,N/A,Creating visually appealing presentations using AI-driven design suggestions.,Intended for enhancing screen recordings and video tutorials. Helps users created professional videos quickly.,Videos,Acquisition and/or Development,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adobe Premier Pro,Department of Labor,DOL,OCIO,Mission-Enabling (internal agency support),N/A,Creating visually appealing presentations using AI-driven design suggestions.,"Assists video editors by automating complex tasks such as scene detection, video reframing, and color grading.--- Adobe Premiere Pro incorporates several AI components through its integration with Adobe Sensei, Adobe's artificial intelligence and machine learning platform. These AI-driven features are designed to enhance the video editing process, improve efficiency, and provide creative tools that simplify complex tasks.",Intuitive videos,Operation and Maintenance,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audiate,Department of Labor,DOL,OCIO,Education & Workforce,N/A,Transcribing and summarizing a recorded meeting or interview using AI.,"Audiate primarily uses AI for  Speech-to-text transcription, text-based audio and video editing, AI-generated scripts and audio, text-to-speech conversion, and multilingual translation. ",Text transcriptions from voice recordings.,Acquisition and/or Development,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnagIT,Department of Labor,DOL,OCIO,Education & Workforce,N/A,Digitizing text from scanned documents or smart forms for archival purposes using AI.,"SnagIT provides tools for quickly capturing, editing, and sharing visual content. SnagIt's Optional Character Recognition streamlines the process for extracting and reusing text from images.","Screenshots and screen recordings.  SnagIt AI’s Grab Text
Image Generation
Automatic Captions
Automatic Titles ",Acquisition and/or Development,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook Mobile App,Department of Labor,DOL,OCIO,Mission-Enabling (internal agency support),N/A,Curating news articles and updates based on user preferences using AI.,"AI is not the primary technology of the use case and is not necessary for the use case, but rather a feature within the application that cannot be turned off. The application use case is for PR needs and external communication to the public coming from the Department. ","MetaAI offer search and chatbot assistance with the Facebook application. Ask Meta AI to search topics that matter to you, and get instant results more interactive than just text.",Operation and Maintenance,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google Authenticator Mobile App,Department of Labor,DOL,OCIO,Mission-Enabling (internal agency support),N/A,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition.,"Google Authenticator adds an extra layer of security to your online accounts by adding a second step of verification when you sign in. This means that in addition to your password, you'll also need to enter a code that is generated by the Google Authenticator app on your phone",Large number generation for matching for secure login.,Operation and Maintenance,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google Maps Mobile App,Department of Labor,DOL,OCIO,Mission-Enabling (internal agency support),N/A,Planning travel routes using AI-driven map applications.,"Get there faster with real-time updates
• Beat traffic with real-time ETAs and traffic conditions
• Catch your bus, train, or ride-share with real-time transit info
• Save time with automatic rerouting based on live traffic, incidents, and road closure
• With Live View in Google Maps, see the way you need to go with arrows and directions placed right on top of your world. There’s no second guessing or missing another turn.","Recommendation systems, real-time traffic and route prediction",Operation and Maintenance,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instagram Mobile App,Department of Labor,DOL,OCIO,Mission-Enabling (internal agency support),N/A,Curating news articles and updates based on user preferences using AI.,"Keep up with friends on the fly with Stories and Notes that disappear after 24 hours.
Start group chats and share unfiltered moments with your Close Friends.
Share memories from recent events or trips in Feed.
Turn your life into a movie and discover short, entertaining videos on Instagram with Reels.
Customize your posts with exclusive templates, music, stickers and filters.","NLP, Communications",Operation and Maintenance,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft Authenticator Mobile App,Department of Labor,DOL,OCIO,Mission-Enabling (internal agency support),N/A,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition.,"Use Microsoft Authenticator for easy, secure sign-ins for all your online accounts using multi-factor authentication, passwordless, or password autofill. You also have additional account management options for your Microsoft personal, work or school accounts.","Authentication, random large number generation",Operation and Maintenance,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Periscope Mobile App,Department of Labor,DOL,OCIO,Mission-Enabling (internal agency support),N/A,Curating news articles and updates based on user preferences using AI.,"Periscope the place to show what’s happening in your world, creating vibrant communities and making the app what it was. The Periscope mobile app will be discontinued on March 31, 2021, but live video will live on as an important part of the conversation on Twitter.","NLP, Communications",Operation and Maintenance,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X (formerly Twitter) Mobile App,Department of Labor,DOL,OCIO,Mission-Enabling (internal agency support),N/A,Curating news articles and updates based on user preferences using AI.,"Post content for the world to see and join public conversations
Stay up to date on breaking news and follow your interests
Stay better informed with extra context from Community Notes
Go live with Spaces for audio or stream live video
Communicate privately with Direct Messages","NLP, Communications",Acquisition and/or Development,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragon Naturally Speaking,Department of Labor,DOL,OCIO,Mission-Enabling (internal agency support),N/A,Transcribing and summarizing a recorded meeting or interview using AI.,"Nuance Dragon Naturally Speaking is a software used for diction purposes, you can write any document, email, and use it with any applications using your voice.",NLP: text to voice. Audio output from text input,Operation and Maintenance,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZoomText and ZoomText Professional,Department of Labor,DOL,OCIO,Education & Workforce,N/A,Improving the quality of written communications using AI tools.,ZoomText Magnifier/Reader is a fully integrated magnification and reading program tailored for low-vision users.,Text to speech,Operation and Maintenance,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visual Studio,Department of Labor,DOL,OCIO,Mission-Enabling (internal agency support),N/A,Collaborating in real-time using AI-assisted tools in word processors.,"Visual Studio IDE is a creative launching pad that you can use to edit, debug, and build code, and then publish an app.","Content creation. Can vary depending on the specific tasks and goals of the user. Common outputs include executable applications, libraries, or web applications. --- There are multiple version of it. Visual Studio incorporates several AI components to enhance the development experience for programmers and software engineers. These AI features are primarily aimed at improving productivity, code quality, and collaboration.",Operation and Maintenance,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBYY FineReader,Department of Labor,DOL,OCIO,Mission-Enabling (internal agency support),N/A,Digitizing text from scanned documents or smart forms for archival purposes using AI.,"ABBYY FineReader is an optical character recognition (OCR) system. It is used to convert scanned documents, PDF documents, and image files, including digital photos, into editable formats.","The output of ABBYY FineReader is the extracted and recognized text from the input document. It converts the text into editable formats such as Word documents, Excel spreadsheets, searchable PDFs, or plain text files. Text generation, Image to text ",Operation and Maintenance,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google Earth Pro,Department of Labor,DOL,OCIO,Mission-Enabling (internal agency support),N/A,Planning travel routes using AI-driven map applications.,"Google Earth Pro is a free desktop tool with advanced GIS and mapping features. With this tool, users can create maps, import and export GIS data, and access historical images.","A 3D representation of the Earth's surface, with satellite imagery and aerial photography providing a detailed view of different locations worldwide. --- Create and collaborate on immersive, data-driven maps from anywhere, with the new Google Earth. See the world from above with high-resolution satellite imagery, explore 3D terrain and buildings in hundreds of cities, and dive in to streets and neighborhoods with Street View's 360° perspectives. Image Generation Content creation Graphic Design Automation",Operation and Maintenance,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adobe Creative Cloud and Adobe Product Suite,Department of Labor,DOL,OCIO,Mission-Enabling (internal agency support),N/A,Creating visually appealing presentations using AI-driven design suggestions.,"After Effects - Create cinematic movie titles, intros, and transitions. Remove an object from a clip. Start a fire or make it rain. Animate a logo or character. With After Effects, the industry-standard motion graphics and visual effects software, you can take any idea and make it move.

- > Audition is a comprehensive toolset that includes multitrack, waveform, and spectral display for creating, mixing, editing, and restoring audio content. This powerful audio workstation is designed to accelerate video production workflows and audio finishing — and deliver a polished mix with pristine sound.

- > Bridge is a powerful creative asset manager that lets you preview, organize, edit, and publish multiple creative assets quickly and easily.

- > Captivate is an authoring tool that is used for creating eLearning content such as software demonstrations, software simulations, branched scenarios, and randomized quizzes in HTML5 format.

- > Character Animator uses your expressions and movements to animate characters in real time.

- > Dimension - Create engaging content in 3D faster, with high-quality models, materials, and lighting. Dimension makes it easy to build brand visualizations, illustrations, product mockups, packaging designs, and other creative work.

- >Dreamweaver - Adobe Dreamweaver is a proprietary web development tool from Adobe Inc.

- >  Fuse CC Beta is part of Creative Cloud and comes with Adobe CreativeSync, so your assets are always at your fingertips right when you need them. Save the characters you create in Fuse to your Creative Cloud Libraries and then access them directly within Photoshop to take them further.

- > Illustrator - Edit, composite, and create beautiful images, graphics, and art on desktop and iPad.

- > InCopy - lets copywriters and editors style text, track changes, and make simple layout modifications to a document.

- > InDesign - Design and publish elegant layouts for print and digital.

- > LightRoom - The cloud-based photo service

- > PhotoShop - Edit, composite, and create beautiful images, graphics, and art on desktop and iPad.

- > Premiere Pro is a video editing software for film, TV, the web, creative tools, and integration with other apps and services.

- > XD is a vector-based user experience design tool for web apps and mobile apps.","Various types of creative content such as graphics, videos, websites, and more. --- Adobe Creative Cloud leverages AI through Adobe Sensei to enhance various applications, making creative processes more efficient, accurate, and innovative.",Operation and Maintenance,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autodesk,Department of Labor,DOL,OCIO,Mission-Enabling (internal agency support),N/A,Creating visual representations of data sets for reports and presentations using AI.,Autodesk Civil 3D® design software empowers civil engineers to meet complex infrastructure challenges in a 3D model-based environment.,"Detailed 3D models and visual simulations for civil engineering projects. ---  Autodesk Civil 3D incorporates AI components and features that enhance civil engineering design and drafting processes. These features leverage machine learning and automation to improve productivity, accuracy, and efficiency in tasks related to land development, transportation, and infrastructure projects.",Operation and Maintenance,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Course Design Assistant,Department of Labor,DOL,OCIO,Mission-Enabling (internal agency support),N/A,Improving the quality of written communications using AI tools.,"AI tool to recommend the structure of a course, titles for modules, descriptions, and images. AI-powered algorithms analyze course content and quickly generate test questions and prompts for authentic assessments. (Blackboard/COTS Product, unmodified)","Generated text and images for Course outlines, descriptions, tests/assessments.",Operation and Maintenance,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Webex Meeting Transcription,Department of Labor,DOL,OCIO,Mission-Enabling (internal agency support),N/A,Transcribing and summarizing a recorded meeting or interview using AI.,"Webex has an internal transcription feature that is used to transcribe webinars, though it is reviewed by someone before the transcript is posted.",Real-time transcriptions of spoken words during meetings.,Initiated,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omni Page Ultimate 19,Department of Labor,DOL,OCIO,Mission-Enabling (internal agency support),N/A,Digitizing text from scanned documents or smart forms for archival purposes using AI.,Convert physical documents or image-based text into editable digital text.,"Searchable and editable text from scanned or image-based documents. Object recognition OCR
Document Digitization
Text Recognition",Operation and Maintenance,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tableau Public 2023,Department of Labor,DOL,OCIO,Mission-Enabling (internal agency support),N/A,Creating visually appealing presentations using AI-driven design suggestions.,"Allows users to share data visualizations, providing interactive insights.","Interactive visualizations such as charts, graphs, and dashboards that are easy to interpret and share. Data visualization
Data Classification
Predictive Analytics",Operation and Maintenance,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adobe Acrobat Professional Latest Version,Department of Labor,DOL,OCIO,Mission-Enabling (internal agency support),N/A,Improving the quality of written communications using AI tools.,Streamlines document workflows.,"Text-searchable PDFs, form-filled documents, and automatically structured files. Document management
PDF Text Recognition (OCR)
Document Layout Analysis",Operation and Maintenance,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tableau Creator (Desktop and Prep),Department of Labor,DOL,OCIO,Mission-Enabling (internal agency support),N/A,Creating visual representations of data sets for reports and presentations using AI.,"Enable analysts to connect, prepare, and visualize data.","visual data dashboards, reports, and predictive models. Data Analysis
Predictive Analytics
Data Classification",Operation and Maintenance,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grammarly 14,Department of Labor,DOL,OCIO,Mission-Enabling (internal agency support),N/A,Improving the quality of written communications using AI tools.,"Improve writing by correcting grammar, punctuation, and style errors while suggesting tone adjustments. NLP
Grammar Correction
Tone Detection","Grammatically correct, well-structured, and contextually appropriate text.",Operation and Maintenance,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adobe Creative Cloud with Acrobat Pro Latest Version,Department of Labor,DOL,OCIO,Mission-Enabling (internal agency support),N/A,Creating visual representations of data sets for reports and presentations using AI.,"Intended for enhancing creative workflows by automating repetitive tasks, improving accuracy of search functions, and enabling more advanced image manipulation and video editing. Object recognition
Image Generation
NLP","Images, Videos, Content",Operation and Maintenance,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft Project Office 365,Department of Labor,DOL,OCIO,Mission-Enabling (internal agency support),N/A,Scheduling meetings or appointments or setting reminders using AI.,"Assists project managers in planning, scheduling, and managing resources. Project Scheduling
Task automation
Resource Allocation","Optimized project timelines, resource schedules, and predictive alerts.",Operation and Maintenance,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stata/MP 18,Department of Labor,DOL,OCIO,Mission-Enabling (internal agency support),N/A,Creating visual representations of data sets for reports and presentations using AI.,"Provides advanced statistical tools for data scientists and researchers to analyze large datasets and build predictive models. Statistical modeling
Data Analysis
Predictive Analytics","Statistical analysis reports, regression models, and predative insights based on large data sets.",Operation and Maintenance,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragon Legal Individual (Speech Recognition) ,Department of Labor,DOL,OCIO,Mission-Enabling (internal agency support),N/A,Transcribing and summarizing a recorded meeting or interview using AI.,Helps legal professionals transcribe spoken language into text.,Outputs transcriptions of legal dictations and spoken languages.,Operation and Maintenance,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speechify Text to Speech Voice Reader Chrome Extension 9,Department of Labor,DOL,OCIO,Mission-Enabling (internal agency support),N/A,Transcribing and summarizing a recorded meeting or interview using AI.,Converts written text into natural-sounding speech.,Synthesized speech from written text in various voices and languages.,Operation and Maintenance,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adobe Creative Cloud / Adobe Express AI feature,Department of Labor,DOL,OCIO,Mission-Enabling (internal agency support),N/A,Creating visually appealing presentations using AI-driven design suggestions.,Helps users create visual content quickly through AI-driven automation.,"Graphics, posters, and social media content. Image Generation
Content Creation
Graphic Design Automation",Operation and Maintenance,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westlaw Precision & CoCounsel,Department of Labor,DOL,OCIO,Law & Justice,N/A,Searching for information using AI.,"Helps professionals find relevant case law, statutes, and legal precedents.","Legal documents, case analysis, and predictions for legal outcomes.",Operation and Maintenance,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kurzweil,Department of Labor,DOL,OCIO,Mission-Enabling (internal agency support),N/A,Transcribing and summarizing a recorded meeting or interview using AI.,"Kurzweil 1000 makes printed or electronic text accessible to people with blindness and visual impairments, speaking text aloud in a variety of natural-sounding voices that can be modified to individual preferences.",NLP: text to voice. Audio output from text input,Operation and Maintenance,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft Office Suite,Department of Labor,DOL,OCIO,Mission-Enabling (internal agency support),N/A,Improving the quality of written communications using AI tools.,"Microsoft Office Suite is a collection of productivity software applications developed by Microsoft. It is widely used for various personal, educational, and business tasks","create slideshows combining text, images, and multimedia. creating, editing, and formatting text documents",Operation and Maintenance,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
