usecaseid,usecasename,flexibleselection13,shorttext14,flexselect16,shorttext161,flexibleselection39,richtext18,richtext19,flexselect110,flexibleselection1101,richtext1102,flexibleselection112,flexselect112,shorttext21,shorttext22,shorttext23,shorttext24,flexibleselection25,shorttext26,flexibleselection27,flexibleselection28,flexibleselection42,flexibleselection29,shorttext210,flexibleselection211,flexibleselection212,FlexibleSelection31,richtext441,richtext32,flexibleselection33,flexibleselection34,richtext13,flexibleselection35,flexibleselection36,publiccodelink361,flexibleselection41,systemname42,flexibleselection43,flexibleselection44,shorttext10,flexibleselection45,richtext5111,flexibleselection46,richtext512,flexibleselection47,flexibleselection48,flexibleselection51,rmflexibleselection52,rmflexibleselection53,rmrichtext54,rmflexibleselection55,rmflexibleselection56,rmflexibleselection57,,flexibleselection58,richtext451,flexibleselection59,richtext510,flexibleselection511,richtext461,flexibleselection512,richtextfallbackother,flexibleselection37,richtext14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000109732,CONUS EcoFlows Planning & Prototype,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,"To support development of national-scale ecological-flow response models, a benchmark estimate of typical, long-term unaltered flow conditions is needed as a reference benchmark to evaluate flow departures from ""normal"". This model uses unaltered, near-reference USGS gages from across the US, and associated natural landscape datasets, to predict long-term average monthly flows. These models, trained in near-reference sites, are then used to predict the hypothetical near-reference long-term flow conditions of sites with anthropogenic influences, where we have paired biological datasets. By comparing observed flows to these 'natural' expectations, we calculate flow departures from a 'natural normal' and which is used in later ecological modeling.",Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Implementation and Assessment,Neither,,,2022-10-03 00:00:00,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,"Non-sensitive, mission data describing resource conditions relevant to the condition assessment/prediction question being addressed via AI-ML.","Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000109726,Prioritized Constituents: Sediment,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,"Regional prediction of suspended sediment concentration in unmonitored rivers to characterize sediment transport in the Delaware, Illinois, and Colorado River Basins.",Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Implementation and Assessment,Neither,,,2023-10-02 00:00:00,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,"Non-sensitive, mission data describing resource conditions relevant to the condition assessment/prediction question being addressed via AI-ML.","Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000109725,Avian population estimates from passive acoustic monitoring,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,Reliable estimates of avian abundance from acoustic recordings,Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Acquisition and/or Development,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,Avian acoustic recordings,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000109723,FEMA mixed population flood-frequency analysis,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,Classification of historical floods based on causal mechanisms to support improved estimation of flood reoccurrence intervals,Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Acquisition and/or Development,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000109715,"Nutrient, Salinity, and temperature model development",Department of the Interior ,USGS,Mission-Enabling,,None of the Above,"Multiple projects designed to simulate nutrients (phosphorus and nitrate), temperature, and salinity in streams across the U.S. using machine learning approaches.",see description,No,,,Initiated,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,"Climate, earth science, land use","Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000109714,Data-Driven Streamflow Drought,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,"Prototype streamflow drought forecasts using data-driven, machine learning approaches for USGS gage locations across the continental U.S.",Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Implementation and Assessment,Neither,,,2022-10-03 00:00:00,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000109711,AI/ML for aquatic science,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,"This project aims to develop novel computational frameworks and AI algorithms for individual fish recognition, by leveraging AI, computer vision and deep learning. The main objectives of this project include:
(1) Develop baseline AI models by exploiting visual features and pre-trained deep learning models.
(2) Improve individual fish recognition performance, as well as handling new individuals and exploring dynamic environments.
(3) Evaluate melanistic markings associated with blotchy bass syndrome to assess the capacity for AI detection of diseased fish.
(4) Evaluate deep learning models for individual recognition and respiration rate (ventilate rate) using video data collected in laboratory settings and natural streams.",see description,No,,,Initiated,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,Earth Science,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000109709,National-Extent Groundwater Quality Prediction for the National Water Census and Regional Integrated,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,"The primary objectives of this project are to (1) provide Nationally consistent predictions of groundwater quality (salinity and nutrients) relevant for human and ecological uses and its influence on surface-water, and (2) develop strategies for integrating these predictions into comprehensive water-availability assessments including the National Water Census and regional Integrated Water Availability Assessments.",Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Implementation and Assessment,Neither,,,2021-10-01 00:00:00,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,"Earth Science, Land Use, Climate, Water Quality, Population Density","Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000109681,Use of artificial intelligence tools for optimization and documentation for computer codes,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,"For the USGS National Seismic Hazard Model and other earthquake hazards research, computer codes are needed that implement earthquake rupture forecasts and ground-motion models. This project uses ChatGPT to suggest optimizations and documentation for computer codes.",Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Implementation and Assessment,Neither,,,2023-10-02 00:00:00,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,computer codes,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000109680,Improved earthquake detection for research studies,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,"Deep learning methods are being used to improve detection of earthquakes to provide more complete, high-resolution catalogs that are used in research to better understand earthquake occurrence, rupture processes and seismic hazard.",Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Acquisition and/or Development,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,seismic waveform data,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000109674,NGWOS External R&D - Using advanced computing techniques for image-based monitoring,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,Multiple projects conducting research on AI/ML techniques for image-based water monitoring,Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Acquisition and/or Development,Neither,,2023-11-01 00:00:00,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000109669,Water Use Model Development,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,Goal to develop process-based and machine learning models to estimate multiple categories of water use across the U.S.,Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Implementation and Assessment,Neither,,,2021-10-01 00:00:00,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,Earth Science,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000109665,National Temperature Observations,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,"The objectives of this project are to reduce the burden on Science Centers for the collection, storage, analysis, and processing of quality assurance data with the expectation this will lead to an increase of deployed sensors in the water temperature network. More specifically the project will (1) modify software to allow for  processing and storage of discrete water temperature data collected during streamflow measurements, (2) implement workflows and QA checks in data collection software that supports new temperature policies and procedures (3) create a pilot program to support Science Centers in accomplishing 5-pt temperature checks.",see description,No,,,Initiated,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,Earth Science,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000109619,Downscaling and assimilation of meteorology data for local estimates of irrigation water demand.,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,"   We found that in the context of satellite remote sensing for estimates of crop water use, high-frequency and low resolution gridded meteorological reanalysis data contributes about half the total error in our estimates. This is due to well-documented localized effects of terrain and land use that aren't accounted for in meteorological forcing datasets such as NLDAS-2 or ERA-5. Our work suggests that assimilating local meteorological station data alongside land use and terrain information may improve the accuracy of our estimates of local-scale atmospheric demand (i.e., reference evapotranspiration, a function of temperature, wind speed, humidity, and solar radiation). The relationship between the reanalysis products and observed local meteorology appears complex and non-linear. We've found that using deep learning techniques, including Long-Short Term Memory (LSTM) time series modeling along Graph Neural Networks to assimilate local meteorological observations offers promise to improve our local-scale estimates atmospheric demand, and thus irrigated crop water use. We hope to use the information we've gathered to add value to existing meteorological forcing datasets by developing software that reliably downscales low spatial resolution datasets to make more accurate estimates of irrigation water use. Such a product would be especially useful in areas without the highly-developed meteorology and climatology datasets that are exclusive to the United States, such as PRISM and GridMET.",see description,No,,,Initiated,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000109597,National-Extent Groundwater Quality Prediction for the Integrated Water Availability Assessments,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,"The primary objectives of this project are to (1) provide Nationally consistent predictions of groundwater quality (salinity and nutrients) relevant for human and ecological uses and its influence on surface-water, and (2) develop strategies for integrating these predictions into comprehensive water-availability assessments including the National Water Census and regional Integrated Water Availability Assessments.",Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Implementation and Assessment,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000109595,Building capacity for assessment and prediction of post-wildfire water availability,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,Model development to forecast water quality impacts of wildfires in the western U.S. focused on suspended sediment and salinity,see description,No,,,Initiated,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,Earth Science,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000109568,Mapping sagebrush from drones to satellites,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,"Vegetation maps are critical tools for that are widely used in applications including habitat modeling, evaluating effectiveness of habitat restoration, and understanding the ecological implications of biological invasions. We are using machine learning and imagery from unmanned aerial vehicles (UAV), aircraft, and satellites to extend presence modeling to map fractional cover of sagebrush in the Dakotas, where accurate maps of sagebrush are needed to identify seasonal habitats of sage-grouse for the Bureau of Land Management.",Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Acquisition and/or Development,Neither,,2023-06-07 00:00:00,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000109525,Delineating sub-surface drainage using satellite imager,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,"Knowing subsurface drainage (tile-drain) extent is integral to understanding how landscapes respond to precipitation events and subsequent days of drying, as well as how soil characteristics and land management influence stream response. Consequently, a time series of tile-drain extent would inform one aspect of land management that complicates our ability to explain streamflow and water-quality as a function of climate variability or conservation management.",Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Operation and Maintenance,Neither,,,2023-09-30 00:00:00,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,"A UNet machine-learning model, a convolutional neural network designed to highlight objects of interest within an image, to delineate tile-drain networks in panchromatic satellite imagery without additional data on soils, topography.

Satellite imagery, soils data","Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000109501,Vegetation mapping on the Hawaiian island of Lanai,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,"Creating high-resolution vegetation mapping approach that combines satellite imagery, machine learning, and expert knowledge to accurately classify plant species across the Hawaiian island of Lanai, producing detailed maps that can support conservation planning and monitoring of both native and invasive species.",Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Implementation and Assessment,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,Digital Globe WorldView-2 satellite imagery; airborne imagery collected by EagleView,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000109499,Machine Learning for automatic fracture mapping and rock identification,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,Machine learning algorithms are being used to improve detection and characterization of faulting after major surface rupturing earthquakes and identify and collect imagery of fragile geologic features with application to assessment of earthquake hazards.,Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Acquisition and/or Development,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,Geological field data,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000109497,Reinforcement Learning for Helmholtz Coil Operation and Simulation,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,"The USGS is using AI/ML to optimize performance of its magnetic observatories. For example, reinforcement learning (RL) can significantly aid in the operation of a Helmholtz coil by optimizing its performance in generating uniform magnetic fields.",Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Acquisition and/or Development,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000109496,Deep-learning Integration into NEIC Operations,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,The National Earthquake Information Center (NEIC) is improving its earthquake detection and processing systems by leveraging artificial intelligence and machine learning.,Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Implementation and Assessment,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000109495,Predictions of PFAS Concentrations in Groundwater,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,"A model of PFAS occurrence in groundwater at the depths of public and private drinking water supplies across the CONUS has been created and is expected to receive national attention. The model predicts occurrence of PFAS (detect or non-detect) in 1x1 km grid cells, and leverages the best data available in 2023. By updating this model, the goals are to (1) provide concentration predictions, instead of occurrence predictions, and (2) improve model accuracy owing to a larger set of sample data to train the model with. Concentration estimates would allow for better leveraging of resources to areas with predicted significant impacts.",see description,No,,,Initiated,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,"Well Data, water quality","Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
