2_use_case_name,3_agency,3_abr,4_bureau,8_topic_area,8_question_type,10_commercial_ai,11_purpose_benefits,12_outputs,16_dev_stage,17_impact_type,18_date_initiated,19_date_acq_dev_began,20_date_implemented,21_date_retired,22_dev_method,23_contract_piids,24_hisp_support,25_hisp_name,26_public_service,27_public_info,28_iqa_compliance,29_contains_pii,30_saop_review,31_data_catalog,31_question_type,33_agency_data,34_data_docs,35_demo_features,35_question_type,37_custom_code,38_code_access,39_code_link,40_has_ato,41_system_name,42_dev_tools_wait,43_infra_provisioned,43_question_type,45_compute_request,45_question_type,47_timely_resources,47_question_type,49_existing_reuse,50_internal_review,51_extension_request,52_impact_assessment,53_real_world_testing,54_key_risks,55_independent_eval,56_monitor_postdeploy,57_autonomous_impact,57_question_type,59_ai_notice,59_question_type,61_adverse_impact,62_disparity_mitigation,63_stakeholder_consult,63_question_type,65_appeal_process,66_no_appeal_reason,67_opt_out,67_question_type
ECA Program Management and Outreach - Summarization,Department of State,STATE,R/ECA/EX/IT,Mission-Enabling (internal agency support),N/A,None of the above.,Use approved Large Language Models to create artifacts for leadership as well as visiting legateship utilizing relevant and accurate datasets.,Plan to have draft summaries that will be reviewed by humans.,Planned,Neither,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Storyzy,Department of State,STATE,R/GEC,Other,Synthetic media detection,None of the above.,Improve detected use of synthetic content.- Synthetic content is computer-generated data that mimics real-world data.,Improved outcomes.,Operation and Maintenance,Neither,6/1/2023,7/17/2023,12/1/2023,N/A,Developed with both contracting and in-house resources.,,No,No,N/A,,,No,No,,,Open source data from social media.,No,None,,No,,,N/A,,,,,,,Other,,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Optical Character Recognition - Text Extraction,Department of State,STATE,R/GEC,Diplomacy & Trade,N/A,N/A,Extracted text from images using standard python libraries; inputs were websites to collect data. This project is retired.,N/A This was retired.,Retired,Neither,9/21/2021,9/21/2021,12/21/2021,6/30/2023,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Topic Modeling,Department of State,STATE,R/GEC,Diplomacy & Trade,N/A,N/A,Cluster text into themes based on frequency of used words in documents; was applied to digital media articles as well as social media posts; performed using available Python libraries.  This project is retired.,N/A This was retired.,Retired,Neither,,,,6/30/2023,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Forecasting,Department of State,STATE,R/GEC,Diplomacy & Trade,N/A,N/A,"Using statistical models, projecting expected outcomes into the future; this was applied to COVID cases as well as violent events in relation to tweets. This project is retired.",N/A This was retired.,Retired,Neither,,,,6/30/2023,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Deepfake Detector,Department of State,STATE,R/GEC,Diplomacy & Trade,N/A,N/A,"Deep learning model that took in an image containing a person's face and classifies the image as either being real (contains a real person's face) or fake (synthetically generated face, a deepfake often created using Generative Adversarial Networks). This project is retired.",N/A This was retired.,Retired,Neither,6/21/2021,6/21/2021,9/21/2021,6/30/2023,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SentiBERTIQ,Department of State,STATE,R/GEC,Diplomacy & Trade,N/A,N/A,"Used deep contextual AI of text to identify and extract subjective information within the source material. This sentiment model was trained by fine-tuning a multilingual, BERT model leveraging word embeddings across 2.2 million labeled tweets spanning English, Spanish, Arabic, and traditional Chinese. This project is retired.",N/A This was retired.,Retired,Neither,,,,6/30/2023,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TOPIQ,Department of State,STATE,R/GEC,Diplomacy & Trade,N/A,N/A,"Automatically categorized text into topics for analyst review and interpretation, using Latent Dirichlet Allocation (LDA), to extract topics from documents and then assigned the probability that each document belonged to a topic. This project is retired.",N/A This was retired.,Retired,Neither,,,,6/30/2023,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Text Similarity,Department of State,STATE,R/GEC,Diplomacy & Trade,N/A,N/A,Identified different texts that were identical or nearly identical by calculating cosine similarity between each text. Texts were then grouped if they share high cosine similarity and then available for analysts to review further. This project is retired.,N/A This was retired.,Retired,Neither,,,,6/30/2023,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Image Clustering,Department of State,STATE,R/GEC,Diplomacy & Trade,N/A,N/A,"Used a pretrained deep learning model to generate image embeddings, then used hierarchical clustering to identify similar images. This project is retired.",N/A This was retired.,Retired,Neither,,,,6/30/2023,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Louvain Community Detection,Department of State,STATE,R/GEC,Diplomacy & Trade,N/A,N/A,"Took in a social network and clusters nodes together into ""communities"" (i.e., similar nodes are grouped together). This project is retired.",N/A This was retired.,Retired,Neither,,,,6/30/2023,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fast Text Word Builder,Department of State,STATE,R/GEC,Diplomacy & Trade,N/A,N/A,Fast Text was an AI approach to identifying similar terms and phrases based on a root word. This supported A&R's capability to build robust search queries for data collection. This project is retired.,N/A This was retired.,Retired,Neither,3/15/2023,4/1/2023,4/1/2023,6/30/2023,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Digital Media Analytics Platform,Department of State,STATE,R/GPA/RA,Mission-Enabling (internal agency support),N/A,N/A,Using open-source neural machine translation models to translate global media articles and Department and public foreign social media posts into English. ,Trend analysis,Implementation and Assessment,Neither,11/1/2022,12/1/2022,1/1/2024,N/A,Developed with both contracting and in-house resources.,,,,N/A,,,,,,,,,None,,Yes,"Yes – agency has access to source code, but it is not public.",,,,Less than 6 months,Yes,,Yes,,Yes,,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Geospatial Mapping of Historical Survey Data,Department of State,STATE,R/GPA/RA,Mission-Enabling (internal agency support),N/A,Creating visual representations of data sets for reports and presentations using AI.,Used PowerBI to create an interactive map. Cleaned and collected historical data consisting of all statistically significant results from all Pollfish surveys/tests. This project is retired.,N/A This was retired.,Retired,Neither,1/1/2022,4/1/2022,5/1/2022,12/31/2022,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AI Tools to Enhance PD Workflows,Department of State,STATE,R/GPA/RA,Mission-Enabling (internal agency support),N/A,Improving the quality of written communications using AI tools.,Plan to leverage ChatGPT Licenses to streamline existing Public Diplomacy workflows with AI tools following Department policy.,N/A,Planned,Neither,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LEO - Budget Office Inquiries,Department of State,STATE,WHA/EX,Mission-Enabling (internal agency support),N/A,N/A,Answer questions frequently asked about budget. ,Answers to common questions.,Acquisition and/or Development,Neither,1/30/2024,9/5/2024,5/1/2024,N/A,Developed with both contracting and in-house resources.,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,N/A,N/A,N/A,,,,,,,,Yes,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
