agency,use_case_name,bureau,current_ai_sophistication,omb_ai_classification,stage_of_development,system_name,vendor_name,problem_statement,expected_benefits,system_outputs
DOJ,"Language Translation,  Optical Character Recognition (OCR), Object Detection, Language Detection, Alert Noise Reduction",Department of Justice / FBI,agentic,Natural Language Processing (NLP),c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Redacted for cybersecurity purposes.,AI Service Provider,Autonomous Detection and Monitoring,Increased analytic capability,"Capabilities to support data and analytics, data synthesis, filtering, and linking of open source & threat intelligence."
DOJ,Prisoner Assessment Tool Targeting Estimated Risk and Needs (PATTERN),Department of Justice / OJP,agentic,Agentic AI,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Redacted for cybersecurity purposes.,,The intended use is to predict the risk of recidivism for incarcerated adults.,Addressing the risk of recidivism with appropriate programming and services to reduce the likelihood of reengagement with the justice system.,Recidividism risk calculations.
DOJ,UiPath OCR activity,Department of Justice / USMS,agentic,Generative AI,a) Pre-deployment – The use case is in a development or acquisition status.,,,Errors and delays in manual data interpretation and data entry impact critical events in customer journeys and business process efficiency. UiPath states that it is an automation software that has intelligent document creating capabilities to replace manual processes before and after the reading of the flat file. Some of its stated features are extracting text and allowing entire workflows to take place in a single application with one application license.,"Automating data extraction from various documents and images, thereby increasing efficiency, accuracy, and speed in processes that involve manual data entry and document processing.","Extract and interpret data from a wide range of document types and formats, including images, PDFs, handwriting, signatures, checkboxes, and tables. It is designed to process documents intelligently, using a combination of rules, templates, and specialized or generative language models."
DOJ,Pega GenAI,Department of Justice / USMS,agentic,Generative AI,a) Pre-deployment – The use case is in a development or acquisition status.,,,GenAI is a tool that can help developers generate workflows (code in Pega) faster,Increased developer throughput on the Pega Platform,It generates software that is unique to the Pega program.
DOJ,Intelligent Workflow Optimization,Department of Justice / EOIR,agentic,Natural Language Processing (NLP),a) Pre-deployment – The use case is in a development or acquisition status.,,,"Inefficiencies in agency processes, operations, and workflows.","Recommendations and suggestions to improve various aspects of the workflows, operations, and processes supporting EOIR's mission functions. Improve and optimize EOIR's overall performance of its mission functions.","Recommendations for changing workflows, processes, and operations."
DOJ,Customer Service AI Agent/ChatBot,Department of Justice / EOIR,agentic,Generative AI,a) Pre-deployment – The use case is in a development or acquisition status.,,,Members of the public visiting EOIR's website have trouble locating information on the website.,Improving access to information on the EOIR website.,Suggest EOIR webpage where customer can locate the relevant content or information.
DOJ,AI-Enabled Workflow Automation,Department of Justice / CIV,agentic,Natural Language Processing (NLP),a) Pre-deployment – The use case is in a development or acquisition status.,,,"Office of Immigration Litigation (OIL) faces significant backlogs, with repetitive or frivolous claims slowing progress and foreign-language evidence creating bottlenecks. This initiative uses Natural Language Processing for triage and automate translation to accelerate case processing. It aligns with M-25-21’s innovation and governance principles by improving efficiency while preserving human oversight.","(1) Reduces immigration case backlogs, ensures consistent treatment of claims, and improves responsiveness to federal courts.
(2) Builds on OIL case management systems, United States Citizenship and Immigration Services data feeds, and DOJ translation contract costs.(3) Reduced backlog size; fewer attorney hours per case; translation accuracy benchmarks met. Increase in fraudulent/frivolous and repetitive claims.","Classifications, Automated Translations, Recommendations: case priority classifications, language translations, processing recommendations."
DOJ,Adobe Photoshop,Department of Justice / FBOP,agentic,Generative AI,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Redacted for cybersecurity purposes.,Adobe,"Generative and image enhancement features, selection and workflow improvements.",Better graphics and adjustments of photos for professional quality results.,"Professional quality photos and graphics. Photos are for public-relations or educational, and not used for LE purposes"
DOJ,Parse and Capture Data Submitted by Laboratories to the NFLIS Program,Department of Justice / DEA,agentic,Agentic AI,a) Pre-deployment – The use case is in a development or acquisition status.,,,Collecting and entering information from registrants in the National Forensic Laboratory Information System (NFLIS) program takes considerable time and effort and is prone to human error,"Cost savings, reduced customer wait times, and improved accuracy of reporting.",Extraction of information into a matrix of rows and columns which links identified substances to individual drug exhibits.
DOJ,Managing Document Digital Signatures,Department of Justice / DEA,agentic,Generative AI,a) Pre-deployment – The use case is in a development or acquisition status.,,,"It is currently time-consuming, and challenging, to collect digital signatures from DOJ personnel into one source document. Utilizing AI would intend to manage the document workflow by using a single upgraded storage location with advanced security features.",Saves time and effort by integrating identity verification while reducing the amount of storage required for documents.,"DEA/DOJ digital cloud base signatures can be integrated with an existing AI platform/application.  AI outputs: AI assisted review, automated tagging, custom extractions, agreement summaries and chatbot for user help."
DOJ,Community Outreach Chatbot that Helps the Public Consume Prevention Resources,Department of Justice / DEA,agentic,Agentic AI,a) Pre-deployment – The use case is in a development or acquisition status.,,,"Many citizens may not have the time to explore the copious library of DEA Community Outreach and Prevention Support (CPO) resources. By training AI on these resources, citizens can ask plain language questions and get succinct answers.",Increased usage of drug use prevention resources by citizens. Extends the reach of CPO into communities who have a high risk of drug abuse.,"1. Delivery of DEA publications (digital, hard copies for individuals, and bulk copies for organizations / events); 
2. Connect users with best content fit; 
3. Allow users to request DEA participation in community events; 
4. Increase user skills and understanding to prevent substance use through the generation of answers derived from DEA content; 
5. Connect users with DEA partners that provide content outside of CPO scope."
DOJ,Auditing Diversion Registrant Inventories of Controlled Substances,Department of Justice / DEA,agentic,Natural Language Processing (NLP),a) Pre-deployment – The use case is in a development or acquisition status.,,,"Diversion Investigators regularly conduct accountability audits of Registrants' management of controlled substances in order to detect diversion. Registrants sometimes submit hundreds of pages of invoices, receipts, and logs, which must be reconciled against inventory and movement records to ensure that the audits balance. Diversion Investigators review these and mark them for review if there is non-compliance with regulations, such as missing information or missed signatures. This current workflow relies on manual data entry into spreadsheets, leading to errors, inconsistencies, and excessive investigative time.","Reduces the amount of investigator time per audit by automating the extraction of key fields (e.g., item, quantity, cost, dates) from invoices and auto-populating computation charts.

Standardized extraction and reconciliation eliminates human entry errors and decreases audit reconciliation error rates.

Real-time flagging of discrepancies (e.g., inventory errors, excess sales, mismatched destruction records, possible fraudulent records) hastens the detection of potential diversion.

Frees investigators to focus on high-value investigative activities and field operations, saving thousands in c",Outputs may be data reports to support Diversion Control Division's mission and better serve the registrant community.
DOL,Automatic Data Processing Workflow with Form Recognizer (9130/9178 Reconciliation Project),ETA,agentic,,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",,,,,
DOT,Advanced Research and Testing (ART) Network,"CAIO, Volpe, OST-R",agentic,Agentic AI,Pre-deployment,,,"The ART Network is the shared service environment for AI research and development activities that provides researchers with access to a rapid AI innovation, exploration, development, and sharing platform using secure and approved IT infrastructure.",,The ART Network shared service accelerates AI-enabled research at the Department by providing researchers with direct access to an established platform that contains all available AI tools for that environment rather than making changes to an existing env
DOT,AI Operations Laboratory (OPSLAB),CAIO,agentic,Agentic AI,Pre-deployment,,,"Provides operational AI use case developers with access to shared environments with all OCIO-cleared AI functionality for use case experimentation, development, and initial data and model risk management identification and mitigation.",,The OPSLAB shared service accelerates AI-enabled operational use case development at the Department by providing AI developers  with direct access to an established platform that contains all available AI tools for that environment rather than making chan
DOT,Transportation AI-enabled Network (TrAIN),CAIO,agentic,Agentic AI,Pre-deployment,,,"The TrAIN is the set of shared service environments for operational AI use cases that provides AI developers with a pre-established, secure AI-enabled environments for development, testing and deployment under the Chief AI Officer's compliance and risk ma",,The TrAIN shared service accelerates AI-enabled operational use case deployment at the Department by providing AI developers  with direct access to an established platform that contains all available AI tools for that environment rather than making change
DOT,Predictive Analytics Using Autonomous Track Geometry Measurement System (ATGMS) Data,FRA,agentic,Classical/Predictive Machine Learning,Pre-deployment,,,"Description: Leveraging large volumes of these recursive track geometry measurements to develop and implement automated machine-learning-based processes for analyzing, predicting, and reporting track locations of concern, including those with significant",,"Inspection report that includes the trending of track geometry measures and time to failure (i.e., maintenance and safety limits)."
DOT,Public Comment Analyzer (PCA),OST,agentic,Agentic AI,Deployed,,,"The business goal of this project is to use a powerful language model to analyze public comments. The model will:
•	Categorize comments into different topics
•	Detect the sentiment (positive, negative, or neutral) of the comments
•	Generate summaries of the comments
•	Provide daily updates on the comments
•	Allow secure access to the information",The anticipated benefits are: Improve the accuracy of the analysis; reduction of human analysis required to review all public comments; streamline the process of reviewing comments; keep feedback up to date to help inform decision making. It will allow subject matter experts (SMEs) to more quickly review summaries of the submitted comments and obtain additional details where and as needed. It will also provide SMEs with the general sentiments of public comments,Data is available on Regulations.gov.
FDIC,Trust Document Entity Extraction - LLM,Division of Resolutions and Receiverships,agentic,Natural Language Processing (NLP),a) Pre-deployment  The use case is in a development or acquisition status.,,,"The current trust document review process is labor intensive and may require further reviews by legal experts, hence, prolonging the processing time. By leveraging the use of a Large Language Model to automate the extraction of key information from trust agreements to match and verify customer form input, this will lead to a faster, accurate and efficient workflow for claims specialists.","The current trust document review process is labor intensive and may require further reviews by legal experts, hence, prolonging the processing time.  Using a LLM to automate the extraction of data will reduce manual effort and improve the quality of data extracted from trust documents.","By using the LLM, the extracted data will include key data elements, such as grantor/settler and beneficiaries from Trust Agreements along with the original Trust Agreement, which will be presented to users through an application user interface. This will  automate the extraction of key information from trust agreements to match and verify customer form inputs."
FERC,AI Enabled Assistant Legal Research,FERC,agentic,Generative AI,a) Pre-deployment – The use case is in a development or acquisition status.,N/A,Thomson Reuters,"Addresses streamlining legal workflows by automating research, document analysis, and drafting. It addresses inefficiencies in legal operations and reduces the time required for complex legal tasks.","Enhances productivity, improves accuracy in legal analysis, and supports faster decision-making. It enables legal professionals to focus on high-value strategic work, improves client service, and reduces operational costs.","Outputs include legal research summaries, contract reviews, document annotations, and draft legal content. These are grounded in authoritative sources and subject, by policy, to human validation."
FHFA,Workflow automation and predictive analytics using ServiceNow,OCIO,agentic,Classical/Predictive Machine Learning,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,ServiceNow,ServiceNow,"Help to automate workflows, predictive analytics, and providing intelligent service management solutions.",Efficiency,"ServiceNow utilizes AI for automating workflows, predictive analytics, and providing intelligent service management solutions."
GSA,ASSIST Auto Copy and Summarize,,agentic,Generative AI,a) Pre-deployment - The use case is in a development or acquisition status.,,,"The AI is intended to solve the problem of significant manual effort and time spent on data entry within the end-to-end acquisition workflow, where data is received in various file formats. Currently, data entry per contract typically takes between 45 minutes and one hour, and the proposed solution aims to automate this process to reduce per-contract data entry time by 80%.",,
GSA,Slack AI,,agentic,Generative AI,a) Pre-deployment - The use case is in a development or acquisition status.,,,"The AI is intended to solve the problem of inefficient team communication and productivity by providing AI-powered assistance within the Slack messaging platform. This includes addressing challenges such as managing long message threads, difficulty in finding relevant information, and optimizing workflows, ultimately aiming to reduce the time spent on message management and foster better knowledge sharing within teams.",,
GSA,FAS Vision Agentforce,,agentic,Agentic AI,a) Pre-deployment - The use case is in a development or acquisition status.,,,"The AI, specifically the ""FAS Vision Agentforce"" system, is intended to solve several key customer service challenges by automating and improving operations. Its primary purpose is to efficiently handle customer inquiries, especially routine ones like order status requests, and to automate discrepancy case creation for issues with orders received. By doing so, it aims to alleviate the burden on human customer service representatives, reduce manual processes, and provide quicker, more consistent support to agency customers.",,
GSA,ServiceNow Virtual Agent (Curie),,agentic,Natural Language Processing (NLP),c)  Deployed - The use case is being actively authorized or utilized to support the functions or mission of an agency.,,,This use case is designed for use within GSA to allow employees to research IT issues presenting to their workstation or find a quick answer to an IT procedure.,,
GSA,RPA Cloud Connection,,agentic,Computer Vision,a) Pre-deployment - The use case is in a development or acquisition status.,,,"The AI is intended to modernize the Process Optimization and Automation (PO&A) architecture by integrating the RPA Test environment with a cloud-based AI environment. This aims to automate the extraction and processing of data from unstructured documents such as invoices, receipts, forms, and emails, which typically consume significant manual effort and time. The goal is to streamline document-based workflows and improve overall efficiency in operations.",,
HHS,Discover Financial Business Intelligence System (FBIS) Report Analysis (Sub-CAN Line Items),HHS/ACF,agentic,Agentic AI,b)  Pilot  The use case has been deployed in a limited test or pilot capacity.,ACF Discover,Palantir,"How can spend plans be more real-time and less manual to create and keep up to date?

The data used to create and monitor spend plans are spread across multiple out-of-the-box reports available in FBIS. Combing through them is time-intensive, making it more difficult to keep spend plans up to date in real-time. This task is especially challenging due to the unstandardized nature of sub-CAN (Congressional Appropriation Number) line item descriptions.","More efficient spend plan creation and monitoring.

This AI-enabled tool provides a resource for ACF budget managers to identify related line items across disparate reports in FBIS.","Suggested budget line items related to a user-provided description.

AI is used to both search for relevant data (CANs, categories, and sub-CAN line item descriptions) and aggregate information (e.g. supplier name, document number, total obligations, and user-provided projected costs) to create an up-to-date, real-time spend plan."
HHS,Structuring and Validating Completeness of Case Data Information,HHS/ACF,agentic,Agentic AI,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,ACF Horizon,Palantir,"How can referrals from the Department of Homeland Security (DHS) be more quickly reviewed for critical pieces of information about their parents and the reason for separation?

Since November 2024, when a minor is separated from their parent or legal guardian, the U.S. Customs and Border Protection (CBP) within DHS is required to send certain pieces of information about the parent/legal guardian in accordance with the Ms L vs ICE settlement. CBP send this information in a block of free text and sometimes do not include the required information. Historically, ACF's Office of Refugee Resettlement (ORR)s tracking of required information has been done manually and inconsistently.","More easily searchable and accurate data on family separations

Quicker validation of CBP compliance in essential data sharing for separated families, enabling faster follow-up as needed to receive any missing data points","Structured data asset of  the critical data points needed about a separation case.

AI is used to conduct initial parsing of the data provided by CBP and highlight whether or not the required fields from the Ms L vs. ICE settlement are included and can therefore be updated into the child's profile in ORR's data system.  ORR's Intakes Team does final review and in cases where data appears to be missing, the ORR Intakes Team reaches back out to CBP for that information."
HHS,Unaccompanied Children Program Policy & Procedure Research Tool,HHS/ACF,agentic,Agentic AI,b)  Pilot  The use case has been deployed in a limited test or pilot capacity.,ACF Horizon,MIT Lincoln Labs,"How can the Office of Refugee Resettlement (ORR) research the laws, standards, policies, and procedures applicable to monitoring visits more quickly while maintaining thoroughness?

The Office of Refugee Resettlement (ORR) conducts monitoring visits at least monthly to ensure that care providers meet minimum standards for the care and timely release of unaccompanied children, and that they abide by all Federal and State laws and regulations, licensing and accreditation standards, ORR policies and procedures, and child welfare standards. If ORR monitoring finds a care provider to be out of compliance with requirements, ORR issues corrective action findings and requires the care provider to resolve the issue within a specified time frame. Compliance determination involves research into the various laws, standards, policies, and procedures.","Faster issuance of well-informed corrective action findings

The goal of the  UC Program Policy & Research Tool is to speed up this process as children's health and well-being may be impacted before a corrective action finding is issued and the issue is resolved. The UC Program Policy & Procedure Research Tool speeds up research of relevant laws, standards, policies, and procedures content curated and approved by ORR's policy team. This research is one part of the process that informs ORR's monitoring team's decisions on whether corrective actions are needed and if so, what corrective actions.","Initial assessment of whether a care provider is in compliance with applicable laws, standards, policies, and procedures applicable to the care of unaccompanied children, with an explanation of evidence pulled from monitoring visit reports and the policy documents and accurate citations.

 AI is not used to suggest corrective actions but rather support determination of whether care providers are in compliance."
HHS,Head Start Correspondence Categorizer,HHS/ACF,agentic,Agentic AI,a) Pre-deployment  The use case is in a development or acquisition status.,,,"How can regional management and program specialists with large grant workloads keep track of all the correspondence being received by staff in their regional offices?

The Office of Head Start's (OHS) program specialists receive correspondence through the Head Start Enterprise System (HSES) for a variety of topics. Many of the requests, questions, and reports are tracked to completion in another system that has more robust alerting and workflow management capabilities. OHS is automating the data transfer between these two systems, introducing a data processing step that helps categorize correspondence.","More efficient tracking of correspondence. 

The AI categorization of correspondence can help managers and program specialists more quickly identify correspondence that require more immediate action.",#NAME?
HHS,Builder Buddy,HHS/ACF,agentic,Agentic AI,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,ACF Credal,Credal,"How can ACF staff more readily develop their own tailored virtual assistants on our enterprise genAI platform?

ACF's enterprise generative AI platform gives users the tools to create their own tailored virtual ""agents"" to assist with more specialized tasks specific to a user's work. Users do not need to code to build these virtual assistants but do have to provide adequate context and instructions. Builder Buddy lets users draft a virtual assistant through describing their needs and providing context in a natural conversational manner as an alternative to a form-based builder interface.","More ACF staff feel empowered and equipped to configure their own tailored virtual assistants, increasing the usefulness of LLMs beyond basic chat

Tailored virtual assistants allow ACF staff to leverage LLMs in repeated workflows, reducing administrative burden and allowing staff to focus on higher-order analysis.",Draft virtual assistant configurations that users then further test and iterative on before deployment.
HHS,Grant management support: structuring information in applications,HHS/ACF,agentic,Agentic AI,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,"ACF Upstream, ACF Credal","Palantir, Credal","How can ACF staff more efficiently review grant applications that have non-standardized formats?

Grant applications for ACF-funded programs can come in different formats, even when a standard set of questions or template is provided. ACF staff evaluating applications look for explanation and details to assess against pre-established evaluation criteria. Going back-and-forth across an application to find the relevant explanation can be time intensive, especially for applications that include multiple documents spanning 50+ pages.",Increased efficiency of review so that more time can be spent on grant application analysis and evaluation,"Varies, depending on the program office. Outputs generally involve summarizing information, extracting key information into a specific format, flagging potential gaps or inconsistencies, and providing citations / page numbers to support follow-up review and validation. 

In all cases, AI is only used to support review of grant applications but does not make any final determinations for awards."
HHS,Automating LIMS Bioinformatics Workflow Configuration and Enhancing Lab Quality Management with AI,HHS/CDC,agentic,Generative AI,b)  Pilot  The use case has been deployed in a limited test or pilot capacity.,,,"Configuring and customizing bioinformatics workflows in Clarity LIMS is time-consuming and requires specialized expertise. The AI tool automates this process, enabling rapid deployment and lowering the barrier for laboratory staff. It also improves access to quality management and regulatory documentation.","The system can reduce the time required to configure Clarity LIMS workflows, enable rapid deployment during outbreaks, lower the expertise needed for workflow customization, and enhance team learning and training by providing easy access to relevant documentation and best practices.",The AI system converts natural language lab protocols into precise XML workflows compatible with Clarity LIMS and serves as an interactive knowledge base for laboratory quality management and regulatory documentation.
HHS,Automating the distribution of CDC-State Department cables using AI models in the Global Health Center,HHS/CDC,agentic,Agentic AI,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,Microsoft,N/A,"The output from the AI system is the automated and timely distribution of CDC-State Department cables. It delivers accurate, formatted messages directly to the intended recipients within seconds, ensuring fast and reliable communication without manual intervention.","This AI use case reduces cable distribution time from 24 hours to 30 seconds, greatly speeding up communication. It saves staff time, improves accuracy, and helps the CDC respond faster to health threats, supporting its mission to protect public health effectively.","The output from the AI system is the automated and timely distribution of CDC-State Department cables. It delivers accurate, formatted messages directly to the intended recipients within seconds, ensuring fast and reliable communication without manual intervention."
HHS,AI-Powered web scanner for digital surveillance of rabies-related news articles,HHS/CDC,agentic,Agentic AI,b)  Pilot  The use case has been deployed in a limited test or pilot capacity.,,,"US travelers to international destinations are often exposed to rabies, and in some cases have died upon return to the US. Accurate and early identification of rabies outbreaks can help inform US travelers pre-travel healthcare and vaccine decisions. Unfortunately, surveillance for and transparency of rabies outbreaks in international settings is unreliable and rarely reported through official government channels.","This scanner offers a low-resource method of scanning media for evidence of rabies outbreaks that jeopardize US traveler's health, faster and more reliably than relying on formal notifications or announcement from foreign governments.","Daily automated compilation of news reports with potential outbreaks, high-risk rabies exposures, species involvement, etc."
HHS,Agentic RAG Chatbot,HHS/CDC,agentic,Agentic AI,a) Pre-deployment  The use case is in a development or acquisition status.,,,"The creation of accurate, detailed, and factually-grounded draft responses to public inquiries takes a large amount of time and could benefit from assistance from LLMs. Because of how complex the responses to the inquiries can be, LLMs alone did not perform well enough to be useful in production, so we decided to build a more advanced chatbot that uses a small team of agents to refine the inquiries, decide what source data to use for grounding, and generate higher-quality draft responses to the inquiries that staff can use as a starting place for writing their replies.","Time savings, especially when programs are overwhelmed by acute increases in the volume of inquiries they receive after publishing a new guideline or regulation is the primary expected benefit.","Draft responses to an inquiry to serve as a base for staff. The inquiry draft will follow all CDC public health research, data, and recommendations based on the best science currently available. Inquiry responses will go through a separate agency review process prior to release."
HHS,Data Standardization with LLM,HHS/CDC,agentic,Agentic AI,a) Pre-deployment  The use case is in a development or acquisition status.,,,"The purpose of this project is to enhance data standardization efforts by leveraging large language models. to improve data cleaning and standardization processes, ultimately enhancing the overall efficiency and accuracy of data","Improve data cleaning and standardization processes within our data systems. ?
Enhance the accuracy and reliability of data stored.
Streamline workflows by automating certain tasks related to data cleaning and standardization. ?

More specifically, the ultimate scope of this project includes integrating  into the existing infrastructure of FluLIMS. The  data as well as rules . For example, sometimes we have misspelled locations or various ways of referring to the same place (i.e., ATL vs Atlanta) and we would like to standardize that. ?
By implementing this proposed project, we anticipate sign",This would result in a higher quality dataset with increased standardization and increasing usability of the insights for staff.
HHS,PPE Concerns Copilot,HHS/CDC,agentic,Natural Language Processing (NLP),a) Pre-deployment  The use case is in a development or acquisition status.,,,"The PPE Concerns Mailbox received inquiries that NIOSH/NPPTL staff must review and respond to. To date, over 10,000 questions have been received with answers provided. Responding to an inquiry requires a multi-step process that staff must complete manually, including
	Reading the inquiry
	Logging the inquiry and information about the inquiry and inquirer in an Excel spreadsheet
	Searching through the spreadsheet of past questions
	Reviewing prior responses for relevance
	Drafting a reply based on similar previous responses or researching and composing a new answer from scratch if no match is found
	Sending response to additional staff if further subject matter expert review is needed
	Obtaining Executive Leadership review and approval, if needed
	Updating the spreadsheet with the finalized response, reply date, and staff who assisted with the response
This process can be time-con","The Copilot could handle the initial stepsreviewing the question, searching past responses, and drafting a replywhich currently take the most time. For straightforward or simple, repeat questions, this could reduce staff time from 3060 minutes to under 10 minutes, with staff only needing to review and finalize the AI-generated draft. Even for more complex inquiries, having a well-structured starting point and a searchable interface would significantly cut down manual effort and improve turnaround time across the board.
Additionally, the Copilot would improve time savings when a new staff me","The Copilot will analyze incoming questions, search the existing dataset for relevant responses, and generate draft replies for human review. After staff revise and approve the response, the Copilot will assist by sending the finalized email to the submitter and updating the spreadsheet with the new question-and-answer (Q&A) pair and supporting information."
HHS,CSB MCP AI,HHS/CDC,agentic,Agentic AI,a) Pre-deployment  The use case is in a development or acquisition status.,,,Reduce required manhours and improve accuracy of reports on CSB infrastructure and by assisting infrastructure administrators with tasks and duties.,"Expected to generate reports for and answer questions posed by senior staff about CSB infrastructure, improving accuracy and freeing infrastructure administrators from these tasks. Assist infrastructure administrators with tasks and duties, improving accuracy and completion time.","Reports, infrastructure code generation, and task execution."
HHS,Support for MCP and AI APIs in Digital Gateway,HHS/CDC,agentic,Agentic AI,a) Pre-deployment  The use case is in a development or acquisition status.,,,"Digital Gateway (CDC's API Platform) can support MCP and AI APIs. Given MCPs are a new addition to the ecosystem, the goal is to explore what it takes to implement MCPs internally.","Centralized Management: The Digital Gateway can act as a centralized point for managing interactions between AI agents and MCP servers. This simplifies the integration process and ensures consistent policy enforcement across all tools and data sources.

Enhanced Security: By routing all requests through the Digital Gateway, the CDC can enforce security policies, access controls, and rate limiting. This helps protect sensitive health data and ensures compliance with regulatory requirements.

Improved Data Governance: The Gateway can provide visibility into data usage and interactions, helping t",The output will be a test Model Context protocol. This will be an internal server which will have access to public only data to support future development of the related Digital Gateway infrastructure for future potential MCPs and APIs.
HHS,OFR Robotics and Process Automation (ORPA),HHS/CDC,agentic,Agentic AI,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,UIPath,UIPath,Reduction in human workload and increase in quality through automation of repetitive tasks.,"Multiple Robotics and Process Automation (RPA) bots are in use.  Most are simple automations of basic tasks (conversation of documents/file management). The two most significant bots focus on automating the sorting and distribution of thousands of invoices annually (Invoice Mailbox Management) and conducting government purchase card use validations monthly (PCARD Line Item Review).  The result of the two bots are greater consistency/quality in the outputs and a reduction in human workload.

The Invoice Mailbox Management bot processes >15,000 emails annually and the PCARD Line Item Review bot ","The Invoice Mailbox Management bot creates PDF files with the email and attached invoices/documentation into consolidated files for further processing by staff for payment into UFMS.

The PCARD Line Item Review bot generates a list of transactions (from the full list of CitiBank credit card transactions) that have met specific business rules and may be a potential policy violation or need additional attention.  The output also includes policy references and notes (specific to the transaction) to aid the reviewer in determining the next course of action for each item."
HHS,FERRET,HHS/CDC,agentic,Agentic AI,a) Pre-deployment  The use case is in a development or acquisition status.,,,High throughput processing of unstructured data necessary for mandated reporting.,"Usage of programs to automate identification, extraction, and re-structuring of data will significantly decrease human involvement and processing time. Once deployed the time savings is anticipated to be on the scale of weeks to months.",Structured data deposited into a SQL database.
HHS,Federal Select Agents Program (FSAP) Customer Agent,HHS/CDC,agentic,Natural Language Processing (NLP),b)  Pilot  The use case has been deployed in a limited test or pilot capacity.,Microsoft,,"FSAP users need support on the use of the FSAP system. Completing forms, managing entities, agents, and toxins. Updating permits, correcting data, conducting inspections, and related activities. The FSAP Customer Agent will provide answers to questions as users navigate the FSAP process.",Support will be provided to users without additional staffing requirements. Users will get fast and accurate solutions to questions instantly.,The output is text via an LLM which is trained on operations and management data. Output is via a both a chat window or copilot for internal use.
HHS,CDC Vault and Stacks Metadata Extraction,HHS/CDC,agentic,Agentic AI,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,EDAV (Enterprise Data Analytics and Visualization Platform),N/A,"We are attempting to speed up the process of generating a digital metadata record for objects that will be curated and stored into either CDC Public Access Platform (Stacks) or CDC Vault.   These two systems are built using the same software stack but one is for public data and the other is for non-public data.   To create a metadata record solely with a human, the process takes about an hour per document.   We are looking to improve the process to use AI to prepare the metadata record and reduce the human time to under 5 minutes.  A secondary objective is to have a non-human process for the non-public data that will go into CDC Vault.","There are two primary paths and uses for the AI assisted pre-processing.   The first is to improve the speed and effectiveness of human catalogers/librarians.  Long term, we need to be able to process more data and require AI to improve this process so that humans are only working on critical steps and validation of the AI.  This process is going from 60 minutes per document to <5 minutes per document. The second is to process federal records prior to a record being entered into CDC Vault and copied to NARA. This process will not have a human review as the final disposition is not public but w","The AI will return up to 41 metadata elements (eg Title, Author, Subject, Description, Funding Source, Geographical Local)."
HHS,Agent/Broker Fraud Analysis (ABCQI),HHS/CMS/CCIIO,agentic,Classical/Predictive Machine Learning,a) Pre-deployment  The use case is in a development or acquisition status.,,,"(Marketplace) Agents and brokers support the consumer enrollment and eligibility process. Because of this, they have learned the intricate details of the Federally-facilitated Exchange (FFE) for accessing applications, submitting eligibility determinations, and adding enrollments to their line of business, opening up the possibility of fraud.",Implement Machine Learning (ML) to identify potential fraud/waste/abuse within Agent/Broker data.,"Reduce waste, fraud, and abuse"
HHS,Chatbot within Hub,HHS/CMS/CCIIO,agentic,Classical/Predictive Machine Learning,a) Pre-deployment  The use case is in a development or acquisition status.,,,"(Other) Currently the following help support activities are handle by a human:
- Personalized FAQ?s
- Clarify questions with schema and onboarding, etc.
- Handle ""Where is 'My file' or 'My Request'?"" inquiries
- Provide a ""Talk to Agent"" feature
- Schedule a testing window
- Provide data summarization and reporting for internal stakeholders
- Report operational health of the system
- Include training materials, Q/A about the system","Build a chatbot that will address some help support activities through:
1. Access to Internal Knowledge base Including retrieval augmented generation (RAG)
2. Personalized FAQs & contextual generation
3. Interaction with Live Agent
4. Chat & Talk Feature
5. Ability to query custom data source for File or Case status",Help support team in day-to-day communication with external partners
HHS,CCSQ Now Assist for CSM,HHS/CMS/CCSQ,agentic,Generative AI,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,Quality Service Center (QSC),,"CCSQ Now Assist for CSM (Customer Service Management) is a product inside ServiceNow (SaaS).  It integrates Gen AI with CSM, and uses Now LLM (ServiceNow native Large Language Model) to generate contents based on machine learning (ML).  Now Assist for CSM helps agents to improve productivity and efficiency and deliver better services.    Improve agents' responsiveness and productivity * Quickly get familiar with a case/chat by getting case/chat summarization * Quickly resolve the case by using auto-generated resolution notes.","CCSQ Now Assist for CSM (Customer Service Management) is a product inside ServiceNow (SaaS).  It integrates Gen AI with CSM, and uses Now LLM (ServiceNow native Large Language Model) to generate contents based on machine learning (ML).  Now Assist for CSM helps agents to improve productivity and efficiency and deliver better services.    Improve agents' responsiveness and productivity * Quickly get familiar with a case/chat by getting case/chat summarization * Quickly resolve the case by using auto-generated resolution notes.",Agents have quick access to  - Case summarization - Chat and agent hand-off summarization - Resolution Notes Generation
