slug,agency,ai_use_case,unit_counted,population,org_scope,stratum,confidence,reasoning,audit_verdict,audit_reasoning
fca-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,FCA,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",employees,office_staff,unknown,general,low,"""Various"" tool, headcount not reported; generic meeting-accessibility/captioning task defaults to general office productivity.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
fca-using-ai-assisted-tools-in-word-processors,FCA,Using AI-assisted tools in word processors.,employees,office_staff,unknown,general,low,"""Various"" tool, headcount not reported; generic word-processing AI-assist task defaults to general office productivity.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
fcc-logging-and-analyzing-time-spent-on-tasks-using-ai-powered-time-management-tools,FCC,Logging and analyzing time spent on tasks using AI-powered time management tools.,employees,occupation:developers,component,technical,medium,"AWS Q Developer is a coding assistant; its users are developers, not a general single component.",override,"Fable audit 2026-07-05: AWS Q Developer is a coding assistant; its users are developers, not a general single component."
fcc-summarizing-the-key-points-of-a-lengthy-report-using-ai,FCC,Summarizing the key points of a lengthy report using AI.,employees,all_staff,enterprise,general,medium,"M365 Copilot report summarization is general chat functionality; band 101-1000 at 1,500 headcount suggests broad agency-wide adoption.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
fdic-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,FDIC,Creating visual representations of data sets for reports or presentations using AI.,employees,office_staff,enterprise,excluded_not_seats,medium,"Power BI/Tableau AI-assisted charting is an embedded BI feature spanning the whole agency, not an AI seat; consistent with Viva/ServiceNow treatment.",override,"Fable audit 2026-07-05: Power BI/Tableau AI-assisted charting is an embedded BI feature spanning the whole agency, not an AI seat; consistent with Viva/ServiceNow treatment."
fdic-editing-images-videos-or-other-public-affairs-materials-using-ai,FDIC,"Editing images, videos, or other public affairs materials using AI.",employees,unknown,enterprise,comms,low,"Narrative says ""public affairs materials"" (comms-specific), but the band (5,001-10,000) is close to or exceeds FDIC's entire ~6,300 headcount -- implausible for a narrow comms team, suggesting the band reflects a broader Adobe/Copilot license pool.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
fdic-planning-travel-routes-using-ai-driven-map-applications,FDIC,Planning travel routes using AI-driven map applications.,employees,all_staff,enterprise,excluded_not_seats,medium,"Direct match to the Google/Apple Maps worked example -- ambient consumer map AI, excluded from seat strata regardless of employee/public read.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
fdic-summarizing-the-key-points-of-a-lengthy-report-using-ai,FDIC,Summarizing the key points of a lengthy report using AI.,employees,office_staff,enterprise,excluded_not_seats,medium,"Power BI summarization is an embedded BI feature, not an AI seat; consistent with the visualization row.",override,"Fable audit 2026-07-05: Power BI summarization is an embedded BI feature, not an AI seat; consistent with the visualization row."
ferc-finding-and-booking-travel-accommodations-using-ai-powered-platforms,FERC,Finding and booking travel accommodations using AI-powered platforms.,employees,office_staff,enterprise,excluded_not_seats,medium,Consistency: Concur booking features are excluded per the EPA SAP Concur precedent.,override,Fable audit 2026-07-05: Consistency: Concur booking features are excluded per the EPA SAP Concur precedent.
ferc-planning-travel-routes-using-ai-driven-map-applications,FERC,Planning travel routes using AI-driven map applications.,employees,unknown,unknown,excluded_not_seats,medium,"Google/Apple Maps band 1-100 is small relative to FERC's 1,500 headcount, plausibly staff travelers' own phones rather than a public/device count, but still consumer ambient AI excluded from the seat model per worked example 3.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
fhfa-managing-and-prioritizing-internal-service-or-help-desk-tickets-using-ai,FHFA,Managing and prioritizing internal service or help desk tickets using AI.,employees,single_component,component,excluded_not_seats,medium,"""Managing and prioritizing"" tickets describes an active IT/help-desk function rather than the general employee population filing tickets; small 1-100 band fits a single help-desk team, and ServiceNow Now Assist here is a narrow ops tool, not a general-purpose prompting seat.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
flra-editing-images-videos-or-other-public-affairs-materials-using-ai,FLRA,"Editing images, videos, or other public affairs materials using AI.",employees,occupation:comms,component,comms,high,"Vyond is an animated-video tool used for ""public affairs materials""; band (1-100) fits a small PA/comms team within FLRA's ~120-person agency.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
frb-editing-images-videos-or-other-public-affairs-materials-using-ai,FRB,"Editing images, videos, or other public affairs materials using AI.",employees,occupation:comms,component,comms,medium,"Narrative explicitly names ""public affairs materials,"" a comms-shop function; small 1-100 band at a 3,000-employee agency is consistent with a single PA team rather than enterprise-wide access.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
frb-generating-code-using-ai,FRB,Generating code using AI.,employees,occupation:developers,component,technical,low,"Narrative is explicit code generation and lists a ""Generative Coding Assistant"" distinct from the chatbot products, so developers/technical follows the population-overrides-product rule; but the 1001-5000 band is identical to FRB's unrelated drafting/summarizing/search rows built on the same ""Chatbots"" license pool, so it likely overstates true developer headcount at a 3,000-employee agency.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
frb-summarizing-the-key-points-of-a-lengthy-report-using-ai,FRB,Summarizing the key points of a lengthy report using AI.,employees,all_staff,enterprise,general,medium,Same shared chatbot deployment and 1001-5000 band as FRB's other general-purpose rows.,agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
ftc-summarizing-the-key-points-of-a-lengthy-report-using-ai,FTC,Summarizing the key points of a lengthy report using AI.,employees,occupation:attorneys,component,legal,medium,"Relativity Technology Assisted Review is an eDiscovery/legal-review tool (alongside Copilot); per the population-overrides-product rule this is legal/attorneys work, similar to worked example 4.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
gsa-editing-images-videos-or-other-public-affairs-materials-using-ai,GSA,"Editing images, videos, or other public affairs materials using AI.",employees,all_staff,enterprise,general,medium,"Band 10,000-50,000 at a 12,500-headcount agency is far larger than any plausible public-affairs/comms team, indicating GSA reported its enterprise-wide Gemini for Google Workspace license count on this row rather than a task-specific figure; the population (nearly the whole agency) overrides the comms-sounding narrative, so this reads as the general enterprise chat rollout.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
gsa-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,GSA,"Generating first drafts of documents, briefing, or communication materials using AI.",employees,all_staff,enterprise,general,medium,"Same ""Gemini for Google Workspace"" / 10,000-50,000 band pattern repeated across multiple GSA rows (12,500 headcount) — reads as the enterprise-wide Workspace Gemini deployment counted per task rather than task-specific headcount.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
gsa-planning-travel-routes-using-ai-driven-map-applications,GSA,Planning travel routes using AI-driven map applications.,employees,all_staff,enterprise,excluded_not_seats,high,"""Google Maps on GFE by individual users"" for travel-route planning matches worked example 3 directly — consumer ambient map AI on staff-issued phones, not an AI work seat, despite the large enterprise-wide band.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
gsa-summarizing-the-key-points-of-a-lengthy-report-using-ai,GSA,Summarizing the key points of a lengthy report using AI.,employees,all_staff,enterprise,general,medium,"Same ""Gemini for Google Workspace"" / 10,000-50,000 band as the other GSA general-chat rows — reads as the enterprise-wide rollout count, not a task-specific figure.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
gsa-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,GSA,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",employees,all_staff,enterprise,general,medium,"Same ""Gemini for Google Workspace"" / 10,000-50,000 band pattern as the other GSA rows citing that product — enterprise-wide rollout, not task-specific.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
gsa-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,GSA,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,devices_endpoints,unknown,enterprise,excluded_not_seats,high,"""Face recognition for GFE phones"" is a per-device biometric feature, not a person-seat, per the instructions' explicit device/biometric exclusion.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
gsa-using-ai-assisted-tools-in-word-processors,GSA,Using AI-assisted tools in word processors.,employees,all_staff,enterprise,general,medium,"Same ""Gemini for Google Workspace"" / 10,000-50,000 band pattern as the other GSA rows citing that product — enterprise-wide rollout, not task-specific.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
hhs-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,HHS,Creating visual representations of data sets for reports or presentations using AI.,employees,office_staff,component,general,medium,"""Creating visual representations of data sets for reports or presentations"" is a broad drafting/analysis task; band (1,001-5,000) is only ~1-6% of HHS's 80,000 headcount, reading as a component-level Tableau/Copilot rollout rather than enterprise-wide.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
hhs-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,HHS,"Generating first drafts of documents, briefing, or communication materials using AI.",employees,all_staff,enterprise,general,high,"Matches the EPA worked example directly -- ""first drafts of documents"" via Microsoft 365 Copilot/ChatGPT at a band up to 50,000 of HHS's 80,000 staff signals a broad enterprise chat/drafting rollout.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
hhs-identifying-and-cataloging-items-in-a-storage-room-using-ai-driven-image-recogni,HHS,Identifying and cataloging items in a storage room using AI-driven image recognition.,employees,unknown,component,excluded_not_seats,low,"Ambiguous whether the 101-1,000 count is storage staff or items scanned; ""identifying and cataloging items in a storage room"" is an operational/logistics task with no clear person-seat stratum.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
hhs-improving-the-quality-of-written-communications-using-ai-tools,HHS,Improving the quality of written communications using AI tools.,employees,all_staff,enterprise,general,high,"Grammarly/M365 Copilot/ChatGPT writing-quality assistance at a 10,000-50,000 band (of 80,000 headcount) mirrors the EPA drafting example -- broad general chat/productivity rollout.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
hhs-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,HHS,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",devices_endpoints,unknown,enterprise,excluded_not_seats,high,"Direct match to the DOE CrowdStrike/Defender worked example -- endpoint security agents counted per-device, not per-employee AI seat.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
hhs-planning-travel-routes-using-ai-driven-map-applications,HHS,Planning travel routes using AI-driven map applications.,employees,all_staff,enterprise,excluded_not_seats,medium,"Direct match to the Google/Apple Maps worked example -- ambient consumer map AI, not a work AI seat regardless of employee/public read.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
hhs-prioritizing-and-categorizing-incoming-emails-using-ai,HHS,Prioritizing and categorizing incoming emails using AI.,employees,office_staff,component,general,medium,"Outlook/M365 Copilot email triage is a productivity feature; band is only ~6-12% of HHS's 80,000 headcount, suggesting a licensed subset rather than enterprise-wide.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
hhs-searching-for-agency-information-using-a-knowledge-retrieval-system,HHS,Searching for agency information using a knowledge retrieval system.,employees,all_staff,enterprise,general,high,"Enterprise knowledge search via M365 Copilot Chat/ChatGPT/ServiceNow at up to 50,000 of 80,000 staff is a broad general chat/search rollout, matching the EPA-style pattern.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
hhs-summarizing-the-key-points-of-a-lengthy-report-using-ai,HHS,Summarizing the key points of a lengthy report using AI.,employees,all_staff,enterprise,general,high,"Broad band (up to 50,000 of 80,000) dominated by general chat tools (M365 Copilot, ChatGPT, Claude) makes this an enterprise-wide general AI deployment despite a few specialized literature tools (Cortellis, scite.AI) mixed in.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
hhs-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,HHS,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",employees,all_staff,enterprise,general,high,"Teams/M365 Copilot/Otter.ai meeting transcription at a 10,000-50,000 band is an enterprise-wide productivity feature.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
hhs-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,HHS,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,devices_endpoints,unknown,enterprise,excluded_not_seats,high,"Face/biometric device unlock (Apple Face ID, Windows Hello) counts phones/devices, not AI work seats.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
hhs-using-ai-assisted-tools-in-word-processors,HHS,Using AI-assisted tools in word processors.,employees,all_staff,enterprise,general,high,"Word/M365 Copilot/Grammarly at a band up to 50,000 of 80,000 staff is a broad general-purpose drafting rollout.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
hud-summarizing-the-key-points-of-a-lengthy-report-using-ai,HUD,Summarizing the key points of a lengthy report using AI.,employees,single_component,component,general,medium,Same narrow Copilot pilot pattern.,agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
nasa-finding-and-booking-travel-accommodations-using-ai-powered-platforms,NASA,Finding and booking travel accommodations using AI-powered platforms.,employees,single_component,component,general,low,"AWS Bedrock powering a travel-booking tool is unusual — likely an internal admin/travel-office build (band 1-100 of 18,000); low confidence on exactly which office/staff use it.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
nasa-generating-code-using-ai,NASA,Generating code using AI.,employees,occupation:developers,enterprise,technical,high,"Alteryx/Azure/Windsurf — Windsurf is a coding assistant — clearly a developer tool; band 1001-5000 of 18,000 is consistent with NASA's large engineering workforce.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
nasa-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,NASA,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,devices_endpoints,unknown,enterprise,excluded_not_seats,high,"Apple Face ID phone-unlock counts devices, not people with an AI seat, matching the worked-example pattern; band 5001-10,000 is plausible as device count across NASA's large workforce.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
ncua-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,NCUA,Creating visual representations of data sets for reports or presentations using AI.,employees,office_staff,unknown,general,low,"Report visualization is a general drafting task, but commercial_product is just ""Various"" with no linked product or headcount to check plausibility against, so scope/population are uncertain.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
ncua-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,NCUA,"Generating first drafts of documents, briefing, or communication materials using AI.",employees,office_staff,unknown,general,low,"Document drafting is a general chat task, but ""Various"" gives no specific product or scope signal.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
ncua-improving-the-quality-of-written-communications-using-ai-tools,NCUA,Improving the quality of written communications using AI tools.,employees,office_staff,unknown,general,low,"Writing-quality assistance is general productivity AI; ""Various"" product with no headcount leaves scope uncertain.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
ncua-logging-and-analyzing-time-spent-on-tasks-using-ai-powered-time-management-tools,NCUA,Logging and analyzing time spent on tasks using AI-powered time management tools.,employees,office_staff,unknown,general,low,"Time-management tooling is treated as general productivity by default; ""Various"" gives no product specifics to refine further.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
ncua-managing-and-prioritizing-internal-service-or-help-desk-tickets-using-ai,NCUA,Managing and prioritizing internal service or help desk tickets using AI.,employees,single_component,component,general,low,"Help-desk ticket triage is an IT/support-office function (""single_component""); no stratum category matches IT ops precisely so defaulting to general.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
ncua-scheduling-internal-to-government-meetings-or-appointments-or-setting-reminders-,NCUA,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,employees,office_staff,unknown,general,low,"Scheduling/reminders is general productivity AI by default; ""Various"" gives no specifics on tool or rollout scope.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
ncua-searching-for-agency-information-using-a-knowledge-retrieval-system,NCUA,Searching for agency information using a knowledge retrieval system.,employees,office_staff,unknown,general,low,"Knowledge retrieval/search is general chat functionality by default; ""Various"" gives no specifics on tool or rollout scope.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
ncua-summarizing-the-key-points-of-a-lengthy-report-using-ai,NCUA,Summarizing the key points of a lengthy report using AI.,employees,office_staff,unknown,general,low,"Report summarization is general chat/productivity functionality by default; ""Various"" gives no specifics.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
ncua-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,NCUA,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",employees,office_staff,unknown,general,low,"Meeting transcription/accessibility is general productivity functionality by default; ""Various"" gives no specifics.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
ncua-using-ai-assisted-tools-in-word-processors,NCUA,Using AI-assisted tools in word processors.,employees,office_staff,unknown,general,low,"Word-processor AI assistance is the canonical general-chat productivity case by default; ""Various"" gives no specifics.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
nea-curating-news-articles-and-updates-based-on-user-preferences-using-ai,NEA,Curating news articles and updates based on user preferences using AI.,employees,unknown,unknown,excluded_not_seats,medium,"""Curating news articles and updates based on user preferences"" via Google News Brief is ambient personal-use news curation, analogous to the consumer-map-app pattern in the instructions — not a deployed work AI seat.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
nea-identifying-and-cataloging-items-in-a-storage-room-using-ai-driven-image-recogni,NEA,Identifying and cataloging items in a storage room using AI-driven image recognition.,employees,single_component,component,excluded_not_seats,medium,Google Lens is a consumer camera feature; not an employee AI seat.,override,Fable audit 2026-07-05: Google Lens is a consumer camera feature; not an employee AI seat.
nea-prioritizing-and-categorizing-incoming-emails-using-ai,NEA,Prioritizing and categorizing incoming emails using AI.,employees,all_staff,enterprise,general,medium,Email triage via M365 Copilot is general chat/productivity functionality; small NEA workforce makes a 101-1000 band plausible as agency-wide.,agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
neh-improving-the-quality-of-written-communications-using-ai-tools,NEH,Improving the quality of written communications using AI tools.,employees,office_staff,enterprise,general,medium,"Generic Copilot writing-assistance task; headcount not reported, office_staff default.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
nigc-curating-news-articles-and-updates-based-on-user-preferences-using-ai,NIGC,Curating news articles and updates based on user preferences using AI.,employees,occupation:attorneys,component,legal,medium,"Law360 (LexisNexis) is a legal-research/news platform for attorneys, not a generic news curator; population/stratum follow the product despite the generic-sounding narrative.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
nlrb-searching-for-agency-information-using-a-knowledge-retrieval-system,NLRB,Searching for agency information using a knowledge retrieval system.,employees,office_staff,component,general,medium,"Plain Copilot knowledge search with no legal-research product linked; small band (1-100 of 1,200 headcount) suggests a narrow office rather than agency-wide, general chat/search functionality.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
ntsb-improving-the-quality-of-written-communications-using-ai-tools,NTSB,Improving the quality of written communications using AI tools.,employees,all_staff,enterprise,general,high,"Same Copilot writing-improvement pattern; band (101-1,000) covers essentially all of NTSB's ~400-person workforce.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
ntsb-logging-and-analyzing-time-spent-on-tasks-using-ai-powered-time-management-tools,NTSB,Logging and analyzing time spent on tasks using AI-powered time management tools.,employees,unknown,enterprise,excluded_not_seats,medium,Viva Insights is an embedded M365 analytics feature; excluded per the EPA Viva precedent.,override,Fable audit 2026-07-05: Viva Insights is an embedded M365 analytics feature; excluded per the EPA Viva precedent.
ntsb-prioritizing-and-categorizing-incoming-emails-using-ai,NTSB,Prioritizing and categorizing incoming emails using AI.,unknown,unknown,unknown,general,low,"No commercial product or linked product is listed for this row, leaving no anchor for who/what the 101-1,000 band counts; defaulting to unknown per the prefer-unknown-over-guessing rule.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
ntsb-using-ai-assisted-tools-in-word-processors,NTSB,Using AI-assisted tools in word processors.,employees,all_staff,enterprise,general,high,"Microsoft Copilot word-processing assist; band (101-1,000) spans essentially the entire NTSB workforce.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
oshrc-editing-images-videos-or-other-public-affairs-materials-using-ai,OSHRC,"Editing images, videos, or other public affairs materials using AI.",employees,all_staff,enterprise,comms,medium,"OSHRC is a very small agency (no headcount given here, but publicly on the order of dozens of staff), so a 1-100 band for ""Microsoft 365 apps"" editing public affairs materials plausibly covers the whole small comms-adjacent staff.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
pbgc-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,PBGC,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",devices_endpoints,unknown,component,excluded_not_seats,medium,"Zscaler is a security/proxy tool; band 1-100 of 1,000 is well below full headcount, reading as a subset of managed devices rather than an enterprise rollout.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
sba-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,SBA,"Generating first drafts of documents, briefing, or communication materials using AI.",employees,all_staff,enterprise,general,high,"Band lower bound 5,001 is ~83% of the 6,000 headcount, consistent with an enterprise Microsoft 365 Copilot drafting rollout.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
sba-logging-and-analyzing-time-spent-on-tasks-using-ai-powered-time-management-tools,SBA,Logging and analyzing time spent on tasks using AI-powered time management tools.,employees,office_staff,component,general,low,"Perplexity is a general search/chat tool, an odd fit for 'time management tools'; band 1-100 of 6,000 treated as a small pilot group, confidence low due to the product/narrative mismatch.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
sba-scheduling-internal-to-government-meetings-or-appointments-or-setting-reminders-,SBA,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,employees,all_staff,enterprise,general,high,"Band 5,001+ covers most of the 6,000-person workforce, consistent with an enterprise Copilot scheduling feature.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
sec-curating-news-articles-and-updates-based-on-user-preferences-using-ai,SEC,Curating news articles and updates based on user preferences using AI.,employees,office_staff,unknown,general,low,No product linked; personalized-newsfeed-style task read as general productivity absent evidence of a comms-specific tool.,agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
sec-editing-images-videos-or-other-public-affairs-materials-using-ai,SEC,"Editing images, videos, or other public affairs materials using AI.",employees,occupation:comms,component,comms,high,"""public affairs materials"" plus creative-suite tools (Adobe Firefly, Vyond, Techsmith Audiate) confirms comms-shop creative production; band 101-1000 of 4,600 fits an expanded public-affairs/multimedia team.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
sec-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,SEC,"Generating first drafts of documents, briefing, or communication materials using AI.",employees_and_contractors,all_staff,enterprise,general,low,"Band's lower bound (5,001) exceeds SEC's 4,600 total headcount so this cannot be employees-only; M365 Copilot is a seat-licensed drafting tool, so the overage most plausibly reflects contractor/detailee seats beyond core FTE, though the narrative doesn't say so explicitly.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
sec-improving-the-quality-of-written-communications-using-ai-tools,SEC,Improving the quality of written communications using AI tools.,employees_and_contractors,all_staff,enterprise,general,low,"Same headcount-exceeding pattern as the drafting row (band 5,001-10,000 vs. 4,600 headcount); M365 Copilot/Copilot Studio licensing plausibly extends to contractors, but this is inferred, not stated.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
sec-searching-for-agency-information-using-a-knowledge-retrieval-system,SEC,Searching for agency information using a knowledge retrieval system.,unknown,unknown,unknown,general,low,"Band (5,001-10,000) exceeds the 4,600 headcount and bundles three structurally different tools (HR service delivery, general chat, forensics search) under one narrative, so whose seats are being counted can't be isolated.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
sec-summarizing-the-key-points-of-a-lengthy-report-using-ai,SEC,Summarizing the key points of a lengthy report using AI.,unknown,unknown,unknown,general,low,"Band exceeds the 4,600 headcount and aggregates 6+ disparate tool types (legal research, investigative data, social listening, productivity); can't isolate which population or stratum the reported number reflects.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
sec-using-ai-assisted-tools-in-word-processors,SEC,Using AI-assisted tools in word processors.,employees_and_contractors,all_staff,enterprise,general,low,"Band 5,001-10,000 again exceeds the 4,600 headcount; M365 Copilot/Copilot Studio seat licensing plausibly extends beyond core FTE to contractors, inferred rather than stated.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
state-curating-news-articles-and-updates-based-on-user-preferences-using-ai,State,Curating news articles and updates based on user preferences using AI.,employees,office_staff,component,general,medium,"Unlike SBA's Meltwater (a media-monitoring platform), State uses general chat assistants (ChatGPT/Claude/Gemini/NotebookLM/Perplexity) for personalized news curation, reading as individual employee use (band 1,001-5,000 of 77,000) rather than a dedicated comms function.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
state-searching-for-agency-information-using-a-knowledge-retrieval-system,State,Searching for agency information using a knowledge retrieval system.,employees,office_staff,component,general,medium,"Band 5,001-10,000 is a modest fraction of the 77,000 headcount for general-chat knowledge search.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
