slug,agency,agency_name,bureau,ai_use_case,commercial_product,commercial_examples,band,band_upper,linked_products,linked_product_types,agency_total_headcount
exim-planning-travel-routes-using-ai-driven-map-applications,EXIM,Export-Import Bank,,Planning travel routes using AI-driven map applications.,"Apple Maps, Google Maps, Open StreetMap",,101-1000,1000,Apple Maps; Google Maps,consumer_feature,
exim-prioritizing-and-categorizing-incoming-emails-using-ai,EXIM,Export-Import Bank,,Prioritizing and categorizing incoming emails using AI.,Microsoft M365 Copilot AI,,101-1000,1000,Microsoft 365 Copilot,general_llm,
exim-scheduling-and-managing-social-media-posts-using-ai,EXIM,Export-Import Bank,,Scheduling and managing social media posts using AI.,Microsoft M365 Copilot AI,,101-1000,1000,Microsoft 365 Copilot,general_llm,
exim-scheduling-internal-to-government-meetings-or-appointments-or-setting-reminders-,EXIM,Export-Import Bank,,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,Microsoft M365 Copilot AI,,101-1000,1000,Microsoft 365 Copilot,general_llm,
exim-searching-for-agency-information-using-a-knowledge-retrieval-system,EXIM,Export-Import Bank,,Searching for agency information using a knowledge retrieval system.,Microsoft M365 Copilot AI,,101-1000,1000,Microsoft 365 Copilot,general_llm,
exim-summarizing-the-key-points-of-a-lengthy-report-using-ai,EXIM,Export-Import Bank,,Summarizing the key points of a lengthy report using AI.,Microsoft M365 Copilot AI,,101-1000,1000,Microsoft 365 Copilot,general_llm,
exim-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,EXIM,Export-Import Bank,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Microsoft M365 Copilot AI,,101-1000,1000,Microsoft 365 Copilot,general_llm,
exim-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,EXIM,Export-Import Bank,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Apple iPhone,,1-100,100,Apple Face ID,consumer_feature,
exim-using-ai-assisted-tools-in-word-processors,EXIM,Export-Import Bank,,Using AI-assisted tools in word processors.,Microsoft M365 Copilot AI,,101-1000,1000,Microsoft 365 Copilot,general_llm,
fca-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,FCA,Farm Credit Administration,,Creating visual representations of data sets for reports or presentations using AI.,Various,,1-100,100,,,
fca-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,FCA,Farm Credit Administration,,"Generating first drafts of documents, briefing, or communication materials using AI.",Various,,1-100,100,,,
fca-improving-the-quality-of-written-communications-using-ai-tools,FCA,Farm Credit Administration,,Improving the quality of written communications using AI tools.,Various,,1-100,100,,,
fca-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,FCA,Farm Credit Administration,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",Various,,101-1000,1000,,,
fca-planning-travel-routes-using-ai-driven-map-applications,FCA,Farm Credit Administration,,Planning travel routes using AI-driven map applications.,Various,,101-1000,1000,,,
fca-searching-for-agency-information-using-a-knowledge-retrieval-system,FCA,Farm Credit Administration,,Searching for agency information using a knowledge retrieval system.,Various,,1-100,100,,,
fca-summarizing-the-key-points-of-a-lengthy-report-using-ai,FCA,Farm Credit Administration,,Summarizing the key points of a lengthy report using AI.,Various,,1-100,100,,,
fca-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,FCA,Farm Credit Administration,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Various,,1-100,100,,,
fca-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,FCA,Farm Credit Administration,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Various,,101-1000,1000,,,
fca-using-ai-assisted-tools-in-word-processors,FCA,Farm Credit Administration,,Using AI-assisted tools in word processors.,Various,,1-100,100,,,
fcc-generating-code-using-ai,FCC,Federal Communications Commission,,Generating code using AI.,"Microsoft Copilot, 
AWS Q Developer, 
Microsoft Azure Open AI",,101-1000,1000,Microsoft 365 Copilot; Azure OpenAI; Amazon Q,general_llm,1500
fcc-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,FCC,Federal Communications Commission,,"Generating first drafts of documents, briefing, or communication materials using AI.",Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,1500
fcc-improving-the-quality-of-written-communications-using-ai-tools,FCC,Federal Communications Commission,,Improving the quality of written communications using AI tools.,Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,1500
fcc-logging-and-analyzing-time-spent-on-tasks-using-ai-powered-time-management-tools,FCC,Federal Communications Commission,,Logging and analyzing time spent on tasks using AI-powered time management tools.,"AWS Q Developer 
(Gen AI-powered assistant)",,1-100,100,Amazon Q,general_llm,1500
fcc-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,FCC,Federal Communications Commission,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",Microsoft Defender XDR,,1001-5000,5000,Microsoft Defender,security_tool,1500
fcc-summarizing-the-key-points-of-a-lengthy-report-using-ai,FCC,Federal Communications Commission,,Summarizing the key points of a lengthy report using AI.,Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,1500
fcc-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,FCC,Federal Communications Commission,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.","Microsoft Teams
integrated with 
Microsoft Copilot",,1001-5000,5000,Microsoft 365 Copilot; Microsoft Teams,"general_llm,productivity",1500
fcc-using-ai-assisted-tools-in-word-processors,FCC,Federal Communications Commission,,Using AI-assisted tools in word processors.,Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,1500
fdic-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,FDIC,Federal Deposit Insurance Corporation,,Creating visual representations of data sets for reports or presentations using AI.,"Microsoft Power BI, Tableau",,"5001-10,000",10000,Tableau; Microsoft Power BI,"ml_platform,data_analytics",6300
fdic-editing-images-videos-or-other-public-affairs-materials-using-ai,FDIC,Federal Deposit Insurance Corporation,,"Editing images, videos, or other public affairs materials using AI.","Photoshop, Adobe Premier, Microsoft Paint Limited Copilot",,"5001-10,000",10000,Microsoft 365 Copilot; Adobe Photoshop,"general_llm,computer_vision",6300
fdic-finding-and-booking-travel-accommodations-using-ai-powered-platforms,FDIC,Federal Deposit Insurance Corporation,,Finding and booking travel accommodations using AI-powered platforms.,CWTSatoTravel,,1001-5000,5000,CWTSatoTravel,productivity,6300
fdic-generating-code-using-ai,FDIC,Federal Deposit Insurance Corporation,,Generating code using AI.,"GitHub Copilot, Appian",,101-1000,1000,GitHub Copilot,coding_assistant,6300
fdic-improving-the-quality-of-written-communications-using-ai-tools,FDIC,Federal Deposit Insurance Corporation,,Improving the quality of written communications using AI tools.,Thomas Reuters/Westlaw Drafting Assistant,,101-1000,1000,Westlaw AI,legal_research,6300
fdic-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,FDIC,Federal Deposit Insurance Corporation,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI","Falcon EDR, Splunk Clowd, Tenable, Opentext, ServiceNow",,"5001-10,000",10000,ServiceNow Now Assist; Crowdstrike Falcon; Splunk; Tenable,"productivity,security_tool",6300
fdic-planning-travel-routes-using-ai-driven-map-applications,FDIC,Federal Deposit Insurance Corporation,,Planning travel routes using AI-driven map applications.,"Google Maps, Apple Maps",,"5001-10,000",10000,Apple Maps; Google Maps,consumer_feature,6300
fdic-scheduling-and-managing-social-media-posts-using-ai,FDIC,Federal Deposit Insurance Corporation,,Scheduling and managing social media posts using AI.,Sprout Social,,1-100,100,Sprout Social,productivity,6300
fdic-searching-for-agency-information-using-a-knowledge-retrieval-system,FDIC,Federal Deposit Insurance Corporation,,Searching for agency information using a knowledge retrieval system.,"Relativity Server, Relativity One, Cloudlocker, Microsoft Purview, Rasa",,1001-5000,5000,Microsoft Purview; Relativity,"security_tool,ediscovery",6300
fdic-summarizing-the-key-points-of-a-lengthy-report-using-ai,FDIC,Federal Deposit Insurance Corporation,,Summarizing the key points of a lengthy report using AI.,Microsoft Power BI,,"5001-10,000",10000,Microsoft Power BI,data_analytics,6300
fdic-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,FDIC,Federal Deposit Insurance Corporation,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Microsoft teams (Recording),,101-1000,1000,Microsoft Teams,productivity,6300
fdic-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,FDIC,Federal Deposit Insurance Corporation,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,"Apple iPhone, Apple iPad",,"5001-10,000",10000,Apple Face ID,consumer_feature,6300
ferc-finding-and-booking-travel-accommodations-using-ai-powered-platforms,FERC,Federal Energy Regulatory Commission,,Finding and booking travel accommodations using AI-powered platforms.,Concur,,101-1000,1000,SAP Concur,productivity,1500
ferc-generating-code-using-ai,FERC,Federal Energy Regulatory Commission,,Generating code using AI.,GitHub Copilot,,1-100,100,GitHub Copilot,coding_assistant,1500
ferc-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,FERC,Federal Energy Regulatory Commission,,"Generating first drafts of documents, briefing, or communication materials using AI.","Microsoft 365 Copilot, Azure Open AI",,101-1000,1000,Microsoft 365 Copilot,general_llm,1500
ferc-planning-travel-routes-using-ai-driven-map-applications,FERC,Federal Energy Regulatory Commission,,Planning travel routes using AI-driven map applications.,Google Maps & Apple Maps,,1-100,100,Apple Maps; Google Maps,consumer_feature,1500
ferc-searching-for-agency-information-using-a-knowledge-retrieval-system,FERC,Federal Energy Regulatory Commission,,Searching for agency information using a knowledge retrieval system.,Microsoft 365 Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,1500
ferc-summarizing-the-key-points-of-a-lengthy-report-using-ai,FERC,Federal Energy Regulatory Commission,,Summarizing the key points of a lengthy report using AI.,"Microsoft 365 Copilot, Azure Open AI",,101-1000,1000,Microsoft 365 Copilot,general_llm,1500
ferc-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,FERC,Federal Energy Regulatory Commission,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,"Apple iPhone, Samsung",,101-1000,1000,Apple Face ID,consumer_feature,1500
ferc-using-ai-assisted-tools-in-word-processors,FERC,Federal Energy Regulatory Commission,,Using AI-assisted tools in word processors.,Microsoft 365 Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,1500
fhfa-finding-and-booking-travel-accommodations-using-ai-powered-platforms,FHFA,Federal Housing Finance Agency,,Finding and booking travel accommodations using AI-powered platforms.,SAP Concur,,101-1000,1000,SAP Concur,productivity,800
fhfa-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,FHFA,Federal Housing Finance Agency,,"Generating first drafts of documents, briefing, or communication materials using AI.","Microsoft Copilot, Microsoft 365 suite (Teams, SharePoint, Excel, PowerPoint, Word), Apple iOS",,101-1000,1000,Microsoft 365 Copilot; Microsoft Teams; Microsoft 365,"general_llm,productivity,coding_assistant",800
fhfa-managing-and-prioritizing-internal-service-or-help-desk-tickets-using-ai,FHFA,Federal Housing Finance Agency,,Managing and prioritizing internal service or help desk tickets using AI.,ServiceNow,,1-100,100,ServiceNow Now Assist,productivity,800
fhfa-planning-travel-routes-using-ai-driven-map-applications,FHFA,Federal Housing Finance Agency,,Planning travel routes using AI-driven map applications.,"Apple Maps, Google Maps",,101-1000,1000,Apple Maps; Google Maps,consumer_feature,800
fhfa-searching-for-agency-information-using-a-knowledge-retrieval-system,FHFA,Federal Housing Finance Agency,,Searching for agency information using a knowledge retrieval system.,Microsoft Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,800
fhfa-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,FHFA,Federal Housing Finance Agency,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Apple iPhone,,101-1000,1000,Apple Face ID,consumer_feature,800
fhfa-using-ai-assisted-tools-in-word-processors,FHFA,Federal Housing Finance Agency,,Using AI-assisted tools in word processors.,Microsoft Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,800
flra-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,FLRA,Federal Labor Relations Authority,,Creating visual representations of data sets for reports or presentations using AI.,ChatGPT,,1-100,100,ChatGPT,general_llm,
flra-curating-news-articles-and-updates-based-on-user-preferences-using-ai,FLRA,Federal Labor Relations Authority,,Curating news articles and updates based on user preferences using AI.,Google News Brief,,1-100,100,Google News Brief,consumer_feature,
flra-editing-images-videos-or-other-public-affairs-materials-using-ai,FLRA,Federal Labor Relations Authority,,"Editing images, videos, or other public affairs materials using AI.",Vyond,,1-100,100,Vyond,media_analysis,
flra-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,FLRA,Federal Labor Relations Authority,,"Generating first drafts of documents, briefing, or communication materials using AI.",ChatGPT,,1-100,100,ChatGPT,general_llm,
flra-improving-the-quality-of-written-communications-using-ai-tools,FLRA,Federal Labor Relations Authority,,Improving the quality of written communications using AI tools.,ChatGPT,,1-100,100,ChatGPT,general_llm,
flra-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,FLRA,Federal Labor Relations Authority,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI","Crowdstrike Falcon, Microsoft Defender",,101-1000,1000,Microsoft Defender; Crowdstrike Falcon,security_tool,
flra-searching-for-agency-information-using-a-knowledge-retrieval-system,FLRA,Federal Labor Relations Authority,,Searching for agency information using a knowledge retrieval system.,"ChatGPT, Notebook LLM, Gemini",,1-100,100,ChatGPT; Gemini,general_llm,
flra-summarizing-the-key-points-of-a-lengthy-report-using-ai,FLRA,Federal Labor Relations Authority,,Summarizing the key points of a lengthy report using AI.,ChatGPT,,1-100,100,ChatGPT,general_llm,
flra-using-ai-assisted-tools-in-word-processors,FLRA,Federal Labor Relations Authority,,Using AI-assisted tools in word processors.,Microsoft Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,
frb-editing-images-videos-or-other-public-affairs-materials-using-ai,FRB,Federal Reserve Board,,"Editing images, videos, or other public affairs materials using AI.",External- Creative Production Suite,,1-100,100,,,3000
frb-finding-and-booking-travel-accommodations-using-ai-powered-platforms,FRB,Federal Reserve Board,,Finding and booking travel accommodations using AI-powered platforms.,External- Government Travel System,,101-1000,1000,,,3000
frb-generating-code-using-ai,FRB,Federal Reserve Board,,Generating code using AI.,"External-Generative Coding Assistant, External- Chatbots, Internal Gov Cloud - Chatbots",,1001-5000,5000,,,3000
frb-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,FRB,Federal Reserve Board,,"Generating first drafts of documents, briefing, or communication materials using AI.","External- Chatbots, Internal Gov Cloud- Chatbots",,1001-5000,5000,,,3000
frb-improving-the-quality-of-written-communications-using-ai-tools,FRB,Federal Reserve Board,,Improving the quality of written communications using AI tools.,"External- Chatbots, Internal Gov Cloud- Chatbots",,1001-5000,5000,,,3000
frb-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,FRB,Federal Reserve Board,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",External- Cybersecurity Suites,,1-100,100,,,3000
frb-planning-travel-routes-using-ai-driven-map-applications,FRB,Federal Reserve Board,,Planning travel routes using AI-driven map applications.,External- Smartphone OS,,1-100,100,,,3000
frb-searching-for-agency-information-using-a-knowledge-retrieval-system,FRB,Federal Reserve Board,,Searching for agency information using a knowledge retrieval system.,Internal Gov Cloud- Chatbots,,1001-5000,5000,,,3000
frb-summarizing-the-key-points-of-a-lengthy-report-using-ai,FRB,Federal Reserve Board,,Summarizing the key points of a lengthy report using AI.,"External- Chatbots, Internal Gov Cloud- Chatbots",,1001-5000,5000,,,3000
frb-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,FRB,Federal Reserve Board,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,External- Smartphone OS,,1001-5000,5000,,,3000
ftc-generating-code-using-ai,FTC,Federal Trade Commission,,Generating code using AI.,Azure Databricks,,1-100,100,Databricks,ml_platform,1200
ftc-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,FTC,Federal Trade Commission,,"Generating first drafts of documents, briefing, or communication materials using AI.",CoPilot,,1001-5000,5000,,,1200
ftc-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,FTC,Federal Trade Commission,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",Dtex; KnowBe4; Crowdstrike,,1001-5000,5000,Crowdstrike Falcon,security_tool,1200
ftc-planning-travel-routes-using-ai-driven-map-applications,FTC,Federal Trade Commission,,Planning travel routes using AI-driven map applications.,"Google Maps, Apple Maps",,1001-5000,5000,Apple Maps; Google Maps,consumer_feature,1200
ftc-prioritizing-and-categorizing-incoming-emails-using-ai,FTC,Federal Trade Commission,,Prioritizing and categorizing incoming emails using AI.,CoPilot,,1001-5000,5000,,,1200
ftc-summarizing-the-key-points-of-a-lengthy-report-using-ai,FTC,Federal Trade Commission,,Summarizing the key points of a lengthy report using AI.,CoPilot; Relativity Technology Assisted Review,,1001-5000,5000,Relativity,ediscovery,1200
ftc-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,FTC,Federal Trade Commission,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",CoPilot,,1001-5000,5000,,,1200
ftc-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,FTC,Federal Trade Commission,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,iPhones,,1001-5000,5000,,,1200
ftc-using-ai-assisted-tools-in-word-processors,FTC,Federal Trade Commission,,Using AI-assisted tools in word processors.,CoPilot,,1001-5000,5000,,,1200
gsa-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,GSA,General Services Administration,,Creating visual representations of data sets for reports or presentations using AI.,Genie in Databricks,,101-1000,1000,Databricks,ml_platform,12500
gsa-editing-images-videos-or-other-public-affairs-materials-using-ai,GSA,General Services Administration,,"Editing images, videos, or other public affairs materials using AI.",Gemini for Google Workspace,,"10,000-50,000",50000,Gemini,general_llm,12500
gsa-generating-code-using-ai,GSA,General Services Administration,,Generating code using AI.,Github Copilot,,101-1000,1000,GitHub Copilot,coding_assistant,12500
gsa-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,GSA,General Services Administration,,"Generating first drafts of documents, briefing, or communication materials using AI.",Gemini for Google Workspace,,"10,000-50,000",50000,Gemini,general_llm,12500
gsa-planning-travel-routes-using-ai-driven-map-applications,GSA,General Services Administration,,Planning travel routes using AI-driven map applications.,Google Maps on GFE by individual users,,"10,000-50,000",50000,Google Maps,consumer_feature,12500
gsa-searching-for-agency-information-using-a-knowledge-retrieval-system,GSA,General Services Administration,,Searching for agency information using a knowledge retrieval system.,"Claude, Meta and Gemini LLM models through USAi",,"5001-10,000",10000,Claude; Gemini; USAi (GSA),general_llm,12500
gsa-summarizing-the-key-points-of-a-lengthy-report-using-ai,GSA,General Services Administration,,Summarizing the key points of a lengthy report using AI.,Gemini for Google Workspace,,"10,000-50,000",50000,Gemini,general_llm,12500
gsa-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,GSA,General Services Administration,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Gemini for Google Workspace,,"10,000-50,000",50000,Gemini,general_llm,12500
gsa-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,GSA,General Services Administration,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Face recognition for GFE phones,,"10,000-50,000",50000,,,12500
gsa-using-ai-assisted-tools-in-word-processors,GSA,General Services Administration,,Using AI-assisted tools in word processors.,Gemini for Google Workspace,,"10,000-50,000",50000,Gemini,general_llm,12500
hhs-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,HHS,Department of Health and Human Services,,Creating visual representations of data sets for reports or presentations using AI.,"Tableau, Biorender, ChatGPT, Microsoft 365 Copilot, Gemini",,1001-5000,5000,Microsoft 365 Copilot; ChatGPT; Gemini; BioRender; Tableau,"general_llm,productivity,ml_platform",80000
hhs-curating-news-articles-and-updates-based-on-user-preferences-using-ai,HHS,Department of Health and Human Services,,Curating news articles and updates based on user preferences using AI.,"Apple News, MediaViz AI, Google News Brief",,"5001-10,000",10000,Apple News; MediaViz AI; Google News Brief,"consumer_feature,media_analysis",80000
hhs-editing-images-videos-or-other-public-affairs-materials-using-ai,HHS,Department of Health and Human Services,,"Editing images, videos, or other public affairs materials using AI.","Adobe Firefly, Gemini, Microsoft 365 Copilot, DALL-E, Biorender, Canva, ChatGPT",,"5001-10,000",10000,Microsoft 365 Copilot; ChatGPT; Gemini; Adobe Firefly; DALL-E; Canva; BioRender,"general_llm,computer_vision,productivity",80000
hhs-finding-and-booking-travel-accommodations-using-ai-powered-platforms,HHS,Department of Health and Human Services,,Finding and booking travel accommodations using AI-powered platforms.,"SAP Concur, Navan",,1-100,100,SAP Concur,productivity,80000
hhs-generating-code-using-ai,HHS,Department of Health and Human Services,,Generating code using AI.,"Credal + Claude and GPT API, Amazon Q Developer, GitHub Copilot, Anaconda AI Navigator, ChatGPT, Claude, Gemini, IntelliJ IDEA Ult, Logi AI Prompt Builder, Microsoft 365 Copilot, Plantir Foundry, Sourcegraph",,"5001-10,000",10000,Microsoft 365 Copilot; GitHub Copilot; ChatGPT; Claude; Gemini; Amazon Q; Credal,"general_llm,coding_assistant,agent_platform",80000
hhs-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,HHS,Department of Health and Human Services,,"Generating first drafts of documents, briefing, or communication materials using AI.","Microsoft 365 Copilot Chat, Microsoft 365 Copilot, AWS, ChatGPT, Gemini, xAI gov, CHIRP, Claude, EndNote, Microsoft Azure, Synthesia, Zotero, Credal + Claude and GPT API",,"10,000-50,000",50000,Microsoft 365 Copilot; Microsoft 365 Copilot Chat; ChatGPT; Claude; Gemini; Synthesia; Credal,"general_llm,computer_vision,agent_platform",80000
hhs-identifying-and-cataloging-items-in-a-storage-room-using-ai-driven-image-recogni,HHS,Department of Health and Human Services,,Identifying and cataloging items in a storage room using AI-driven image recognition.,"Microsoft AI Builder, Azure OpenAI Service, Google Lens",,101-1000,1000,Azure OpenAI; Google Lens; Microsoft AI Builder,"general_llm,computer_vision,ml_platform",80000
hhs-improving-the-quality-of-written-communications-using-ai-tools,HHS,Department of Health and Human Services,,Improving the quality of written communications using AI tools.,"Microsoft 365 Copilot Chat, Grammarly, Microsoft 365 Copilot, ChatGPT, Perplexity, Stanford Storm, CHIRP, Credal + Claude and GPT API",,"10,000-50,000",50000,Microsoft 365 Copilot; Microsoft 365 Copilot Chat; ChatGPT; Claude; Grammarly; Perplexity; Credal,"general_llm,productivity,agent_platform",80000
hhs-logging-and-analyzing-time-spent-on-tasks-using-ai-powered-time-management-tools,HHS,Department of Health and Human Services,,Logging and analyzing time spent on tasks using AI-powered time management tools.,"Asana, Microsoft 365 Copilot, Monday.com",,1-100,100,Microsoft 365 Copilot; Asana; Monday.com,"general_llm,productivity",80000
hhs-managing-and-prioritizing-internal-service-or-help-desk-tickets-using-ai,HHS,Department of Health and Human Services,,Managing and prioritizing internal service or help desk tickets using AI.,"ServiceDesk, DRUID AI, Supportbench, ServiceDesk Plus",,101-1000,1000,DRUID AI; Supportbench,"agent_platform,itsm",80000
hhs-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,HHS,Department of Health and Human Services,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI","Crowdstrike, Purvue, Microsoft Defender, Absolute, ChatGPT, Cylance, BigFix, Ivanti, Palo Alto Firewall, SentinelOne",,"50,000+",100000,Microsoft Defender; ChatGPT; Crowdstrike Falcon; Palo Alto Networks; SentinelOne,"security_tool,general_llm",80000
hhs-planning-travel-routes-using-ai-driven-map-applications,HHS,Department of Health and Human Services,,Planning travel routes using AI-driven map applications.,"Google Maps, Apple Maps",,"10,000-50,000",50000,Apple Maps; Google Maps,consumer_feature,80000
hhs-prioritizing-and-categorizing-incoming-emails-using-ai,HHS,Department of Health and Human Services,,Prioritizing and categorizing incoming emails using AI.,"Microsoft Outlook, Microsoft 365 Copilot",,"5001-10,000",10000,Microsoft 365 Copilot; Microsoft Outlook,"general_llm,productivity",80000
hhs-scheduling-and-managing-social-media-posts-using-ai,HHS,Department of Health and Human Services,,Scheduling and managing social media posts using AI.,"Sprout Social, ChatGPT, xAI gov",,101-1000,1000,ChatGPT; Sprout Social,"general_llm,productivity",80000
hhs-scheduling-internal-to-government-meetings-or-appointments-or-setting-reminders-,HHS,Department of Health and Human Services,,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,"Microsoft Outlook, Microsoft Teams, Microsoft 365 Copilot",,"5001-10,000",10000,Microsoft 365 Copilot; Microsoft Teams; Microsoft Outlook,"general_llm,productivity",80000
hhs-searching-for-agency-information-using-a-knowledge-retrieval-system,HHS,Department of Health and Human Services,,Searching for agency information using a knowledge retrieval system.,"Credal + Claude and GPT API, Palantir Foundry, Googla Appliance, Microsoft 365 Copilot Chat, ChatGPT, Gemini, Microsoft 365 Copilot, ScanSnap AI, ServiceNow",,"10,000-50,000",50000,Microsoft 365 Copilot; Microsoft 365 Copilot Chat; ChatGPT; Claude; Gemini; ServiceNow Now Assist; Palantir AIP; Credal,"general_llm,productivity,agent_platform",80000
hhs-summarizing-the-key-points-of-a-lengthy-report-using-ai,HHS,Department of Health and Human Services,,Summarizing the key points of a lengthy report using AI.,"Microsoft 365 Copilot Chat, Consensus, Adobe AI Assistant, ChatGPT, Perplexity, Claude, Cortellis, OFF-X, Gemini, Gemma (open LLM, Google Deep Mind), Microsoft 365 Copilot, scite.AI",,"10,000-50,000",50000,Microsoft 365 Copilot; Microsoft 365 Copilot Chat; ChatGPT; Claude; Gemini; Perplexity; Adobe,"general_llm,productivity",80000
hhs-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,HHS,Department of Health and Human Services,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.","Microsoft Teams, Microsoft 365 Copilot, ChatGPT, CHIRP, Otter AI, Slack",,"10,000-50,000",50000,Microsoft 365 Copilot; Microsoft Teams; ChatGPT; Otter.ai; Slack,"general_llm,productivity",80000
hhs-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,HHS,Department of Health and Human Services,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,"Apple iPhone, Windows Hello, Google Pixel",,"10,000-50,000",50000,Apple Face ID; Google Pixel,consumer_feature,80000
hhs-using-ai-assisted-tools-in-word-processors,HHS,Department of Health and Human Services,,Using AI-assisted tools in word processors.,"Microsoft Word, Microsoft 365 Copilot, Grammarly, ChatGPT, Gemini, Signals ELN",,"10,000-50,000",50000,Microsoft 365 Copilot; ChatGPT; Gemini; Grammarly,"general_llm,productivity",80000
hud-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,HUD,Department of Housing and Urban Development,,Creating visual representations of data sets for reports or presentations using AI.,Microsoft Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,8400
hud-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,HUD,Department of Housing and Urban Development,,"Generating first drafts of documents, briefing, or communication materials using AI.",Microsoft Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,8400
hud-improving-the-quality-of-written-communications-using-ai-tools,HUD,Department of Housing and Urban Development,,Improving the quality of written communications using AI tools.,Microsoft Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,8400
