agency_abbr,agency_name,agency_type,issuing_office,document_type,document_title,publication_year,publication_date,pages,issuing_memo,superseded,is_public,url,local_path,access_status,date_accessed,notes
HUD,Department of Housing and Urban Development,Cabinet,Department of Housing and Urban Development,Other Department AI Policy / Guidance,HUD AI Definitions,2025,,3,M-25-21,no,yes,https://www.hud.gov/sites/default/files/Main/documents/AIDefinitions.pdf,documents/HUD/HUD__ai-definitions__2025.pdf,Downloaded,2026-05-21,Companion AI definitions guidance to HUD AI strategy; year inferred from AI@HUD page (2025).
NARA,National Archives and Records Administration,Independent,National Archives and Records Administration,M-25-21 Compliance Plan,NARA 2025 AI Compliance Plan for OMB Memorandum M-25-21,2025,2025-09-18,4,M-25-21,no,yes,https://www.archives.gov/files/nara-2025-ai-compliance-plan-final-v1-09-18-2025.pdf,documents/NARA/NARA__ai-compliance-plan__2025.pdf,Downloaded,2026-05-21,"Prepared by Gulam Shakir, CAIO; issued by Jim Byron, Senior Advisor to the Archivist. No standalone NARA M-25-21 AI Strategy found publicly."
NASA,National Aeronautics and Space Administration,Independent,National Aeronautics and Space Administration,M-24-10 Compliance Plan,NASA Compliance Plan for OMB Memorandum M-24-10,2024,2024-09-23,9,M-24-10,yes,yes,https://www.nasa.gov/wp-content/uploads/2024/09/nasa-omb-compliance-plan-20240923.pdf,documents/NASA/NASA__ai-compliance-plan-m2410__2024.pdf,Downloaded,2026-05-21,M-24-10-vintage compliance plan; superseded by M-25-21 regime. No public M-25-21 compliance plan or AI strategy found on nasa.gov.
NASA,National Aeronautics and Space Administration,Independent,National Aeronautics and Space Administration,AI Governance Board Charter,NASA Artificial Intelligence Strategy Board Charter (NC 1000.61),2025,2025-01-28,4,M-24-10,no,yes,https://nodis3.gsfc.nasa.gov/OPD_Docs/NC_1000_61_.pdf,documents/NASA/NASA__ai-strategy-board-charter__2025.pdf,Downloaded,2026-05-21,"Charter establishing the NASA AI Strategy Board (AISB); effective Jan 28 2025, expires Jan 28 2029; cites M-24-10. Filename year corrected to effective date."
NCUA,National Credit Union Administration,Independent,National Credit Union Administration,M-25-21 Compliance Plan,NCUA Artificial Intelligence Compliance Plan,2025,2025-09,3,M-25-21,no,yes,https://ncua.gov/ai/ncua-artificial-intelligence-compliance-plan,documents/NCUA/NCUA__ai-compliance-plan__2025.html,Downloaded,2026-05-21,"NCUA M-25-21 compliance plan, published Sept 2025; developed under CAIO Amber Gravius. Published as a web page (no PDF); saved as rendered HTML."
NLRB,National Labor Relations Board,Independent,National Labor Relations Board,M-24-10 Compliance Plan,NLRB CAIO Statement Letter (M-24-10),2024,2024-09,1,M-24-10,yes,yes,https://www.nlrb.gov/sites/default/files/attachments/pages/node-9755/caio-statement-letter-september-2024.pdf,documents/NLRB/NLRB__caio-statement-letter__2024.pdf,Downloaded,2026-05-21,September 2024 CAIO statement letter serving as NLRBs M-24-10 compliance documentation; superseded by 2025 M-25-21 plan.
NLRB,National Labor Relations Board,Independent,National Labor Relations Board,M-25-21 Compliance Plan,NLRB AI Compliance Plan for OMB M-25-21,2025,2025-09,5,M-25-21,no,yes,https://www.nlrb.gov/sites/default/files/attachments/pages/node-9755/nlrb-ai-compliance-plan-for-omb-m-25-21-september-2025_0.pdf,documents/NLRB/NLRB__m-25-21-compliance-plan__2025.pdf,Downloaded,2026-05-21,"NLRB M-25-21 compliance plan, September 2025."
NRC,Nuclear Regulatory Commission,Independent,Nuclear Regulatory Commission,Historical AI Strategy,Artificial Intelligence Strategic Plan: Fiscal Years 2023-2027 (NUREG-2261),2023,2023-05,40,none,yes,yes,https://www.nrc.gov/docs/ML2313/ML23132A305.pdf,documents/NRC/NRC__ai-strategic-plan-2023-2027__2023.pdf,Downloaded,2026-05-21,"NRC AI Strategic Plan FY2023-2027 (NUREG-2261), pre-OMB-memo standalone strategy; superseded by FY26 plan. Downloaded from regulations.gov mirror (NRC-2022-0095-0002) because www.nrc.gov timed out."
NRC,Nuclear Regulatory Commission,Independent,NRC Office of the Chief Information Officer / Chief AI Officer,M-25-21 AI Strategy,U.S. NRC FY26 Artificial Intelligence Strategic Plan,2025,2025-09-29,,M-25-21,no,yes,https://www.nrc.gov/docs/ML2526/ML25269A196.pdf,,Link only,2026-05-21,FY26 AI Strategic Plan responding to M-25-21 (ADAMS ML25269A196). www.nrc.gov server repeatedly timed out from this environment across many retries (HTTP/2 INTERNAL_ERROR and HTTP/1.1 connection timeouts) - could not download; URL verified via search.
NRC,Nuclear Regulatory Commission,Independent,NRC Office of the Chief Information Officer / Chief AI Officer,M-25-21 Compliance Plan,U.S. NRC FY26 Artificial Intelligence Compliance Plan,2025,2025-09-29,,M-25-21,no,yes,https://www.nrc.gov/docs/ML2527/ML25272A276.pdf,,Link only,2026-05-21,FY26 AI Compliance Plan responding to M-25-21 (ADAMS ML25272A276). www.nrc.gov server repeatedly timed out from this environment - could not download; URL verified via search.
NSF,National Science Foundation,Independent,National Science Foundation,M-25-21 AI Strategy,National Science Foundation (NSF) AI Strategy for OMB Memorandum M-25-21,2025,2025-09-01,22,M-25-21,no,yes,https://nsf-gov-resources.nsf.gov/files/nsf-ai-strategy.pdf,documents/NSF/NSF__ai-strategy__2025.pdf,Downloaded,2026-05-21,"180-day M-25-21 AI Strategy. Prepared by Thu Williams, Acting CAIO; issued by Chief Management Officer and Chief Science Officer. Dated September 2025."
NSF,National Science Foundation,Independent,National Science Foundation,M-25-21 Compliance Plan,NSF AI Compliance Plan for OMB Memorandum M-25-21,2025,,7,M-25-21,no,yes,https://nsf-gov-resources.nsf.gov/files/nsf-ai-plan.pdf,documents/NSF/NSF__ai-compliance-plan__2025.pdf,Downloaded,2026-05-21,M-25-21 compliance plan; satisfies AI in Government Act of 2020 and Section 3(b)(ii) of M-25-21. Document marked CUI but posted publicly on nsf.gov/policies/ai.
NTSB,National Transportation Safety Board,Independent,NTSB,M-24-10 Compliance Plan,NTSB Compliance Plan for OMB Memorandum M-24-10,2024,,7,M-24-10,yes,yes,https://www.ntsb.gov/Documents/NTSB%20M-24-10%20Compliance%20Plan.pdf,documents/NTSB/NTSB__m-24-10-compliance-plan__2024.pdf,Downloaded,2026-05-21,"2024-vintage compliance plan, superseded by the M-25-21 plan. Year 2024 from M-24-10 cycle."
NTSB,National Transportation Safety Board,Independent,NTSB (Chief AI Officer / Data Governance Body),M-25-21 Compliance Plan,NTSB Compliance Plan for OMB Memorandum M-25-21 (FY25),2025,2025-09-29,14,M-25-21,no,yes,https://www.ntsb.gov/Documents/M-25-21%20Compliance%20Plan%20FY25%20Final.pdf,documents/NTSB/NTSB__m-25-21-compliance-plan__2025.pdf,Downloaded,2026-05-21,NTSB M-25-21 compliance plan finalized ~Sept 29 2025; maintains a Data Governance Body consistent with M-25-21.
OPM,Office of Personnel Management,Independent,Office of Personnel Management,M-25-21 AI Strategy,Office of Personnel Management AI Strategy for OMB Memorandum M-25-21,2025,,7,M-25-21,no,yes,https://www.opm.gov/ai/references/opm-ai-strategy.pdf,documents/OPM/OPM__m-25-21-ai-strategy__2025.pdf,Downloaded,2026-05-21,7-page OPM AI strategy filed under M-25-21.
OPM,Office of Personnel Management,Independent,Office of Personnel Management,M-25-21 Compliance Plan,Office of Personnel Management AI Compliance Plan for OMB Memorandum M-25-21,2025,,7,M-25-21,no,yes,https://www.opm.gov/ai/references/opm-ai-compliance-plan.pdf,documents/OPM/OPM__m-25-21-compliance-plan__2025.pdf,Downloaded,2026-05-21,OPM M-25-21 compliance plan; living document; references AI Governance Board.
OSC,U.S. Office of Special Counsel,Independent,U.S. Office of Special Counsel,M-25-21 Compliance Plan,Office of Special Counsel Artificial Intelligence Compliance Plan for OMB Memorandum M-25-21,2025,2025-09-22,3,M-25-21,no,yes,https://www.osc.gov/~assets/docs/osc-compliance-plan-for-omb-m-25-21.pdf,documents/OSC/OSC__ai-compliance-plan__2025.pdf,Downloaded,2026-05-21,"Dated 09/22/2025; CAIO: James Walters. OSC announced a standalone AI policy in Oct 2024 (news release, excluded). Per this plan OSC was still developing its generative AI policy (M-25-21 270-day deadline) as of Sept 2025."
PBGC,Pension Benefit Guaranty Corporation,Independent,Pension Benefit Guaranty Corporation,M-25-21 Compliance Plan,PBGC AI Compliance Plan,2025,,7,M-25-21,no,yes,https://www.pbgc.gov/sites/default/files/documents/pbgc-ai-compliance-plan.pdf,documents/PBGC/PBGC__m-25-21-compliance-plan__2025.pdf,Downloaded,2026-05-21,PBGC M-25-21 compliance plan.
PBGC,Pension Benefit Guaranty Corporation,Independent,Pension Benefit Guaranty Corporation,Generative AI Policy,PBGC Generative AI Policy Guidance,2026,2026-02-05,8,M-25-21,no,yes,https://www.pbgc.gov/documents/pbgc-generative-ai-policy-guidance,documents/PBGC/PBGC__generative-ai-policy-guidance__2026.pdf,Downloaded,2026-05-21,PBGC genAI policy guidance; PBGC AI page lists Last Updated 2026-02-05. URL redirects to a PDF.
SBA,Small Business Administration,Independent,Small Business Administration,M-24-10 Compliance Plan,SBA M-24-10 Implementation Plan for AI,2024,2024-09,17,M-24-10,yes,yes,https://www.sba.gov/sites/default/files/2024-10/Final%20508-Compliant%20SBA%20M-24-10%20Implementation%20Plan%20for%20AI%20-%20September%202024.pdf,documents/SBA/SBA__m-24-10-implementation-plan__2024.pdf,Downloaded,2026-05-21,September 2024 M-24-10 implementation/compliance plan. Marked superseded by M-25-21 regime; no public SBA M-25-21 compliance plan or AI strategy found.
SEC,Securities and Exchange Commission,Independent,Securities and Exchange Commission,M-24-10 Compliance Plan,U.S. Securities and Exchange Commission Compliance Plan for OMB Memorandum M-24-10,2024,2024-09,5,M-24-10,yes,yes,https://www.sec.gov/files/sec-ai-compliance-plan.pdf,documents/SEC/SEC__m-24-10-compliance-plan__2024.pdf,Downloaded,2026-05-21,"PDF at sec.gov/files/sec-ai-compliance-plan.pdf is the Sept 2024 M-24-10 plan (prepared by David Bottom, CAIO), NOT an M-25-21 plan. Downloaded via Wayback (sec.gov rate-limits curl). No public SEC M-25-21 compliance plan or AI strategy found."
SSA,Social Security Administration,Independent,Social Security Administration,Historical AI Strategy,SSA Enterprise Artificial Intelligence Strategy Report,2024,,13,none,no,yes,https://www.ssa.gov/ai/policy/SSA%20Enterprise%20Artificial%20Intelligence%20Strategy%20Report.pdf,documents/SSA/SSA__enterprise-ai-strategy-report__2025.pdf,Downloaded,2026-05-21,"Standalone enterprise AI strategy; referenced as pre-existing in the M-24-10 plan, so likely 2023-2024 vintage. Exact publication date not stated on cover; year inferred. Downloaded via Wayback Machine."
SSA,Social Security Administration,Independent,Social Security Administration,M-24-10 Compliance Plan,Social Security Administration Compliance Plan for OMB Memoranda M-24-10,2024,,9,M-24-10,yes,yes,https://www.ssa.gov/ai/policy/SSA%20M-24-10%20Compliance%20Plan.pdf,documents/SSA/SSA__m-24-10-compliance-plan__2024.pdf,Downloaded,2026-05-21,"2024-vintage M-24-10 compliance plan, superseded by M-25-21 plan. Downloaded from ACLU-MA mirror (ssa.gov blocks curl)."
SSA,Social Security Administration,Independent,Social Security Administration,M-25-21 Compliance Plan,Social Security Administration Compliance Plan for OMB Memorandum M-25-21,2025,,,M-25-21,no,yes,https://www.ssa.gov/ai/policy/SSA%20AI%20Compliance%20Plan.pdf,,Link only,2026-05-21,SSA M-25-21 compliance plan; URL confirmed live but ssa.gov hard-blocks curl/WebFetch and the file is not in the Wayback Machine. Not downloadable.
State,Department of State,Cabinet,Department of State,Historical AI Strategy,Department of State Enterprise Artificial Intelligence Strategy 2024-2025,2023,2023-11,14,none,yes,yes,https://www.state.gov/wp-content/uploads/2023/11/Department-of-State-Enterprise-Artificial-Intelligence-Strategy.pdf,documents/State/State__enterprise-ai-strategy__2023.pdf,Downloaded,2026-05-21,"First State Enterprise AI Strategy (covering 2024-2025), posted Nov 2023, predating the OMB memos; superseded by the 2025 EDAS."
State,Department of State,Cabinet,Office of the Chief Data and AI Officer (CDAO) / Enterprise Data and AI Council,M-25-21 AI Strategy,Department of State Enterprise Data & Artificial Intelligence Strategy,2025,2025-09-30,17,M-25-21,no,yes,https://www.state.gov/wp-content/uploads/2025/09/Department-of-State-Enterprise-Data-and-AI-Strategy.pdf,documents/State/State__enterprise-data-and-ai-strategy__2025.pdf,Downloaded,2026-05-21,The EDAS serves as the M-25-21 180-day AI strategy (completed by Sept 30 2025 deadline). 17-page PDF.
State,Department of State,Cabinet,Office of the Chief Data and AI Officer (CDAO),M-25-21 Compliance Plan,Department of State Compliance Plan for OMB Memorandum M-25-21,2025,2025-09-30,13,M-25-21,no,yes,https://www.state.gov/wp-content/uploads/2025/09/DOS-Compliance-Plan-with-M-25-21.pdf,documents/State/State__m-25-21-compliance-plan__2025.pdf,Downloaded,2026-05-21,Compliance plan; Enterprise Data and AI Council (EDAC) serves as the AI Governance Board.
Treasury,Department of the Treasury,Cabinet,Department of the Treasury,M-25-21 AI Strategy,U.S. Department of the Treasury's AI Strategy for OMB Memorandum M-25-21,2025,2025-09,5,M-25-21,no,yes,https://home.treasury.gov/system/files/136/Treasury-AI-Strategy.pdf,documents/Treasury/Treasury__m-25-21-ai-strategy__2025.pdf,Downloaded,2026-05-21,"Prepared by Paras Malik, CAIO; issued by Secretary Scott Bessent. Dated September 2025."
Treasury,Department of the Treasury,Cabinet,Department of the Treasury,M-25-21 Compliance Plan,U.S. Department of the Treasury Compliance Plan for OMB Memorandum M-25-21,2025,2025-09,3,M-25-21,no,yes,https://home.treasury.gov/system/files/136/Treasury-Compliance-Plan.pdf,documents/Treasury/Treasury__m-25-21-compliance-plan__2025.pdf,Downloaded,2026-05-21,"Prepared by Paras Malik, CAIO; issued by Secretary Scott Bessent. References Acceptable Use Policy for AI tools (genAI policy not separately posted)."
TVA,Tennessee Valley Authority,Independent,Tennessee Valley Authority,M-25-21 Compliance Plan,TVA Compliance Plan for OMB Memorandum M-25-21 (FY25),2025,2025-07,7,M-25-21,no,yes,https://www.tva.com/information/artificial-intelligence,documents/TVA/TVA__m-25-21-compliance-plan__2025.pdf,Downloaded,2026-05-21,7-page M-25-21 compliance plan prepared July 2025 by VP Cybersecurity/CISO; downloaded from TVA Azure CDN linked off tva.com/information/artificial-intelligence.
USDA,Department of Agriculture,Cabinet,Department of Agriculture,M-24-10 Compliance Plan,USDA AI Compliance Plan - FY2024,2024,2024-09,10,M-24-10,yes,yes,https://www.usda.gov/sites/default/files/documents/usda-ai-compliance-plan-fy2024.pdf,documents/USDA/USDA__m-24-10-compliance-plan__2024.txt,Link only,2026-05-21,2024 M-24-10 compliance plan; superseded by 2025 M-25-21 plan. Original PDF unreachable from this environment; content captured as text via render proxy.
USDA,Department of Agriculture,Cabinet,Department of Agriculture,M-25-21 AI Strategy,United States Department of Agriculture Fiscal Year 2025-2026 AI Strategy,2025,2025,18,M-25-21,no,yes,https://www.usda.gov/sites/default/files/documents/fy-2025-2026-usda-ai-strategy.pdf,documents/USDA/USDA__ai-strategy-fy2025-2026__2025.txt,Link only,2026-05-21,USDA inaugural FY2025-2026 AI strategy serving as the M-25-21 strategy. Original PDF unreachable from this environment (usda.gov resets connection); content captured as text via render proxy. Year 2025 inferred from FY2025-2026 title.
USDA,Department of Agriculture,Cabinet,Department of Agriculture,M-25-21 Compliance Plan,USDA AI Compliance Plan for OMB Memorandum M-25-21,2025,2025-10,6,M-25-21,no,yes,https://www.usda.gov/sites/default/files/documents/usda-ai-compliance-plan-fy-2025-2026.pdf,documents/USDA/USDA__m-25-21-compliance-plan__2025.txt,Link only,2026-05-21,"M-25-21 compliance plan, October 2025. Original PDF unreachable from this environment; content captured as text via render proxy."
USITC,U.S. International Trade Commission,Independent,USITC Chief AI Officer / AI Governance Board,M-25-21 Compliance Plan,U.S. International Trade Commission Compliance Plan for OMB Memorandum M-25-21,2025,2025,2,M-25-21,no,yes,https://www.usitc.gov/documents/ai/usitc_ai_compliance_plan.pdf,documents/USITC/USITC__m-25-21-compliance-plan__2025.pdf,Downloaded,2026-05-21,"USITC compliance plan; CAIO is William Powers, AI Governance Board retained. No high-impact AI use cases identified. Year 2025 from M-25-21 cycle."
USTDA,U.S. Trade and Development Agency,Independent,U.S. Trade and Development Agency,M-25-21 Compliance Plan,U.S. Trade and Development Agency (USTDA) AI Compliance Plan for OMB Memorandum M-25-21,2025,2025-09-30,7,M-25-21,no,yes,https://www.ustda.gov/ai/,documents/USTDA/USTDA__ai-compliance-plan__2025.pdf,Downloaded,2026-05-21,"M-25-21 compliance plan dated Sept 30, 2025 (document title references M-25-21 and M-25-22 despite landing-page text citing M-24-10)."
VA,Department of Veterans Affairs,Cabinet,VA Office of Information and Technology,Generative AI Policy,Guidance for Generative AI Use at VA,2023,2023-07,3,none,no,yes,https://department.va.gov/ai/guidance-for-generative-ai-use-at-va/,documents/VA/VA__generative-ai-guidance__2025.html,Downloaded,2026-05-21,"Internal generative AI guidance first published July 2023, reviewed/confirmed consistent with M-25-21; web page updated through Jan 2026, saved as HTML."
VA,Department of Veterans Affairs,Cabinet,VA Office of Information and Technology,Other Department AI Policy / Guidance,VA Trustworthy AI Framework,2023,2023-07,1,none,no,yes,https://department.va.gov/ai/trustworthy-ai/,documents/VA/VA__trustworthy-ai-framework__2023.html,Downloaded,2026-05-21,"Trustworthy AI Framework adopted July 2023; in line with M-25-21. Web page, saved as HTML."
VA,Department of Veterans Affairs,Cabinet,VA Office of Information and Technology / Chief AI Officer,M-24-10 Compliance Plan,Department of Veterans Affairs Compliance Plan for OMB Memorandum M-24-10,2024,,10,M-24-10,yes,yes,https://department.va.gov/ai/department-of-veterans-affairs-compliance-plan-for-omb-memorandum-m-24-10/,documents/VA/VA__m-24-10-compliance-plan__2024.html,Downloaded,2026-05-21,"2024-vintage compliance plan; web page (no PDF), saved as HTML. Superseded by the M-25-21 plan. Year 2024 from M-24-10 deadline."
VA,Department of Veterans Affairs,Cabinet,VA Office of Information and Technology / Chief AI Officer,M-25-21 Compliance Plan,Department of Veterans Affairs Compliance Plan for OMB Memorandum M-25-21,2025,,6,M-25-21,no,yes,https://department.va.gov/ai/department-of-veterans-affairs-compliance-plan-for-omb-memorandum-m-25-21/,documents/VA/VA__m-25-21-compliance-plan__2025.html,Downloaded,2026-05-21,"M-25-21 compliance plan; web page (no PDF), saved as HTML. Year 2025 inferred from M-25-21 ~Sept 2025 deadline."
VA,Department of Veterans Affairs,Cabinet,VA Office of Information and Technology / Chief AI Officer,M-25-21 AI Strategy,Building the Future: VA’s Strategy for Adopting High-Impact Artificial Intelligence to Improve Services for Veterans,2026,2026-01-06,7,M-25-21,no,yes,https://department.va.gov/ai/building-the-future-vas-strategy-for-adopting-high-impact-artificial-intelligence-to-improve-services-for-veterans/,documents/VA/VA__building-the-future-ai-strategy__2025.html,Downloaded,2026-05-21,"VA AI strategy aligned to M-25-21/M-25-22; web page (no PDF), saved as HTML. Page footer last-updated 2026-01-06. Serves as the agency M-25-21 AI strategy."
EOP,Executive Office of the President,White House / OMB,The White House,Executive Order,Executive Order 13960: Promoting the Use of Trustworthy Artificial Intelligence in the Federal Government,2020,2020-12-03,5,,no,yes,https://www.govinfo.gov/content/pkg/FR-2020-12-08/pdf/2020-27065.pdf,documents/_governing/EO-13960__promoting-trustworthy-ai__2020.pdf,Downloaded,2026-05-21,Trump (first term). Established the federal AI use case inventory requirement; not formally rescinded.
EOP,Executive Office of the President,White House / OMB,The White House,Executive Order,"Executive Order 14110: Safe, Secure, and Trustworthy Development and Use of Artificial Intelligence",2023,2023-10-30,36,,yes,yes,https://www.govinfo.gov/content/pkg/FR-2023-11-01/pdf/2023-24283.pdf,documents/_governing/EO-14110__safe-secure-trustworthy-ai__2023.pdf,Downloaded,2026-05-21,"Biden administration. Rescinded by EO 14148 (Jan 20, 2025); M-24-10 implemented it."
EOP,Executive Office of the President,White House / OMB,The White House,Executive Order,Executive Order 14179: Removing Barriers to American Leadership in Artificial Intelligence,2025,2025-01-23,2,,no,yes,https://www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02172.pdf,documents/_governing/EO-14179__removing-barriers-american-ai-leadership__2025.pdf,Downloaded,2026-05-21,Trump administration. Current AI executive order; M-25-21 and M-25-22 implement it.
OMB,Office of Management and Budget,White House / OMB,Office of Management and Budget,OMB Memorandum,"OMB Memorandum M-24-10: Advancing Governance, Innovation, and Risk Management for Agency Use of Artificial Intelligence",2024,2024-03-28,34,,yes,yes,https://bidenwhitehouse.archives.gov/wp-content/uploads/2024/03/M-24-10-Advancing-Governance-Innovation-and-Risk-Management-for-Agency-Use-of-Artificial-Intelligence.pdf,documents/_governing/OMB-M-24-10__advancing-governance-innovation-risk-management__2024.pdf,Downloaded,2026-05-21,Biden administration; implemented EO 14110. Rescinded and replaced by M-25-21. Pulled from the Biden White House archive (no longer on whitehouse.gov).
OMB,Office of Management and Budget,White House / OMB,Office of Management and Budget,OMB Memorandum,"OMB Memorandum M-25-21: Accelerating Federal Use of AI through Innovation, Governance, and Public Trust",2025,2025-04-03,25,,no,yes,https://www.whitehouse.gov/wp-content/uploads/2025/02/M-25-21-Accelerating-Federal-Use-of-AI-through-Innovation-Governance-and-Public-Trust.pdf,documents/_governing/OMB-M-25-21__accelerating-federal-use-of-ai__2025.pdf,Downloaded,2026-05-21,Trump administration; implements EO 14179. Rescinded and replaced M-24-10. The memo agency M-25-21 strategies/plans respond to.
OMB,Office of Management and Budget,White House / OMB,Office of Management and Budget,OMB Memorandum,OMB Memorandum M-25-22: Driving Efficient Acquisition of Artificial Intelligence in Government,2025,2025-04-03,13,,no,yes,https://www.whitehouse.gov/wp-content/uploads/2025/02/M-25-22-Driving-Efficient-Acquisition-of-Artificial-Intelligence-in-Government.pdf,documents/_governing/OMB-M-25-22__driving-efficient-acquisition-of-ai__2025.pdf,Downloaded,2026-05-21,Trump administration; companion AI procurement memo to M-25-21. Implements EO 14179.
