service,category,confidence,reasoning,signals,model,input_hash,classified_at,source
Bastion,not_ai,high,Oracle Cloud Infrastructure secure bastion host access service.,"[""Bastion""]",claude-sonnet-5,5ca96c9f9de0bd85,2026-07-04T21:37:29Z,llm
Batch,not_ai,high,Azure Batch compute job scheduling service.,"[""Batch""]",claude-sonnet-5,844e428264e81973,2026-07-04T21:37:29Z,llm
Batch*,not_ai,high,Google Cloud Batch job scheduling/compute service.,"[""Batch""]",claude-sonnet-5,53a752862c56ac89,2026-07-04T21:37:29Z,llm
Benefits (Benefit Plan Administration),not_ai,high,NEOGOV HR benefits administration module.,"[""Benefit Plan Administration"", ""Human Capital Management""]",claude-sonnet-5,195aef7c9c66271a,2026-07-04T21:37:29Z,llm
Beyond Identity,not_ai,high,"Passwordless cryptographic identity/authentication provider, not ML-based biometric verification.","[""Beyond Identity""]",claude-sonnet-5,3503c956c781f6bb,2026-07-04T21:37:29Z,llm
Bidding and Tendering,not_ai,high,Construction procurement/tendering module within Oracle Aconex.,"[""Bidding and Tendering"", ""construction industry""]",claude-sonnet-5,8509f3ad5bc99c1d,2026-07-04T21:37:29Z,llm
Big Data Service,not_ai,high,"Oracle managed Hadoop/Spark big-data infrastructure service, not an AI capability itself.","[""Big Data Service""]",claude-sonnet-5,7a8d78c7f5c4b6ad,2026-07-04T21:37:29Z,llm
BigID,ai_featured,medium,"Data security/privacy governance platform whose core discovery and classification of sensitive data relies on embedded ML/NLP models, though the product is broader than a pure AI API.","[""BigID"", ""data discovery"", ""classification""]",claude-sonnet-5,5fae45b5d56d7c3c,2026-07-05T02:04:54Z,qc_confirmed
BigQuery,not_ai,high,"Cloud data warehouse/analytics engine; core service is SQL analytics, not an AI capability (BigQuery ML is a separate add-on not named here).","[""BigQuery""]",claude-sonnet-5,03e8332ee076bfac,2026-07-04T21:37:29Z,llm
BigQuery Data Transfer Service,not_ai,high,Managed data ingestion/transfer service for BigQuery.,"[""Data Transfer Service""]",claude-sonnet-5,0f3c1adc56ea9443,2026-07-04T21:37:29Z,llm
Bigtable,not_ai,high,Google Cloud NoSQL wide-column database.,"[""Bigtable""]",claude-sonnet-5,b0330498d962beb7,2026-07-04T21:37:29Z,llm
Binary Authorization,not_ai,high,"GKE/container image signing and deploy-time policy enforcement, a security control not AI.","[""Binary Authorization""]",claude-sonnet-5,051bd61cfd8be876,2026-07-04T21:37:29Z,llm
Block Storage,not_ai,high,Oracle Cloud Infrastructure block storage volumes.,"[""Block Storage""]",claude-sonnet-5,7361267dbbc62baf,2026-07-04T21:37:29Z,llm
Bluescape API services,not_ai,medium,"APIs for Bluescape's visual collaboration workspace with n8n workflow automation; collaboration/automation tooling, not an AI capability.","[""Bluescape"", ""n8n"", ""workspace""]",claude-sonnet-5,caad045268566093,2026-07-04T21:37:29Z,llm
Bot Management,ai_featured,high,"Cloudflare's Bot Management uses machine learning models to distinguish automated bot traffic from humans, embedded within its broader security platform.","[""Bot Management"", ""Cloudflare""]",claude-sonnet-5,5e0dfb9f683d6b21,2026-07-05T02:04:54Z,qc_confirmed
Box Cloud Content Management Platform,not_ai,medium,"[QC overturn: The named unit is the core Box content-management/collaboration platform, which v1 places in not_ai (collaboration); Box AI is a thin recent add-on and the snippet's 'intelligent automation' refers to workflow (Box Relay), not material embedded AI.] Original: Broad content management/collaboration platform that markets embedded 'intelligent automation' and Box AI capabilities as material features alongside its core file/collaboration functions.","[""intelligent automation platform"", ""content management, collaboration""]",claude-sonnet-5,2ae60f7850acff48,2026-07-05T02:04:54Z,qc_corrected
BoxAI,core_ai,high,"Box's dedicated generative-AI feature for content Q&A, summarization, and extraction over documents.","[""BoxAI""]",claude-sonnet-5,c7d29890b769ad2f,2026-07-05T01:56:37Z,qc_confirmed
BoxApps,not_ai,medium,"Custom app/integration extensibility framework for Box, not an AI capability.","[""BoxApps""]",claude-sonnet-5,0149a135ec5c537c,2026-07-04T21:37:29Z,llm
BoxCanvas,not_ai,high,Visual whiteboard/canvas collaboration tool.,"[""BoxCanvas""]",claude-sonnet-5,019fafad99f89bd6,2026-07-05T01:56:37Z,qc_confirmed
BoxDrive,not_ai,high,"Desktop sync client for Box content, no AI capability.","[""BoxDrive""]",claude-sonnet-5,9cb91e42cde0cb4d,2026-07-04T21:37:29Z,llm
BoxGovernance,not_ai,high,"Retention/legal hold and compliance governance feature, not AI.","[""BoxGovernance""]",claude-sonnet-5,ba3d238cdc05f03a,2026-07-04T21:37:29Z,llm
BoxHubs,not_ai,low,"[QC overturn: Box Hubs is fundamentally a content-curation/portal surface; the AI Q&A it exposes is the separately-tagged Box AI product bolted across Box, not a material capability intrinsic to Hubs. Against a skeptic ai_featured is not defensible (label was itself low-confidence and self-doubting), so overturn to the weaker not_ai.] Original: Box's curated-content Hubs product is marketed with embedded AI Q&A/summarization over hub content, though it is fundamentally a content organization feature.","[""BoxHubs"", ""intelligent automation platform""]",claude-sonnet-5,c707aed494ac0dfe,2026-07-05T01:56:37Z,qc_corrected
BoxKeySafe,not_ai,high,"Customer-managed encryption key service, security/infrastructure not AI.","[""BoxKeySafe""]",claude-sonnet-5,c21dc43eb5727854,2026-07-04T21:37:29Z,llm
BoxMobile,not_ai,high,"Box's mobile client application, no AI capability.","[""BoxMobile""]",claude-sonnet-5,ca0b84cee2b03ee4,2026-07-04T21:37:29Z,llm
BoxNotes,not_ai,high,Collaborative note-taking/document editing tool.,"[""BoxNotes""]",claude-sonnet-5,0dd759896c5528ef,2026-07-04T21:37:29Z,llm
BoxPlatform (APIs),not_ai,medium,"General-purpose developer APIs for content upload/download/metadata management, not an AI capability itself.","[""BoxPlatform"", ""APIs""]",claude-sonnet-5,adb3821c435705a2,2026-07-04T21:37:29Z,llm
BoxRelay,not_ai,high,"Box Relay is a workflow/process automation tool for routing documents through approval steps, not an AI capability.","[""Relay"", ""workflow automation""]",claude-sonnet-5,1c9335197121f685,2026-07-04T21:37:29Z,llm
BoxShield,ai_featured,medium,"Box Shield is Box's built-in security product that uses machine learning to detect anomalous downloads, logins, and malicious content, embedded within the broader content platform.","[""Shield"", ""intelligent automation platform""]",claude-sonnet-5,8d7ba18f1d82c5c7,2026-07-05T02:04:54Z,qc_confirmed
BoxShuttle (Moderate),not_ai,high,"Box Shuttle is a content migration tool for moving data into Box, not an AI capability.","[""Shuttle"", ""migration""]",claude-sonnet-5,f8cbd95c217d7d54,2026-07-04T21:37:29Z,llm
BoxSign,not_ai,high,"Box Sign is an e-signature product, a document workflow feature with no AI/ML core.","[""Sign"", ""e-signature""]",claude-sonnet-5,7ec1a5423cd212d6,2026-07-04T21:37:29Z,llm
Breached Credentials Detection/Protection,not_ai,medium,"This Okta capability checks user credentials against known breach databases (hash-matching), which is a lookup/rules mechanism rather than an ML model.","[""Breached Credentials"", ""identity and access management""]",claude-sonnet-5,35f299ab90f6e8f2,2026-07-04T21:37:29Z,llm
Broadband Over the Air Rekeying (BBOTAR),not_ai,high,"BBOTAR is a radio encryption key management protocol for mission-critical communications, unrelated to AI/ML.","[""Over the Air Rekeying"", ""mission critical communications""]",claude-sonnet-5,0e3889f7740b1d5e,2026-07-04T21:37:29Z,llm
Budget,not_ai,high,"Concur's Budget module is standard travel/expense budgeting functionality, not an AI feature.","[""Budget"", ""travel and expense""]",claude-sonnet-5,c897e92114f7eee1,2026-07-04T21:37:29Z,llm
Budgets,not_ai,high,"Oracle Cloud Infrastructure Budgets is a cost-management/spend-tracking tool, not an AI capability.","[""Budgets"", ""Oracle Cloud Infrastructure""]",claude-sonnet-5,01461a31d8d54aa7,2026-07-04T21:37:29Z,llm
Business Application Platform,not_ai,low,"Appears to be a generic umbrella/infrastructure designation for the Dynamics/Power Platform environment hosting the neighboring CDS/CRM/CAP services, not a named AI product itself.","[""Business Application Platform"", ""Azure Commercial Cloud""]",claude-sonnet-5,4895b89222972bf2,2026-07-05T01:56:37Z,qc_confirmed
Business Performance Reviews,not_ai,high,"A PagerDuty reporting/review feature for operational metrics, not an AI capability.","[""Performance Reviews"", ""PagerDuty""]",claude-sonnet-5,c4e001b1e0523331,2026-07-04T21:37:29Z,llm
Business Service Subscription,not_ai,high,"A subscription/licensing management construct within PagerDuty, not AI-related.","[""Subscription"", ""PagerDuty""]",claude-sonnet-5,75c4d9912794f90d,2026-07-04T21:37:29Z,llm
Business and Technical Services and Dependencies,not_ai,high,"A service-dependency mapping/documentation feature in PagerDuty, not an AI/ML capability.","[""Dependencies"", ""PagerDuty""]",claude-sonnet-5,cc8066bc748c2d43,2026-07-04T21:37:29Z,llm
C3 AI,core_ai,high,"C3 AI is a well-known enterprise AI/ML application-development platform (predictive maintenance, fraud detection, etc.), offered here as an authorized service on SMX's PaaS.","[""C3 AI"", ""Intelligent Automation Platform""]",claude-sonnet-5,fe0378be7c2435bf,2026-07-05T01:56:37Z,qc_confirmed
CAMS AI Bot,core_ai,high,"Explicitly named as an AI bot/chat assistant, matching the core_ai category directly.","[""AI Bot"", ""CAMS""]",claude-sonnet-5,4bef78dfc5801bc3,2026-07-05T01:56:37Z,qc_confirmed
CAP Admin Deflection Service,not_ai,low,Internal admin service name with an unclear 'CAP' acronym; no catalog evidence this is an AI-driven case-deflection feature rather than generic workload routing.,"[""CAP Admin"", ""Deflection Service""]",claude-sonnet-5,950645bfee00a961,2026-07-05T01:56:37Z,qc_confirmed
CAP Admin Sandbox Operations Service,not_ai,medium,"An internal sandbox/operations administration service, not an AI capability.","[""Sandbox Operations"", ""CAP Admin""]",claude-sonnet-5,33004d6bbe6135b6,2026-07-04T21:37:29Z,llm
CAP Core Services,not_ai,medium,"Generic core infrastructure services for an internal platform, not AI-related.","[""Core Services"", ""CAP""]",claude-sonnet-5,6b86a2a876ff3d55,2026-07-04T21:37:29Z,llm
CAP Package Deployer Service,not_ai,medium,"A deployment/packaging automation service, not an AI/ML capability.","[""Package Deployer"", ""CAP""]",claude-sonnet-5,11c40149ee1d3558,2026-07-04T21:37:29Z,llm
CASB,not_ai,medium,Cloud Access Security Broker functionality is primarily policy enforcement and visibility/DLP; core function is access control rather than an ML detection engine.,"[""CASB"", ""Cloudflare for Government""]",claude-sonnet-5,bd5dae2732d03c0e,2026-07-04T21:37:29Z,llm
CDS API,not_ai,high,"Common Data Service (Dataverse) API is a generic data-platform interface, not an AI capability.","[""CDS API"", ""Azure Commercial Cloud""]",claude-sonnet-5,ed6c5c557e73e9a1,2026-07-04T21:37:29Z,llm
CDS SandBox,not_ai,high,"A sandbox environment for the Common Data Service, not AI-related.","[""CDS SandBox""]",claude-sonnet-5,0650bf7ffe68790b,2026-07-04T21:37:29Z,llm
CIS/STIG Hardened Operating System Gold Images,not_ai,high,"Pre-hardened VM images for compliance baselines; pure infrastructure, no AI/ML component.","[""Hardened Operating System"", ""Gold Images""]",claude-sonnet-5,9fa34b1abab2ef43,2026-07-04T21:37:29Z,llm
CMMC In a Box,ai_featured,medium,"Hosted on Ask Sage, a generative-AI platform built on Bedrock/Azure OpenAI/Vertex; this appears to be a packaged compliance assistant/toolkit leveraging that underlying GenAI capability rather than being a raw model-hosting service itself.","[""CMMC In a Box"", ""Generative AI platform"", ""Ask Sage""]",claude-sonnet-5,6fabf085296e73d7,2026-07-05T02:04:54Z,qc_confirmed
CRM Activity Logging,not_ai,high,"Standard CRM activity/audit logging, not AI.","[""Activity Logging""]",claude-sonnet-5,f975727a6ef0b1e2,2026-07-04T21:37:29Z,llm
CRM Admin API,not_ai,high,"An administrative API for CRM configuration, not AI-related.","[""Admin API""]",claude-sonnet-5,b68be02f72381a20,2026-07-04T21:37:29Z,llm
"CRM Analytics (formerly Tableau CRM and Einstein Analytics) - including Analytics Platform, Einstein Discovery – Analyst, Einstein Discovery – User, Sales Analytics App, and Service Analytics App",core_ai,high,"Explicitly includes Einstein Discovery, Salesforce's automated ML-based predictive analytics and statistical driver-discovery engine, making this a core AI/ML capability rather than a plain BI tool.","[""Einstein Discovery"", ""Einstein Analytics"", ""predictive""]",claude-sonnet-5,af0c7547cebed181,2026-07-05T01:56:37Z,qc_confirmed
CRM Cloud Provisioning Service,not_ai,high,"Infrastructure provisioning service for CRM tenants, not AI.","[""Cloud Provisioning""]",claude-sonnet-5,151eaed1a17ce840,2026-07-04T21:37:29Z,llm
CRM Cloud Scale Groups,not_ai,high,"Scaling/capacity grouping infrastructure for CRM, not AI.","[""Cloud Scale Groups""]",claude-sonnet-5,b5ed0754c28004b1,2026-07-04T21:37:29Z,llm
CRM Cloud Sync Service,not_ai,high,"Data synchronization service for CRM, not AI.","[""Cloud Sync""]",claude-sonnet-5,fd3b6ddf29f951da,2026-07-04T21:37:29Z,llm
CRM First Party Integration Service,not_ai,high,"An integration/connector service between first-party Microsoft apps and CRM, not AI.","[""First Party Integration""]",claude-sonnet-5,d9cb6203afc7ea57,2026-07-04T21:37:29Z,llm
CRM Global Discovery Service,not_ai,high,"A tenant/endpoint discovery/lookup service, not an AI 'discovery' analytics tool despite the name.","[""Global Discovery Service""]",claude-sonnet-5,2a82495d9e163a72,2026-07-04T21:37:29Z,llm
CRM Marketplace Service,not_ai,high,"App marketplace/listing service for CRM add-ons, not AI.","[""Marketplace Service""]",claude-sonnet-5,5c5a4270392e8724,2026-07-04T21:37:29Z,llm
CRM Portal Provisioning (SiteWide),not_ai,high,"Provisioning infrastructure for CRM web portals, not AI.","[""Portal Provisioning""]",claude-sonnet-5,9d974d49be470140,2026-07-04T21:37:29Z,llm
CRM Portals,not_ai,high,"Customer/partner self-service web portals for CRM, not AI.","[""Portals""]",claude-sonnet-5,c25d4cf2758fa4f1,2026-07-04T21:37:29Z,llm
CRM Reports (SSRS),not_ai,high,"SQL Server Reporting Services-based reporting for CRM, a standard BI/reporting feature, not AI.","[""SSRS"", ""Reports""]",claude-sonnet-5,79dd84362a38e93b,2026-07-04T21:37:29Z,llm
CRM Sitewide Servers,not_ai,high,"Underlying server infrastructure for CRM, not AI.","[""Sitewide Servers""]",claude-sonnet-5,c030b2c5ab6e35f7,2026-07-04T21:37:29Z,llm
CRM Trial Signup Service,not_ai,high,"A trial account signup/provisioning service, not AI.","[""Trial Signup""]",claude-sonnet-5,5376df9cb34870be,2026-07-04T21:37:29Z,llm
CRM Trusted Published System,not_ai,high,"A publishing/trust-boundary infrastructure designation for CRM systems, not AI.","[""Trusted Published System""]",claude-sonnet-5,c4d9033218cc64d9,2026-07-04T21:37:29Z,llm
CSAM – CyberSecurity Asset Management,not_ai,medium,Qualys CSAM is primarily an asset inventory and vulnerability/risk management tool; core function is discovery and cataloging rather than an ML detection engine.,"[""CyberSecurity Asset Management"", ""Qualys Cloud Platform""]",claude-sonnet-5,fc57a5394f5b6dba,2026-07-04T21:37:29Z,llm
CX Insights (formerly Conversational Insights),core_ai,high,"This is Google's Contact Center AI Insights product, which applies NLP (topic modeling, sentiment/intent analysis) to analyze customer conversations.","[""Conversational Insights"", ""Google Services""]",claude-sonnet-5,b8e109e849bf89f1,2026-07-05T01:56:37Z,qc_confirmed
Cache Reserve,not_ai,high,"Cloudflare Cache Reserve is a CDN caching/storage optimization feature, not AI.","[""Cache Reserve"", ""Cloudflare""]",claude-sonnet-5,4f0e1f7f8f307cff,2026-07-04T21:37:29Z,llm
Calabrio Workforce Engagement Management,not_ai,medium,"Calabrio's WEM suite is primarily workforce scheduling, recording, and quality management; while some analytics add-ons exist, the named service is the broader WEM platform, not an AI-specific feature.","[""Workforce Engagement Management"", ""Calabrio""]",claude-sonnet-5,1e7ba744a46bce71,2026-07-04T21:37:29Z,llm
Calendar,not_ai,high,"Google Workspace Calendar is a standard scheduling application, not AI.","[""Calendar"", ""Google Workspace""]",claude-sonnet-5,1c52305399eee324,2026-07-04T21:37:29Z,llm
Callisto Learning Platform powered by Moodle™,not_ai,high,"A Moodle-based learning management system for training content delivery, not AI.","[""Learning Platform"", ""Moodle""]",claude-sonnet-5,371635a31cdd6ea0,2026-07-04T21:37:29Z,llm
Capital Planning,not_ai,medium,"Named for a generic capital-planning/construction-management feature; the 'AI-powered' phrase in the snippet describes the host CSO's marketing generally, not a documented AI capability of this specific service.","[""Capital Planning"", ""AI-powered platform (host marketing, not service-specific)""]",claude-sonnet-5,409c0ec41745a8fc,2026-07-05T01:56:37Z,qc_confirmed
Career Voyager Talent Platform,not_ai,high,"A career/talent-development platform for employee learning paths, not AI.","[""Talent Platform"", ""Career Voyager""]",claude-sonnet-5,e769dde9fea5c94b,2026-07-04T21:37:29Z,llm
Carrier Shipping and rating,not_ai,high,"A shipping-rate lookup/carrier integration feature for mail/shipping management, not AI.","[""Shipping and rating"", ""Carrier""]",claude-sonnet-5,5aad478a4864ea2a,2026-07-04T21:37:29Z,llm
Cellar Server (Rsync file backups),not_ai,high,"An rsync-based file backup server, pure infrastructure, not AI.","[""Rsync file backups"", ""Cellar Server""]",claude-sonnet-5,16523734e0217f40,2026-07-05T01:56:37Z,qc_confirmed
Celonis Process Mining (CPM4),ai_featured,medium,"Celonis Process Mining applies algorithmic/ML techniques (process discovery, conformance checking, predictive recommendations) to event-log data, making AI/ML a material embedded capability of the product.","[""Process Mining"", ""Celonis""]",claude-sonnet-5,352f01f14f8ba9b0,2026-07-05T02:04:54Z,qc_confirmed
Central Reconciliation,not_ai,high,"A financial reconciliation feature within Concur's travel/expense suite, not AI.","[""Reconciliation"", ""Concur""]",claude-sonnet-5,df21abbd4f836e1f,2026-07-04T21:37:29Z,llm
Certificate Authority Service,not_ai,high,"PKI/certificate issuance service, a security/infrastructure function with no ML component.","[""Certificate Authority"", ""GCP infrastructure""]",claude-sonnet-5,5a44674b67ac6d07,2026-07-05T01:56:37Z,qc_confirmed
Certificate Manager,not_ai,high,"Certificate lifecycle management tool, purely infrastructure/PKI.","[""Certificate Manager"", ""GCP""]",claude-sonnet-5,4cbc02bf4aba7417,2026-07-04T21:37:29Z,llm
Certificate View,not_ai,high,"Qualys CertView is a certificate inventory/monitoring tool, not an AI capability.","[""Certificate"", ""Qualys Cloud Platform""]",claude-sonnet-5,756637db5fe4fbc2,2026-07-05T01:56:37Z,qc_confirmed
Certificates,not_ai,high,"Oracle Cloud Infrastructure certificate management service, infrastructure/PKI function.","[""Certificates"", ""OCI""]",claude-sonnet-5,bed9ab201cdace97,2026-07-04T21:37:29Z,llm
Chain Management,not_ai,low,Generic Azure service name with no clear AI/ML function evident; likely a workflow or supply-chain management tool.,"[""Chain Management"", ""Azure Commercial Cloud""]",claude-sonnet-5,6879ef265e16f282,2026-07-05T01:56:37Z,qc_confirmed
Change Correlation,not_ai,low,PagerDuty feature for correlating change events with incidents; name doesn't indicate an AI product even though the host platform mentions general 'intelligent aggregation.',"[""Change Correlation"", ""event orchestration"", ""intelligent aggregation""]",claude-sonnet-5,243aac2bea12925a,2026-07-05T01:56:37Z,qc_confirmed
Change Events,not_ai,high,"A PagerDuty event feed/log for tracking changes, not an AI capability.","[""Change Events"", ""PagerDuty""]",claude-sonnet-5,edbdd8ee876429a3,2026-07-04T21:37:29Z,llm
Charlotte AI,core_ai,high,"CrowdStrike's generative-AI security analyst assistant, explicitly branded and functioning as a chat-based copilot.","[""Charlotte AI"", ""CrowdStrike Falcon"", ""Threat Intelligence""]",claude-sonnet-5,c95d0b2ac9ca85d5,2026-07-05T01:56:37Z,qc_confirmed
ChatOps*,not_ai,high,"ChatOps refers to running operational commands via chat/Slack integrations, not an AI/ML capability.","[""ChatOps"", ""PagerDuty""]",claude-sonnet-5,40a28ababa418e07,2026-07-04T21:37:29Z,llm
Chatter / Chatter Answers,not_ai,high,"Salesforce Chatter is an internal enterprise social-collaboration and Q&A feature, not an AI product.","[""Chatter"", ""Chatter Answers"", ""Salesforce CRM""]",claude-sonnet-5,1a47fafb53507250,2026-07-04T21:37:29Z,llm
Chrome Sync (Google Workspace for Education domains only),not_ai,high,"Browser settings/bookmark sync feature, purely a productivity/collaboration function.","[""Chrome Sync"", ""Google Workspace""]",claude-sonnet-5,9197337e98fa504e,2026-07-04T21:37:29Z,llm
Cisco Multicloud Defense for Government,not_ai,medium,"A cloud network security gateway (segmentation/firewalling across clouds), not an AI-branded product.","[""Multicloud Defense"", ""Cisco Security Cloud""]",claude-sonnet-5,a1ddcc243d83c438,2026-07-05T01:56:37Z,qc_confirmed
Cisco Secure Access for Government,not_ai,medium,"Cisco's SSE/ZTNA secure access product; a networking/identity security service, not an AI capability.","[""Secure Access"", ""Cisco Security Cloud""]",claude-sonnet-5,53b9de4e43ac374c,2026-07-04T21:37:29Z,llm
Cisco Secure Email Threat Defense for Government,ai_featured,medium,Cisco's email threat defense product uses ML-based detection models for phishing/BEC identification as a core embedded capability of a broader security product.,"[""Threat Defense"", ""Email"", ""Cisco Security Cloud""]",claude-sonnet-5,c4ec8b411e6cc0ad,2026-07-05T02:04:54Z,qc_confirmed
Cisco Security Cloud Control – Firewall Management for Government,not_ai,high,"Centralized firewall policy management console, a network security administration tool.","[""Firewall Management"", ""Security Cloud Control""]",claude-sonnet-5,1684c1ce18f8559a,2026-07-04T21:37:29Z,llm
Cisco Umbrella for Government,not_ai,high,"DNS-layer security / secure web gateway product, not an AI capability.","[""Umbrella"", ""Cisco Security Cloud""]",claude-sonnet-5,36587f96b4aeeb66,2026-07-04T21:37:29Z,llm
Civil Rights and Labor Management,not_ai,high,A compliance/labor-management module within a construction management platform; the host's 'AI-powered' language is marketing and doesn't describe this specific module.,"[""Civil Rights and Labor Management"", ""capital planning"", ""AI-powered platform (marketing)""]",claude-sonnet-5,68096231e6119101,2026-07-04T21:37:29Z,llm
Class for Zoom,not_ai,high,"A virtual classroom management add-on for Zoom, an education/collaboration tool with no AI function.","[""Class for Zoom"", ""Knox Systems""]",claude-sonnet-5,15552631b2209867,2026-07-04T21:37:29Z,llm
Classic Compute,not_ai,medium,"A Databricks compute/cluster type (VM-based compute resource), an infrastructure primitive rather than an AI/ML capability itself.","[""Classic Compute"", ""Databricks""]",claude-sonnet-5,b7891ed492a49e41,2026-07-04T21:37:29Z,llm
Classroom,not_ai,high,"Google Classroom is a learning-management/collaboration tool, not an AI capability.","[""Classroom"", ""Google Workspace""]",claude-sonnet-5,7b189debaf1511e7,2026-07-04T21:37:29Z,llm
Claude for Government (C4G),core_ai,high,"Anthropic's Claude large language model offered as a hosted service, a direct LLM/chat-assistant capability.","[""Claude for Government"", ""commercially available software"", ""PFCS-SS""]",claude-sonnet-5,2e94f0201005d930,2026-07-05T01:56:37Z,qc_confirmed
Client Web Services,not_ai,high,"SAP Concur travel-and-expense web service layer, a business application function with no AI component.","[""Client Web Services"", ""Concur"", ""travel and expense""]",claude-sonnet-5,559218e73dc1898c,2026-07-04T21:37:29Z,llm
Cloud Advisor,not_ai,low,"Oracle Cloud Advisor provides rule-based best-practice recommendations (cost/security/performance), not a marketed AI/ML product.","[""Cloud Advisor"", ""OCI"", ""recommendations""]",claude-sonnet-5,06185d9f5915e03b,2026-07-05T01:56:37Z,qc_confirmed
Cloud Asset Inventory,not_ai,high,"GCP resource inventory/metadata tracking service, an infrastructure management tool.","[""Asset Inventory"", ""GCP""]",claude-sonnet-5,6528682b855a70ef,2026-07-04T21:37:29Z,llm
Cloud Billing*,not_ai,high,"GCP billing/cost management service, not an AI capability.","[""Cloud Billing"", ""GCP""]",claude-sonnet-5,69c0e7e2053bcadc,2026-07-04T21:37:29Z,llm
Cloud Build,not_ai,high,"GCP CI/CD build service, a DevOps tool with no AI function.","[""Cloud Build"", ""GCP""]",claude-sonnet-5,e1581c2c675ee266,2026-07-04T21:37:29Z,llm
Cloud CDN*,not_ai,high,"GCP content delivery network, a networking/caching service.","[""Cloud CDN"", ""GCP""]",claude-sonnet-5,1c70b5fac777a54b,2026-07-04T21:37:29Z,llm
Cloud DNS,not_ai,high,"GCP managed DNS service, pure networking infrastructure.","[""Cloud DNS"", ""GCP""]",claude-sonnet-5,4e703a4ebf2abb69,2026-07-04T21:37:29Z,llm
Cloud Data Fusion,not_ai,medium,"GCP's visual/managed ETL data-integration service; a data pipeline tool, not an AI/ML product.","[""Data Fusion"", ""GCP""]",claude-sonnet-5,43e97a86cd218fd2,2026-07-04T21:37:29Z,llm
Cloud Data Loss Prevention API,ai_featured,medium,"Google's DLP API uses ML-based classifiers to detect and redact sensitive data (PII), an embedded ML capability within a data-governance/security service.","[""Data Loss Prevention API"", ""GCP""]",claude-sonnet-5,0a479dbe46810d66,2026-07-05T01:56:37Z,qc_confirmed
Cloud Deploy,not_ai,high,"GCP continuous-delivery/deployment service, a DevOps tool.","[""Cloud Deploy"", ""GCP""]",claude-sonnet-5,ebccf36d6bf5cf7a,2026-07-04T21:37:29Z,llm
Cloud Domains,not_ai,high,"GCP domain registration service, not an AI capability.","[""Cloud Domains"", ""GCP""]",claude-sonnet-5,1d3e6a303d11ebeb,2026-07-04T21:37:29Z,llm
Cloud Endpoints*,not_ai,high,"GCP API gateway/management service, infrastructure function.","[""Cloud Endpoints"", ""GCP""]",claude-sonnet-5,e9889eaa067383a5,2026-07-04T21:37:29Z,llm
Cloud Error Reporting*,not_ai,high,"GCP error aggregation/monitoring tool for application logs, not an AI product.","[""Cloud Error Reporting"", ""GCP""]",claude-sonnet-5,e44073a196368472,2026-07-04T21:37:29Z,llm
Cloud External Key Manager (Cloud EKM),not_ai,high,"GCP external key management for encryption keys, a security/infrastructure function.","[""Key Manager"", ""GCP""]",claude-sonnet-5,18aaa26c7965f138,2026-07-04T21:37:29Z,llm
Cloud Functions for Firebase*,not_ai,high,"Serverless compute functions for Firebase apps, an infrastructure/compute service.","[""Cloud Functions"", ""Firebase"", ""GCP""]",claude-sonnet-5,faae7044c8e0d531,2026-07-04T21:37:29Z,llm
Cloud Funnel,not_ai,medium,"SentinelOne's Cloud Funnel streams telemetry/log data to external SIEM/data lakes; a data-export pipeline feature, not itself an AI capability (the host's ML/behavioral-AI language describes the broader platform, not this specific function).","[""Cloud Funnel"", ""data lake"", ""machine learning algorithms (platform-level)""]",claude-sonnet-5,18b101c2339e1c05,2026-07-04T21:37:29Z,llm
Cloud Guard,ai_featured,medium,"Oracle Cloud Guard is a cloud security posture management service whose detection recipes include machine-learning-based anomaly detection, an embedded ML feature within a broader security monitoring product.","[""Cloud Guard"", ""OCI"", ""detector recipes""]",claude-sonnet-5,44941baf587be2c2,2026-07-05T02:04:54Z,qc_confirmed
Cloud Guard Instance Security,not_ai,low,An instance-level security monitoring sub-component of Oracle Cloud Guard; likely rule-based configuration/vulnerability checks rather than an ML feature.,"[""Instance Security"", ""Cloud Guard"", ""OCI""]",claude-sonnet-5,c5125fc4a3c281b8,2026-07-05T01:56:37Z,qc_confirmed
Cloud HSM (Hardware Security Module),not_ai,high,"Hardware-backed cryptographic key storage service, purely a security/infrastructure function.","[""Cloud HSM"", ""GCP""]",claude-sonnet-5,c72da53dba344a51,2026-07-04T21:37:29Z,llm
Cloud Healthcare API (formerly Cloud Healthcare),not_ai,medium,"A healthcare data interoperability/exchange API (FHIR/HL7), a data-integration service rather than an AI/NLP product.","[""Healthcare API"", ""GCP""]",claude-sonnet-5,44f243f37baf0abc,2026-07-04T21:37:29Z,llm
Cloud Identity,not_ai,high,"GCP identity and access management service, not an AI capability.","[""Cloud Identity"", ""GCP""]",claude-sonnet-5,021d97830aad767e,2026-07-04T21:37:29Z,llm
Cloud Infrastructure Entitlement Management,not_ai,medium,"SailPoint's CIEM tool manages cloud access entitlements; the host snippet's mention of 'AI-driven identity offerings' refers to other SailPoint products, not this specific CIEM function.","[""Cloud Infrastructure Entitlement Management"", ""SailPoint"", ""AI-driven identity offerings (other products)""]",claude-sonnet-5,7cbe992a2129f903,2026-07-04T21:37:29Z,llm
