canonical_name,vendor,product_type,is_generative_ai,proposed_parent_canonical_name,linking_use_case_ids,linking_consolidated_ids,confidence,reasoning,_agent
OpenAI Codex,OpenAI,coding_assistant,1,,,10480,high,"In code-generation bucket, ""Codex"" = OpenAI Codex.",agent_b
Zendesk AI,Zendesk,itsm,1,,,10484,high,Zendesk AI features power helpdesk ticket prioritization.,agent_b
HackerOne AI,HackerOne,security_tool,1,,,10523,high,HackerOne has in-platform AI features for vulnerability disclosure.,agent_b
NetApp ARP/AI,NetApp,security_tool,0,,,10523,high,NetApp ARP/AI is NetApp's Autonomous Ransomware Protection with AI.,agent_b
Ex Libris Alma/Primo,Ex Libris (Clarivate),search,1,,65085,,low,Use case name is literally 'Alma/Primo' — the Ex Libris library services platform (Alma) and discovery layer (Primo) which have added AI features. No narrative; review needed.,agent_c
Lectora AI,ELB Learning,training,1,,66484,,medium,"Lectora is the well-known eLearning authoring tool from ELB Learning; their 'Lectora AI Toolkit' adds GenAI features. Title-stamped, no narrative.",agent_c
LibreChat,LibreChat (Open Source),general_llm,1,,67246,,high,NASA IV&V AI Assistant explicitly powered by LibreChat (open-source ChatGPT-clone UI) with RAG. Real deployed product; not in catalog.,agent_c
Cognitec FaceVACS,Cognitec Systems,biometrics,0,,67442,,high,FaceVACS is Cognitec's well-known face-recognition product; State Dept Consular Affairs uses it for passport photo quality checks. Real COTS product not in catalog.,agent_c
NaturalReader,NaturalReader,nlp_specific,1,,67519,,high,NaturalReader is a commercial text-to-speech product (use_case_name 'Natural Reader'). Real COTS not in catalog.,agent_c
Planmeca Romexis,Planmeca,clinical_decision_support,0,,67913,,high,"Planmeca Romexis is well-known dental imaging software with AI features (segmentation, implant planning). Real COTS not in catalog.",agent_c
RedSeal,RedSeal,security_tool,0,,67932,,high,RedSeal is a known cyber-risk attack-surface analytics product. Real COTS not in catalog.,agent_c
Cortechs NeuroQuant,Cortechs.ai,clinical_decision_support,0,,68053,,high,Cortechs.ai NeuroQuant — FDA-cleared MRI brain segmentation/quantification. Real COTS not in catalog. dev_type='Purchased from a vendor'.,agent_c
Siemens MAGNETOM,Siemens Healthineers,clinical_decision_support,0,,68054,,high,Siemens Healthineers MAGNETOM family — MRI scanners with embedded AI denoising/reconstruction. Real COTS not in catalog. dev_type='Purchased from a vendor'.,agent_c
Hologic 3D Quorum,Hologic,clinical_decision_support,0,,68055,,high,Hologic 3DQuorum is FDA-cleared AI for digital breast tomosynthesis (Genius AI). Real COTS not in catalog. dev_type='Purchased from a vendor'.,agent_c
Verathon BladderScan Prime PLUS,Verathon,clinical_decision_support,0,,68114,,high,Verathon BladderScan — handheld ultrasound bladder-volume device with neural-net measurement. Real COTS not in catalog. dev_type='Purchased from a vendor'.,agent_c
Canon Aquilion ONE AiCE,Canon Medical Systems,clinical_decision_support,0,,68171,,high,"Canon Medical Aquilion ONE CT scanner with AiCE (Advanced intelligent Clear-IQ Engine) deep-learning reconstruction. Real COTS, title-stamped only.",agent_c
FDA CDEROne Analytics,FDA Center for Drug Evaluation and Research,data_analytics,0,,,,high,Umbrella parent for FDA CDEROne sub-modules; added by fixup to satisfy parent references from agent_a.,fixup_validity
GrantSolutions,Department of Health and Human Services,custom,0,,,,high,Umbrella parent for federal-shared-service grants modules.,fixup_validity
FTC Sentinel Network Services,Federal Trade Commission,investigative_data,0,,,,high,Umbrella parent for FTC Sentinel Network sub-modules (consumer fraud reporting).,fixup_validity
Grants.gov AI Tools,Grants.gov,search,0,,,,medium,Umbrella parent for Grants.gov AI sub-tools.,fixup_validity
ELIS,U.S. Citizenship and Immigration Services,custom,0,,,,high,Umbrella parent for USCIS Electronic Immigration System modules.,fixup_validity
Amazon Comprehend,Amazon,nlp,0,,66024,,high,AWS Comprehend NLP service used for PII scrubbing; added in fixup so the agent's link row resolves.,fixup_validity
NanCI,National Institutes of Health,search,0,,66700,,high,NIH NanCI ('Connecting Scientists') discovery tool; federal-built product.,fixup_validity
VegSpec,U.S. Department of Agriculture,custom,0,,67782,,high,USDA Vegetation Specifications Suite; federal-built.,fixup_validity
