agency,use_case_name,source_text,decision,mapped_products,proposed_new,confidence,reasoning
SBA,AI Vulnerability Remediation Assistance,"ServiceNow, Inc. / Tenable ServiceNow Vulnerability Response AI Vulnerability Remediation Assistance Security teams require environment-specific remediation guidance to determine the optimal patch or configuration change for each identified vulnerability, a process that is currently manual and time-intensive. Faster and more accurate remediation recommendations tailored to SBA’s specific environment configurations, reducing mean time to remediate and improving patch accuracy.",map_to_existing,ServiceNow ;; Tenable,,medium,"'ServiceNow, Inc. / Tenable ServiceNow Vulnerability Response' AI remediation assistance — ServiceNow platform AI with Tenable; no closer catalog entry for Vulnerability Response."
SBA,AI Vulnerability Ticket Deduplication,"ServiceNow, Inc. ServiceNow Vulnerability Response AI Vulnerability Ticket Deduplication Multiple security scanners (Tenable, Qualys, Rapid7) report the same vulnerability on the same host, generating duplicate tickets that create 'ticket bloat' and waste remediation team effort on redundant work. Reduced vulnerability ticket volume, faster remediation prioritization, and elimination of redundant vulnerability response effort across multiple scanning tools.",map_to_existing,ServiceNow,,medium,'ServiceNow Vulnerability Response AI Vulnerability Ticket Deduplication' — ServiceNow AI feature; Tenable/Qualys/Rapid7 appear only as scanner data sources generating duplicates.
SBA,"AI for Small Business Development w/Copilot, Gemini or ChatGPT","OpenAI AI for Small Business Development w/Copilot, Gemini or ChatGPT AI for Small Business Development w/Copilot, Gemini or ChatGPT SBA program managers need data-driven insights to identify at-risk 8(a) participants and predict growth trajectories to provide timely interventions and support. Predictive analytics enable proactive intervention for at-risk participants, optimize resource allocation for business development specialists, and improve success rates for 8(a) program participants.",map_to_existing,ChatGPT,,medium,"Vendor field is 'OpenAI' and the title offers 'w/Copilot, Gemini or ChatGPT' as alternatives — the procured product is OpenAI's ChatGPT; other names are unselected options."
SBA,AI-Powered Search and Recovery,"Cohesity, Inc. Cohesity Data Cloud (FedRAMP Moderate Authorized) AI-Powered Search and Recovery During cloud migration (AWS EVS) and disaster recovery operations, locating specific data across backup snapshots, identifying clean recovery points, and performing forensic analysis of backup data requires significant manual effort and specialized knowledge of backup infrastructure. AI-powered conversational search across enterprise backup data enables faster data discovery during recovery operations",map_to_existing,Cohesity,,high,"'Cohesity, Inc. Cohesity Data Cloud (FedRAMP Moderate Authorized) AI-Powered Search and Recovery' — maps to Cohesity."
SBA,Amazon Q in Connect,"https://aws.amazon.com/connect/q/ Veterans Certification - Contact Center application Amazon Q in Connect Staff need quick access to relevant information and guidance to efficiently respond to inquiries and make decisions. Faster content creation, improved consistency, reduced staff time on routine writing tasks, and enhanced quality of generated content.",map_to_existing,Amazon Q ;; Amazon Connect,,medium,'Amazon Q in Connect' (vendor URL aws.amazon.com/connect/q/) — composite of cataloged Amazon Q and Amazon Connect; no dedicated catalog entry.
SBA,Business Plan Creation,"https://startup.utah.gov/business-plan/ Business Plan Creation Business Plan Creation Manual processing and analysis is resource-intensive and may lack the speed and consistency needed for effective operations. Increased operational efficiency, reduced manual processing time, improved consistency and accuracy, and enhanced mission delivery.",false_positive,,,medium,"Vendor field is 'https://startup.utah.gov/business-plan/' — a Utah state government website, not a commercial product; nothing mappable."
SBA,ChatGPT for OMS Marketing,"OpenAI OpenAI ChatGPT for OMS Marketing Staff need quick access to relevant information and guidance to efficiently respond to inquiries and make decisions. Data-driven predictions, identification of patterns not visible through manual review, improved decision-making accuracy, and optimized resource allocation.",map_to_existing,ChatGPT,,high,'OpenAI OpenAI ChatGPT for OMS Marketing' — maps to ChatGPT.
SBA,Chatbots for internal research,"To be determined Chatbots for internal research Chatbots for internal research OFO agents need quick access to relevant policy documents and guidance materials to efficiently respond to inquiries without manually searching through knowledge repositories. Faster response times for agents, more consistent guidance provided to clients, reduced time searching for information, and improved quality of service delivery.",false_positive,,,high,Vendor field is 'To be determined' — no product exists to attribute for 'Chatbots for internal research'.
SBA,Data Analysis and Visualization AI,"Salesforce, Inc. (Tableau) Tableau Cloud with Tableau Agent Data Analysis and Visualization AI Data analysts spend significant time on repetitive tasks like data cleaning, semantic modeling, calculation creation, and generating data narratives. Non-technical business users struggle to explore data and create visualizations without extensive training. Translating complex datasets into actionable insights is time-consuming. Creating comprehensive documentation for data assets requires manual effor",map_to_existing,Tableau,,high,'Tableau Cloud with Tableau Agent' — maps to catalog Tableau; Tableau Agent is a feature of the platform.
SBA,Developer Code Assistant AI,"Amazon Web Services (AWS) Amazon Q Developer Developer Code Assistant AI Software developers spend significant time on repetitive coding tasks, writing boilerplate code, creating documentation, generating unit tests, and conducting code reviews. Legacy code modernization is complex and time-consuming. Understanding large codebases requires extensive manual analysis. Developers need context-aware assistance that understands company-specific code patterns and AWS best practices. Accelerates softwa",map_to_existing,Amazon Q,,high,'Amazon Q Developer Developer Code Assistant AI' — maps to catalog Amazon Q.
SBA,Employee Center AI Search,"AI Search  https://www.servicenow.com/docs/bundle/washingtondc-platform-administration/page/administer/ai-search/concept/overview-ais.html ServiceNow Employee Center AI Search Manual processing and analysis is resource-intensive and may lack the speed and consistency needed for effective operations. Data-driven predictions, identification of patterns not visible through manual review, improved decision-making accuracy, and optimized resource allocation.",map_to_existing,ServiceNow,,medium,'ServiceNow Employee Center AI Search' (vendor field links servicenow.com AI Search docs) — AI Search is a ServiceNow platform capability.
SBA,Employee Work Prioritization AI Agent,"Google LLC Google Gemini Employee Work Prioritization AI Agent Staff require versatile AI assistance for diverse tasks including content creation, coding, translation, research, and problem-solving. Single-purpose tools create inefficiencies and context-switching. Unified AI assistant handles multiple task types, improves productivity across content creation and coding activities, enables faster multilingual communication, provides accurate answers to complex questions, and supports creative pro",map_to_existing,Gemini,,high,'Google LLC Google Gemini Employee Work Prioritization AI Agent' — maps to Gemini.
SBA,General AI Use Case across the SBA for web and desktop,"Perplexity AI, Inc. Perplexity AI Platform General AI Use Case across the SBA for web and desktop Staff need quick access to current, accurate information with verifiable sources for research, analysis, and decision-making. Traditional search requires manual verification and synthesis across multiple sources. Faster research and information gathering with built-in source citations, real-time information access, reduced time spent verifying sources, and improved quality of research outputs. Enabl",map_to_existing,Perplexity,,high,"'Perplexity AI, Inc. Perplexity AI Platform' — maps to Perplexity."
SBA,Generative AI for SBA.gov product training,"https://openai.com/chatgpt/ Salesforce Generative AI for SBA.gov product training Staff need quick access to relevant information and guidance to efficiently respond to inquiries and make decisions. Faster content creation, improved consistency, reduced staff time on routine writing tasks, and enhanced quality of generated content.",map_to_existing,ChatGPT,,medium,Vendor field 'https://openai.com/chatgpt/' identifies ChatGPT as the generative AI used for SBA.gov product training; 'Salesforce' is the host system.
SBA,GovCon Match,"Internally created Certify.sba.gov GovCon Match Identifying trends and predicting outcomes requires analysis of complex data patterns that are difficult to assess manually. Data-driven predictions, identification of patterns not visible through manual review, improved decision-making accuracy, and optimized resource allocation.",agency_internal_system,,,high,'Internally created Certify.sba.gov GovCon Match' — SBA-built matching tool on certify.sba.gov.
SBA,Meeting Minutes Summary Tool,"Microsoft MS-Teams Meeting Minutes Summary Tool Manually creating meeting minutes and summaries is time-consuming and may result in inconsistent documentation of key discussion points and action items. Automated meeting summaries save staff time, ensure consistent documentation, and allow participants to focus on discussion rather than note-taking. Improves knowledge retention and follow-up on action items.",map_to_existing,Microsoft Teams,,high,'Microsoft MS-Teams Meeting Minutes Summary Tool' — automated meeting summaries in Teams; maps to the Microsoft Teams catalog entry per the M365-component rule.
SBA,Multi-Agent Orchestration,"Amazon Web Services (AWS) Amazon Bedrock (FedRAMP Authorized) Multi-Agent Orchestration SBA maintains millions of lines of legacy ColdFusion and COBOL code supporting mission-critical lending systems (CAFS) with minimal test coverage and significant technical debt. Manual code refactoring, test case generation, and project management across modernization initiatives are resource-intensive and error-prone, creating risk during cloud migration. Multi-agent AI orchestration will accelerate legacy c",map_to_existing,AWS Bedrock,,high,'Amazon Bedrock (FedRAMP Authorized) Multi-Agent Orchestration' — maps to AWS Bedrock.
SBA,"Office of Field Operations AI  -  Chat GTP, Bing CoPilot, or Google Gemini","Chat GPT, Gemini, Canva BDO AI Office of Field Operations AI  -  Chat GTP, Bing CoPilot, or Google Gemini Manual processing and analysis is resource-intensive and may lack the speed and consistency needed for effective operations. Faster content creation, improved consistency, reduced staff time on routine writing tasks, and enhanced quality of generated content.",map_to_existing,ChatGPT ;; Gemini ;; Canva,,high,"Vendor field 'Chat GPT, Gemini, Canva' names three catalog products in use by the Office of Field Operations."
SBA,Predictive AIOps,"ServiceNow, Inc. ServiceNow IT Operations Management (ITOM) Predictive AIOps IT operations teams are overwhelmed with massive volumes of alerts and events from diverse monitoring tools, creating alert fatigue and slowing incident response. Manual correlation of events, log analysis, and root cause identification is time-consuming and error-prone. Reactive problem-solving leads to prolonged outages, high Mean Time to Resolution (MTTR), and degraded service availability. Traditional static thresho",map_to_existing,ServiceNow IT Operations Management (ITOM) Predictive AIOps,,high,'ServiceNow IT Operations Management (ITOM) Predictive AIOps' is an exact catalog entry.
SBA,SBA.gov External Customer Chatbot,"Salesforce, Inc. Salesforce Service Cloud with Einstein SBA.gov External Customer Chatbot Customer service teams are overwhelmed with routine inquiries that slow response times and prevent agents from focusing on complex, high-value customer issues. Manual case classification and routing is time-consuming and inconsistent. Customers expect 24/7 support and instant, personalized responses based on their account history. Automates 30-40% of routine customer service interactions, reducing agent wor",map_to_existing,Salesforce Einstein,,high,'Salesforce Service Cloud with Einstein SBA.gov External Customer Chatbot' — maps to Salesforce Einstein.
SBA,Secure IL5 AI,"Ask Sage, Inc. Ask Sage Platform Secure IL5 AI Government teams need secure AI capabilities that meet federal security requirements for analyzing sensitive data, generating content, and streamlining knowledge work without compromising data security or compliance. FedRAMP High authorized AI platform enables secure AI adoption across government agencies, enhances productivity through automated analysis and content generation, maintains data security and compliance, and provides flexible deployment",map_to_existing,Ask Sage,,high,"'Ask Sage, Inc. Ask Sage Platform Secure IL5 AI' — maps to Ask Sage."
SBA,Security Team Productivity Enhancement,"MS Security Copilot Every Microsoft product Security Team Productivity Enhancement Manual processing and analysis is resource-intensive and may lack the speed and consistency needed for effective operations. Faster content creation, improved consistency, reduced staff time on routine writing tasks, and enhanced quality of generated content.",map_to_existing,Microsoft Copilot for Security,,high,'MS Security Copilot' for security team productivity — maps to Microsoft Copilot for Security; 'Every Microsoft product' system field is not mappable.
SEC,Disclosure Review Chatbot,"Disclosure Review Chatbot Disclosure Review Automation (DREAM) Chatbot helps division staff search within review guides and generating detailed responses to disclosure review questions The DREAM chatbot is designed to support SEC staff in the Corporation Finance division by delivering fast, accurate, and context-aware responses to disclosure-related questions.  This chatbot delivers significant time savings for staff in the disclosure review program.",agency_internal_system,,,high,"'Disclosure Review Automation (DREAM) Chatbot helps division staff search within review guides' — SEC-built internal chatbot, no vendor or commercial product named."
SEC,Extracting data from FOIA request forms,GDIT  Extracting data from FOIA request forms Capture and load data from a FOIA form into a SharePoint list for tracking through the eDiscovery Lifecycle. This alleviates time demands for manual entry from one system to another. To capture and load data from a FOIA form into a SharePoint list for tracking through the eDiscovery Lifecycle.,agency_internal_system,,,medium,"'GDIT ... Capture and load data from a FOIA form into a SharePoint list' — contractor-built custom extraction workflow; GDIT is an integrator, not a product."
SEC,Identification of Potentially Manipulative Activity in Certain Accounts,Aretec Inc NEAT Identification of Potentially Manipulative Activity in Certain Accounts Identifies accounts with certain activity of interest for further review by an examination team Identifies accounts with certain activity of interest for further review by an examination team.,map_to_existing,Aretec NEAT,,high,'Aretec Inc NEAT Identification of Potentially Manipulative Activity' — maps to Aretec NEAT.
SEC,Legal Research (Westlaw Precision),West Publishing  Legal Research (Westlaw Precision) More efficient legal research. Improved search results and extracted information to assist in legal research activities.,map_to_existing,Westlaw AI,,high,'Legal Research (Westlaw Precision)' from West Publishing — Westlaw's AI-assisted research maps to catalog Westlaw AI.
SEC,Name Matching,Aretec Inc NEAT Name Matching Name Matching - Identifies certain similarities in names across data sources. This allows staff to more easily compare information across data sources. Identifies certain similarities in names across data sources. This allows staff to more easily compare information across data sources.,map_to_existing,Aretec NEAT,,high,'Aretec Inc NEAT Name Matching' — maps to Aretec NEAT.
SEC,Natural language search on images through FlashPoint,Flashpoint  Natural language search on images through FlashPoint Using natural language to search through images posted to social media. Help the agency find and identify relevant images when reviewing social media posts.,map_to_existing,Flashpoint,,high,'Natural language search on images through FlashPoint' — maps to Flashpoint.
SEC,Parsing of Plain Language Descriptions to Machine-Readable Notations,Aretec Inc NEAT Parsing of Plain Language Descriptions to Machine-Readable Notations Automates conversion of plain-language text into machine-readable standardized notations. This permits ease of analysis Automates conversion of plain-language text into machine-readable standardized notations.  This permits ease of analysis.,map_to_existing,Aretec NEAT,,high,'Aretec Inc NEAT Parsing of Plain Language Descriptions to Machine-Readable Notations' — maps to Aretec NEAT.
SEC,Training Conversation Tool,SkillSoft  Training Conversation Tool Strictly a training tool for practicing conversations on a variety of topic areas. Improves communication and collaboration skills of the SEC workforce,map_to_existing,Skillsoft Percipio CAISY,,high,'SkillSoft ... Strictly a training tool for practicing conversations' — Skillsoft's conversation-practice simulator is cataloged as Skillsoft Percipio CAISY.
SEC,Using Natural Language Processing Techniques to Search and Analyze Certain Filings,Aretec EDP Using Natural Language Processing Techniques to Search and Analyze Certain Filings Helps search and analyze a corpus of unstructured filings. Staff may consider the results of these efforts in their examination efforts. Helps search and analyze a corpus of unstructured filings. Staff may consider the results of these efforts in their examination efforts.,map_to_existing,Aretec EDP,,high,'Aretec EDP Using Natural Language Processing Techniques to Search and Analyze Certain Filings' — maps to Aretec EDP.
SEC,Westlaw Co-Counsel,"Thomson Reuters  Westlaw Co-Counsel The AI output will facilitate legal research, document analysis, and document production. More efficient legal research and analysis, document review, and document production.",map_to_existing,CoCounsel,,high,'Thomson Reuters Westlaw Co-Counsel' for legal research and document review — maps to catalog CoCounsel (Thomson Reuters).
SSA,Agency Support Companion (ASC) chatbot,"Microsoft / OpenAI Agency Support Companion Agency Support Companion (ASC) chatbot Generative AI model to create content, summarization and research capabilities Assist all internal users across the agency in their daily tasks related to content generation, analysis, refinement, and general research capabilities.",map_to_existing,Azure OpenAI,,medium,Vendor 'Microsoft / OpenAI' for the SSA-built 'Agency Support Companion (ASC) chatbot' — the Microsoft+OpenAI pairing indicates Azure OpenAI as the underlying service.
SSA,General Use Chatbot,"Microsoft - M365 Copilot Chat Microsoft General Use Chatbot Generative AI model to create content, summarization, analyzation and research capabilities Copilot can help with routine tasks (e.g.: writing emails/articles), provide suggestions for improving content, offer valuable data insights and image generation.",map_to_existing,Microsoft 365 Copilot Chat,,high,'Microsoft - M365 Copilot Chat ... General Use Chatbot' — maps to Microsoft 365 Copilot Chat.
SSA,Generative Artificial Intelligence (AI) for Analytic Insights,"Microsoft / OpenAI Provisional ATO in progress Generative Artificial Intelligence (AI) for Analytic Insights Generative AI model to analyze SSA's National 800 Number and Field Office call transcripts as well as Interactive Voice Response (IVR) system call logs to provide insights into caller intent, call resolution, and call topics. The insights help identify areas for improvement in policies and processes, leading to better customer service and reduced wait times. Ongoing analysis and monitorin",map_to_existing,Azure OpenAI,,medium,Vendor 'Microsoft / OpenAI' generative AI analyzing 800-number call transcripts — Microsoft+OpenAI pairing indicates Azure OpenAI.
SSA,Human Resource Chatbot,"Microsoft / OpenAI HR Chatbot Human Resource Chatbot Generative AI chatbot grounded in SSA Personnel Policy Manual and other HR related documents that provides HR staff with the ability to search HR policy and related documents using natural language to answer SSA employee inquiries, analyze policies and HR law, and create needed updates to personnel documentation. Reduce the time to retrieve HR policy information by allowing HR staff to ask HR policy-related questions using natural language and",map_to_existing,Azure OpenAI,,medium,Vendor 'Microsoft / OpenAI' for the SSA 'HR Chatbot' grounded in personnel policy — Microsoft+OpenAI pairing indicates Azure OpenAI.
SSA,Mainframe code modernization assistant,"IBM WatsonX Code Assistant
Broadcom Code for Z  Mainframe code modernization assistant Increase developer efficiency through faster coding, time savings and cost reduction. Reduced task switching and maintain flow state
	Enhanced developer experience
	Improved developer retention
	Improved code quality and maintainability
	Improved customer experience
	Reduced bugs and technical debt
	Go to market faster",map_to_existing,IBM watsonx Code Assistant ;; Broadcom Code for Z,,high,'IBM WatsonX Code Assistant / Broadcom Code for Z Mainframe code modernization assistant' — both products are in the catalog.
SSA,Mobile Wage Reporting,AWS Supplemental Security Income Record Maintenance System (SSIRMS) Mobile Wage Reporting Uses AI to extract text/data from scanned images/documents representing pay stubs or payroll information to enable faster processing. Increased speed and accuracy,agency_internal_system,,,medium,'Mobile Wage Reporting ... extract text/data from scanned images ... pay stubs' on SSIRMS — SSA-built capability; bare 'AWS' vendor must not create a vendor-only edge per the generic-vendor rule.
SSA,Policy Assistance Tool (PAT),"Microsoft / OpenAI 21st Century PolicyNet Policy Assistance Tool (PAT) The system is designed to help employees quickly and easily find accurate policy information, improving efficiency and the user experience for those who need to access agency policies. The system is expected to make it faster and easier for users to access accurate and up-to-date policy information. This will improve efficiency, streamline processes, and enhance service delivery, supporting the agencys mission and benefiting",map_to_existing,Azure OpenAI,,medium,Vendor 'Microsoft / OpenAI' for the '21st Century PolicyNet Policy Assistance Tool (PAT)' — Microsoft+OpenAI pairing indicates Azure OpenAI; PAT itself is SSA-built.
SSA,Quick Disability Determinations Model,"IBM eDIB (electronic disability) Quick Disability Determinations Model Used to screen initial applications to identify cases where a favorable disability determination is highly likely and medical evidence is readily available to prioritize this workload and expedite case processing. QDD predictive model quickly identifies and prioritizes disability claims processing for individuals with severe, life-threatening, or life-altering conditions. This approach reduces processing times, improves acces",map_to_existing,SSA Quick Disability Determinations Model,,high,'IBM eDIB (electronic disability) Quick Disability Determinations Model' matches catalog SSA Quick Disability Determinations Model (SSA / IBM).
SSA,"SSA 800# Public Question & Answer Bot and OIG Hotline recording of fraud, waste and abuse.","AWS Enterprise Contact Center SSA 800# Public Question & Answer Bot and OIG Hotline recording of fraud, waste and abuse. The Q&A bot answers callers questions using approved FAQs found on SSA.GOV. Support is provided in both English and Spanish. Calls answered solely by the bot reduce the wait for other callers needing agent service. A bot will also ask questions and populate responses from the public as a record of their interaction when reporting fraud, waste and abuse. Improved service to th",map_to_existing,Amazon Connect,,medium,"'AWS Enterprise Contact Center SSA 800# Public Question & Answer Bot' — SSA's Enterprise Contact Center is AWS's contact-center platform, i.e. Amazon Connect."
SSA,Therapy Chatbot - Text-Based Mental Health Support for SSA Employees,"Espyr/Acentra  Therapy Chatbot - Text-Based Mental Health Support for SSA Employees This AI use case is a therapy chatbot that employees can access on their own personal devices and is designed to provide confidential, immediate mental health support to employees, helping address stress, emotional challenges, and limited access to traditional counseling services. The chatbot promotes employee well-being, reduces stress, and enhances resilience, which supports a healthier workforce and improves o",map_to_existing,Espyr Therapy Chatbot,,high,'Espyr/Acentra ... Therapy Chatbot - Text-Based Mental Health Support for SSA Employees' matches catalog Espyr Therapy Chatbot.
SSA,Training Audio and Video Generation,"Adobe, Articulate, and Vyond Adobe Firefly, Articulate Storyline 360, Vyond Training Audio and Video Generation Generative AI model to create audio and visual content for SSA training products Quickly generating custom audio and visual content for training products.",map_to_existing,Adobe Firefly ;; Articulate 360 AI Assistant ;; Vyond,,medium,"'Adobe Firefly, Articulate Storyline 360, Vyond' for training audio/video generation — Firefly and Vyond are cataloged; Storyline 360's AI maps to Articulate 360 AI Assistant."
SSA,Training Interaction Simulator,Skillsoft/Percipio Percipio Training Interaction Simulator Employees do not have an avenue to practice interactions with a variety of clients/coworkers with a range of attitudes. Users gain practice with simulated conversations and receive constructive feedback on their responses.,map_to_existing,Skillsoft Percipio CAISY,,high,'Skillsoft/Percipio Percipio Training Interaction Simulator ... practice interactions' — Skillsoft Percipio's conversation simulator is cataloged as Skillsoft Percipio CAISY.
SSA,Vocational Assessment Assistant Tool  (VAAT),"Microsoft / OpenAI eDIB Cloud Vocational Assessment Assistant Tool  (VAAT) The AI is intended to address the problem of a manual, time-consuming, and expertise-dependent process for researching job codes and analyzing transferable skills, which can result in inconsistent outcomes among different examiners and offices. The expected benefits of the AI include streamlining and speeding up vocational analysis, increasing consistency and standardization in decision-making, improving the quality and r",map_to_existing,Azure OpenAI,,medium,Vendor 'Microsoft / OpenAI' on 'eDIB Cloud' for the Vocational Assessment Assistant Tool — Microsoft+OpenAI pairing indicates Azure OpenAI; VAAT itself is SSA-built.
State,AI Programmatic Insights,"N/A N/A AI Programmatic Insights Regional Directors (RD) have to analyze current passport trends and data to determine overall performance and resource requirements to enable successful alignment to overall performance targets; however, the raw data requires analysis and doesn't currently allow for easy input to evaluate different scenarios, which results in RDs having to respond to passport performance with limited information. An AI-driven solution that empowers Regional Directors to forecast ",agency_internal_system,,,medium,"'An AI-driven solution that empowers Regional Directors to forecast' passport workload — internal State solution, vendor 'N/A N/A'."
State,AI Research Engine (AIRE),"Deloitte Data.State-SBU AI Research Engine (AIRE) The need to improve the quality of reporting from the continuously growing sources of information through the categorization, summarization, and translation of information. Includes formerly titled use case ""J Reports Data Collection & Management Tool (DCT)."" AI enables the quick categorization, summarization, and translation of data to make it easily accessible for quicker drafting of higher quality reports, resulting in staff time savings, redu",map_to_existing,State Department AI Research Engine (AIRE),,high,"'AI Research Engine (AIRE)' (Deloitte, Data.State-SBU) matches catalog State Department AI Research Engine (AIRE)."
State,AI-Augmented Declassification Review,"Deloitte N/A AI-Augmented Declassification Review The amount of documents, particularly cables and emails, that require declassification review increases exponentially in the next few years. Manual review is unsustainable and expensive given the number of cables (in the hundreds of thousands) and emails (increasing from hundreds of thousands to millions). The expected benefits and positive outcomes from using AI are cost savings by reducing the need of manual reviews, reduce labor in cable revie",map_to_existing,State Department Declassification Review AI,,high,'AI-Augmented Declassification Review' (Deloitte) matches catalog State Department Declassification Review AI.
State,Automatic Detection of Authentic Material,"N/A N/A Automatic Detection of Authentic Material The need to detect/identify authentic materials in target languages, reducing the time to develop language curricula and tests. Reduced staff hours and improved variety of materials in foreign languages.",agency_internal_system,,,medium,"'detect/identify authentic materials in target languages' for language curricula — internal FSI capability, vendor 'N/A N/A'."
State,BudgetChat AI Tool,"N/A DOS-O365; Data.State-SBU BudgetChat AI Tool Inputting large amounts of data from paper forms into a digital system using AI. Time and cost savings, improved ability to identify crucial supplemental information available in other budget documents, improved accuracy in identifying key budget information in individual documents.",agency_internal_system,,,medium,"'BudgetChat AI Tool' on 'DOS-O365; Data.State-SBU' — State-built internal tool, vendor 'N/A'."
State,Data.State Analytics and AI Funhouse,"Microsoft, Databricks, ZenPoint Data.State-SBU; DOS-O365 Data.State Analytics and AI Funhouse Data scientists require a cybersecure platform for data science experiments, learning, and workflow deployment. Funhouse provides secure and documented access to GenAI and ML tools in an authorized and auditable platform. Provide cybersecure analytics and AI experimentation to support mission delivery and process efficiency, increased mission efficiency, accelerated AI innovation, and cost savings.",map_to_existing,Databricks,,medium,"'Microsoft, Databricks, ZenPoint Data.State-SBU ... Funhouse' experimentation platform — Databricks is the mappable product; 'Microsoft' is generic and ZenPoint is an integrator with no catalog product."
State,Digital Media Analytics Platform,N/A NorthStar Digital Media Analytics Platform Using open-source neural machine translation models to translate global media articles and Department and public foreign social media posts into English. The use case reduces labor in producing media summary reports.,agency_internal_system,,,medium,"'NorthStar Digital Media Analytics Platform ... open-source neural machine translation models' — State-operated platform on open-source models, vendor 'N/A'."
State,Diplomatic Security - Legal Instruction Unit,"LexisNexis, ChatGPT CFA PCFS Diplomatic Security - Legal Instruction Unit Insufficient personnel and resources available to create multimedia, conduct necessary research, and develop required curriculum. Cost savings due to increased efficiency and decreased contracts/personnel to meet the needs of the Department.",map_to_existing,LexisNexis ;; ChatGPT,,high,"Vendor field 'LexisNexis, ChatGPT' — both are catalog products used by the Legal Instruction Unit."
State,Evaluating Customer Feedback and Sentiments with AI,N/A PA Evaluating Customer Feedback and Sentiments with AI To leverage Natural Language Processing (NLP) and secure Large Language Models (LLM) on unstructured text data to identify actionable insights to drive customer improvement initiatives. Greater insights about user experiences with consular services and the impact of service changes.,agency_internal_system,,,medium,"'leverage Natural Language Processing (NLP) and secure Large Language Models (LLM)' on consular feedback — internal State analysis, vendor 'N/A', no product named."
State,Integrated Country Strategy (ICS) Turbo,"Guidehouse N/A Integrated Country Strategy (ICS) Turbo The need to conduct thematic analysis on large volumes of Integrated Country Strategy (ICS) data in a comprehensive and time efficient manner. Increased capacity of personnel to identify lessons learned and best practices by leveraging historical documentation.  This is intended to be accomplished by decreasing the time and effort spent reading, synthesizing, and categorizing the contents of historical Integrated Country Strategies (ICS).",map_to_existing,State Integrated Country Strategy Turbo,,high,'Integrated Country Strategy (ICS) Turbo' (Guidehouse) matches catalog State Integrated Country Strategy Turbo.
State,NIV Adjudication Review Recommendation Engine (ARRE),"Guidehouse N/A NIV Adjudication Review Recommendation Engine (ARRE) ARRE is used to make post-adjudication managerial quality assurance review time more efficient. The current required managerial review of cases includes a randomly selected portion, which is not optimized to help managers allocate time toward cases where secondary review is most likely to surface documentation gaps, policy-complex adjudications, or process compliance issues. As a result, managers may spend review capacity on rou",map_to_existing,State NIV Adjudication Review Recommendation Engine,,high,'NIV Adjudication Review Recommendation Engine (ARRE)' (Guidehouse) matches catalog State NIV Adjudication Review Recommendation Engine.
State,Natural Language Processing (NLP) for Foreign Assistance Appropriations Analysis,Guidehouse FACTS Info Natural Language Processing (NLP) for Foreign Assistance Appropriations Analysis Summarizing the key points of a lengthy report using AI. The NLP application reduces the time needed to extract congressional directives from the annual appropriations bill which ultimately shortens the cycle time for generating the report detailing the annual allocation of U.S. foreign assistance funds to foreign countries and international organizations (i.e. the 653(a) report).,map_to_existing,State FACTS Info Foreign Assistance NLP,,high,'Guidehouse FACTS Info Natural Language Processing (NLP) for Foreign Assistance Appropriations Analysis' matches catalog State FACTS Info Foreign Assistance NLP.
State,Office of the Historian (OH) Historical Analysis for Negotiations,N/A N/A Office of the Historian (OH) Historical Analysis for Negotiations The need for historical information in real time to assist with analysis by the Office of the Historian (OH) and decision making. Negotiators save time and achieve information advantage related to historical country relationships.,agency_internal_system,,,low,"'The need for historical information in real time to assist with analysis by the Office of the Historian' — internal OH capability, vendor 'N/A N/A', no product named."
State,PFCS Proving Ground,Palantir CfA PFCS PFCS Proving Ground The need for an experimentation platform to promote the development and adoption of AI solutions. The ability for personnel and teams to experiment with developing innovative AI solutions to address mission delivery or back office processes. Efficiency and effectiveness.,map_to_existing,Palantir Federal Cloud Service,,high,"'Palantir CfA PFCS PFCS Proving Ground' — PFCS is the Palantir Federal Cloud Service, a catalog entry."
State,Rosie Chat Bot,"N/A DOS-O365 Rosie Chat Bot The need for employees to locate consistent, accurate answers to HR-related questions quickly based on internal information. Cost savings, reduced wait times, improved access to information, enhanced efficiency, scalability, and consistency in communication.",agency_internal_system,,,medium,"'Rosie Chat Bot' on 'DOS-O365' for HR questions — State-built internal bot, vendor 'N/A'."
State,StateChat,"Palantir, OpenAI CfA PFCS StateChat The need to safely and securely access, share, summarize, and research Sensitive But Unclassified (SBU) Department information. Improve and reduce time to translating documents, summarizing reports, and drafting emails. StateChat is the Department's enterprise Generative AI-powered chatbot. Delivers greater operational efficiency and makes personnel better collaborators and competitors on the front lines of diplomacy, delivering decision advantages, negotiatio",map_to_existing,Palantir Federal Cloud Service ;; OpenAI API,,medium,"'Palantir, OpenAI CfA PFCS StateChat' — StateChat is State's enterprise GenAI chatbot built on Palantir Federal Cloud Service with OpenAI models."
State,TIP Report Research Translation,"Deloitte, AzureAI AzureAI Translator TIP Report Research Translation The TIP Report Translation AI system provides informal, unofficial translations for materials related to the annual Trafficking in Persons report.  This capability saves staff time and allows researchers and drafters to focus on critical report needs, such as identifying and resolving data gaps. This capability saves staff time and allows researchers and drafters to focus on critical report needs, such as identifying and resolv",map_to_existing,Azure AI Translator,,high,"'Deloitte, AzureAI AzureAI Translator TIP Report Research Translation' — maps to Azure AI Translator."
