agency,use_case_name,kind,source_text,reason,heuristic_candidates,system_name,vendor_name,problem_statement
DOJ,Exiger Supply Chain Risk Management - DDIQ Research Engine,individual,Exiger Redacted for cybersecurity purposes. Exiger Supply Chain Risk Management - DDIQ Research Engine Provides DOJ with capabilities to perform Supply Chain Risk Management assessments to support agency cybersecurity posture. Provides DOJ vendor profiles that aggregate data from open source repositories using API keys. This data gives DOJ information to make an informed decisions on whether or not to move forward with the acquisition of a goods/services based on the risks identified during rese,unmatched_vendor_text,,Redacted for cybersecurity purposes.,Exiger,Provides DOJ with capabilities to perform Supply Chain Risk Management assessments to support agency cybersecurity posture.
DOJ,FINDER,individual,"FINDER Redacted for cybersecurity purposes. FINDER The purpose of the AI use case in FINDER is to sift through violent crime and firearms trafficking data more efficiently. By employing machine learning to highlight significant patterns, suspects, or trends, it automates tasks that would normally require manual, resource-intensive reviews. This leads to quicker identification of essential insights, improves operational effectiveness, and ensures that effort is directed at the most pertinent lead",unmatched_vendor_text,,Redacted for cybersecurity purposes.,FINDER,"The purpose of the AI use case in FINDER is to sift through violent crime and firearms trafficking data more efficiently. By employing machine learning to highlight significant patterns, suspects, or trends, it automates tasks that would normally require manual, resource-intensive reviews. This lead"
DOJ,Generative AI R&D Sandbox,individual,NVIDIA Redacted for cybersecurity purposes. Generative AI R&D Sandbox The purpose of this use case is to create a R&D environment to enable DEA to test and prototype Generative AI based solutions. To provide a safe environment to prototype and test experimental AI based use cases.,unmatched_vendor_text,,Redacted for cybersecurity purposes.,NVIDIA,The purpose of this use case is to create a R&D environment to enable DEA to test and prototype Generative AI based solutions.
DOJ,Google Translate,individual,Google Redacted for cybersecurity purposes. Google Translate FBOP employees have periodically used Google Translate to translate documents and notifications for the Spanish speaking population from English to Spanish. Translating documents from English to Spanish allows for the Spanish speaking population the opportunity to stay well informed with the events and details of the institution.,compound_string,Google Translate; Google,Redacted for cybersecurity purposes.,Google,FBOP employees have periodically used Google Translate to translate documents and notifications for the Spanish speaking population from English to Spanish.
DOJ,Human Language Extraction and Translation Technology,individual,AI Service Provider Redacted for cybersecurity purposes. Human Language Extraction and Translation Technology Machine translation of  documents and digital files Faster FBI operations,unmatched_vendor_text,,Redacted for cybersecurity purposes.,AI Service Provider,Machine translation of  documents and digital files
DOJ,Internal Component-specific chatbot service,individual,"Microsoft, OpenAI Redacted for cybersecurity purposes. Internal Component-specific chatbot service Provide human-like conversational responses to conduct general information queries and suggestions towards improving text without feeding into a commercially exposed AI model. Improve work efficiencies and curve user generative AI usage to an environment that is controlled and contained within GCCH and the DOJ OIG subscription vice a commercial service.  Furthermore, the information and models gene",compound_string,Microsoft; OpenAI API,Redacted for cybersecurity purposes.,"Microsoft, OpenAI",Provide human-like conversational responses to conduct general information queries and suggestions towards improving text without feeding into a commercially exposed AI model.
DOJ,JAWS (Text-to-Speech Assistant for Accessibility),individual,Freedom Scientific Inc. Redacted for cybersecurity purposes. JAWS (Text-to-Speech Assistant for Accessibility) Visually impaired personnel need assistance interpreting pictures and other visual objects and interacting with documents in a non-linear way Aids visually impaired personnel with documents.,unmatched_vendor_text,,Redacted for cybersecurity purposes.,Freedom Scientific Inc.,Visually impaired personnel need assistance interpreting pictures and other visual objects and interacting with documents in a non-linear way
DOJ,Knowledge retrieval and synthesis (Azure OpenAI Services),individual,"Microsoft Redacted for cybersecurity purposes. Knowledge retrieval and synthesis (Azure OpenAI Services) Azure OpenAI will help ATR review large volumes of document-based data quicker and more efficiently. Enhance the speed and accuracy of legal analysis and review. This technology will allow ATR to quickly distill key information and insights, streamline workflows, reduce manual effort, and expedite legal analysis.",compound_string,Azure OpenAI; Microsoft,Redacted for cybersecurity purposes.,Microsoft,Azure OpenAI will help ATR review large volumes of document-based data quicker and more efficiently.
DOJ,"Language Translation,  Optical Character Recognition (OCR), Object Detection, Language Detection, Alert Noise Reduction",individual,"AI Service Provider Redacted for cybersecurity purposes. Language Translation,  Optical Character Recognition (OCR), Object Detection, Language Detection, Alert Noise Reduction Autonomous Detection and Monitoring Increased analytic capability",unmatched_vendor_text,,Redacted for cybersecurity purposes.,AI Service Provider,Autonomous Detection and Monitoring
DOJ,License Plate Reader 1,individual,AI Service Provider Redacted for cybersecurity purposes. License Plate Reader 1 License plate reader technology assists in locating vehicles associated with persons of interest. Program uses character recognition to read and identify license plates.,unmatched_vendor_text,,Redacted for cybersecurity purposes.,AI Service Provider,License plate reader technology assists in locating vehicles associated with persons of interest.
DOJ,License Plate Reader 2,individual,AI Service Provider Redacted for cybersecurity purposes. License Plate Reader 2 License plate reader technology assists in locating vehicles associated with persons of interest. Program uses character recognition to read and identify license plates.,unmatched_vendor_text,,Redacted for cybersecurity purposes.,AI Service Provider,License plate reader technology assists in locating vehicles associated with persons of interest.
DOJ,License Plate Reader 3,individual,AI Service Provider Redacted for cybersecurity purposes. License Plate Reader 3 License plate reader technology assists in locating vehicles associated with persons of interest. Program uses character recognition to read and identify license plates.,unmatched_vendor_text,,Redacted for cybersecurity purposes.,AI Service Provider,License plate reader technology assists in locating vehicles associated with persons of interest.
DOJ,"Microsoft Office 365, Teams, and Windows default features",individual,"Redacted for cybersecurity purposes. Microsoft Office 365, Teams, and Windows default features Finding opportunities to optimally support DOJ personnel through existing Department-wide tools. These capabilities help DOJ personnel achieve efficiencies through integrated AI assistance across O365 applications in a secure environment, including editorial/grammatical suggestions, data analysis, task automation, and enhanced search.",compound_string,Microsoft; Aretec SEARCH; Microsoft Teams,Redacted for cybersecurity purposes.,,Finding opportunities to optimally support DOJ personnel through existing Department-wide tools.
DOJ,Nlets Nationwide License Plate Reader Pointer Index,individual,Thomson Reuters Redacted for cybersecurity purposes. Nlets Nationwide License Plate Reader Pointer Index Law enforcement usage of Optical Character Recognition (OCR) to assist with license plate reading under DOJ Policy.  LPR data is managed and maintained by other entities for law enforcement purposes. Quick notification of results from license plate queries.,compound_string,Nlets LPR Pointer Index; Thomson Reuters,Redacted for cybersecurity purposes.,Thomson Reuters,Law enforcement usage of Optical Character Recognition (OCR) to assist with license plate reading under DOJ Policy.  LPR data is managed and maintained by other entities for law enforcement purposes.
DOJ,Object Classification Tool - Field Office Security Camera,individual,AI Model Provider Redacted for cybersecurity purposes. Object Classification Tool - Field Office Security Camera Object anomaly detection Enhanced security,unmatched_vendor_text,,Redacted for cybersecurity purposes.,AI Model Provider,Object anomaly detection
DOJ,Open Source Investigative Tool,individual,Vendor proprietary Redacted for cybersecurity purposes. Open Source Investigative Tool USMS uses this tool for authorized investigative lead generation which will improve efficiencies of public safety and law enforcement missions. More efficient screening of leads for potential investigative actions.,unmatched_vendor_text,,Redacted for cybersecurity purposes.,Vendor proprietary,USMS uses this tool for authorized investigative lead generation which will improve efficiencies of public safety and law enforcement missions.
DOJ,Pathfinder,individual,Azure Redacted for cybersecurity purposes. Pathfinder To assist FBOP employees with career pathways. The system generates assessments based on user input.  It scores the assessments taken to provide a user with options for career pathways.,unmatched_vendor_text,,Redacted for cybersecurity purposes.,Azure,To assist FBOP employees with career pathways.
DOJ,Policy Chatbot,individual,AI Model Provider Redacted for cybersecurity purposes. Policy Chatbot Chatbot for policy Faster FBI operations,unmatched_vendor_text,,Redacted for cybersecurity purposes.,AI Model Provider,Chatbot for policy
DOJ,ProLaw,individual,"Thomson Reuters Redacted for cybersecurity purposes. ProLaw ProLaw assists PRAO attorneys in searching a large quantity of prior PRAO inquiries and advice (stored within the database) to identify relevant historical inquiry files that will assist the attorneys in determining how PRAO has advised on similar matters in the past. The benefits of ProLaw is that it enables PRAO to store digitally, consistent with the component's records retention schedule, all PRAO inquiry files and then quickly sear",compound_string,Thomson Reuters; Aretec SEARCH; ProLaw,Redacted for cybersecurity purposes.,Thomson Reuters,ProLaw assists PRAO attorneys in searching a large quantity of prior PRAO inquiries and advice (stored within the database) to identify relevant historical inquiry files that will assist the attorneys in determining how PRAO has advised on similar matters in the past.
DOJ,Procurement Data Triage Tool,individual,AI Model Provider Redacted for cybersecurity purposes. Procurement Data Triage Tool To assist analysts in manual review More efficient and comprehensive procurement decisions,unmatched_vendor_text,,Redacted for cybersecurity purposes.,AI Model Provider,To assist analysts in manual review
DOJ,Speech to Text Managed Service - Voice Transcription to Text,individual,"Microsoft, OpenAI Redacted for cybersecurity purposes. Speech to Text Managed Service - Voice Transcription to Text Reducing turnaround times for transcribed services and to reduce the need for contracted transcription services of audio files Cost savings towards less time and materials for an individual to fully process the recording and quicker turnaround of transcription delivery.",compound_string,Microsoft; OpenAI API,Redacted for cybersecurity purposes.,"Microsoft, OpenAI",Reducing turnaround times for transcribed services and to reduce the need for contracted transcription services of audio files
DOJ,Thomson Reuters CLEAR,individual,"Thomson Reuters Redacted for cybersecurity purposes. Thomson Reuters CLEAR The purpose of the AI use case in Thomson Reuters Clear is to consolidate and analyze diverse records, creating coherent profiles of individuals and entities. By applying AI-driven data integration, entity resolution, and intelligent filtering, it automates traditionally manual tasks. This leads to faster identification of subjects of interest, improved accuracy in linking related data points, and a more strategic use of ",compound_string,Thomson Reuters CLEAR; Thomson Reuters,Redacted for cybersecurity purposes.,Thomson Reuters,"The purpose of the AI use case in Thomson Reuters Clear is to consolidate and analyze diverse records, creating coherent profiles of individuals and entities. By applying AI-driven data integration, entity resolution, and intelligent filtering, it automates traditionally manual tasks. This leads to "
DOJ,Thomson Reuters CLEAR - License Plate Recognition,individual,"Thomson Reuters Redacted for cybersecurity purposes. Thomson Reuters CLEAR - License Plate Recognition CLEAR LPR enables investigators to identify location history for license plates, connect addresses and individuals of interest to a vehicle's location and obtain images of a vehicle. CRM uses CLEAR LPR to aid in investigations. Streamline investigations, reducing the need to search multiple platforms, while saving costs and allowing investigators to more quickly identify relevant information.",compound_string,Thomson Reuters CLEAR; Thomson Reuters; Aretec SEARCH,Redacted for cybersecurity purposes.,Thomson Reuters,"CLEAR LPR enables investigators to identify location history for license plates, connect addresses and individuals of interest to a vehicle's location and obtain images of a vehicle. CRM uses CLEAR LPR to aid in investigations."
DOJ,Thomson Reuters Vigilant Vehicle Manager,individual,"Motorola Redacted for cybersecurity purposes. Thomson Reuters Vigilant Vehicle Manager The purpose of the AI use case in Thomson Reuters Vigilant Vehicle Manager is to intelligently organize, correlate, and analyze large volumes of license plate and vehicle sightings data. By automating the identification of recurring patterns and providing data-driven insights, it streamlines the workflow for identifying vehicles that may warrant attention. The AI capabilities reduce time-consuming manual revie",compound_string,Thomson Reuters; Motorola License Plate Recognition,Redacted for cybersecurity purposes.,Motorola,"The purpose of the AI use case in Thomson Reuters Vigilant Vehicle Manager is to intelligently organize, correlate, and analyze large volumes of license plate and vehicle sightings data. By automating the identification of recurring patterns and providing data-driven insights, it streamlines the wor"
DOJ,USTP AI Assistant,individual,"USTP AI Assistant Intended purpose is to enable USTP's IT team to understand the process to develop, test, tune and use Microsoft various AI services--Azure Open AI, Azure Open AI Foundry, Microsoft Copilot Studio.  A secondary purpose is understanding the full costs and time to develop and implement a use case from start to finish.  A tertiary purpose is to ensure the Generative AI service is providing useful responses and value given the cost and time to setup and deploy. Intended benefits of ",compound_string,Microsoft Copilot Studio; Microsoft,,,"Intended purpose is to enable USTP's IT team to understand the process to develop, test, tune and use Microsoft various AI services--Azure Open AI, Azure Open AI Foundry, Microsoft Copilot Studio.  A secondary purpose is understanding the full costs and time to develop and implement a use case from "
DOJ,Veritone Digital Media Hub,individual,"Veritone Redacted for cybersecurity purposes. Veritone Digital Media Hub Expedites the identification and labeling of photos. The Veritone Digital Media Hub includes AI features that allow PAO to search our event photo databases and identify objects in those photo catalogs.
Increased efficiency of searches of archival images so that PAO can find and continue using assets.",compound_string,Veritone; Aretec SEARCH,Redacted for cybersecurity purposes.,Veritone,Expedites the identification and labeling of photos.
DOJ,Veritone Illuminate,individual,Veritone Redacted for cybersecurity purposes. Veritone Illuminate Veritone Illuminate is a cloud-based application that provides machine translation and audio and video analysis transcription to aid human review in investigations. The product allows us to leverage artificial intelligence (AI) to systematically turn unstructured data (audio and video files) into structured data. The structured data can be easily searchable and provide more value to our cases. Converts audio and video files to tex,compound_string,Veritone Illuminate; Veritone,Redacted for cybersecurity purposes.,Veritone,Veritone Illuminate is a cloud-based application that provides machine translation and audio and video analysis transcription to aid human review in investigations. The product allows us to leverage artificial intelligence (AI) to systematically turn unstructured data (audio and video files) into st
DOJ,Westlaw (AI assisted legal research),individual,Thomson Reuters Redacted for cybersecurity purposes. Westlaw (AI assisted legal research) Addresses manual process of conducting legal research. Performs legal research and improves accuracy and efficiency of legal research.,compound_string,Thomson Reuters; Westlaw AI,Redacted for cybersecurity purposes.,Thomson Reuters,Addresses manual process of conducting legal research.
DOJ,Westlaw (People Search),individual,"Westlaw Redacted for cybersecurity purposes. Westlaw (People Search) Improve the accuracy and comprehensiveness of a clemency applicant's personal data. Allows the retrieval of personal data for an individual such as historical addresses.

Improve the accuracy and comprehensiveness of a clemency applicant's personal data.",compound_string,Westlaw AI; Aretec SEARCH,Redacted for cybersecurity purposes.,Westlaw,Improve the accuracy and comprehensiveness of a clemency applicant's personal data.
DOJ,reCAPTCHA,individual,Google Redacted for cybersecurity purposes. reCAPTCHA Uses reCAPTCHA to distinguish between a human and bot request. It provides verification and security to our websites.,compound_string,reCAPTCHA; Google,Redacted for cybersecurity purposes.,Google,Uses reCAPTCHA to distinguish between a human and bot request.
DOL,AI Headset,individual,"ResolveSoft 1605TA-25-F-00018 MSHA AI Head Gear AI Headset Inspection: An AI headset offers a hands-free, voice-controlled solution that enhances the efficiency, safety, and accuracy of MSHA inspectors using the Inspection Application System (IAS). By enabling inspectors to access inspection checklists, capture photos and videos, and input data through voice commands, the headset reduces reliance on manual data entry and handheld devices in mining environments. It also supports real-time communi",unmatched_vendor_text,,MSHA AI Head Gear,ResolveSoft 1605TA-25-F-00018,"Inspection: An AI headset offers a hands-free, voice-controlled solution that enhances the efficiency, safety, and accuracy of MSHA inspectors using the Inspection Application System (IAS). By enabling inspectors to access inspection checklists, capture photos and videos, and input data through voic"
DOL,Audio Transcription,individual,"Azure PIID: NNG15SD60B Azure Audio Transcription The AI is intended to ensure accurate records of voicemails for tracking and follow-up purposes on claims.  The transcription service allows more time for the claims examiner to focus on more critical tasks such as decisions on claims as opposed to spending time documenting the call themselves.  Having more time to focus on critical tasks, in turn, enables higher levels of customer service. Transcription of speech to text for records keeping using",unmatched_vendor_text,,Azure,Azure PIID: NNG15SD60B,The AI is intended to ensure accurate records of voicemails for tracking and follow-up purposes on claims.  The transcription service allows more time for the claims examiner to focus on more critical tasks such as decisions on claims as opposed to spending time documenting the call themselves.  Hav
DOL,Automatic Document Processing,individual,"Synergy PIID: 1605DC19A0004
Azure PIID: NNG15SD60B Azure Automatic Document Processing The AI is intended to allow the claims examiner more time to focus on more critical adjudication tasks.  The CM-929 and CM-908 forms amount to tens of thousands of incoming correspondence on an annual basis.  Claims examiners were cumulatively spending an excess amount of time each year reviewing the forms only for indications of a change in circumstances (based on a check-the-box indicator) or similar notice.",unmatched_vendor_text,,Azure,"Synergy PIID: 1605DC19A0004
Azure PIID: NNG15SD60B",The AI is intended to allow the claims examiner more time to focus on more critical adjudication tasks.  The CM-929 and CM-908 forms amount to tens of thousands of incoming correspondence on an annual basis.  Claims examiners were cumulatively spending an excess amount of time each year reviewing th
DOL,CE Interview Imputations,individual,"N/A BLS Internal
System CE Interview Imputations Imputes missing expenditure values in the Consumer Expenditure Interview Survey when respondents answer “don’t know” or refuse to provide an expense amount. Uses more sophisticated statistical techniques to estimate missing values",unmatched_vendor_text,,"BLS Internal
System",N/A,Imputes missing expenditure values in the Consumer Expenditure Interview Survey when respondents answer “don’t know” or refuse to provide an expense amount.
DOL,CE Interview Item Code Estimation,individual,"N/A BLS Internal
System CE Interview Item Code Estimation Recommends expense classification categories for Consumer Expenditure Interview Survey expense responses. Improves data quality by identifying potentially incorrect misclassifications from data collection for human review",unmatched_vendor_text,,"BLS Internal
System",N/A,Recommends expense classification categories for Consumer Expenditure Interview Survey expense responses.
DOL,CFOI Record Matching,individual,"N/A BLS Internal
System CFOI Record Matching The Census of Fatal Occupational Injuries (CFOI) collects and publishes a complete count of work-related fatal injuries and descriptive data on their circumstances. The CFOI Record Matching programs matches records from various sources, including Occupational Safety and Health Administration (OSHA) Information System (OIS) files, news articles, and Quarterly Census of Employment and Wages (QCEW), to identify missing or inconsistent data in CFOI. Effic",unmatched_vendor_text,,"BLS Internal
System",N/A,"The Census of Fatal Occupational Injuries (CFOI) collects and publishes a complete count of work-related fatal injuries and descriptive data on their circumstances. The CFOI Record Matching programs matches records from various sources, including Occupational Safety and Health Administration (OSHA) "
DOL,CPS OTC Prediction,individual,"N/A BLS Internal
System CPS OTC Prediction The BLS productivity office publishes measures of hours worked by major sector and industry. As part of the calculation for this measure, BLS uses Current Employment Statistics (CES) data on hours paid is used to estimate hours for payroll workers. Additional adjustments are made to this measure, such as removing paid time off (PTO), adding off-the-clock (OTC) hours, and adding in hours worked by self-employed and unpaid family workers. BLS uses the Cur",unmatched_vendor_text,,"BLS Internal
System",N/A,"The BLS productivity office publishes measures of hours worked by major sector and industry. As part of the calculation for this measure, BLS uses Current Employment Statistics (CES) data on hours paid is used to estimate hours for payroll workers. Additional adjustments are made to this measure, su"
DOL,"Comment Actionability
Likelihood Score",individual,"N/A BLS Internal
System Comment Actionability
Likelihood Score Many comments submitted through the BLS.gov customer satisfaction survey are not actionable (i.e., do not provide an issue or explanation of what could improve the user experience). Non-actionable submissions increase the burden on those tasked with reviewing comments. The tool reduces the burden on those tasked with reviewing these comments by providing them with a means to sort them by how actionable they are likely to be.",unmatched_vendor_text,,"BLS Internal
System",N/A,"Many comments submitted through the BLS.gov customer satisfaction survey are not actionable (i.e., do not provide an issue or explanation of what could improve the user experience). Non-actionable submissions increase the burden on those tasked with reviewing comments."
DOL,"Computer-Assisted Coding: 
SOII Autocoder",individual,"N/A BLS Internal
System Computer-Assisted Coding: 
SOII Autocoder The Survey of Occupational Injuries and Illnesses (SOII) collects hundreds of thousands of narratives describing cases of work-related injury and illness annually. Using narratives and other relevant information, SOII Autocoder automatically assigns classifications for SOII elements, which include worker occupation, nature of the injury, part of body affected, event that resulted in the injury, source and secondary source (if it e",unmatched_vendor_text,,"BLS Internal
System",N/A,"The Survey of Occupational Injuries and Illnesses (SOII) collects hundreds of thousands of narratives describing cases of work-related injury and illness annually. Using narratives and other relevant information, SOII Autocoder automatically assigns classifications for SOII elements, which include w"
DOL,"Computer-Assisted Review:
ORS Autocoder",individual,"N/A BLS Internal
System Computer-Assisted Review:
ORS Autocoder The Occupational Requirements Survey (ORS) collects and publishes information about specific work-related requirements. Every year, thousands of collected data must be reviewed manually by human staff. The ORS Autocoder, on a regular basis, autocodes and clears certain edit flags from records which it deems to be good, allowing human staff to focus on reviewing data that are more likely to be incorrect. Efficiency and data quality i",unmatched_vendor_text,,"BLS Internal
System",N/A,"The Occupational Requirements Survey (ORS) collects and publishes information about specific work-related requirements. Every year, thousands of collected data must be reviewed manually by human staff. The ORS Autocoder, on a regular basis, autocodes and clears certain edit flags from records which "
DOL,ETA Grants Monitoring Tool through Doc Explorer,individual,"N/A Azure Open AI and AWS ETA Grants Monitoring Tool through Doc Explorer Automates review of grant documents to detect anomalies, delays, and compliance issues.
Improves consistency and accuracy in monitoring across programs. Saves time during site visit. Enhances monitoring efficiency and ensures accurate, timely use of Grants",unmatched_vendor_text,,Azure Open AI and AWS,N/A,"Automates review of grant documents to detect anomalies, delays, and compliance issues.
Improves consistency and accuracy in monitoring across programs."
DOL,"Expenditure Classification 
Autocoder",individual,"1605TA-21-F-00064 BLS Internal
System Expenditure Classification 
Autocoder Assigns expense classification categories to reported expenses from Consumer Expenditure Diary Survey respondents. Efficiency of expenditure classification efforts",unmatched_vendor_text,,"BLS Internal
System",1605TA-21-F-00064,Assigns expense classification categories to reported expenses from Consumer Expenditure Diary Survey respondents.
DOL,Generative AI AssistantI  ( AI Center),individual,"Synergy PIID: 1605DC19A0004
Azure PIID: NNG15SD60B Azure Open AI and AWS Generative AI AssistantI  ( AI Center) Private and secure in-house solution to evaluate business use cases that can solve problems using Generative AI models and semantic search. Example use cases include text summarization, text analysis, and document comparisons. Private, secure in-house generative AI with semantic search accelerates text summarization, analysis, and document comparison to improve efficiency and decision ",compound_string,Custom In-House AI; Aretec SEARCH,Azure Open AI and AWS,"Synergy PIID: 1605DC19A0004
Azure PIID: NNG15SD60B","Private and secure in-house solution to evaluate business use cases that can solve problems using Generative AI models and semantic search. Example use cases include text summarization, text analysis, and document comparisons."
DOL,Hololens,individual,BGC/CLIRIO Hololens Hololens AI used to train Inspectors to visually inspect  unsafe areas from a safe location. Vastly more cost effective in using the AI tool. Reduction of FTE costs from months to hours.,unmatched_vendor_text,,Hololens,BGC/CLIRIO,AI used to train Inspectors to visually inspect  unsafe areas from a safe location.
DOL,Note Taking Bot,individual,"Synergy PIID: 1605DC19A0004
Azure PIID: NNG15SD60B AUNTEE BOT Note Taking Bot The bot will take the transcript and summarize the meeting notes An AI bot that converts meeting transcripts into concise, searchable notes improves productivity and information sharing by reducing manual effort.",unmatched_vendor_text,,AUNTEE BOT,"Synergy PIID: 1605DC19A0004
Azure PIID: NNG15SD60B",The bot will take the transcript and summarize the meeting notes
DOL,OEWS Occupation Autocoder,individual,N/A BLS Internal system OEWS Occupation Autocoder The input is state-submitted response files that include occupation title and sometimes job description of the surveyed units. The autocoder reads the job title and assigns up to two 6-digit Standard Occupational Classification (SOC) codes along with their probabilities as recommendations for human coders. Codes above a certain threshold are appended to the submitted response file and sent back to states to assist them with their SOC code assignm,unmatched_vendor_text,,BLS Internal system,N/A,The input is state-submitted response files that include occupation title and sometimes job description of the surveyed units. The autocoder reads the job title and assigns up to two 6-digit Standard Occupational Classification (SOC) codes along with their probabilities as recommendations for human 
DOL,PII Redaction,individual,Amazon PII Redaction PII Redaction Using Amazon Web Services Personal Identifying Information scrubber for ITA text fields and Named Entity Recognition to remove additional names from the text fields. Vastly more cost effective in using the AI tool. Reduction of FTE costs from months to hours.,compound_string,Amazon Web Services; Amazon,PII Redaction,Amazon,Using Amazon Web Services Personal Identifying Information scrubber for ITA text fields and Named Entity Recognition to remove additional names from the text fields.
DOL,PPI Price Tolerance Prediction,individual,"N/A BLS Internal
System PPI Price Tolerance Prediction Recommends price tolerance boundaries for industries based on historical and seasonal trends. Improve statistical quality of price outlier detection.",unmatched_vendor_text,,"BLS Internal
System",N/A,Recommends price tolerance boundaries for industries based on historical and seasonal trends.
DOL,QCEW NAICS Autocoder,individual,"N/A BLS Internal
System QCEW NAICS Autocoder The primary data source for the Quarterly Census of Employment and Wages (QCEW) is administrative data from state unemployment insurance programs. Some of these records are submitted without a valid North American Industry Classification System (NAICS) code. The tool is intended to reduce the burden on human reviewers of these uncoded records by recommending the most likely NAICS codes. It also reduces the burden on the program office by reducing prin",unmatched_vendor_text,,"BLS Internal
System",N/A,The primary data source for the Quarterly Census of Employment and Wages (QCEW) is administrative data from state unemployment insurance programs. Some of these records are submitted without a valid North American Industry Classification System (NAICS) code.
DOL,Sample Refinement: Frame API,individual,"N/A BLS Internal
System Sample Refinement: Frame API BLS establishment-based surveys, such as the Survey of Occupational Injuries and Illnesses (SOII), the National Compensation Survey (NCS), and the Occupational Requirements Survey (ORS), use the Longitudinal Database (LDB) as the frame for their survey samples. For each of these programs, there is a significant time-lag between when the sample is drawn for a program and when data collection begins. A critical and time-consuming part of data co",unmatched_vendor_text,,"BLS Internal
System",N/A,"BLS establishment-based surveys, such as the Survey of Occupational Injuries and Illnesses (SOII), the National Compensation Survey (NCS), and the Occupational Requirements Survey (ORS), use the Longitudinal Database (LDB) as the frame for their survey samples. For each of these programs, there is a"
DOL,Scanner Data Product Classification,individual,"N/A BLS Internal 
system Scanner Data Product Classification BLS receives bulk data from some corporations related to the cost of goods they sell and services they provide. Consumer Price Index (CPI) staff have hand-coded a segment of the items in these data into Entry Level Item (ELI) codes. To accept and make use of these bulk data transfers at scale, BLS has begun to use machine learning to label data with ELI codes. The machine learning model takes as input word frequency counts from item de",unmatched_vendor_text,,"BLS Internal 
system",N/A,"BLS receives bulk data from some corporations related to the cost of goods they sell and services they provide. Consumer Price Index (CPI) staff have hand-coded a segment of the items in these data into Entry Level Item (ELI) codes. To accept and make use of these bulk data transfers at scale, BLS h"
DOT,Conversational Multi-modal Chatbot (Google Gemini),individual,"Google  Conversational Multi-modal Chatbot (Google Gemini) DOT needs a large language model that can integrate with word processing, email, presentations and shared drives. Google Gemini will allow DOT employees to Generate reports that automatically align with specific Operating Administration (Mode) format;  Generate custom visuals and slide outlines directly inside presentation.",compound_string,Gemini; Custom In-House AI; Google,,Google,"DOT needs a large language model that can integrate with word processing, email, presentations and shared drives."
DOT,Identification of Similar Continued Operational Safety (COS) Events,individual,"Identification of Similar Continued Operational Safety (COS) Events AIR is utilizing AI within Palantir Foundry (i.e., Foundry's ""Artificial Intelligence Platform"" (AIP)) to search, find and link similar types of events (e.g., Continued Operational Safety (COS) event reports, Notices of Noncompliance (NCN), semantic searc",compound_string,Palantir AIP; Aretec SEARCH,,,"AIR is utilizing AI within Palantir Foundry (i.e., Foundry's ""Artificial Intelligence Platform"" (AIP)) to search, find and link similar types of events (e.g., Continued Operational Safety (COS) event reports, Notices of Noncompliance (NCN), semantic searc"
DOT,Report Sumarization (Google NotebookLM),individual,"Google  Report Sumarization (Google NotebookLM) DOT employees need an environment to upload custum Retrieval-Augmented Generation (RAG). NotebookLM allows employees to upload documents that create a private RAG environment.  NotebookLM also condense long PDFs, articles, or transcripts into bulleted executive summaries, podcast style audio or action items",compound_string,NotebookLM; Google,,Google,DOT employees need an environment to upload custum Retrieval-Augmented Generation (RAG).
ED,Aidan Chat-bot,individual,"Accenture DCC Aidan Chat-bot Easing the access to information for borrowers Federal Student Aid's (FSA) virtual assistant uses natural language processing to answer common financial aid questions and help customers get information about their federal aid on StudentAid.gov. In just over two years, Aidan has interacted with over 2.6 million unique customers, resulting in more than 11 million user messages.",unmatched_vendor_text,,DCC,Accenture,Easing the access to information for borrowers
ED,Azure AI Internal General Q&A,individual,iCatalyst Inc ENT_Tech Azure AI Internal General Q&A Providing information to agency staff regarding provided documents Rag Chatbot used in the secure resolution of internal questions.,unmatched_vendor_text,,ENT_Tech,iCatalyst Inc,Providing information to agency staff regarding provided documents
ED,CAISY - Artificial Intelligence System Skillsoft Percipio Assessment for the Department Use,individual,"Skillsoft EDSPO CAISY - Artificial Intelligence System Skillsoft Percipio Assessment for the Department Use Enhancing user experience and knowledge gained from training platform CAISY is designed to enhance decision-making and operational efficiency by delivering real-time insights, predictive analytics, and intelligent automation. By streamlining repetitive tasks and improving situational awareness, it helps organizations reduce costs, boost productivity, and make more accurate, data-driven dec",unmatched_vendor_text,,EDSPO,Skillsoft,Enhancing user experience and knowledge gained from training platform
ED,Comment Categorization,individual,"iCatalyst Inc ENT_Tech Comment Categorization Reducing required manual processing of public comments Rag Chatbot referencing collected FAFSA Comments from public mailbox. Comments are provided to Bot, which provides statistics on the content, scope, and sentiment of the comments while grouping them for resolution",unmatched_vendor_text,,ENT_Tech,iCatalyst Inc,Reducing required manual processing of public comments
ED,Customer Service Support,individual,"iCatalyst Inc ENT_Tech Customer Service Support Easing access to solutions and information for customer support reprezentatives RAG Chatbot supporting customer service reps answering StudentAid.gov troubleshooting questions by using details from a provided document, including ticket numbers, issues, fixes, and confidence levels, while avoiding topics outside the document’s scope.",unmatched_vendor_text,,ENT_Tech,iCatalyst Inc,Easing access to solutions and information for customer support reprezentatives
