use_case_id_2024,tagged_by_agent,quality_flags_json,reasoning,confidence,entry_type,is_generative_ai,ai_sophistication,deployment_scope,is_general_llm_access,is_coding_tool,tool_product_name,tool_vendor
34907,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",ai_sophistication crossed cluster classical_ml->general_llm; scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34908,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34909,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",ai_sophistication crossed cluster classical_ml->general_llm; scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34910,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",ai_sophistication crossed cluster classical_ml->general_llm; scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34911,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; scope grew narrow->broad (bureau->enterprise_wide); likely real rollout; agency added generative AI between cycles,medium,,,,,,,,
34914,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34916,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",ai_sophistication crossed cluster classical_ml->general_llm; scope grew narrow->broad (pilot->enterprise_wide); likely real rollout,medium,,,,,,,,
34917,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->enterprise_wide); likely real rollout,medium,,,,,,,,
34918,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",ai_sophistication crossed cluster classical_ml->general_llm; scope grew narrow->broad (pilot->enterprise_wide); likely real rollout,medium,,,,,,,,
34925,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=1 vs 2025=0; scope grew narrow->broad (pilot->enterprise_wide); likely real rollout,medium,,,,,,,,
34928,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34930,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34931,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34935,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34937,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",ai_sophistication crossed cluster nlp_specific->general_llm; scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34938,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; entry_type also shifted product_deployment->bespoke_application; scope grew narrow->broad (bureau->enterprise_wide); likely real rollout; agency added generative AI between cycles,medium,,,,,,,,
34939,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->enterprise_wide); likely real rollout,medium,,,,,,,,
34942,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34943,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34944,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34945,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34951,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34952,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34953,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->enterprise_wide); likely real rollout,medium,,,,,,,,
34960,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34963,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->enterprise_wide); likely real rollout,medium,,,,,,,,
34964,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->enterprise_wide); likely real rollout,medium,,,,,,,,
34965,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34967,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->enterprise_wide); likely real rollout,medium,,,,,,,,
34969,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34970,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34971,wave2a-continued,"[""material_divergence"", ""drift_legitimate"", ""tagging_error_2025""]",is_generative_ai 2024=1 vs 2025=0; scope grew narrow->broad (bureau->enterprise_wide); likely real rollout; narrative mentions genai marker; 2025 tag of 0 likely wrong,medium,,,,,,,,
34972,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34974,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->enterprise_wide); likely real rollout,medium,,,,,,,,
34975,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34978,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34979,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->enterprise_wide); likely real rollout,medium,,,,,,,,
34980,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->enterprise_wide); likely real rollout,medium,,,,,,,,
34981,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34982,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->enterprise_wide); likely real rollout,medium,,,,,,,,
34983,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->enterprise_wide); likely real rollout,medium,,,,,,,,
34984,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34986,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=1 vs 2025=0; scope grew narrow->broad (pilot->enterprise_wide); likely real rollout,medium,,,,,,,,
34987,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=1 vs 2025=0; scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34989,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34991,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34992,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34993,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34994,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34995,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34997,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34998,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
34999,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (office->enterprise_wide); likely real rollout,medium,,,,,,,,
35000,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
35006,wave2a-continued,"[""material_divergence"", ""drift_legitimate"", ""tagging_error_2025""]",is_generative_ai 2024=1 vs 2025=0; scope grew narrow->broad (pilot->enterprise_wide); likely real rollout; narrative mentions genai marker; 2025 tag of 0 likely wrong,medium,,,,,,,,
35007,wave2a-continued,"[""material_divergence"", ""drift_legitimate"", ""tagging_error_2025""]",is_generative_ai 2024=1 vs 2025=0; scope grew narrow->broad (pilot->enterprise_wide); likely real rollout; narrative mentions genai marker; 2025 tag of 0 likely wrong,medium,,,,,,,,
35008,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=1 vs 2025=0; scope grew narrow->broad (pilot->enterprise_wide); likely real rollout,medium,,,,,,,,
35013,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; entry_type also shifted custom_system->product_deployment; agency added generative AI between cycles,medium,,,,,,,,
35015,wave2a-continued,"[""material_divergence""]",deployment_scope NARROWED enterprise_wide->bureau (2 tiers); entry_type also shifted product_deployment->custom_system,medium,,,,,,,,
35018,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,medium,,,,,,,,
35020,wave2a-continued,"[""material_divergence""]",ai_sophistication crossed cluster agentic->classical_ml,medium,,,,,,,,
35021,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,medium,,,,,,,,
35022,wave2a-continued,"[""material_divergence"", ""drift_legitimate"", ""tagging_error_2024""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles; narrative mentions LLM/genai marker; Wave 1 missed it,medium,custom_system,1,agentic,bureau,0,0,Aretec SEARCH,Aretec
35023,wave2a-continued,"[""material_divergence""]",ai_sophistication crossed cluster agentic->classical_ml,medium,,,,,,,,
35028,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,medium,,,,,,,,
35030,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,medium,,,,,,,,
35034,wave2a-continued,"[""material_divergence""]",deployment_scope NARROWED enterprise_wide->bureau (2 tiers),low,,,,,,,,
35037,wave2a-continued,"[""material_divergence""]",ai_sophistication crossed cluster general_llm->classical_ml; entry_type also shifted product_feature->product_deployment,medium,,,,,,,,
35043,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=1 vs 2025=0; entry_type also shifted bespoke_application->product_deployment; scope grew narrow->broad (pilot->bureau); likely real rollout,medium,,,,,,,,
35044,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=1 vs 2025=0; entry_type also shifted generic_use_pattern->custom_system; scope grew narrow->broad (pilot->bureau); likely real rollout,medium,,,,,,,,
35047,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,medium,,,,,,,,
35050,wave2a-continued,"[""material_divergence"", ""tagging_error_2025""]",is_generative_ai 2024=1 vs 2025=0; narrative mentions genai marker; 2025 tag of 0 likely wrong,medium,,,,,,,,
35070,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,medium,,,,,,,,
35072,wave2a-continued,"[""material_divergence""]",deployment_scope NARROWED enterprise_wide->bureau (2 tiers),low,,,,,,,,
35074,wave2a-continued,"[""material_divergence""]",ai_sophistication crossed cluster classical_ml->general_llm; entry_type also shifted product_feature->product_deployment,medium,,,,,,,,
35078,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; entry_type also shifted generic_use_pattern->product_deployment; agency added generative AI between cycles,medium,,,,,,,,
35080,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,medium,,,,,,,,
35081,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; entry_type also shifted generic_use_pattern->custom_system,medium,,,,,,,,
35082,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,medium,,,,,,,,
35086,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; entry_type also shifted generic_use_pattern->custom_system,medium,,,,,,,,
35087,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; entry_type also shifted bespoke_application->product_deployment; agency added generative AI between cycles,medium,,,,,,,,
35088,wave2a-continued,"[""material_divergence"", ""tagging_error_2025""]",is_generative_ai 2024=1 vs 2025=0; narrative mentions genai marker; 2025 tag of 0 likely wrong,medium,,,,,,,,
35100,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,medium,,,,,,,,
35102,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; entry_type also shifted generic_use_pattern->custom_system,medium,,,,,,,,
35104,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,medium,,,,,,,,
35105,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,medium,,,,,,,,
35107,wave2a-continued,"[""material_divergence""]",deployment_scope NARROWED enterprise_wide->bureau (2 tiers); entry_type also shifted bespoke_application->product_deployment,medium,,,,,,,,
35110,wave2a-continued,"[""material_divergence"", ""tagging_error_2025""]",is_generative_ai 2024=1 vs 2025=0; entry_type also shifted generic_use_pattern->custom_system; narrative mentions genai marker; 2025 tag of 0 likely wrong,medium,,,,,,,,
35122,wave2a-continued,"[""material_divergence""]",ai_sophistication crossed cluster nlp_specific->general_llm,medium,,,,,,,,
35155,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; entry_type also shifted custom_system->product_deployment; agency added generative AI between cycles,medium,,,,,,,,
35157,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->bureau); likely real rollout,medium,,,,,,,,
35164,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; entry_type also shifted custom_system->product_deployment; agency added generative AI between cycles,medium,,,,,,,,
35317,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,medium,,,,,,,,
35351,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,medium,,,,,,,,
35357,wave2a-continued,"[""material_divergence""]",ai_sophistication crossed cluster nlp_specific->general_llm,medium,,,,,,,,
35361,wave2a-continued,"[""material_divergence""]",ai_sophistication crossed cluster predictive_analytics->general_llm,medium,,,,,,,,
35368,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->bureau); likely real rollout,medium,,,,,,,,
35370,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,medium,,,,,,,,
35382,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,medium,,,,,,,,
35384,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,medium,,,,,,,,
35385,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,medium,,,,,,,,
35401,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; entry_type also shifted custom_system->product_feature; agency added generative AI between cycles,medium,,,,,,,,
35402,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; entry_type also shifted product_deployment->custom_system; agency added generative AI between cycles,medium,,,,,,,,
35427,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,medium,,,,,,,,
35455,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; entry_type also shifted generic_use_pattern->custom_system,medium,,,,,,,,
35460,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; entry_type also shifted generic_use_pattern->custom_system,medium,,,,,,,,
35464,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,medium,,,,,,,,
35465,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,medium,,,,,,,,
35466,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,medium,,,,,,,,
35467,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,medium,,,,,,,,
35470,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,medium,,,,,,,,
35475,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; entry_type also shifted product_deployment->custom_system,medium,,,,,,,,
35480,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
35482,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,medium,,,,,,,,
35485,wave2a-continued,"[""material_divergence""]",deployment_scope NARROWED enterprise_wide->bureau (2 tiers),low,,,,,,,,
35488,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; entry_type also shifted product_feature->product_deployment,medium,,,,,,,,
35489,wave2a-continued,"[""material_divergence""]",deployment_scope NARROWED enterprise_wide->bureau (2 tiers); entry_type also shifted product_feature->product_deployment,medium,,,,,,,,
35490,wave2a-continued,"[""material_divergence""]",deployment_scope NARROWED enterprise_wide->bureau (2 tiers); entry_type also shifted generic_use_pattern->custom_system,medium,,,,,,,,
35491,wave2a-continued,"[""material_divergence""]",deployment_scope NARROWED enterprise_wide->bureau (2 tiers); entry_type also shifted generic_use_pattern->custom_system,medium,,,,,,,,
35492,wave2a-continued,"[""material_divergence""]",deployment_scope NARROWED enterprise_wide->bureau (2 tiers); entry_type also shifted product_feature->product_deployment,medium,,,,,,,,
35494,wave2a-continued,"[""material_divergence""]",deployment_scope NARROWED enterprise_wide->bureau (2 tiers); entry_type also shifted product_feature->product_deployment,medium,,,,,,,,
35495,wave2a-continued,"[""material_divergence""]",deployment_scope NARROWED enterprise_wide->bureau (2 tiers); entry_type also shifted product_feature->product_deployment,medium,,,,,,,,
35496,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; deployment_scope NARROWED enterprise_wide->bureau (2 tiers); entry_type also shifted product_feature->product_deployment; agency added generative AI between cycles,medium,,,,,,,,
35497,wave2a-continued,"[""material_divergence""]",deployment_scope NARROWED enterprise_wide->bureau (2 tiers); entry_type also shifted product_feature->product_deployment,medium,,,,,,,,
35498,wave2a-continued,"[""material_divergence""]",deployment_scope NARROWED enterprise_wide->bureau (2 tiers); entry_type also shifted product_feature->product_deployment,medium,,,,,,,,
35499,wave2a-continued,"[""material_divergence""]",ai_sophistication crossed cluster nlp_specific->general_llm; entry_type also shifted product_feature->product_deployment,medium,,,,,,,,
35521,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; entry_type also shifted custom_system->product_deployment; agency added generative AI between cycles,medium,,,,,,,,
35534,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,medium,,,,,,,,
35536,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,medium,,,,,,,,
35553,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,medium,,,,,,,,
35556,wave2a-continued,"[""material_divergence"", ""drift_legitimate"", ""tagging_error_2025""]",is_generative_ai 2024=1 vs 2025=0; scope grew narrow->broad (pilot->bureau); likely real rollout; narrative mentions genai marker; 2025 tag of 0 likely wrong,medium,,,,,,,,
35557,wave2a-continued,"[""material_divergence""]",ai_sophistication crossed cluster nlp_specific->general_llm,medium,,,,,,,,
35559,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,medium,,,,,,,,
35564,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,medium,,,,,,,,
35565,wave2a-continued,"[""material_divergence""]",ai_sophistication crossed cluster nlp_specific->general_llm,medium,,,,,,,,
35566,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,medium,,,,,,,,
35576,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,medium,,,,,,,,
35581,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,medium,,,,,,,,
35582,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=1 vs 2025=0; entry_type also shifted generic_use_pattern->custom_system; scope grew narrow->broad (pilot->bureau); likely real rollout,medium,,,,,,,,
35586,wave2a-continued,"[""material_divergence""]",ai_sophistication crossed cluster classical_ml->agentic,medium,,,,,,,,
35591,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,medium,,,,,,,,
35592,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->bureau); likely real rollout,medium,,,,,,,,
35597,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; entry_type also shifted generic_use_pattern->custom_system,medium,,,,,,,,
35602,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; entry_type also shifted product_deployment->custom_system,medium,,,,,,,,
35619,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->bureau); likely real rollout,medium,,,,,,,,
35620,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,medium,,,,,,,,
35630,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; scope grew narrow->broad (pilot->bureau); likely real rollout; agency added generative AI between cycles,medium,,,,,,,,
35635,wave2a-continued,"[""material_divergence"", ""tagging_error_2025""]",is_generative_ai 2024=1 vs 2025=0; narrative mentions genai marker; 2025 tag of 0 likely wrong,medium,,,,,,,,
35653,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; scope grew narrow->broad (pilot->bureau); likely real rollout; agency added generative AI between cycles,medium,,,,,,,,
35658,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,medium,,,,,,,,
35661,wave2a-continued,"[""material_divergence""]",ai_sophistication crossed cluster predictive_analytics->general_llm; entry_type also shifted product_deployment->custom_system,medium,,,,,,,,
35672,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,medium,,,,,,,,
35678,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,medium,,,,,,,,
35686,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,medium,,,,,,,,
35690,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; entry_type also shifted custom_system->product_deployment; scope grew narrow->broad (pilot->bureau); likely real rollout; agency added generative AI between cycles,medium,,,,,,,,
35699,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->bureau); likely real rollout,medium,,,,,,,,
35700,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->bureau); likely real rollout,medium,,,,,,,,
35701,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; entry_type also shifted product_deployment->custom_system; agency added generative AI between cycles,medium,,,,,,,,
35705,wave2a-continued,"[""material_divergence"", ""tagging_error_2025""]",is_generative_ai 2024=1 vs 2025=0; narrative mentions genai marker; 2025 tag of 0 likely wrong,medium,,,,,,,,
35713,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,medium,,,,,,,,
35714,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,medium,,,,,,,,
35716,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,medium,,,,,,,,
35725,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=1 vs 2025=0; scope grew narrow->broad (pilot->bureau); likely real rollout,medium,,,,,,,,
35729,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,medium,,,,,,,,
35730,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,medium,,,,,,,,
35731,wave2a-continued,"[""material_divergence"", ""drift_legitimate"", ""tagging_error_2025""]",is_generative_ai 2024=1 vs 2025=0; entry_type also shifted product_deployment->custom_system; scope grew narrow->broad (pilot->bureau); likely real rollout; narrative mentions genai marker; 2025 tag of 0 likely wrong,medium,,,,,,,,
35732,wave2a-continued,"[""material_divergence"", ""drift_legitimate"", ""tagging_error_2025""]",is_generative_ai 2024=1 vs 2025=0; scope grew narrow->broad (pilot->bureau); likely real rollout; narrative mentions genai marker; 2025 tag of 0 likely wrong,medium,,,,,,,,
35733,wave2a-continued,"[""material_divergence"", ""tagging_error_2025""]",is_generative_ai 2024=1 vs 2025=0; narrative mentions genai marker; 2025 tag of 0 likely wrong,medium,,,,,,,,
35736,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,medium,,,,,,,,
35749,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,medium,,,,,,,,
35751,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->bureau); likely real rollout,medium,,,,,,,,
35752,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->bureau); likely real rollout,medium,,,,,,,,
35753,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->bureau); likely real rollout,medium,,,,,,,,
35762,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (bureau->enterprise_wide); likely real rollout,medium,,,,,,,,
35763,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,medium,,,,,,,,
35777,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,medium,,,,,,,,
35785,wave2a-continued,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,medium,,,,,,,,
35787,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,medium,,,,,,,,
35789,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,medium,,,,,,,,
35790,wave2a-continued,"[""material_divergence"", ""tagging_error_2025""]",is_generative_ai 2024=1 vs 2025=0; narrative mentions genai marker; 2025 tag of 0 likely wrong,medium,,,,,,,,
35800,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->bureau); likely real rollout,medium,,,,,,,,
35803,wave2a-continued,"[""material_divergence"", ""drift_legitimate""]",is_generative_ai 2024=0 vs 2025=1; agency added generative AI between cycles,medium,,,,,,,,
35805,wave2a-continued,"[""drift_legitimate""]",scope grew narrow->broad (pilot->bureau); likely real rollout,medium,,,,,,,,
