agency,use_case_name,bureau_component,scope_detail,deployment_scope,is_enterprise_wide,is_general_llm_access,estimated_user_count,stage_of_development,tool_product_name,tool_vendor,problem_statement,expected_benefits,ref_id_unstable
DOJ,"JAWS (Text-to-Speech Assistant for Accessibility)","Department of Justice / TAX","Department of Justice / TAX",bureau,0,1,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.",,,"Visually impaired personnel need assistance interpreting pictures and other visual objects and interacting with documents in a non-linear way","Aids visually impaired personnel with documents.",133303
DOJ,"Knowledge retrieval and synthesis (Azure OpenAI Services)","Department of Justice / ATR","Department of Justice / ATR",bureau,0,1,,"b)  Pilot – The use case has been deployed in a limited test or pilot capacity.","Azure OpenAI",Microsoft,"Azure OpenAI will help ATR review large volumes of document-based data quicker and more efficiently.","Enhance the speed and accuracy of legal analysis and review. This technology will allow ATR to quickly distill key information and insights, streamline workflows, reduce manual effort, and expedite legal analysis.",133357
DOJ,"Language Translation,  Optical Character Recognition (OCR), Object Detection, Language Detection, Alert Noise Reduction","Department of Justice / FBI","Department of Justice / FBI",bureau,0,0,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.",,,"Autonomous Detection and Monitoring","Increased analytic capability",133243
DOJ,"Machine Learning for Decision Support for DOJ MIS","Department of Justice / JMD / OCDETF","Department of Justice / JMD / OCDETF",bureau,0,0,,"a) Pre-deployment – The use case is in a development or acquisition status.",,,"Identify proposed HSTF investigations for prioritized review, approval, and potential case designation based on pre-determined success criteria.","Improve efficiencies in routing HSTF proposals through the workflow to receive HSTF designation. Identify the best use of resources through machine learning trained on investigations matching emerging threats.",133280
DOJ,"Managing Document Digital Signatures","Department of Justice / DEA","Department of Justice / DEA",bureau,0,1,,"a) Pre-deployment – The use case is in a development or acquisition status.",,,"It is currently time-consuming, and challenging, to collect digital signatures from DOJ personnel into one source document. Utilizing AI would intend to manage the document workflow by using a single upgraded storage location with advanced security features.","Saves time and effort by integrating identity verification while reducing the amount of storage required for documents.",133428
DOJ,"Mark43 Public Safety Records","Department of Justice / ATF","Department of Justice / ATF",bureau,0,0,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.",Mark43,Mark43,"The purpose of the AI use case in Mark43 Public Safety Records is to organize, categorize, and correlate extensive law enforcement data from various sources. By employing AI-driven classification, entity resolution, and data linking, it reduces the manual workload needed to extract meaningful insights. This empowers users to identify key relationships and patterns more rapidly, increases data accu","The expected benefit is better informed decisionmaking, allowing focus on data likely to yield meaningful insights.",133154
DOJ,NetDocuments,"Department of Justice / OPR","Department of Justice / OPR",bureau,0,0,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.",NetDocuments,NetDocuments,"The AI functionality of NetDocuments consists of predictive suggestions for saving files, such as Word documents and Outlook emails.  Through machine learning, NetDocuments predicts the OPR matter into which it thinks the end user should save a specific file.  The AI feature is intended to make the process of saving files into the pertinent matter number more efficient and streamlined.","Because NetDocuments is OPR's repository of records, it is important that OPR staff save all matter-related files into NetDocuments associated with the correct OPR matter number.  The AI feature in NetDocuments is expected to make the process of saving files into NetDocuments more efficient and user-friendly.  That will both encourage end users to save files into NetDocuments and assist in making ",133353
DOJ,Palantir,"Department of Justice / EOUSA","Department of Justice / EOUSA",bureau,0,1,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.","Palantir AIP",Palantir,"Integration and analysis of case information.","Reduction in time required to update and maintain an accurate case management system.",133346
DOJ,"Palantir (via access to external state LE system)","Department of Justice / ATF","Department of Justice / ATF",bureau,0,1,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.","Palantir AIP",Palantir,"This use case is being reported because Palantir has AI-based capabilities. However, ATF only accesses Palantir through task force partnerships with the a state law enforcement (LE) partner. The state LE agency uses Palantir as their case management system, and ATF's use is limited to searching for information which the state LE agency chooses to share with law enforcement partners. ATF has no inv","ATF use of the state LE partner Palantir system is limited to searching for information which the state agency chooses to share with law enforcement partners. ATF has no involvement with, any knowledge of, or any expected benefits from use of AI by the state agency which runs the system.",133157
DOJ,"Pega GenAI","Department of Justice / USMS","Department of Justice / USMS",bureau,0,1,,"a) Pre-deployment – The use case is in a development or acquisition status.",,,"GenAI is a tool that can help developers generate workflows (code in Pega) faster","Increased developer throughput on the Pega Platform",133345
DOJ,"Policy Chatbot","Department of Justice / FBI","Department of Justice / FBI",bureau,0,1,,"b)  Pilot – The use case has been deployed in a limited test or pilot capacity.",,,"Chatbot for policy","Faster FBI operations",133343
DOJ,Qualtrics,"Department of Justice / ENRD","Department of Justice / ENRD",bureau,0,0,,"a) Pre-deployment – The use case is in a development or acquisition status.",Qualtrics,Qualtrics,"Qualtrics is a cloud-based service that can send out survey and record responses. ENRD uses it to send out questionnaires to its own employees to gather feedback on issues such as training needs and student feedback on training sessions. ENRD also uses Qualtrics to collect victim impact statements and to collect public input in environmental justice matters. Qualtrics includes a sentiment analysis","It can provide immediate analysis of respondent sentiment and surface insights. It can reduce the number of hours and effort to read and score narrative responses and summarize the overall opinion on the subject.",133220
DOJ,ServiceNow,"Department of Justice / Department Wide","Department of Justice / Department Wide",bureau,0,0,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.","ServiceNow Now Assist",ServiceNow,"ServiceNow automates IT helpdesk tickets triage and classification and can handle routine inquires and simple tasks to free up resources to focus on higher priority issues.","To automate engagement with IT helpdesk personnel for IT requests. ServiceNow is a cloud-based platform that digitizes and automates workflows. It provides IT support to common and simple requests 24/7, and virtual agents handle common inquires that free staff for higher priority issues. Consistent processing could help reduce errors and increase efficiency.",133217
DOJ,"Speech to Text Managed Service - Voice Transcription to Text","Department of Justice / OIG","Department of Justice / OIG",bureau,0,1,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.","OpenAI API",OpenAI,"Reducing turnaround times for transcribed services and to reduce the need for contracted transcription services of audio files","Cost savings towards less time and materials for an individual to fully process the recording and quicker turnaround of transcription delivery.",133284
DOJ,"Thomson Reuters Drafting Assistant Tool for MS Word","Department of Justice / FBOP","Department of Justice / FBOP",bureau,0,0,,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",,,,,133263
DOJ,"Thomson Reuters Vigilant Vehicle Manager","Department of Justice / ATF","Department of Justice / ATF",bureau,0,0,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.",,,"The purpose of the AI use case in Thomson Reuters Vigilant Vehicle Manager is to intelligently organize, correlate, and analyze large volumes of license plate and vehicle sightings data. By automating the identification of recurring patterns and providing data-driven insights, it streamlines the workflow for identifying vehicles that may warrant attention. The AI capabilities reduce time-consuming","License plate reader systems are used by law enforcement to assist with identification of vehicles associated with criminal investigations. ATF has no role in training or managing AI capabilities which are incidental to providing the service.",133167
DOJ,"UFMS ChatBot","Department of Justice / JMD","Department of Justice / JMD",bureau,0,1,,"a) Pre-deployment – The use case is in a development or acquisition status.",,,"Create a personal assistant to provide application-level support to Unified Financial Management System (UFMS) users based on their functional needs/tasks.","Reduce the need for system users to do manual research, reducing subsequent tier 1 help desk requests.",133320
DOJ,"USTP AI Assistant","Department of Justice / USTP","Department of Justice / USTP",bureau,0,1,,"a) Pre-deployment – The use case is in a development or acquisition status.","Microsoft Copilot Studio",Microsoft,"Intended purpose is to enable USTP's IT team to understand the process to develop, test, tune and use Microsoft various AI services--Azure Open AI, Azure Open AI Foundry, Microsoft Copilot Studio.  A secondary purpose is understanding the full costs and time to develop and implement a use case from start to finish.  A tertiary purpose is to ensure the Generative AI service is providing useful resp","Intended benefits of using Microsoft AI services would be to enable USTP staff to find information quickly on relevant questions they may have.  The use cases tested in Pre-Deployment phase  would help reduce Help Desk calls and increase productivity of users enabling them to find technical information quickly. Potential to help generate new content based on pilot testing.",133316
DOJ,"UiPath OCR activity","Department of Justice / USMS","Department of Justice / USMS",bureau,0,1,,"a) Pre-deployment – The use case is in a development or acquisition status.",,,"Errors and delays in manual data interpretation and data entry impact critical events in customer journeys and business process efficiency. UiPath states that it is an automation software that has intelligent document creating capabilities to replace manual processes before and after the reading of the flat file. Some of its stated features are extracting text and allowing entire workflows to take","Automating data extraction from various documents and images, thereby increasing efficiency, accuracy, and speed in processes that involve manual data entry and document processing.",133309
DOJ,"Unmanned Aerial Systems (UAS)","Department of Justice / ATF","Department of Justice / ATF",bureau,0,0,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.",,,"Airship is an enterprise video management platform used to manage, secure, store, and analyze video surveillance obtained through criminal investigations. The airship platform includes AI-based capabilities for optical character recognition (OCR) for car license plates, airplane tail numbers, etc. and object detection with customizable near-real time alerts.","AI features help to support agent monitoring of surveillance video streams to ensure rapid notifications when predefined events occur that are pertinent to a criminal investigation.",133137
DOJ,Wellsaid,"Department of Justice / FBOP","Department of Justice / FBOP",bureau,0,1,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.","WellSaid Labs","WellSaid Labs","AI converts text to speech audio that is used in social media, training videos, and audiobooks.","Audio to be used for communications and training purposes",133269
DOJ,"Westlaw (AI assisted legal research)","Department of Justice / Department Wide","Department of Justice / Department Wide",bureau,0,0,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.","Westlaw AI","Thomson Reuters","Addresses manual process of conducting legal research.","Performs legal research and improves accuracy and efficiency of legal research.",133218
DOJ,"Westlaw (People Search)","Department of Justice / PARDON","Department of Justice / PARDON",bureau,0,0,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.","Westlaw AI","Thomson Reuters","Improve the accuracy and comprehensiveness of a clemency applicant's personal data.","Allows the retrieval of personal data for an individual such as historical addresses.  Improve the accuracy and comprehensiveness of a clemency applicant's personal data.",133300
DOJ,"Writing assistant","Department of Justice / FBI","Department of Justice / FBI",bureau,0,1,,"a) Pre-deployment – The use case is in a development or acquisition status.",,,"Quality and consistency of written comments","Faster FBI operations",133317
DOL,"DAISI ( DOL AI Search Insights)",OCIO,OCIO,bureau,0,1,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.","Aretec SEARCH",Aretec,"It's an AI-powered search assistant that retrieves and summarizes content from internal DOL sources to assist with information discovery. DAISI generates responses based on a database of facts, with all data coming from intranet content.","Faster retrieval of information",133475
DOL,"Generative AI AssistantI  ( AI Center)",OCIO,OCIO,bureau,0,1,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.","Custom In-House AI",In-House,"Private and secure in-house solution to evaluate business use cases that can solve problems using Generative AI models and semantic search. Example use cases include text summarization, text analysis, and document comparisons.","Private, secure in-house generative AI with semantic search accelerates text summarization, analysis, and document comparison to improve efficiency and decision support.",133448
DOT,"DOT Generative AI (GenAI) Policy","CAIO, OST-P, OCIO, OST-R","CAIO, OST-P, OCIO, OST-R",bureau,0,1,,Pre-deployment,,,"Provide DOT-wide generative AI (GenAI) policy.","",133517
ED,"Generative AI - System Testing","Office of the Chief Information Officer","Office of the Chief Information Officer",bureau,0,1,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.","OpenAI API",OpenAI,"Ease the access to information and generate materials for Department staff","AI will be provided with fabricated examples of prohibited prompt information, to ensure proper filters and data loss prevention methods are in place",133565
ED,"Generative AI - Text Generation","Contracts & Acquisitions Management","Contracts & Acquisitions Management",bureau,0,1,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.","OpenAI API",OpenAI,"Ease the access to information and generate materials for Department staff","AI generates summaries and outlines for projects and presentations, helping to organize key points and structure content effectively. This assists users in quickly preparing for discussions, reports, or presentations by focusing on the most relevant information.",133558
ED,"Speech to Text Meeting Transcription","Office of the Under Secretary","Office of the Under Secretary",bureau,0,1,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.",Otter.ai,Otter,"Automating the collection of meeting minutes","Otter.AI is designed to enhance communication and productivity by providing real-time transcription and collaboration tools for meetings, interviews, lectures, and other audio interactions. It enables users to focus on conversations while generating accurate, searchable transcripts, improving accessibility, saving time, and streamlining the organization of critical information.",133551
FDIC,"Plain Language Policy Assistant","Chief Information Officer Organization","Chief Information Officer Organization",bureau,0,0,,"d) Retired  The use case was reported in the agencys prior years inventory, but its development and/or use has since been discontinued.",,,"","",133612
FDIC,"Social Listening","Office of Communications, Division of Complex Institution Supervision & Resolution, Legal Division, Division of Risk Management Supervision","Office of Communications, Division of Complex Institution Supervision & Resolution, Legal Division, Division of Risk Management Supervision",bureau,0,1,,"c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.",Meltwater,Meltwater,"There are many social media sites that provide information useful to the FDIC's fulfillment of its mission; searching each independently is time consuming and inefficient. Summary of results for social and news items on the FDIC, liquidity risks, banking industry, and other relevant topics helps users to support mission.","Access to a centralized online tool that searches numerous social media sites expedites analysis of publicly available information. Utilized for social listening about policy issues, potential liquidity risks, banks,  and more to help support mission.",133657
FHFA,"Analytics,, Search, Queries and LLM integration for data management on Oracle",OCIO,OCIO,bureau,0,1,,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.","Aretec SEARCH",Aretec,"","",133674
FHFA,"Workflow automation and predictive analytics using ServiceNow",OCIO,OCIO,bureau,0,0,,"c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.","ServiceNow Now Assist",ServiceNow,"Help to automate workflows, predictive analytics, and providing intelligent service management solutions.",Efficiency,133680
FTC,"Azure Databricks Assistance",BE/BC/OCIO,BE/BC/OCIO,bureau,0,1,,"c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.",Databricks,Databricks,"Address the challenges of manual data analysis and coding inefficiencies","Enhance data analysts productivity and support accurate, efficient decision-making.",133739
FTC,"Microsoft 365 Copilot",OCIO,OCIO,bureau,0,1,,"b)  Pilot  The use case has been deployed in a limited test or pilot capacity.","Microsoft 365 Copilot",Microsoft,"Staff performing manual, time-consuming activities, taking away focus from higher-value tasks.","Enhance general productivity of FTC staff to achieve agency mission more efficiently",133737
HUD,"Microsoft Copilot","Office of the Chief Information Officer","Office of the Chief Information Officer",bureau,0,1,,"b)  Pilot – The use case has been deployed in a limited test or pilot capacity.","Microsoft 365 Copilot",Microsoft,"To support the HUD Secretary's directive to improve efficiency, HUD has a need to offer office productivity tools and capabilities. This would include the ability to automate repetitive, manual, and time-consuming tasks, streamline processes, and analyze data and produce insights and recommendations.","Microsoft Copilot will help with employee productivity by helping users draft documents, create summaries, generate data insights, and automate routine tasks. HUD will use Copilot to streamline workflows and automate repetitive activities within Microsoft apps.",134255
NASA,"Ask Tech Port","HQ: Headquarters","HQ: Headquarters",bureau,0,1,,"a) Pre-deployment – The use case is in a development or acquisition status.","Aretec SEARCH",Aretec,"Ongoing development and enhancement of the NASA Technology Portfolio Management System (TechPort) ""AskTechPort"" generative AI tool. AskTechPort leverages the TechPort data set of over 18,000 current and historical NASA applied research and experimental development investments to answer questions about NASA's technology portfolio and capabilities. AskTechPort provides an interactive feature enablin","TechPort sees an average of over 12,000 unique users each month. These users conduct over 250,000 searches each year of the NASA technology portfolio. The benefit of ""Ask Tech Port"" is a component that reduces the total time to search or retrieve the results of a data inquiry by 50%, providing interactive features that use natural language processing to provide a faster inquiry mechanism than hist",134580
NSF,"AWS Assisted Software Development (DIS AI Assisted Development)",OCIO,OCIO,bureau,0,1,,Pre-Deployment,"Amazon CodeWhisperer",Amazon,"Within software development, AI-driven tools, such as AWS CodeWhisperer, Amazon Q and Bedrock, and integration with development workflow, promise to elevate developer productivity and refine code quality. The objective of this pilot is to explore potential integration of these AWS services with DIS Developers IDEs, Jenkins automation, Bitbucket, laying the groundwork for Secure AI Assisted Develop",,134715
NSF,"NSF AI-Ready RPPR Data",OCIO,OCIO,bureau,0,1,,Pre-Deployment,"AWS Bedrock",Amazon,"OCIO is working to provide AI-ready RPPR data – a key component for determining outcomes of NSF investments. Note: Information in the RPPR may be used to identify ""outputs"" and be linked to other data sets (e.g., NSF PAR, Patent, etc.) to assess NSF’s ""broader impacts""; however,  it is not currently available in an accessible format. Problem Statement: RPPR data, a critical resource for tracking t",,134725
NSF,"ServiceNow GenAI ""Now Assist""",OCIO,OCIO,bureau,0,1,,Deployed,"ServiceNow Now Assist",ServiceNow,"ServiceNow GenAI is a FedRAMP High certified system to accelerate digital transformation using Now Assist. Automatically generate content such as responses, work notes, and knowledgebase articles related to customer service experience. Increase productivity and speed to delivery with intelligent recommendations. Resolve issues swiftly with chatbots that understand human language.",,134710
NSF,"TIP MS Copilot Pilot","TIP & OCIO","TIP & OCIO",bureau,0,1,,Pre-Deployment,"Microsoft 365 Copilot",Microsoft,"Copilot can be used to rewrite and generate text based on user prompts in Microsoft 365 services, including Microsoft Word, Microsoft Excel, and PowerPoint.  Copilot for Microsoft 365 uses Microsoft Graph, an API, to evaluate context and available Microsoft 365 user data before modifying and sending user prompts to the language model.  After receiving its output, Microsoft Graph performs additiona",,134726
OPM,"Anthropic Claude",OCIO,OCIO,bureau,0,1,,Sandbox,Claude,Anthropic,"LLM used across OPM for summarization, drafting, and decision support",,134739
OPM,"Microsoft Copilot",OCIO,OCIO,bureau,0,1,,Production,"Microsoft 365 Copilot",Microsoft,"LLM used across OPM for summarization, drafting, and decision support",,134737
OPM,"OPM Rexi Chatbot",OCIO,OCIO,bureau,0,1,,Production,,,"Internal chatbot for document analysis, content generation, and brainstorming",,134741
OPM,"OpenAI ChatGPT",OCIO,OCIO,bureau,0,1,,Pilot,ChatGPT,OpenAI,"LLM used across OPM for summarization, drafting, and decision support",,134738
SBA,"AI Incident Summarization","OCIO: Office of the Chief Information Officer","OCIO: Office of the Chief Information Officer",bureau,0,1,,"Pre-deployment – The use case is in a development or acquisition status.","ServiceNow Now Assist",ServiceNow,"Security analysts spend 15–30 minutes manually reading hundreds of work notes, logs, and audit trails to understand the status and history of each security incident, slowing response and shift handoffs.","One-click incident summarization reduces analyst documentation time by 15–30 minutes per incident, improves shift handoff quality, and enables faster incident response through structured summaries.",134769
SBA,"AI Resolution Notes Generation","OCIO: Office of the Chief Information Officer","OCIO: Office of the Chief Information Officer",bureau,0,1,,"Pre-deployment – The use case is in a development or acquisition status.","ServiceNow Now Assist",ServiceNow,"Formal closing notes for security incidents take analysts 15–30 minutes to manually draft at incident closure, diverting time from active threat response and creating documentation backlogs.","Automated drafting of formal resolution notes allows analysts to review and approve rather than write from scratch, accelerating incident closure and freeing analyst time for active defense.",134770
SBA,"AI Vulnerability Remediation Assistance","OCIO: Office of the Chief Information Officer","OCIO: Office of the Chief Information Officer",bureau,0,0,,"Pre-deployment – The use case is in a development or acquisition status.","ServiceNow Now Assist",ServiceNow,"Security teams require environment-specific remediation guidance to determine the optimal patch or configuration change for each identified vulnerability, a process that is currently manual and time-intensive.","Faster and more accurate remediation recommendations tailored to SBA’s specific environment configurations, reducing mean time to remediate and improving patch accuracy.",134772
SBA,"AI Vulnerability Ticket Deduplication","OCIO: Office of the Chief Information Officer","OCIO: Office of the Chief Information Officer",bureau,0,0,,"Pre-deployment – The use case is in a development or acquisition status.","ServiceNow Now Assist",ServiceNow,"Multiple security scanners (Tenable, Qualys, Rapid7) report the same vulnerability on the same host, generating duplicate tickets that create 'ticket bloat' and waste remediation team effort on redundant work.","Reduced vulnerability ticket volume, faster remediation prioritization, and elimination of redundant vulnerability response effort across multiple scanning tools.",134771
SBA,"Amazon Q in Connect","OCIO: Office of the Chief Information Officer","OCIO: Office of the Chief Information Officer",bureau,0,1,,"Pre-deployment – The use case is in a development or acquisition status.","Amazon Q",Amazon,"Staff need quick access to relevant information and guidance to efficiently respond to inquiries and make decisions.","Faster content creation, improved consistency, reduced staff time on routine writing tasks, and enhanced quality of generated content.",134748
SBA,"Developer Code Assistant AI","OCIO: Office of the Chief Information Officer","OCIO: Office of the Chief Information Officer",bureau,0,1,,"Pre-deployment – The use case is in a development or acquisition status.","Amazon Q",Amazon,"Software developers spend significant time on repetitive coding tasks, writing boilerplate code, creating documentation, generating unit tests, and conducting code reviews. Legacy code modernization is complex and time-consuming. Understanding large codebases requires extensive manual analysis. Developers need context-aware assistance that understands company-specific code patterns and AWS best pr","Accelerates software development by up to 57% through intelligent code completion and generation. Reduces time spent on documentation, unit testing, and code reviews through autonomous agentic capabilities. Transforms legacy applications automatically (e.g., .NET upgrades, Java version migrations). Improves code quality with AWS-specific best practices and security recommendations. Enables faster ",134768
SBA,"Employee Center AI Search","OCIO: Office of the Chief Information Officer","OCIO: Office of the Chief Information Officer",bureau,0,1,,"Pre-deployment – The use case is in a development or acquisition status.","ServiceNow Now Assist",ServiceNow,"Manual processing and analysis is resource-intensive and may lack the speed and consistency needed for effective operations.","Data-driven predictions, identification of patterns not visible through manual review, improved decision-making accuracy, and optimized resource allocation.",134758
SBA,"Employee Work Prioritization AI Agent","OCIO: Office of the Chief Information Officer","OCIO: Office of the Chief Information Officer",bureau,0,1,,"Pre-deployment – The use case is in a development or acquisition status.",Gemini,Google,"Staff require versatile AI assistance for diverse tasks including content creation, coding, translation, research, and problem-solving. Single-purpose tools create inefficiencies and context-switching.","Unified AI assistant handles multiple task types, improves productivity across content creation and coding activities, enables faster multilingual communication, provides accurate answers to complex questions, and supports creative problem-solving with contextual awareness.",134763
SBA,"General AI Use Case across the SBA for web and desktop","OCIO: Office of the Chief Information Officer","OCIO: Office of the Chief Information Officer",bureau,0,1,,Pilot,Perplexity,"Perplexity AI","Staff need quick access to current, accurate information with verifiable sources for research, analysis, and decision-making. Traditional search requires manual verification and synthesis across multiple sources.","Faster research and information gathering with built-in source citations, real-time information access, reduced time spent verifying sources, and improved quality of research outputs. Enables more informed decision-making with transparent sourcing.",134760
SBA,"Generative AI for SBA.gov product training","OCIO: Office of the Chief Information Officer","OCIO: Office of the Chief Information Officer",bureau,0,1,,"Pre-deployment – The use case is in a development or acquisition status.",ChatGPT,OpenAI,"Staff need quick access to relevant information and guidance to efficiently respond to inquiries and make decisions.","Faster content creation, improved consistency, reduced staff time on routine writing tasks, and enhanced quality of generated content.",134752
SBA,"Multi-Agent Orchestration","OCIO: Office of the Chief Information Officer","OCIO: Office of the Chief Information Officer",bureau,0,1,,"Pre-deployment – The use case is in a development or acquisition status.","AWS Bedrock",Amazon,"SBA maintains millions of lines of legacy ColdFusion and COBOL code supporting mission-critical lending systems (CAFS) with minimal test coverage and significant technical debt. Manual code refactoring, test case generation, and project management across modernization initiatives are resource-intensive and error-prone, creating risk during cloud migration.","Multi-agent AI orchestration will accelerate legacy code modernization by automating code refactoring recommendations, generating comprehensive test suites for financial calculation modules, and streamlining project management workflows. Expected benefits include reduced manual effort for QA testing, improved code quality and test coverage for CAFS applications, faster time-to-migration for AWS EV",134773
SBA,"Predictive AIOps","OCIO: Office of the Chief Information Officer","OCIO: Office of the Chief Information Officer",bureau,0,0,,"Pre-deployment – The use case is in a development or acquisition status.","ServiceNow Now Assist",ServiceNow,"IT operations teams are overwhelmed with massive volumes of alerts and events from diverse monitoring tools, creating alert fatigue and slowing incident response. Manual correlation of events, log analysis, and root cause identification is time-consuming and error-prone. Reactive problem-solving leads to prolonged outages, high Mean Time to Resolution (MTTR), and degraded service availability. Tra","Reduces alert noise by up to 90% through intelligent event correlation and anomaly detection. Decreases Mean Time to Resolution (MTTR) by 30-50% via automated root cause analysis and remediation workflows. Enables proactive incident prevention through predictive analytics that identify potential issues before they cause outages. Provides self-healing capabilities with automated remediation reducin",134766
SBA,"Secure IL5 AI","OCIO: Office of the Chief Information Officer","OCIO: Office of the Chief Information Officer",bureau,0,1,,"Retired – The use case was reported in the agency's prior year's inventory but its development and/or use has since been discontinued.","Ask Sage","Ask Sage","Government teams need secure AI capabilities that meet federal security requirements for analyzing sensitive data, generating content, and streamlining knowledge work without compromising data security or compliance.","FedRAMP High authorized AI platform enables secure AI adoption across government agencies, enhances productivity through automated analysis and content generation, maintains data security and compliance, and provides flexible deployment options across classification levels.",134762
SBA,"Security Team Productivity Enhancement","OCIO: Office of the Chief Information Officer","OCIO: Office of the Chief Information Officer",bureau,0,1,,"Pre-deployment – The use case is in a development or acquisition status.","Microsoft Copilot for Security",Microsoft,"Manual processing and analysis is resource-intensive and may lack the speed and consistency needed for effective operations.","Faster content creation, improved consistency, reduced staff time on routine writing tasks, and enhanced quality of generated content.",134759
SSA,"Agency Support Companion (ASC) chatbot","Chief Information Officer","Chief Information Officer",bureau,0,1,,"c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.","OpenAI API",OpenAI,"Generative AI model to create content, summarization and research capabilities","Assist all internal users across the agency in their daily tasks related to content generation, analysis, refinement, and general research capabilities.",134853
SSA,"Enterprise Ticketing System (ETS)","Chief Information Officer","Chief Information Officer",bureau,0,0,,"c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.","ServiceNow Now Assist",ServiceNow,"This AI use case consolidates searching capabilities across multiple applications and portals to help employees find and locate the appropriate form to submit a request or problem they may have.","The use care reduces the time and complexity involved with locating request forms.",134863
SSA,"General Use Chatbot","Chief Information Officer","Chief Information Officer",bureau,0,1,,"b)  Pilot  The use case has been deployed in a limited test or pilot capacity.","Microsoft 365 Copilot Chat",Microsoft,"Generative AI model to create content, summarization, analyzation and research capabilities","Copilot can help with routine tasks (e.g.: writing emails/articles), provide suggestions for improving content, offer valuable data insights and image generation.",134865
SSA,"Generative Artificial Intelligence (AI) for Analytic Insights","Chief Information Officer, Analytics and Improvements","Chief Information Officer, Analytics and Improvements",bureau,0,1,,"c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.","OpenAI API",OpenAI,"Generative AI model to analyze SSA's National 800 Number and Field Office call transcripts as well as Interactive Voice Response (IVR) system call logs to provide insights into caller intent, call resolution, and call topics.","The insights help identify areas for improvement in policies and processes, leading to better customer service and reduced wait times. Ongoing analysis and monitoring support more effective system performance and enhance the overall customer experience.",134847
SSA,"Intelligent generation of modernized code.","Chief Information Officer","Chief Information Officer",bureau,0,1,,"c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.",,,"The module uses AI techniques such as cluster analysis, pattern matching, templates, and programming language models to generate modernized code in a new target language. These AI techniques enable it to perform efficient data analysis, processing, and intelligent generation of new code. AI powered approach provides structured standardized code thats highly maintainable.","The GenAI component accelerates legacy system modernization by automatically analyzing COBOL and other legacy code, generating consistent business requirements documentation, and performing refactoring and re-imagining to transform code into modern languages and frameworks (e.g., Java, Java Spring Boot). This capability reduces manual effort required for document creation, supports knowledge reten",134855
SSA,"Mainframe code modernization assistant","Chief Information Officer","Chief Information Officer",bureau,0,1,,"a) Pre-deployment  The use case is in a development or acquisition status.","IBM watsonx Code Assistant",IBM,"Increase developer efficiency through faster coding, time savings and cost reduction.","Reduced task switching and maintain flow state 	Enhanced developer experience 	Improved developer retention 	Improved code quality and maintainability 	Improved customer experience 	Reduced bugs and technical debt 	Go to market faster",134859
SSA,"Policy Assistance Tool (PAT)","Chief Information Officer","Chief Information Officer",bureau,0,1,,"b)  Pilot  The use case has been deployed in a limited test or pilot capacity.","OpenAI API",OpenAI,"The system is designed to help employees quickly and easily find accurate policy information, improving efficiency and the user experience for those who need to access agency policies.","The system is expected to make it faster and easier for users to access accurate and up-to-date policy information. This will improve efficiency, streamline processes, and enhance service delivery, supporting the agencys mission and benefiting the general public.",134856
