2025 VA AI Use Case Inventory,,,,,,,,,,,,,
Use Case ID,Use Case Name,VA Admin or Staff Office,Development Stage,High-Impact Status,Problem to be Solved,Expected Benefits,AI System Outputs,AI Tech Classification,Topic Area,Custom-Developed Code?,Development Type,Federal Data Catalog Link,Public Open Source Link
VA-24-4521,Automated Incident Analysis,OIT: Office of Information & Technology,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,"The Enterprise Command Operations (ECO) Major Incident Management (MIM) team will develop an AI Agent to assist in Major Incident bridge calls. The agent will gather insights from the Major Incident bridge transcription, ServiceNow Incidents, and Observability telemetry to assist in isolating the cause of a Major Incident. The agent would reduce the Mean Time to Repair (MTTR) Major Incidents impacting Veteran care and/or benefits.",This agent would result in improved availability of Veteran-impacting services providing patient care and benefits. It would also significantly improve efficiency as Major Incident bridge calls tie up many system administrators in bridge calls which can be redirected to areas of greater impact.,Documented insights identifying the probable cause of a Major Incident.,Agentic AI: AI systems that perform tasks or make decisions autonomously with minimal human intervention.,Information Technology,,,,
VA-25-1102,OpenAI Embedding Generation for Future Vector Search of Banking Data,OIT: Office of Information & Technology,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,"The current design of a long term document for a banking partner consists of cloud blob storage which are registered into a database with metadata. A future phase will require full-text document search. We can OCR this information now, and implementing vector embeddings would dramatically help individuals find the specific documents. PNC bank will save documents for 7 years and wants to be able to find specific documents.",Increased efficiency of document retrieval in long term document archive.,"An API will be exposed to a secure VA-internal website where appropriate personelle will use the UI, which will make an API call which returns a list of semantic search matches.","Computer Vision: AI that processes and interprets visual data (e.g., images and videos).",Information Technology,,,,
VA-25-1184,Ask VA Inquiry Automated Category Classification System,OIT: Office of Information & Technology,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,"Primary Problem - Manual Categorization Burden: Veterans and their families currently manually navigate complex category, topic/subtopic selection fields when submitting inquiries through AskVA. This creates barriers to accessing VA services and can result in incorrect categorization that delays or misdirects their requests.

Scale and Efficiency Problem: The VA processes over 106M inquiry records, with 35.1M completed inquiries requiring manual review and routing. Manual categorization at this volume creates significant processing delays and resource strain on both veterans submitting requests and VA staff managing the workflow.
 
Consistency and Accuracy Problem: Manual categorization leads to inconsistent classification across inquiries, with approximately 11.3M potential misclassifications identified where topics appear under multiple categories. This inconsistency results in inquiries being routed to incorrect service teams, causing delays in resolution and poor customer experience.

Resource Allocation Problem: Incorrect or inconsistent categorization prevents optimal allocation of VA staff and resources across the 18 standardized service areas (disability compensation, education benefits, healthcare, housing assistance, etc.), leading to inefficient service delivery.

The AI solution mitigates these problems by providing automated, consistent, and accurate categorization that improves both veteran experience and VA operational efficiency.","For Veterans and the General Public:
- Improved access to VA services by eliminating complex manual category selection barriers
- Enhanced customer experience with streamlined AskVA submission process
- Reduced frustration and time burden when seeking VA assistance

For VA Agency Mission:
- Increased operational efficiency in processing 106+ million inquiry records
- Improved resource allocation with accurate categorization enabling better workload distribution
- Reduced processing delays and backlogs through automated classification at 83.38% accuracy","The AI system produces a ranked list of the top 3 category predictions with their corresponding confidence scores for each processed AskVA inquiry. Rather than forcing a single classification decision, the system presents the three most likely categories from the 18 standardized VA service areas (including education benefits and work study, disability compensation, healthcare, debt for benefit overpayments and healthcare copay bills, decision reviews and appeals, sign in and technical issues, Veteran Readiness and Employment, survivor benefits, housing assistance and home loans, Veteran ID Card (VIC), burials and memorials, life insurance, Defense Enrollment Eligibility Reporting System (DEERS), pension, benefits issues outside the U.S., Center for Women Veterans, guardianship/custodianship/fiduciary issues, and Center for Minority Veterans) ranked by the model's confidence level. This approach provides flexibility for users who can select from the top 3 AI-suggested categories or, if none of the predictions match their assessment, access the complete list of all 18 categories for manual selection. The system delivers these outputs in real-time through a RESTful API integration, providing JSON-formatted responses with the ranked predictions and confidence scores. ",Classical/Predictive Machine Learning: Models trained on data to make predictions or classifications based on identified patterns or relationships.,Service Delivery,,,,
VA-25-1225,Report Anomalous VIEWS CCM User Behavior,OIT: Office of Information & Technology,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,"

The AI protects VA sensitive information from insider threat scenarios. Sensitive information includes the unauthorized disclosure of information such as financial records, Veteran information, and employee records stored in the Salesforce application titled ""VA Integrated Enterprise Workflow Solution (VIEWS)."" AI scans a CRM Analytics database consisting of Salesforce-generated log files to locate patterns of unusual end-user behavior (such as excessive after-hours logins and large, keyword searches (whistleblower, investigation, DD214, discharge, and similar terms) irregular database download attempts) and to automatically report such incidents to an email distribution group for action.
","The main benefit of this AI project is to provide improved, early incident detection for protecting VA employee and Veteran sensitive information, including PHI, PII, and Sensitive But Unclassified information stored in VIEWS.",The AI system will provide automated alerts via email about specified security incidents for a distribution list of persons who have governance oversight of VIEWS database information and end-user operations within the Office of the Executive Secretariat. ,Agentic AI: AI systems that perform tasks or make decisions autonomously with minimal human intervention.,Cybersecurity,,,,
VA-25-128,Power Platform Solutioning Chatbot,OIT: Office of Information & Technology,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,The intention of the tool is to speed up the time taken between users identifying that help is needed for a solution and resolving what would be required to implement the solution as a citizen developer on the Microsoft Power Platform.,"The tool will provide a convenient way for citizen developers on the Microsoft Power Platform to be able to ask questions regarding the kind of application or solution they are trying to build and have the chatbot respond with the technologies that can be employed to get the solution completed as well as any licensing details that the user needs to be aware of. The tool is intended to speed up the time between users identifying that help is needed for a solution and resolving what would be required to implement the solution as a citizen developer on the Microsoft Power Platform. This tool would also help identify any potential issues regarding the solution that may need to be handled along the way, like licensing needs.",High level description of the technologies that would be required to implement the provided solution as well as any licensing needs.,"Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).",Information Technology,,,,
VA-25-1347,Tachyon AI,OIT: Office of Information & Technology,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,"Tachyon ""1E Intelligence"" is expected to provide deeper and more meaningful insights into the digital experience of VA employees and customers, including better visibility into the performance of endpoint devices. It is also expected to enhance the Software Asset Management features and increase the effectiveness of User Sentiment gathering.  This version will include additional features like “1E Intelligence”, which leverages various types of AI (predictive, causal, generative, cloud, edge, “Digital Twin”) to enhance insights into the digital employee experience, device performance, and software reclamation.","Helps to transform complex data into clear and actionable insights, ensuring digital workplace leaders can make informed decisions that boost uptime, increase operational efficiency, and ultimately result in improved patient care. ",Reports that deliver richer visibility into the Digital Employee Experience throughout the VA endpoint fleet,Classical/Predictive Machine Learning: Models trained on data to make predictions or classifications based on identified patterns or relationships.,Information Technology,,,,
VA-25-3111,Redseal AI Usage,OIT: Office of Information & Technology,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,"The cyber risk analytics AI is designed to provide enhanced risk prioritization and likelihood of exposure, validating impact through AI orchestrated workflows and automation. ",Increased efficiency by reducing incident response guesswork and accelerating remediation.,"Outputs consist of a dynamic network map model of our hybrid environment, attack path visualizations showing possible lateral movement routes an attacker could take, segmentation validation reporting to confirm zero trust and Network Access Control (NAC) policies are enforced. In addition, there are outputs related to risk and vulnerabilities, compliance, and workflow automation.",Agentic AI: AI systems that perform tasks or make decisions autonomously with minimal human intervention.,Cybersecurity,,,,
VA-25-3776,Ingestion of TRM and VASI,OIT: Office of Information & Technology,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,Lack of connection between the Technical Reference Model (TRM) and instances of the technology in use in the TRM.,Ease identification of the use of specific technology at the VA and reduce time spent identifying how and where technology is being used.,Comprehensive considerations for solutions already available at VA and how the technology is being used for a solution.,"Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).",Procurement & Financial Management,,,,
VA-25-4253,Ansible Lightspeed,OIT: Office of Information & Technology,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,"Lack of adoption of automation, or expertise in coding knowledge to automate a remediation/code change. Ansible LightSpeed helps create automations faster, making teams more efficient and productive in a shorter amount of time than if they needed to write automations on their own.",Quicker time to service and resolution,Automation playbooks. Ansible LightSpeed answers questions inside the Ansible Automation Platform application via a chatbot dialogue box in the application. Ansible LightSpeed can also be a plugin for Visual Studio Code where it can generate YAML code for a developer (or administrator or engineer) where they are developing the YAML code. Both of these are optional to the included Ansible Automation Platform.,"Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).",Information Technology,,,,
VA-25-5472,VetsEZ Middleware Development,OIT: Office of Information & Technology,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,"The HDM middleware environment supports large-scale, secure health data transport across VA systems, but much of its underlying codebase is legacy (e.g., MUMPS, Java, .NET Framework) and complex, with inconsistent documentation and a heavy reliance on senior SMEs.

This leads to: Ongoing technical debt as well-functioning but aging middleware components require careful, phased modernization; Longer onboarding times when new developers need to interpret complex, high-value legacy code without comprehensive documentation; Resource dependencies where mid-tier developers require more direct SME involvement for certain modernization and refactoring tasks; Variation in code patterns that can affect consistency in security, performance, and maintainability across platforms; Slower adoption of modern architectures such as containerized microservices and FHIR integrations.

How AI Solves It: Explain legacy code in plain language, creating complete documentation for knowledge preservation and onboarding; Refactor code for maintainability, performance, and security, reducing technical debt; Generate standardized, efficient middleware code aligned with VA modernization goals; Produce AI-augmented unit tests to detect defects earlier (“shift-left” testing) and increase coverage; All outputs will still undergo human review, VA security scanning, and governance to ensure compliance with Federal Information Security Management Act (FISMA) High standards and VA TRM policy.","For the VA’s Mission: Faster code modernization – AI-assisted refactoring and generation will help transition middleware components from older platforms (MUMPS, Java, .NET Framework) to secure, containerized microservices. 
Improved developer efficiency – By automating repetitive coding & documentation tasks, developers can focus more on high-value modernization work and less on manual rework. 
Knowledge preservation – AI-generated code explanations and documentation reduce the risk of key-person dependency and improve continuity across teams.
Higher code quality  – AI-augmented unit tests and standardized patterns will strengthen maintainability and alignment with FISMA High requirements.
Accelerated delivery cycles – With AI enabling mid-tier developers to work more independently, releases can move through the DevSecOps pipeline faster while maintaining quality and compliance.
For the General Public / Veterans:
Improved reliability of VA systems – Modernized, better-tested middleware helps ensure health and benefits data flows securely and consistently.
Faster implementation of new services – Reduced development cycle times allow Veterans to benefit sooner from new integrations, such as Fast Healthcare Interoperability Resources (FHIR)-based interoperability with community care providers.
Sustained continuity of operations – Documentation and knowledge capture ensure that mission-critical systems can be maintained and improved even as staff transitions occur.","AI System Outputs

The system will produce the following outputs to support HDM middleware modernization:

Code Explanations & Documentation

Plain-language summaries of complex legacy code (e.g., MUMPS, Java, .NET Framework) to aid in developer understanding and onboarding.

Structured documentation suitable for inclusion in VA knowledge repositories.

Refactored Code

Updated, cleaner, and more maintainable versions of existing middleware code that preserve original functionality while improving performance, security, and alignment with modern coding standards.

New Code Segments

Efficient, standardized code snippets or modules to support integration tasks, modernization efforts, and migration to containerized microservices.

AI-Generated Unit Test Scaffolds

Automated creation of baseline unit test templates that improve early defect detection, expand test coverage, and support “shift-left” testing practices.

Code Review Suggestions

Recommendations for improving existing or newly generated code, focusing on maintainability, security, and architectural alignment.","Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).",Information Technology,,,,
VA-25-552,EDU Synthetic Test Data POC,OIT: Office of Information & Technology,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,"To generate mock data which allows VBA education service to leverage non-prod, non-pii environments for more robust testing. ","Faster, automated testing is a key outcome of being able to generate life-like yet identity-obscured data. ",Fake Veterans with variables and constraints that mimic real life and can be used for UAT and automated testing. ,"Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).",Information Technology,,,,
VA-25-5575,Pyramid Analytics Generative AI Options,OIT: Office of Information & Technology,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,"Pyramid Analytics is a scalable business intelligence application/platform that uses VA data sources for building and maintaining data reporting content. The application/platform has several tools, including dashboard and report creation tools and has 57,000+registered users at VA. ",Increased efficiency in finding information faster,"AI collects and organizes information, then a person acts on it. The AI tools within Pyramid Analytics produce outputs such as interactive chatbot responses, text and audio prompts, generated scripts, images, infographics, dynamic slide insights, and managed Python and R scripting environments, all of which enhance data reporting and content creation for VA users.","Natural Language Processing: AI that processes, interprets, and shares information in human language.",Information Technology,,,,
VA-25-5657,MetricSage,OIT: Office of Information & Technology,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,"We intend to build a machine-learning model to optimize cost for the Claim Evidence API within VBMS. The input data will be system metrics collected by Dynatrace, such as CPU and memory usage, and the output will be projected usage and optimal sizing of resources based on that usage. VA Project Managers and Benefits Integrated Platform engineers will use this system to determine the resources to provision and the expected cost of those resources. This use case will be used to anticipate future cost in compute based on claim workload.",proper forecasting will allows us to right size our compute resources.,A dashboard that shows present and anticipated future compute utilization.,Classical/Predictive Machine Learning: Models trained on data to make predictions or classifications based on identified patterns or relationships.,Information Technology,,,,
VA-25-5958,Integration of Provar Manager with VA GPT ,OIT: Office of Information & Technology,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,"Streamline the creation of test cases. This approach saves time, reduces manual effort, and ensures that testing is both efficient and aligned with project's goals. 
",Seamless testing of Customer Relationship Management (CRM) applications developed in Salesforce that support Department of Veteran Affairs services. Reducing time to deliver and ensuring accurate match of the requirements vs deliverables. ,Successful integration of VAGPT and automated generation of test cases.,"Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).",Information Technology,,,,
VA-25-605,BillieGPT POC,OIT: Office of Information & Technology,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,"It will exist to assist School employees (School certifying officials) in general use, policy, and procedures for handling Veterans cases from the school's perspective. Gives info directly to school officials rather than having them call in to the VA call centers for assistance. ","Better outcomes for student veterans, increased efficiency","Generative AI response to the user question
","Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).",Government Benefits Processing,,,,
VA-25-6170,ECC Automated Knowledge Management,OIT: Office of Information & Technology,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,"Currently, teams manually review and update Knowledge Articles, often without clear prioritization. This leads to rework, inefficiencies, and missed opportunities to align knowledge with real-time service changes. An AI-driven approach will streamline this process and ensure knowledge is kept current and relevant.","This initiative is expected to improve efficiency by 20% in the Minimum Viable Product (MVP), and grow as the agent creates and modifies knowledge.",The MVP is planned in 2 phases with different outputs. The 1st phase of the MVP is to produce a prioritized list of knowledge articles for the Integration and Sustainment team to modify based on inputs from multiple data sources. The 2nd phase of the MVP will output a complete knowledge article that will be reviewed by a person for accuracy and completeness.,"Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).",Information Technology,,,,
VA-25-6585,Custom GPT for Network Operations and Automation (Wide Area Network),OIT: Office of Information & Technology,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,"This solution will be able to:

1.	Information Retrieval: Query our router database and backup configurations to answer questions about network topology, device status, and configuration details
2.	Configuration Generation: Assist in building network device configurations based on our standards and requirements
3.	Troubleshooting Support: Help diagnose network outages by analyzing device data and providing guided troubleshooting steps
4.	Read-Only Device Access: Eventually integrate with our network infrastructure to gather real-time information from devices in a secure, read-only manner

It will solve the problem of reducing the time required to resolve network issues, human errors in configuration, availability of network support. ","Benefits:
•	Reduced mean time to resolution for network issues
•	Standardized configuration generation reducing human error
•	Enhanced knowledge sharing across the WAN team
•	24/7 availability for network operations support
•	Improved training resource for new team members","Router configurations, Troubleshooting information, information pertaining to our devices, security compliance checks, answers to leaderships questions, training information to new employees. ","Natural Language Processing: AI that processes, interprets, and shares information in human language.",Information Technology,,,,
VA-24-1360,Potential Fraud or Waste,OM: Office of Management,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,"Quickly develop predictive analytics based on historical values captured and assessed within the Data Analytics Service (DAS) Dashboard.

The dashboards allow various purchase card managers to monitor purchase card spending of employees.  The dashboards help monitor for fraud, waste, and abuse, and assist in providing oversight for compliance with purchase card laws and policies. We have now incorporated advanced data analytics within the dashboard.  

The Advanced data Analytics model generates an expected received date for items.  It then flags items that have gone beyond the expected generated date by flagging items that were received late (possible waste) and/or items that have not been received yet (possible fraud).  This has the potential to save the analyst time by investigating cases that have been flagged as opposed to investigating potentially an entire dataset, which is what they have been doing up until now.

The model analyzes all purchase card transactions including ordered, delivery, and received dates as its inputs.  It outputs expected received dates.  The intended users of the product are purchase card managers.","- Delivers high value to Customers, Partners, and Stakeholders by enhancing user efficiency and analytical capacity.
- Customers receive quick responses to data analysis questions,
- Customers can communicate requests to the Chatbot using natural langue format,
- Provides quick and accurate answers to inquiries
- Provides 24/7 support
- Reduces support team emails
- Provides support for ad hoc data analytics requests
- Improves scalability to support customers.",Predictive analytics based on historical values captured and assessed within the Data Analytics Service (DAS) Dashboard.,"Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).",Procurement & Financial Management,,,,
VA-25-5493,iFAMS CSR Assistant,OM: Office of Management,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,"The pilot deployment will simplify retrieval of knowledge content to resolve user support requests and enable the customer support representative (CSR) to confirm accuracy of steps presented to improve knowledge content. It will be internal facing in pilot to assess usability, efficiency, and correctness with CSR representatives.","Improved customer satisfaction, cost efficiency, consistency of communication, reduced human error.","Text responses, interactive elements, information retrieval, link sharing, feedback collection.","Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).",Procurement & Financial Management,,,,
VA-25-1348,Smart Claim Check,VBA: Veterans Benefits Administration,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,Smart Claim Check (SCC) reduces avoidable claims processing errors by addressing the problem of manually reviewing extensive documentation by Veterans Service Representatives (VSRs) to identify and resolve issues. Claims processing errors that can be avoided in the claims process leads to extended wait times for Veterans to receive the benefits to which they are entitled. SCC leverages natural language processing (NLP) and machine learning (ML) to analyze past deferral data and identify common patterns and themes. ,"By leveraging these technologies described in #12, Smart Claim Check can automatically review claim documentation, identify common patterns, and offer structured recommendations, including context-specific guidance from the M21-1 manual, confidence scores, and links to relevant sections, thereby expediting the claims review process and reducing avoidable re-work and extended processing times.","The output of the AI system is timely guidance with relevant M21-1 linkage, that will appear in the User Interface (UI) automatically for the claims processors to review and act upon. SCC is referring to these a ""Smart Claim Insights"". ","Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).",Government Benefits Processing,,,,
VA-25-1512,Loan Guaranty Lender’s Handbook Chatbot,VBA: Veterans Benefits Administration,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,Loan Guaranty Service (LGY) has many policy and procedural documents that are difficult to know and retrieve information for. This AI tool is designed to make the knowledge retrieval process more efficient and improve consistency. ,"Increase efficiency and consistency in knowledge retrieval from source documents (manuals, SOPs, other policy & procedural documents). ",Curated information (answers) to user questions based on LGY policy and procedures. ,Reinforcement Learning: AI trained through trial and error using rewards and penalties to optimize decision-making policies.,Service Delivery,,,,
VA-25-2036,Education Call Center (ECC) Next Gen POC,VBA: Veterans Benefits Administration,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,"To give easier access to information like approved, current procedures or helpful tips to call center employees that engage directly with Veterans. This is a high turnover position within VA so this would lighten the training barrier and supply our Veterans with better information.",Increased efficiency and improved communication outcomes with Veterans about their benefits. Perhaps improve turnover at the call centers.,"• Function of the model: Generative AI Model that can provide real time transcription of calls, capture questions asked by caller, and provide recommended answers with source citation to ECC representatives

• Output: Call transcript, answers to questions, querable database for quality control's purpose
","Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).",Service Delivery,,,,
VA-25-2089,AI Personal Assistance POC,VBA: Veterans Benefits Administration,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,Help VBA Education Data Analysts create queries and interpret data which can be used for decision making. ,Increased efficiency,Answers to questions. The tool would generate a mock SQL query and other useful outputs that would help refine the data inquiry. ,"Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).",Administrative Functions,,,,
VA-25-2373,Generative Annotations,VBA: Veterans Benefits Administration,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,"Veteran Service Representatives (VSRs) are required to annotate documents relevant to a Veteran claim so that subsequent reviewers are able to quickly reference information to make claim decisions. Currently in order to annotate documents, VSRs have to read large bodies of text and manually summarize them which is time consuming and increases cognitive load.",Increased efficiency,AI Summarized text,"Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).",Government Benefits Processing,,,,
VA-25-3670,ASKA: Automated Support and Knowledge Assistance,VBA: Veterans Benefits Administration,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,"ASKA is an internal support tool for VBA Public Contact staff. It connects approved policy and procedural content from SharePoint to a searchable question and answer bot. Staff can ask common questions about public contact, FOIA, congressional inquiries, and other customer service duties. ASKA does not use or process PII, claims data, or make any automated decisions, it simply returns standard reference answers an directs staff to relevant SOP or job aids. We are currently using many different websites to obtain information which delays services to the public, Veterans and Service members. Having a tool available to provide this information will help provide this service at a faster rate.",Increase efficiency and productivity for public services ,We are currently looking into building or utilizing what is available to create this. We are looking at a space where all info is extracted and easy to find,"Natural Language Processing: AI that processes, interprets, and shares information in human language.",Other,,,,
VA-25-5852,VBA Mail Management Services (MMS) - Modification,VBA: Veterans Benefits Administration,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,"We are shifting data capture from back-office processing to the point of first contact. The system validates VA forms in front of the user interactively as it is being submitted, allowing the submitter to verify and correct errors immediately (reduces churn). This will help with claims modernization.",To prevent claims processing inefficiencies in data quality at intake.,Upgrade to QuickSubmit to include a forms validation engine. ,"Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).",Government Benefits Processing,,,,
VA-25-1975,GenAI for KM,VEO: Veterans Experience Office,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact, To provide agents/users content insight capabilities beyond simple keyword search currently available and improve response time & quality and incorporate updated source content in near real-time in future answers. ,Improve response time & quality information provided to customers,"Generated content would vary in nature depending on specific processes/cases it would be deployed for, incl. synthesis, summarization, type/topic identification among others.","Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).",Service Delivery,,,,
VA-24-1647,PINGOO.AI,VHA: Veterans Health Administration,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,Enhanced patient health literacy through education and patient engagement. ,A more educated patient population and improved health literacy as well as reduced physician burden. ,Direct patient education through a RAG model. ,Classical/Predictive Machine Learning: Models trained on data to make predictions or classifications based on identified patterns or relationships.,Health & Medical,,,,
VA-24-1729,Digizens,VHA: Veterans Health Administration,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,"Patient compliance with treatment plans. Solves the problem of costly clinical trials modeling behavior. 

Digizens is an AI that creates a digital cohort of individuals who can then take part in clinical trials related to compliance with certain tasks. Various messaging can be relayed to the digital individuals in order to measure effectiveness of messaging in real world scenarios without the risk of harm to real individuals. Population based behavior modeling based on communication, messaging, and compliance. These models can be run prior to engaging actual participants in various studies to optimize adherence and outcomes.",Improved patient compliance with more effective messaging. Lows risk cost effective clinical trials related to patient behavior. ,Output is modeled behavior and compliance rates based on messaging.,"Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).",Health & Medical,,,,
VA-24-2549,Sentiment analysis for app feedback,VHA: Veterans Health Administration,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,"Analyzing and summarizing feedback provided by patients and providers for VA Mobile Apps. Identifies trends and makes inferences of ""App Feedback"" data to provide a scalable solution.",Reducing working hours and providing VA app developers with user feedback analysis and trends.,Major topic classifications of given output.,Classical/Predictive Machine Learning: Models trained on data to make predictions or classifications based on identified patterns or relationships.,Service Delivery,,,,
VA-24-2910,BlueTeam AI,VHA: Veterans Health Administration,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,Ensure trustworthy and governed GenAI and AI modeling through collaboration with the VA Innovation Unit on monitoring network for LLM traffic and other AI-indicated data and routing the data through a rules engine. ,BlueTeam AI enables network monitoring capabilities to provide governance and guardrails for LLM Generative AI use for the enterprise.,The system outputs only approved data and data categories to LLM as well as outputs a return notification to the user for any violations.,"Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).",Health & Medical,,,,
VA-24-3775,BessISSTANT,VHA: Veterans Health Administration,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,Decrease time needed for technicians to find information in service manuals.,Increased efficiency.,Excerpts from service manuals.,"Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).",Administrative Functions,,,,
VA-24-3783,Clinician-Administered PTSD Scale for DSM-5 (CAPS-5) Clinician Training Simulator,VHA: Veterans Health Administration,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,"The level of effort required to train clinicians, researchers, and examiners to administer and score the Clinician-Administered PTSD Scale for DSM-5.

The CAPS-5 Clinician Training Simulator comprises three online courses, available in TMS and TRAIN, that provide instruction in the administration and scoring of the CAPS-5. The courses use voice recognition, 3-D technology, and artificial intelligence to create an immersive learning experience. The courses are intended for clinicians, trainees, researchers, and examiners in VA and in the community. They use AI in the following ways:
1. In the three current CAPS-5 virtual patient courses, learners have the option to speak the prompts, with their spoken prompts transformed to text using speech recognition. 
2. The learners’ prompts, whether spoken or typed, are programmatically compared to the required prompts in the CAPS-5. The system analyzes whether the prompts were delivered exactly (“verbatim”), with slight variations (“paraphrased”), or with unacceptable variations (“off-script”). 
3. One of the courses analyzes learner prompts in order to trigger comments –corrections or praise -- from a virtual coach. 
4. We’re currently revising one of the courses to take better advantage of sematic similarity to analyze learners' inputs. 
5. In the future, we may deploy generative AI. Here’s how the vendor described it in their response to our solicitation: “This new design will also leverage a separate backend to handle AI multi-agency and retrieval augmented generation (RAG) to ensure large language models (LLMs) used will always operate as designed.” This will be a closed system that does not pull information from or input information to publicly-available platforms (e.g., GPT-4, Bard).",Saving time and human resources that can be better deployed in patient care. Improving accuracy of diagnosis of PTSD in Veterans.,"Courses in TMS and TRAIN.

AI assists learners in understanding how to accurately administer and score the CAPS-5. Courses are helpful in providing clinical care but are not required, nor is it a requirement for clinicians to use the CAPS-5 with their patients.","Natural Language Processing: AI that processes, interprets, and shares information in human language.",Other,,,,
VA-24-3939,Policy AId,VHA: Veterans Health Administration,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,Policy lookup is a time-consuming task in the VA. This challenge was identified as an ideal candidate for generative AI product development.,The AI model would be producing text and relevant material relating to the medical center's policy in relation to the user's query. ,The AI model would be granting easier access to local governance for users. Users are still responsible for decision-making/actions based on their respective roles. ,"Natural Language Processing: AI that processes, interprets, and shares information in human language.",Administrative Functions,,,,
VA-24-4513,Clinical Pathways for Cancer Patients,VHA: Veterans Health Administration,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,"The VA National Oncology Program (NOP) has invested in creating clinical pathways that guide providers to provide high quality evidence-based standard of care treatments to Veterans with cancer. However, it is currently unclear how many or how often providers are ‘on pathway’ or are concordant with this recommendation. The work will focus on leveraging AI to assess the degree of adoption of various pathways. For example, the VA NOP proposes to develop, evaluate, and implement an informatics workflow that is capable of extracting information regarding whether a Veteran with prostate cancer has been offered access to germline and somatic genetic testing. This will assess care quality across the VA in terms of genetic testing in Veterans with prostate cancer and provide the necessary information to engage in quality improvement efforts. The work will follow the framework NOP developed to assess germline genetic testing in Veterans with breast cancer, in response to the Advances in Mammography and Medical Options (MAMMO) for Veterans Act of 2022. Briefly, Veterans receiving care for prostate cancer in the VA will be identified using electronic health information in the VA Corporate Data Warehouse and their latest relevant clinical notes will be retrieved. ","Increase efficiency: it will speed up providers' review of patients' treatment plans based on the National Oncology Program guideline, since patients' pathway information will be highlighted. This makes it easier for the providers to make better treatment decisions for the patient, therefore potentially improving patient outcomes. ",Whether a patient is on a clinical pathway and where on the clinical pathway they are,"Natural Language Processing: AI that processes, interprets, and shares information in human language.",Health & Medical,,,,
