"SECTION 1: Use Case Identifiers
Complete this Section for the following Use Cases: Retired,  Pre-deployment, Pilot, and Deployed",,,,,,,,"SECTION 2: Use Case Summary
Complete this Section for the following Use Cases: Pre-deployment, Pilot, and Deployed",,,,,"SECTION 3: Documentation
Complete this Section for the following Use Cases: Pilot, and Deployed

",,,,,"SECTION 4: Data & Code
Complete this Section for the following Use Cases: Pilot, and Deployed",,,,,,,"
SECTION 5: Risk Management 
Complete this Section for the following Use Case: Deployed and if ""HIGH-IMPACT"" from SECTION 1

",,,,,,,,
NASA-331,Mitigating Problematic GOES-17 Infrared Radiances at Night for Weather and Climate Applications,LaRC: Langley Research Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,A k-nearest neighbors method is applied to successfully reconstruct bad infrared radiance measurements at night caused by an instrument cooling problem on the GOES-17 (Geostationary Operational Environmental Satellite) Advanced Baseline Imager.,A k-nearest neighbors method is applied to successfully reconstruct bad infrared radiance measurements at night caused by an instrument cooling problem on the GOES-17 (Geostationary Operational Environmental Satellite) Advanced Baseline Imager.,reconstruct bad infrared radiance measurements,,,,,,,,,,,,,,,,,,,,,
NASA-334,NASA OCIO STI Concept Tagging Service,LaRC: Langley Research Center,agency-caio@mail.nasa.gov,a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Science,Natural Language Processing (NLP),An API (application program interface) for exposing topic models created with the STI (Scientific & Technical Information) concept training repository.,An API (application program interface) for exposing topic models created with the STI (Scientific & Technical Information) concept training repository.,API standards,,b) Developed in-house,, No,STI,STI (Scientific & Technical Information) concept training repository,, No,,None, No,,,,,,,,,,
NASA-335,New Skin Temperature Analyses for Satllite Cloud Retrievals,LaRC: Langley Research Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,A deep neural network is applied to model analyses and satellite observations to improve skin temperature estimates needed for satellite remote sensing of cloud properties.,A deep neural network is applied to model analyses and satellite observations to improve skin temperature estimates needed for satellite remote sensing of cloud properties.,improve skin temperature estimates,,,,,,,,,,,,,,,,,,,,,
NASA-336,Nocturnal Opaque Ice Cloud Optical Depth Analyses from MODIS Multispectral Infrared Radiances,LaRC: Langley Research Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,An artificial neural network is developed and applied to improve estimates of opaque ice cloud optical depths at night using MODIS (Moderate Resolution Imaging Spectroradiometer) data.,An artificial neural network is developed and applied to improve estimates of opaque ice cloud optical depths at night using MODIS (Moderate Resolution Imaging Spectroradiometer) data.,improve estimates of opaque ice cloud optical depths at night,,,,,,,,,,,,,,,,,,,,,
NASA-337,PACE-MAPP,LaRC: Langley Research Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"The MAPP (modeling, analysis and prediction program) remote sensing retrieval algorithm for the upcoming PACE (plankton, aerosol, cloud, ocean ecosystem) satellite mission uses neural networks to drastically improve the computational speed and capability of determining aerosol, cloud, and ocean properties from space-based measurements of the Earth. ","This framework can be used to train neural networks for a variety of satellite and airborne sensors, including passive polarimeter and hyperspectral sensors and active lidar instruments, to better understand the Earth's dynamic atmosphere, ocean and land systems.","determining aerosol, cloud, and ocean properties",,,,,,,,,,,,,,,,,,,,,
NASA-340,Polar Nighttime Cloud Detection Using an Artificial Neural Network,LaRC: Langley Research Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Computer Vision,An artificial neural network is applied that addresses the difficult problem of accurately detecting clouds at night over snow- and ice-covered areas in polar regions from satellite imager data.,An artificial neural network is applied that addresses the difficult problem of accurately detecting clouds at night over snow- and ice-covered areas in polar regions from satellite imager data.,detecting clouds at night over snow- and ice-covered areas ,,,,,,,,,,,,,,,,,,,,,
NASA-344,Probabilistic calibration framework for finite element thermal process modeling of metallic additive manufacturing. Application to promote certification/qualification of load critical aerospace flight parts.,LaRC: Langley Research Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Application of active learning paradigm to efficiently develop Gaussian Process Regression surrogate where run time for the target finite element thermal process model is significant.  Fully trained surrogate is then used by monte carlo process to develop probabilistic distribution of finite element model calibration variables which result in finite element model predictions that are in line with input empirical measurement distributions. ,"In short, this technique enables the robust and efficient calibration of a model simulating the manufacture of metallic parts by additive manufacturing.  This is important because pure simulation of these processes is not possible without calibration due to large uncertainties in fundamental physical and material properties currently available due to the nature of the manufacturing process.  The inherent variation in mechanical properties of parts produced using metallic additive manufacturing result in significant challenges to certification/qualification for flight.  The goal is to alleviate these challenges with better probabilistic quantification of the fundamentals resulting in this inherent variation, thus promoting further adoption of this fledgling manufacturing technique by industry within the aeronautics industry.",probabilistic distribution of finite element model calibration variables,,,,,,,,,,,,,,,,,,,,,
NASA-347,Retrieving Aerosol Optical Depth and High Spatial Resolution Ocean Surface Wind Speed From CALIPSO: A Neural Network Approach,LaRC: Langley Research Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,This study uses ocean surface wind speed derived from microwave radiometer to train spacebased lidar measurements to measure both wind speed and aerosol optical depth using neural networks.,This study uses ocean surface wind speed derived from microwave radiometer to train spacebased lidar measurements to measure both wind speed and aerosol optical depth using neural networks.,wind speed and aerosol optical depth,,,,,,,,,,,,,,,,,,,,,
NASA-349,Severe Storm Prediction via Overshooting Cloud Top and Above Anvil Cirrus Plume Image Recognition from Satellite Imager Data,LaRC: Langley Research Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Computer Vision,"Overshooting Cloud Tops (OTs) Above-Anvil Cirrus Plumes (AACPs) are indicators of especially intense thunderstorm updrafts that are precursors to severe weather including damaging winds, hail, tornadoes, lightning, flooding rainfall, and aviation weather hazards. This project involves training machine learning image recognition techniques to identify OTs AACPs in multispectral satellite imagery (visible, infrared, and lightning imaging) for storm warning.  Such warnings are especially valuable in regions without near real time weather radar networks or during radar outages. Applying these methods to long-term satellite data records enables the community to assess severe storm risk, which is needed by the insurance and reinsurance industries",A NASA open source software tool has been made publicly available to enable researchers and forecasters to apply the tool in near real time and for archived satellite imagery.  This is the first tool of its kind that can be used for satellite-based severe storm detection https://github.com/nasa/svrstormsig,"Outputs include the likelihood of OT and AACPs at the satellite pixel scale (e.g. 2 km pixel size), and metrics quantifying storm intensity based on cloud top temperature patterns.",,,,,,,,,,,,,,,,,,,,,
NASA-354,Using Natural Language Processing to Help Automate the Standardization of PI Variable Names from ICARTT Files,LaRC: Langley Research Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Natural Language Processing (NLP),"Variables names of data collected from suborbital missions need mapping to the corresponding standard variable names for consistency in labelling the available science data, enhancing data discovery for further research; ASDC (Atmospheric Science Data Center) is developing an AI/ML based workflow for the assignment of these standard variable names based on Natural Language Processing (NLP).","Variables names of data collected from suborbital missions need mapping to the corresponding standard variable names for consistency in labelling the available science data, enhancing data discovery for further research; ASDC (Atmospheric Science Data Center) is developing an AI/ML based workflow for the assignment of these standard variable names based on Natural Language Processing (NLP).",mapping to the corresponding standard variable names,,,,,,,,,,,,,,,,,,,,,
NASA-359,Airplane detection,MSFC: Marshall Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Computer Vision,Deep learning-based airplane detection from high-resolution satellite imagery,airplane detection from high-resolution satellite imagery,airplane detection,,,,,,,,,,,,,,,,,,,,,
NASA-360,Automated Dust detection in satellite imagery,MSFC: Marshall Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Application of machine learning to the problem of night-time dust detection with a simple random forest (RF) model using Geostationary Operational Environmental Satellite-16 (GOES-16) Advanced Baseline Imager (ABI) infrared imagery to identify dust in satellite imagery and output the probability dust is present,Application of machine learning to the problem of night-time dust detection with a simple random forest (RF) model using Geostationary Operational Environmental Satellite-16 (GOES-16) Advanced Baseline Imager (ABI) infrared imagery to identify dust in satellite imagery and output the probability dust is present,probability dust is present,,,,,,,,,,,,,,,,,,,,,
NASA-362,Deep Learning-based Hurricane Intensity Estimator,MSFC: Marshall Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Computer Vision,A web-based situational awareness tool that uses deep learning on satellite images to objectively estimate windspeed of a hurricane,A web-based situational awareness tool that uses deep learning on satellite images to objectively estimate windspeed of a hurricane,estimate windspeed of a hurricane,,,,,,,,,,,,,,,,,,,,,
NASA-365,GCMD Keyword Recommender (GKR),MSFC: Marshall Space Flight Center,agency-caio@mail.nasa.gov,a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Science,Natural Language Processing (NLP),Natural Language Processing-based science keyword suggestion tool,Natural Language Processing-based science keyword suggestion tool,keyword suggestions,01/01/2023 00:00:00,b) Developed in-house,,Yes,MMT (Metadata Management Tool),"comparison of suggestions to thoroughly populated and manually curated metadata, but ultimately recommendations are either accepted or rejected by an experienced curator. ",, No,,None,Yes,,,,,,,,,,
NASA-370,Marine debris detection using deep learning and high resolution satellite images,MSFC: Marshall Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Floating marine debris is a global pollution problem which threatens marine and human life and leads to the loss of biodiversity. Large swaths of marine debris are also navigational hazards to vessels. This project uses deep learning to detect floating marine debris in satellite imagery.,Floating marine debris is a global pollution problem which threatens marine and human life and leads to the loss of biodiversity. Large swaths of marine debris are also navigational hazards to vessels. This project uses deep learning to detect floating marine debris in satellite imagery.,detect floating marine debris,,,,,,,,,,,,,,,,,,,,,
NASA-372,Near-Reality Slosh Model using AIML,MSFC: Marshall Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Liquid slosh for aircraft and spacecraft is a highly challenging topic; traditional slosh modeling & simulation approaches are very computationally expensive. This project seeks to use AIML techniques such as neural networks to create ML surrogate models to accurately approximate traditional techniques. ,Time saving for slosh model generation,"Outputs will include AIML-powered surrogate slosh models, to include accuracy and error measures.",,,,,,,,,,,,,,,,,,,,,
NASA-374,Phenomena Detection Portal,MSFC: Marshall Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Computer Vision,A system that detects Earth science phenomena from the image archives using deep learning to provide efficient search and discovery of Earth science events,efficient search and discovery of Earth science events,efficient search and discovery of Earth science events,,,,,,,,,,,,,,,,,,,,,
NASA-375,Pixel-Level Smoke Detection Model with Deep Learning,MSFC: Marshall Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Computer Vision,"Automated, deep learning based detection model capable of identifying smoke plumes from shortwave reflectance for the Geostationary Operational Environmental Satellite R series of satellites.","Automated, deep learning based detection model capable of identifying smoke plumes from shortwave reflectance for the Geostationary Operational Environmental Satellite R series of satellites.",identifying smoke plumes,,,,,,,,,,,,,,,,,,,,,
NASA-376,Predicting streamflow with deep learning,MSFC: Marshall Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Uses a long short-term memory model to predict streamflow at USGS gauges sites,Uses a long short-term memory model to predict streamflow at USGS gauges sites,predictions of streamflow at USGS gauges sites,,,,,,,,,,,,,,,,,,,,,
NASA-380,Ship detection,MSFC: Marshall Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Computer Vision,Deep learning-based ship detection from high-resolution satellite imagery,Deep learning-based ship detection from high-resolution satellite imagery,ship detection,,,,,,,,,,,,,,,,,,,,,
NASA-381,Sinatra Software for Anomaly Detection,MSFC: Marshall Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Flexible software framework that analyzes various input sources of data and detects anomalies​. Automates neural network model creation and tuning​. ,Makes it easier for ML beginners to get started.,anomalies,,,,,,,,,,,,,,,,,,,,,
NASA-395,INtelligent StennIs Gas House Technology (INSIGHT),SSC: Stennis Space Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Agentic AI,INSIGHT is an operational system that performs autonomous Integrated System Health Management (ISHM) and autonomous operations of the Nitrogen System of the High Pressure Gas Facility at NASA Stennis Space Center. ,It is an application implemented using the NASA Platform for Autonomous Systems (NPAS) described in this document as AI Use Case Name: NASA Platform for Autonomous Systems (NPAS). ,autonomous operations,,,,,,,,,,,,,,,,,,,,,
NASA-396,NASA Platform for Autonomous Systems (NPAS),SSC: Stennis Space Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Agentic AI,"The NASA Platform for Autonomous Systems (NPAS) enables implementation of ""thinking"" systems, and in particular of ""thinking"" autonomous systems. A broad range of systems can be made to display ""thinking"" autonomous behavior; including fluid, mechanical, electrical, networks, and computer. Additional types of systems can be easily included. ","NPAS systems/applications incorporate autonomy strategies to deal with off-nominal cases, and strategies for fault management. NPAS includes infrastructure for autonomous operations (task definition, planning, scheduling, and execution) embodying specific concepts of operations. NPAS supports implementation of hierarchical distributed autonomous systems and operations.","AI behavior, ""thinking,"" is grounded in a comprehensive representation of the system (comparable to SysML model descriptions that include health management and autonomy behaviors as well as schematic level descriptions), behavior/function models (physics-based, heuristic, rule-based - probabilistic and neural-network models can also be incorporated), Failure Modes and Effects Analysis (FMEA) with generic/re-usable libraries. ",,,,,,,,,,,,,,,,,,,,,
NASA-398,Autonomous WAiting Room Evaluation (AWARE),LaRC: Langley Research Center,agency-caio@mail.nasa.gov,a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,b) Presumed high-impact but determined not high-impact,This AI processes images of people waiting in the Langley Badge & Pass office. The people are counted and their images immediately deleted to avoid privacy issues. ,Administrative functions,Computer Vision,"Using an existing security camera and YOLO Machine Learning model to detect and count number of people waiting for service at Langley's Badge & Pass Office. When a predetermined threshold of people is exceeded, automated texts and emails are sent to request additional help at the service counters.",Spreads load on LaRC Badge & Pass Office (via website telling employees how busy) and adds BPO support by texting staff when waiting room conut threshold exceeded. ,"Detection, classification and enumaration of people in BPO waiting area",01/01/2023 00:00:00,b) Developed in-house,,Yes,LaRC BPO Private Server,Open-source Common Objects in Context (COCO) dataset,, No,,None,Yes,,,,,,,,,,
NASA-401,Pre-trained microscopy image neural network encoders,GRC: Glenn Research Center,agency-caio@mail.nasa.gov,a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Science,Computer Vision,"Convolutional Neural Network encoders were trained on over 100,000 microscopy images of materials. ","When deployed in downstream microscopy tasks through transfer learning, encoders pre-trained on MicroNet outperform ImageNet encoders. These pre-trained MicroNet encoders have been successfully deployed for semantic segmentation, instance segmentation, and regression tasks.",Automatically segment microscopy features given limited annotated microscopy images.,09/19/2022 00:00:00,b) Developed in-house,,Yes,NEST (WCS) SSP,"Annoted microscopy images of various materials (metals, composites, EBC/CMC, etc.)",, No,,None, No,,,,,,,,,,
NASA-402,Surrogate Models for Efficient Multiscale Modeling of Composite Materials,GRC: Glenn Research Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,A custom neural network architecture containing graph convolutional network (GCN) and long short-term memory (LSTM) layers was trained as a computationally efficient surrogate for a physics-based composite modeling simulation. ,"Surrogate models are attractive because they can be evaluated many orders of magnitude faster than physics-based models and with a high degree of accuracy. Such models can be used for efficient multiscale modeling, design optimization, Monte Carlo methods, and optimal experimental design in ways that would be intractable with many physics-based models.",Predict constitutive behavior as a function of material properties and applied strain.,,,,,,,,,,,,,,,,,,,,,
NASA-404,Federated Learning Using In-Space Data (FLUID ),ARC: Ames Research Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"Enables neural net models to be trained using a combination of terrestrial data and space-borne data without the need to downlink or uplink data for consolidation and training in the normal manner. Instead, small components of the overall neural net model are trained in-situ with the data and transmitted for federation into a single neural net, thereby reducing data transmission demands and reducing overall latencies by several orders of magnitude. ","Enables neural net models to be trained using a combination of terrestrial data and space-borne data without the need to downlink or uplink data for consolidation and training in the normal manner. Instead, small components of the overall neural net model are trained in-situ with the data and transmitted for federation into a single neural net, thereby reducing data transmission demands and reducing overall latencies by several orders of magnitude. ","For example, a neural net model to monitor lunar habitat astronauts for signs of lung toxicity due to regolith inhalation could be largely trained on Earth using similar data (e.g. data collected for volcanic ash inhaltion) and then fine-tuned with data generated in-situ on the lunar surface, without the need to transmit that data back to Earth. The FLUID arhitecture has been fully tested using the Spaceborne Computer-2 on board the ISS; in February of 2024, the world's first neural net model trained with both terrestrial and in-space data was successfully trained.",,,,,,,,,,,,,,,,,,,,,
NASA-405,Mapping Digital Infrastructure (MADI),ARC: Ames Research Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Natural Language Processing (NLP),The Mapping Digital Infrastructure (MADI) is a series of natural-language processing based tools that are designed to supplement the human-in-the-loop data exploration for CAS. ,"As CAS's Mapping and Synthesis teams work to identify transformational, wicked problems and potential solutions, MADI aims to supplement the information gathering and synthesis steps by clustering, theming, crawling, and summarizing publicly available data about emerging trends, needs, and capabilities. ",CAS is also working to now validate the use of MADI in generating future scenarios and hypothetical trends that extend beyond the explicit semantic knowledge of the input sources.,,,,,,,,,,,,,,,,,,,,,
NASA-406,Use of AI for UAV power train monitoring,ARC: Ames Research Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Use of PyTorch feedforward neural networks to monitor the health of electronic speed controllers and motors.,Use of PyTorch feedforward neural networks to monitor the health of electronic speed controllers and motors.,Use of PyTorch feedforward neural networks to monitor the health of electronic speed controllers and motors.,,,,,,,,,,,,,,,,,,,,,
NASA-410,Nighttime Combustion Detection from NASA’s Black Marble,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,This use case focuses on monitoring nighttime combustion over land from NASA’s Black Marble product and has demonstrated the detection of fires and gas flaring mapping by jointly using both thermal and light emission properties of these event. ,"The ML capability first demonstrates the generation of training samples using anomaly detection, tackling the challenge of training data generation in Earth Sciences. This is followed by classification of combustion and background across diverse geographic reasons and seasons and produces detections from a suite of baseline ML approaches including per-band outlier detections, fully-connected neural networks and Siamese Networks trained with triplet and contrastive loss. The detections are then jointly considered to create a high confidence ensemble detection layer. ","daily detections, ensemble output.",,,,,,,,,,,,,,,,,,,,,
NASA-411,Biological and Physical Sciences (BPS) RNA Sequencing Benchmark Training Dataset,ARC: Ames Research Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"RNA sequencing data from spaceflown and control mouse liver samples, sourced from NASA GeneLab and augmented with generative adversarial network to provide synthetic data points. ",The implementation uses classification methods and hierarchical clustering to identify genes that are predictive of outcomes.,The implementation uses classification methods and hierarchical clustering to identify genes that are predictive of outcomes.,,,,,,,,,,,,,,,,,,,,,
NASA-414,NIR spectroscopy-based analytical tool for immediate determination of chemical signature,ARC: Ames Research Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Goals: Develop AI/ML based tool that can identify materials composition and size distribution “on the fly”,"Importance: NIR is well-suited for soft matter research in space because- 
1. It doesn’t require any sample preparation
2. It doesn’t need gravity driven flow 
3. Form factor can be of the order of a matchbox
Challenges: There is no tool presently available that can perform spectral decomposition to achieve the goals","NIR (Near IR) spectroscopy is a spectroscopic method that uses the near-infrared region of the electromagnetic spectrum (from 780 nm to 2500 nm). Every material has their unique spectra.

",,,,,,,,,,,,,,,,,,,,,
NASA-415,Improved Differential Dynamic Microscopy (DDM) tool for characterization of soft matter,ARC: Ames Research Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Computer Vision,Goals: Develop AI/ML based tool that can improve processability of images and derive the outcome,"Importance: DDM is well-suited for soft matter research in space because- 
1. It only needs regular microscopy system
2. Can be extremely modular and can be fitted in form factor as small as cube sat
Challenges: The present methodology for DDM analysis require long time (~20- 30 minutes) for processing images &amp; decomposition of signal is a challenge","DDM is an optical microscopy method that can use high speed imaging with data analysis to analyze soft active media (e.g.- colloidal particles, polymers, biological samples etc.)

",,,,,,,,,,,,,,,,,,,,,
NASA-416,The On-board Artificial Intelligence Research (OnAIR) Platform,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"The On-board Artificial Intelligence Research (OnAIR) Platform is a generalized software framework for performing AI research. 
","OnAIR is intended to be used by Artificial Intelligence researchers that are exploring how to apply leading edge Artificial Intelligence research to flight software in a simulated environment. For example, a researcher may use OnAIR to develop a proof of concept demonstrating that a specialized technique can diagnose satellite faults in a simulated environment. OnAIR is not intended to be used in flight software.",It provides a flight software analog capable of streaming live telemetry to and receiving commands from experimental code.,,,,,,,,,,,,,,,,,,,,,
NASA-417,Troupe Rover Demonstration,ARC: Ames Research Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Agentic AI,"The Troupe Rover demonstration project is implementing an algorithm called ""SafeMAP"" or Safe Multi-Agent Planner. SafeMAP is used in distributed multi-rover or multi-uav system to plan the actions of a group of collaborating agents working on a shared goal.","The Troupe Rover demonstration project is implementing an algorithm called ""SafeMAP"" or Safe Multi-Agent Planner. SafeMAP is used in distributed multi-rover or multi-uav system to plan the actions of a group of collaborating agents working on a shared goal.",action plans,,,,,,,,,,,,,,,,,,,,,
NASA-418,Manager for Intelligent Knowledge Access (MIKA),ARC: Ames Research Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Natural Language Processing (NLP),Manager for Intelligent Knowledge Access (MIKA) is a Python toolkit specialized for state-of-the-art knowledge discovery and information retrieval for technical documents. ,"Intended for supporting early design hazard analysis, MIKA provides multiple natural language processing techniques and aims to enable rapid application of these different techniques to a relevant dataset.","Users can retrieve incident reports from a domain relevant to a design, extract themes in the dataset, and uncover trends. Results can be presented in multiple formats, including tables and as a Failure Modes and Effects Analysis (FMEA)-style analysis.",,,,,,,,,,,,,,,,,,,,,
NASA-419,AdaStress,ARC: Ames Research Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"AdaStress, a tool for finding and analyzing the likeliest failures in a simulated system under test.","AdaStress, a tool for finding and analyzing the likeliest failures in a simulated system under test.",finding and analyzing the likeliest failures in a simulated system under test.,,,,,,,,,,,,,,,,,,,,,
NASA-420,Rover ML-based vision system,ARC: Ames Research Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Computer Vision,"The rover uses deep neural networks perform perception, currently related to line following.","The rover uses deep neural networks perform perception, currently related to line following.","The rover uses deep neural networks perform perception, currently related to line following.",,,,,,,,,,,,,,,,,,,,,
NASA-426,ImageLabeler,MSFC: Marshall Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Computer Vision,Web-based Collaborative Machine Learning Training Data Generation Tool,Web-based Collaborative Machine Learning Training Data Generation Tool,Web-based Collaborative Machine Learning Training Data Generation Tool,,,,,,,,,,,,,,,,,,,,,
NASA-428,Oceanic cold pool detection using scatterometer winds,MSFC: Marshall Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Computer Vision,Use a U-Net convolutional neural network to detect oceanic cold pools in spaceborne scatterometer wind observations.,Use a U-Net convolutional neural network to detect oceanic cold pools in spaceborne scatterometer wind observations.,oceanic cold pools,,,,,,,,,,,,,,,,,,,,,
NASA-429,Similarity Search for Earth Science Image Archive,MSFC: Marshall Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Computer Vision,Self Supervised Based Learning approach to search image archives using a query image,Self Supervised Based Learning approach to search image archives using a query image,similar images,,,,,,,,,,,,,,,,,,,,,
NASA-443,PASSION Computer,MSFC: Marshall Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Computer Vision,To develop a pipeline for processing raw overlappagram (other word?) images through the various data products. To produce the final data product in a timely manner.,To develop a pipeline for processing raw overlappagram (other word?) images through the various data products. To produce the final data product in a timely manner.,data product,,,,,,,,,,,,,,,,,,,,,
NASA-445,Instantaneous Clarity of Ambient eNvironment Capability (ICAN-C),MSFC: Marshall Space Flight Center,agency-caio@mail.nasa.gov,"b) Yes – agency has determined that there’s a risk to disclosure, such as a harm to an interest protected by a FOIA exemption",b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Generative AI,To determine the applicability of using AI/ML to correct obscured vision. Landing systems where sedement is blown around and/or dusty environments are the primary application.,Improving safety in instances of obscurred vision,Output is clearer image,08/01/2025 00:00:00,b) Developed in-house,, No,NA - local machine,Open source image datasets and custom lunar lander datasets,, No,,None, No,,,,,,,,,,
NASA-447,Trajectory mission design,MSFC: Marshall Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"We use ML for a lot of different things. First, and most importantly, we use ML to estimate initial conditions for POST and Copernicus for mission design. We've also used ML for investigatory work trying to decipher what data is telling us and exploring datasets for root-cause analysis.","We use ML for a lot of different things. First, and most importantly, we use ML to estimate initial conditions for POST and Copernicus for mission design. We've also used ML for investigatory work trying to decipher what data is telling us and exploring datasets for root-cause analysis.","We use ML for a lot of different things. First, and most importantly, we use ML to estimate initial conditions for POST and Copernicus for mission design. We've also used ML for investigatory work trying to decipher what data is telling us and exploring datasets for root-cause analysis.",,,,,,,,,,,,,,,,,,,,,
