Use Case ID ,Use Case Name,Bureau/Component,Stage of Development,Is the AI use case high-impact?,Justification,Use Case Topic Area,AI Classification,What problem is the AI intended to solve?,What are the expected benefits and positive outcomes from the AI for an agency’s mission and/or the general public?,Describe the AI system’s outputs.,Date when AI use case became operational or the pilot’s start date,Was the system involved in this use case purchased from a vendor or developed under contract(s) or in-house?,Vendor(s) Name,Does this AI use case have an associated Authorization to Operate (ATO)?,System(s) Name,"Describe any data used to  train, fine-tune, and/or  evaluate performance of the  model(s) used in this use  case.","If the data is required to be publicly disclosed as an open government data asset, provide a link to the entry on the Federal Data Catalog.",Does this AI use case involve personally identifiable information (PII) that is maintained by the agency?,"If publicly available, provide the link to the AI use case’s associated Privacy Impact Assessment (PIA).","Which, if any, demographic variables does the AI use case explicitly use as model features?",Does this project include custom-developed code?,"If the code is open source, provide the link for the publicly available source code.",Has pre-deployment testing been conducted for this AI use case? ,Has an AI impact assessment been completed for this AI use case? ,What are the potential impacts of using the AI for this particular use case and how were they identified?,Has an independent review of the AI use case been conducted?,"Is there a process to conduct ongoing monitoring to identify any adverse impacts to the performance and security of the AI functionality, as well as to privacy, civil rights, and civil liberties?",Has the agency established sufficient and periodic training for operators of the AI to interpret and act on its output and managed associated risks?,Does this AI use case have an appropriate fail-safe that minimizes the risk of significant harm?,Is there an established appeal process in the event that an impacted individual would like to appeal or contest the AI system’s outcome? ,What steps has the agency taken to consult and incorporate feedback from end users of this AI use case and the public?
USDA-054,IRIS,Marketing and Regulatory Programs,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,,,,,,,,,,
USDA-055,Ticket Resolution Categorization (Incident/Change),Office of the Chief Information Officer,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,,,,,,,,,,
USDA-056,Ticket Templatization,Office of the Chief Information Officer,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,,,,,,,,,,
USDA-057,File Rename,Farm Production and Conservation,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Administrative Functions,Natural Language Processing (NLP),This tool extracts specific text from a PDF and renames the file to comply with electronic standard naming conventions,Cost and time savings in regard to file management and data governance,Outputs either an updated file name or moves the document to a problem folder if specific text is not found,8/11/2025,b) Developed in-house,, No,,Text recognition dataset containing specific key words was used to evaluate system performance,,Yes,,None of the above, No,,,,,,,,,,
USDA-058,Rapid Drafting of ARS Research Summaries,"Research, Education and Economics",a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Generative AI,"The purpose of this tool is to summarize ongoing research from internal Agricultural Research Service (ARS) documents to allow program staff to efficiently understand ARS research outputs and create accurate and timely summary documents, such as briefing papers, talking points for leadership, and speeches.","This system will give staff more time for higher-priority duties, and leadership will be able to more confidently answer questions, justify budget requests, and ensure that our research is innovative and relevant.",Natural language text summarizing relevant content from the document database.,,,,,,,,,,,,,,,,,,,,,
USDA-059,DS Hub Geo-metadata generation,Farm Production and Conservation,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Information Technology,Generative AI,"The purpose of this AI use case is to generate metadata for Natural Resources Conservation Service (NRCS) datasets, ensuring consistency, accessibility, and compliance through generative AI. ","Expected benefits include increased data accessibility, reduced manual workload, minimized errors, better dataset understanding, and fast data retrieval for stakeholders.","The model outputs accurate, consistent, and compliant metadata appropriate for the existing geospatial data that it analyzed.",,,,,,,,,,,,,,,,,,,,,
USDA-060,Dynamic Soils Hub ,Farm Production and Conservation,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Service Delivery,Computer Vision,The Dynamic Soils Hub (DS Hub) under the Natural Resources Conservation Service (NRCS) is a tool designed to help both government workers and the public understand and analyze soil information. ,"The DS Hub links different soil and conservation databases, making it easier to evaluate the environmental benefits of conservation programs. This enhances the USDA’s ability to study and report on how soil properties change with conservation efforts over time.",The system outputs the class of soil based on the supplied soil information.,,,,,,,,,,,,,,,,,,,,,
USDA-061,Cover Crop Mapping,Farm Production and Conservation,a) Pre-deployment – The use case is in a development or acquisition status.,a) High-impact ,,Service Delivery,Classical/Predictive Machine Learning,The agency needs to independently check and track the use of cover crops on farms. Yearly maps are made using satellite images and models of plant growth to measure the use of cover crops on farms in the U.S. Midwest. ,"Benefits by helping the agency independently check and track how many farmers are using cover crops, reducing the need for on-site visits to determine if cover crops are present on a field.","The output is a state-level map of detected cover crops by year, classified by planting date (fall, spring).",,,,,,,,,,,,,,,,,,,,,
USDA-062,Planting Date Detection,Farm Production and Conservation,a) Pre-deployment – The use case is in a development or acquisition status.,a) High-impact ,,Service Delivery,Classical/Predictive Machine Learning,"The agency needs to independently check and confirm the planting dates reported by farmers to ensure the integrity of their programs. Maps containing planting dates are made using satellite images and models of plant growth, which help to find out the planting dates for corn, soybean, and winter wheat on farms in the U.S. Midwest. ","This data helps the agency independently check and confirm the planting dates reported by farmers to ensure the integrity of their programs, reducing the need for on-site visits to determine when a field was planted.","The output is an annual map of planting dates for corn, soybean, and winter wheat.",,,,,,,,,,,,,,,,,,,,,
USDA-063,Acreage and Crop Type Validation,Farm Production and Conservation,a) Pre-deployment – The use case is in a development or acquisition status.,a) High-impact ,,Service Delivery,Classical/Predictive Machine Learning,"Making sure crop programs are fair and correct, this tool helps the agency validate that the reported field sizes and crop types are accurate.","This data helps the agency independently verify the accuracy of reported field sizes and crop types, supporting efforts to ensure the integrity of crop programs.","The output is a validation of reported acreage and validation of reported crop type for corn, soybean, and winter wheat on farm fields.",,,,,,,,,,,,,,,,,,,,,
USDA-064,US Poultry and Operations Dataset,Marketing and Regulatory Programs,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Emergency Management,Classical/Predictive Machine Learning,Identifies the location and distribution of poultry agricultural facilities in the United States.,"Developing this dataset/model provides detailed data on poultry farm locations and populations, which is essential for planning animal health emergencies and predicting the spread of diseases.",Output is a national-level dataset of domestic poultry operations and estimated populations. ,6/3/2019,b) Developed in-house,, No,,The data consists of a subset of farm locations that were validated using manually digitized poultry operations in 41 counties.,,Yes,,None of the above,Yes,,,,,,,,,,
USDA-065,Equine Operations and Populations Dataset for the U.S.,Marketing and Regulatory Programs,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Emergency Management,Classical/Predictive Machine Learning,The purpose of this case is to develop a dataset that addresses the problem of not having complete information about where horse farms are located and how many horses they have.,"Developing this dataset/model provides detailed data on horse farm locations and populations, which is essential for emergency preparedness and response and for predicting the spread of equine (horse or members of the horse family) diseases.",Output is a national-level dataset of domestic horse operations and estimated populations.,9/1/2024,c) Developed with both contracting and in-house resources,Colorado State University, No,,"The data is created from National Agriculture Imagery Program (NAIP) images and the National Agricultural Statistics Service (NASS) Census of Agriculture, which includes number of farms by size and type, inventory and values for crops and livestock, producer characteristics, and much more. ",, No,,None of the above,Yes,,,,,,,,,,
USDA-066,NASS Automated Editing Tool,"Research, Education and Economics",a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"The purpose of this model is to determine if an answer on a survey is valid or invalid. If an answer is classified as invalid, a model will then suggest a corrected value.",The main benefit is reducing labor hours on redundant data cleaning tasks. It could possibly increase the accuracy of National Agricultural Statistics Service data. ,"The classification model outputs an excel sheet with the survey, person, variable, and whether the variable is valid or invalid. The regression model outputs an excel sheet containing the invalid records, which includes the survey, person, variable, original value, and new predicted value. ",,,,,,,,,,,,,,,,,,,,,
USDA-067,County-Level Remotely-Sensed Corn and Soybean Yield Estimation,"Research, Education and Economics",c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Other,Classical/Predictive Machine Learning,The purpose of this tool is to estimate yearly corn and soybean yields for each county using satellite images. ,Provide county-level crop yield statistics which allow stakeholders to make more informed planning and decisions.,County-level statistics on crop yield.,1/1/2007,b) Developed in-house,, No,,Historical National Agricultural Statistics Service (NASS) county-level crop yields are used as the dataset. The foundation of the data is images from NASA Moderate Resolution Imaging Spectroradiometer (MODIS) satellites.,, No,,None of the above, No,,,,,,,,,,
USDA-068,NASSportal Intranet Agent,"Research, Education and Economics",a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Administrative Functions,Agentic AI,Quick identification of internal policies and procedures for staff to execute programs,Increased data quality and program efficiency ,Identifies and returns approved policies and procedures for program execution.  ,3/27/2025,c) Developed with both contracting and in-house resources,Microsoft,Yes,O365,"One large SharePoint library of text-based administrative, policy and procedure documents",, No,,None of the above, No,,,,,,,,,,
USDA-069,XyloTron/XyloPhone Wood Identification System,Natural Resources and Environment ,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Computer Vision,The purpose of these tools is to identify different types of wood based on their cross-section. These tools will help industries follow laws and support law enforcement in meeting national (e.g. Lacey Act) and international (e.g. CITES) regulations.,Corrects product claims for wood products and improves US forest products industry health by providing an even playing field for domestic products.,The tools will output a prediction of the type of wood.,1/1/2016,b) Developed in-house,, No,,The models are trained using macroscopic images of the transverse surface of wood specimens.,, No,,None of the above,Yes,,,,,,,,,,
USDA-070,Incident Invoice Document Understanding,Natural Resources and Environment ,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Emergency Management,Classical/Predictive Machine Learning,"Staff is overburdened by manual document handling, resulting in less time to focus on high-value strategic tasks. This tool automates data extraction from forms and invoices. ","Enhanced workflow efficiency, better knowledge management, improved accuracy and consistency, frees up staff to focus on strategic tasks rather than manual document handling.",The Output is a CSV file with confidence level to be able to send the invoice data to the payment system,6/16/2025,c) Developed with both contracting and in-house resources,UI Path, No,,PDF form OF-286 for Emergency Equipment Use Invoice,, No,,None of the above,Yes,,,,,,,,,,
USDA-071,Forest disease detection and screening,Natural Resources and Environment ,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,To improve tree disease diagnosis and screening. ,Facilitate ongoing efforts within and outside the Forest Service to manage diseases of forest trees. Provide tools for point-of-care diagnosis of tree diseases. ,"Prediction (e.g., tree is diseased or not diseased, tree is resistant or susceptible). ",8/3/2020,b) Developed in-house,, No,,"Research datasets containing spectral and image data and data on tree disease status, tree size, tree genotype, tree location. Datasets are generated through research activities conducted by and in collaboration with Forest Service and university personnel. ",, No,,None of the above, No,,,,,,,,,,
USDA-072,Use of LLMs for data extraction,Natural Resources and Environment ,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Generative AI,The purpose of this model is to quickly gather information from scientific papers to track the spread of plant diseases. ,"This method would save time compared to manually collecting the information, which can be slow and error-prone.","The AI extracts requested information from scientific papers (e.g., country name, pathogen name, host name, percent plants affected by disease, etc.)",10/1/2023,b) Developed in-house,, No,,,, No,,None of the above, No,,,,,,,,,,
USDA-073,IPWG Application Survey Analysis,Natural Resources and Environment ,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,,,,,,,,,,
USDA-074,Fire Resilient Landscapes,Natural Resources and Environment ,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Assists in planning treatments to reduce wildfire risk and calculate treatment costs,Cost savings and improving efficiencies,"Raster and vector surfaces, summary statistics, and graphics ",8/1/2021,b) Developed in-house,, No,,"Data is a mixture of tabular, text, and geospatial data, including: map data on roads, streams, and water bodies from OpenStreetMap webservice, existing fuels, TreeMap data, potential operational delineations (PODs), desired future conditions text documents, machine rates cost/calculator excel documents, US Forest Service engineering tables",, No,,None of the above,Yes,https://github.com/jshogland/SpatialModelingTutorials/blob/main/Notebooks/FireResilience.ipynb,,,,,,,,,
USDA-075,PC Rasterize,Natural Resources and Environment ,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,,,,,,,,,,
USDA-076,Spread and Balance Sample Design,Natural Resources and Environment ,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"The purpose of this tool is to produce samples that are well spread and balanced, reducing sampling cost and error.",Providing better information about our natural resources for less spend,"Sample locations, distance measures, and graphics",6/1/2024,b) Developed in-house,, No,,"No data was required for training, fine-tuning, or evaluating this use case.",, No,,None of the above,Yes,https://github.com/jshogland/SpatialModelingTutorials/tree/main,,,,,,,,,
USDA-077,"Regression, Classification, Clustering with Hilbert Curves",Natural Resources and Environment ,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Implementation of many machine learning techniques into applied research,Better predictions in applied research that cost less to implement.,Raster and vector surfaces and predictive models.,6/1/2024,b) Developed in-house,, No,,"No data was required for training, fine-tuning, or evaluating this use case.",, No,,None of the above,Yes,https://github.com/jshogland/SpatialModelingTutorials/blob/main/Notebooks/hilbert_curve.ipynb,,,,,,,,,
USDA-079,"The Big Data, Mapping, and Analytics Platform (BIGMAP) Project",Natural Resources and Environment ,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"To produce maps of various characteristics of US forests at all locations, based on field plots measured by the US Forest Service Forest Inventory and Analysis (FIA) program only at some locations.","BIGMAP maps can be used for visualizations, modeling, and decision-making at regional and sub-state scales. Provides greater precision in estimates and leads to more informed decisions about the forest resources in the US.",Maps with predictions of various forest attributes for all of the contiguous United States and coastal Alaska.,1/1/2019,c) Developed with both contracting and in-house resources,Esri,Yes,Esri FS GeoPlatform (Esri Blanket Purchase Agreement),Data from the Forest Inventory and Analysis (FIA) program and the Forest Inventory and Analysis Database (FIADB) were used to finetune and validate the models used. ,https://catalog.data.gov/dataset/forest-inventory-and-analysis-database-a9cd7, No,,None of the above,Yes,,,,,,,,,,
USDA-080,BirdNET to detect bird vocalizations for research and species monitoring,Natural Resources and Environment ,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Energy & the Environment,Classical/Predictive Machine Learning,"BirdNET quickly scans thousands of hours of forest audio recordings to detect bird calls from species that are important for forest monitoring, like American goshawks, black-backed woodpeckers, spotted owls, and willow flycatchers.
", This decreases the time and cost associated with manually listening to recordings to identify bird calls.,"The model outputs text files of bird calls, which include the bird species and time that the call was recorded.",6/1/2021,b) Developed in-house,, No,,BirdNET was developed using data from the MacAulay Library of Natural Sounds at Cornell University. ,, No,,None of the above, No,https://birdnet.cornell.edu/tools/,,,,,,,,,
USDA-082,Predictive flood modeling,Natural Resources and Environment ,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Transportation,Classical/Predictive Machine Learning,"The model is intended to solve the overtopping and/or failure of at-risk road culverts (drains) due to projected future extreme weather induced flooding, by identifying potential undersized culverts prior to field visit. ",Reducing risks to forest access following future flooding and fire. Reducing costs associated with road management and repair besides the restoration costs of the drains themselves. ,The model outputs are predicted water and sediment release during floods caused by future extreme weather to determine the vulnerability level of culverts (drains).,10/1/2025,b) Developed in-house,, No,CULVERT,"High resolution precipitation, streamflow, and downscaled future precipitation.",, No,,None of the above,Yes,https://github.com/SouravDSGit/Culvert_utility,,,,,,,,,
USDA-083,FuelCast,Natural Resources and Environment ,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,,,,,,,,,,
USDA-084,R1 Forest Vegetation Modeling,Natural Resources and Environment ,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,,,,,,,,,,
USDA-085,ESRI Support Chat Bot,Natural Resources and Environment ,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Information Technology,Generative AI,"The purpose of this chatbot is to help handle requests for support with geospatial software between our team and the software vendor. 
",The benefits include saving time when dealing with Environmental Systems Research Institute (ESRI) support issues and reducing the number of specific ESRI support tickets that need to be sent to the Forest Service Geospatial Helpdesk or to ESRI through contract support services.,"The chatbot outputs support ticket entries, code snippets for queries, and text and links for support ideas and answers.
",,,,,,,,,,,,,,,,,,,,,
USDA-086,Wildlife Deterrent System,Natural Resources and Environment ,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Computer Vision,"The purpose of the AI device is to keep coyotes out of a fenced area by blocking their entry through a gap in the fence, while still allowing other wildlife to pass through. ","The benefits include making ecological research possible that couldn't be done otherwise, and saving time by reducing the need to watch camera footage and manually control the fence.","The model performs video object detection of coyotes, and activates a barrier to prevent passage of the coyote.",4/21/2025,c) Developed with both contracting and in-house resources,Chiral Software, No,,The data is composed of a few thousand photographs of coyotes collected from trail cameras. ,, No,,None of the above,Yes,,,,,,,,,,
USDA-087,The Lost Meadows Model,Natural Resources and Environment ,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,,,,,,,,,,
USDA-088,Markov random fields for mixed forests,Natural Resources and Environment ,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"A level of uncertainty can exist in model predictions and sometimes that level of uncertainty is incorrectly assessed, leading to less effective decision-making when based on the model predictions. ",These methods to correctly evaluate uncertainty in model predictions help stakeholders make more informed and effective decisions.,"Outputs include predicted species counts, presence/absence of species, and uncertainty intervals",10/10/2022,b) Developed in-house,, No,,ForestGEO tree count data from the Republic of Palau,, No,,None of the above,Yes,,,,,,,,,,
USDA-089,AI for regional forest mapping and monitoring,Natural Resources and Environment ,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Energy & the Environment,Classical/Predictive Machine Learning,The purpose of this model is to use existing satellite images and forest survey data from the USDA Forest Service to create detailed maps of forest structures. Continuing research to understand and communicate errors and uncertainties in mapping and to improve algorithms over time. ,"In addition to basic and applied research innovations, the application provides maps of forest structure (e.g., tree density and size, timber volume) and composition (tree species) which supports National Environmental Policy Act (NEPA) and other planning operations. These data may provide cost savings by either reducing the need to generate independent data through geographic information systems or field work. This research will help land managers be more effective and efficient with their planning.","The model outputs Geographic Information System (GIS) data that are predictions of forest attributes, such as tree density and tree species data in a study area. ",10/1/2002,c) Developed with both contracting and in-house resources,Oregon State University, No,,"Forest Inventory and Analysis data collected by the USDA Forest Service (Research & Development). It contains 200,000 individual plot measurements, and hundreds of Geospatial Information System (GIS) features (climate data, satellite images, topography, etc.) stored as GIS data (30-meter raster maps; GeoTiffs).",, No,,None of the above,Yes,https://github.com/lemma-osu/pynnmap,,,,,,,,,
USDA-090,IOL Focus Group and Survey Sensemaking,Natural Resources and Environment ,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Natural Language Processing (NLP),Processing and interpretation of questionnaires and transcripts can be slow and tedious. Using Google NotebookLM can improve the process. ,"Cost savings, time savings, mission execution, and reduced timelines for large-scale projects.","Outputs summaries, theme development, supporting quotes",3/31/2025,a) Purchased from a vendor,Google,Yes,"Google NotebookLM, Google Earth Engine",,, No,,None of the above, No,,,,,,,,,,
USDA-091,Esri ArcGIS Pro Deep Learning Modules,Natural Resources and Environment ,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Object detection from aerial images,"The purpose of this tool is to enhance scientific modeling and analysis, which will standardize Geographic Information System (GIS) workflows for modeling and analytics.",The tools will output image classifications.,4/1/2024,b) Developed in-house,,Yes,FS ACE,The data is comprised of Natural Resource image data.,, No,,None of the above, No,,,,,,,,,,
USDA-093,QUIC-Fire processing and analysis,Natural Resources and Environment ,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,,,,,,,,,,
USDA-094,Analysis of prescribed fire turbulence data,Natural Resources and Environment ,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,The data is comprised of temperature and turbulence kinetic energy readings collected over time from 16 sonic anemometers (measure wind speed and direction) and 112 thermocouples (measures temperature). ,,,,,,,,,,,,,,,
USDA-095,Zen AI Image Analysis ,Marketing and Regulatory Programs,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Computer Vision,Automated AI image analysis tool for screening and detection methods to increase efficiency and reduce human error in sterile insect technique programs.,"The image analysis tool will improve efficiency and reduce costs in the USDA Animal and Plant Health Inspection Service (APHIS) Mexican Fruit Fly backup colony and the Mexican Fruit Fly Mass Rearing Facility by enabling previously manual processes to become automated, less prone to subjective handler error, and transferable to Field Operations staff without advanced training. ","The software provides a decision on the number of target positives in an image sample. For instance, it makes a decision about whether an image of a media plate is positive or negative for pathogens and counts number of colonies. ",,,,,,,,,,,,,,,,,,,,,
USDA-096,Conservation Management Benefits Navigator (CMBN),Farm Production and Conservation,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Other,Generative AI,Updating technical policy currently involves lengthy literature review that can take many months to complete. National Resources Conservation Service (NRCS) struggles to update technical policy and make new technologies available to producers within a 5-year cycle. NRCS is often forced to use contracts for literature review completion due to lack of staff possessing expertise needed for completing the reviews.,Reduces the amount of time to update National Resources Conservation Service (NRCS) conservation practice standards from years to months; makes new technology available to U.S. producers more rapidly than current possible timeframes.,Recommended findings from literature that should be included in National Resources Conservation Service (NRCS) conservation practice standards,,,,,,,,,,,,,,,,,,,,,
USDA-097,ProcureSight,Departmental Administration,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Procurement & Financial Management,Generative AI,The primary use is to assist with market research and responsibility determination.,"This is a free solution and it use will increase procurement professional productivity as ProcureSight transforms public datasets from SAM.gov and USASpending, enabling users to perform highly precise searches against this public procurement data. This is cost saving and improving government efficency. ",The system outputs search results,10/14/2024,a) Purchased from a vendor,ProcureSight, No,,Publicly available tabular data from USASpending and SAM.gov,, No,,None of the above, No,,,,,,,,,,
USDA-098,Axon+ Copilot Studio Chatbot,"Research, Education and Economics",b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Information Technology,Generative AI,To cut down the time staff spend searching our intranet for information to administer programs & projects and deliver answers that they would not be able to find otherwise.,Time savings for employees searching for internal information.,The chatbot will provide text outputs with links and citations to documents housed on our intranet (Axon+).,5/30/2025,c) Developed with both contracting and in-house resources,Microsoft, No,,"Data consisted of internal files, documents, and information. These data sources contain no PII, sensitive, or research data.",, No,,None of the above, No,,,,,,,,,,
USDA-099,Plum Island handwriting and text extraction from scanned pdfs ,Marketing and Regulatory Programs,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Natural Language Processing (NLP),To reduce manual intervention and automate searchability of Plum Island lab manuals and scientific documents.,Time savings that could translate to more personnel cycles on scientific needs as opposed to manual labor searches.,"Searchable index of key phrases, entities, authors, and additional fields relevant to the documentation.",,,,,,,,,,,,,,,,,,,,,
USDA-100,NWRC ND Field Station Birds and Agriculture Project,Marketing and Regulatory Programs,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"Use machine learning to detect, classify, and count birds damaging crops. Systems allowed to selectively deploy tools to disrupt bird activity.",Potential cost savings include automation of deterring bird damage to agricultural crops.,"The system output is bird detection, classification, count, and recommendation to deploy disruption tools",3/1/2025,b) Developed in-house,, No,,Reseach datasets consisting of images of birds in agricultural crops,, No,,None of the above, No,,,,,,,,,,
USDA-101,NWRC LSS Bioinformatic Coding,Marketing and Regulatory Programs,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Troubleshoot code used in analysis,Time savings for employees is the main expected benefit ,"Outputs are text-based and include identifed coding errors, suggestions for more efficient coding approaches, and development support for applications.",1/1/2025,b) Developed in-house,, No,,"No data was required for training, fine-tuning, or evaluating this use case.",, No,,None of the above, No,,,,,,,,,,
USDA-102,NWRC Rabies ML A.D.,Marketing and Regulatory Programs,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Speeding up the processing and identification of species within trail camera images. Improving the ability to answer management questions.,Time savings for employees is the main expected benefit ,"Outputs include information on images captured by the trail camera, such as the species of animal in the image and how many there are. Additional outputs include information identifying the factors that are deemed most important for making and explaining image predictions.",3/3/2025,b) Developed in-house,, No,,Camera trap images,, No,,None of the above, No,,,,,,,,,,
USDA-103,NWRC Rabies ML M.H.,Marketing and Regulatory Programs,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"Speeding up the processing and analysis of large genomic datasets to track diseased animals, which helps inform managers the best course of action for emergency response and intervention to limit virus spread.",Time savings for employees is the main expected benefit ,"Outputs include estimated locations for unknown samples, as well as a summary explaining what the analysis found and how reliable it is. ",3/3/2025,b) Developed in-house,, No,,Genomic data; geographic data,, No,,None of the above, No,,,,,,,,,,
USDA-104,NWRC Pepin ML & AI,Marketing and Regulatory Programs,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Analyze simulation data from computational models; staff burden of processing screen trail camera photos,"Decrease data processing time, save staff time",Identification of wildlife in photos; data analysis results from computer simulation models to inform wildlife disease management,1/1/2025,b) Developed in-house,, No,,Camera images; simulation data,, No,,None of the above, No,,,,,,,,,,
USDA-105,NWRC Genetics Metadata,Marketing and Regulatory Programs,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"Assist with data processing, convert data to standard format for publication, infer origin populations",Time savings for employees is the main expected benefit ,"The system output is a recommendation, data sets processed to standard format",1/1/2025,b) Developed in-house,, No,,Genomic data,, No,,None of the above, No,,,,,,,,,,
USDA-106,ARGUS AI Supply Chain Interference,Office Of Homeland Security,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,International Affairs,Agentic AI,Identify potential risks in the supply chain.,"As a specialty-focused information resource, ARGUS AI Supply Chain Influence’s core strength is its ability to collect, organize, and summarize open-source information relating to suppliers.","Data analytics, reports, summaries, maps relationships, knowledge graphs",9/15/2022,a) Purchased from a vendor,ACCRETE AI Government,Yes,ARGUS,"Data is collected on a regular basis from a variety of sources and contains information such as regulatory filings, press releases, company websites and surveys, call transcripts, prospectuses, trade publications, government records, and exchanges. Business filings and regulatory information are sourced from official government and industry sources. Media-derived information is scraped from news websites.",, No,,None of the above,Yes,https://huggingface.co/cross-encoder/ms-marco-MiniLM-L6-v2; https://huggingface.co/Helsinki-NLP/opus-mt-zh-en,,,,,,,,,
USDA-107,GovChat,"Research, Education and Economics",b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Other,Generative AI,AI assistant that helps with time consuming tasks such as getting answers to general inquiries using natural language,A general chatbot without a proprietary interface that can accelerate completion of mundane tasks by employees,Text-based responses to a user’s input prompts,10/1/2024,a) Purchased from a vendor,Microsoft,Yes,ARS AzureGov,The Large Language Model and the application were provided by Microsoft. There was no training or fine-tuning performed by USDA.,, No,,None of the above, No,https://github.com/Patrick-Davis-MSFT/chatbot-ui,,,,,,,,,
