fedramp_id,csp,cso,category,confidence,reasoning,status,impact_level,ato_count,candidate_inventory_products,decision_canonical_name,decision_notes
FR2104942200,"Acuant, Inc.","Connect, Ozone, & Facial Recognition System (COFRS)",core_ai,high,"Acuant COFRS is an identity-verification service built around computer vision: facial-recognition matching of document photos to live subjects, liveness/presentation-attack detection, and ML-assisted document authentication are the product's primary purpose.",FedRAMP Authorized,Moderate,1,Amazon Connect (0.50); Consular Consolidated Database Facial Recognition (0.40),,
FR2615451803,Aeroplicity Inc.,Aeroplicity,ai_featured,low,"Aerospace and defense MRO/compliance platform that claims to be AI-native with automated decision support, but the description names no concrete AI feature, so the claim is thin. Treated as a real but weakly evidenced AI capability.",FedRAMP Authorized,Moderate,1,,,
FR2616782844,Alclear Healthcare LLC (d/b/a CLEAR),CLEAR1 Gov,ai_featured,high,Identity-proofing platform whose main job is NIST IAL2/AAL2 identity verification; it relies materially on ML-based biometric matching (face verification) correlated with documents and device signals. AI is a core component but the product category is identity assurance.,Agency Authorization In Process,Moderate,1,,,
FR1726637760,"American Heart Association, Inc.",American Heart Association Precision Medicine Platform(AHA-PMP),ai_featured,low,"The AHA Precision Medicine Platform is a cloud data resource with workspaces and tools for cardiovascular research; such platforms enable ML/analytics on datasets, but no specific AI feature is named in the description.",FedRAMP Authorized,Low,1,Westlaw AI (0.50),,
FR2012366611,Amplifire,Amplifire,ai_featured,medium,"Amplifire is a healthcare training/learning platform whose patented adaptive-learning algorithms detect and correct individual knowledge gaps and misconceptions, an ML-style personalization feature inside a training product.",FedRAMP Authorized,Li-SaaS,1,,,
FR2520950455,"Andesite AI, Inc.",Andesite Azimuth for Government AAG,core_ai,medium,"The FedRAMP description is boilerplate with no feature detail, but Andesite AI's Azimuth is known as an AI-native security operations platform that uses LLM-driven analysis to assist SOC analysts with investigation and decision-making. Classified core_ai on product knowledge; confidence lowered because the description itself names no AI capability.",FedRAMP Authorized,High,1,,,
FR2529359931,Anitian,FedFlex,ai_featured,high,Compliance automation platform whose main job is FedRAMP authorization support; it explicitly combines pre-engineered security infrastructure with agentic AI to automate compliance work.,FedRAMP Authorized,Low,1,,,
FR2527234065,Anomali,Security Analytics,ai_featured,high,"SIEM and threat-intelligence platform whose primary job is security operations, with material ML capability: machine-learning threat detection, behavioral anomaly detection, and natural-language/AI query interfaces.",Agency Authorization In Process,Moderate,1,APT Analytics (0.50); Azure Synapse Analytics (0.50); Lasso Security (0.50); Microsoft Copilot for Security (0.50); Pyramid Analytics (0.50),,
FR2326654692,"Aprimo US, LLC",Aprimo,ai_featured,low,"Marketing resource and digital asset management platform; Aprimo commercially ships AI-powered content intelligence (auto-tagging and content generation assistance) as a real feature, but the description does not mention it and its presence in the Li-SaaS boundary is unconfirmed.",FedRAMP Authorized,Li-SaaS,1,,,
FR2531142081,ArcSuite AI (Formerly ArcProcure),ArcSuite AI,ai_featured,high,"Procurement workflow platform whose primary job is document review, approvals, and source selection, with material AI capability for AI-assisted document analysis and generation.",Agency Authorization In Process,Moderate,1,,,
FR2503350987,Artera,Artera Harmony Federal Edition,ai_featured,high,"Artera Harmony is a patient communication platform whose core job is messaging and care coordination, powered by conversational-AI virtual agents that triage patient inquiries 24/7 and automate inbound/outbound communications across voice, text, and web.",FedRAMP Authorized,High,1,,,
FR2031222637,"Aurigo Software Technologies, Inc.",Masterworks Cloud Platform,ai_featured,medium,Aurigo Masterworks Cloud is a capital-planning and construction-management platform that provides predictive analytics to mitigate risks and improve decision-making; AI/ML is a feature within a broader infrastructure-management product.,FedRAMP Authorized,Moderate,1,Amped Software (0.50),,
FR2025827270A,AvePoint Inc.,AvePoint Online Services for US Government (AOS-UG) - High,ai_featured,medium,"High-impact variant of AvePoint Online Services, a Microsoft 365 governance/backup suite that includes the AvePoint Virtual Assistant (AVA) AI chatbot. AI is a feature of a broader data-management platform.",Agency Authorization In Process,High,1,,,
FR2610538972,Bizzdesign US,Bizzdesign GovCloud,ai_featured,medium,"Enterprise architecture and portfolio management platform (Alfabet); its main job is portfolio analysis, with an explicitly listed AI capability for AI-enhanced portfolio decision-making.",Agency Authorization In Process,Moderate,1,,,
FR2035056105,Bluescape,Bluescape with n8n for Government,ai_featured,high,"Bluescape with n8n is a secure collaboration workspace that materially integrates AI: summarizing and querying documents, plugging in third-party AI/ML tools, and aggregating multiple LLMs to produce mission analysis outputs.",FedRAMP Authorized,Moderate,1,,,
FR2317262742,Ceribell,Ceribell EEG,ai_featured,high,Point-of-care EEG system whose cloud portal streams brain-activity data for physician review; its standout AI capability is FDA-cleared continuous AI monitoring that computes a real-time seizure-burden trendline and alerts on suspected status epilepticus.,FedRAMP Authorized,High,1,Persyst EEG (0.50),,
FR2511048038,"Check Point Software Technologies, Inc.",Check Point Infinity Platform for Government,ai_featured,high,Check Point Infinity is a unified cybersecurity platform whose email security and threat prevention rely on named AI capabilities: AI-driven threat detection in Harmony Email and the ThreatCloud AI threat-intelligence engine for real-time analysis and zero-day prevention.,FedRAMP Authorized,Moderate,1,Amped Software (0.50),,
FR2014656304,"Civis Analytics, Inc.",Civis Platform,core_ai,high,Civis Platform is a public-sector data management and AI platform whose central purpose includes building and managing machine learning and AI models alongside data warehousing and reporting.,FedRAMP Authorized,Moderate,1,APT Analytics (0.50); Azure Synapse Analytics (0.50); Pyramid Analytics (0.50); SAS Analytics (0.50),,
FR2309544938,"Cloudera Government Solutions, Inc",Cloudera for Government,ai_featured,high,"Cloudera is fundamentally an enterprise data platform (data lakes, analytics), but it ships managed machine learning services (Cloudera Machine Learning / AI workbenches) as a material, named capability of the offering.",FedRAMP Authorized,Moderate,1,,,
FR2600044765,CoLab,CoLab AI Inc,ai_featured,low,The description is boilerplate with no capability detail. CoLab is an engineering design-review collaboration platform that has shipped AI-assisted design review features (the vendor now brands itself CoLab AI); classified on product knowledge with low confidence.,FedRAMP Authorized,High,1,Google Colab (0.50),,
FR2533236012,CobbleStone Software,Contract Insight,ai_featured,high,"Contract lifecycle management platform whose main job is contract workflow and tracking, with a material AI feature for contract data extraction and AI-assisted negotiation/redlining.",FedRAMP Ready,Moderate,1,Amped Software (0.50),,
FR2434758320,Cognitus Consulting LLC,LambdaX Contract Lifecycle Management (CLM) for Government,ai_featured,high,"LambdaX is a contract lifecycle management platform whose main job is contract authoring, workflow, and repository management, with an explicit AI-assisted processing module for clause extraction, clause classification, and non-standard language detection.",FedRAMP Ready,Moderate,1,Federal Docket Management System (0.50),,
FR2621650811,"Consus Industries, Inc.",Consus Gateway,core_ai,high,"The product is an LLM gateway: an OpenAI-compatible API routing service that brokers requests to FedRAMP-hosted large language model providers (AWS Bedrock, GCP Vertex AI, Azure OpenAI). Serving AI model traffic is its entire purpose.",FedRAMP Ready,Moderate,1,,,
FR2325657620,Content Guru,Storm Cloud Contact Center,ai_featured,medium,Cloud contact-center (CCaaS) platform whose main job is omnichannel citizen engagement; it ships AI-driven Intelligent Automation (Content Guru's machine-agent/NLP capabilities) for automated interactions as a material feature.,FedRAMP Authorized,High,1,FRTIB Contact Center AI (0.67),,
FR2407275137,Coralogix Inc.,Coralogix U.S. GovOps,ai_featured,low,"Observability platform for logs, metrics, and traces; the FedRAMP description claims no AI. Classified ai_featured on product knowledge: commercial Coralogix ships ML-based features such as log clustering (Loggregation) and dynamic ML-driven alerting, though their presence in the GovOps offering is unconfirmed.",Agency Authorization In Process,Moderate,1,,,
FR2621342703,Corelight,Corelight Open NDR Platform,ai_featured,high,Network detection and response platform built on Zeek/Suricata whose primary job is network visibility and forensics; it ships material AI via multi-layered threat detection that explicitly includes AI/ML analytics alongside behavioral and signature methods.,Agency Authorization In Process,Moderate,1,,,
FR2602662279,Coretsu Inc.,Coretsu Government Suite,core_ai,medium,"The platform's entire pipeline is AI-driven: user queries are processed by AI to retrieve public government data and AI again synthesizes the results for the user. The vendor also self-categorizes under Artificial Intelligence. Description is brief, hence medium confidence.",Agency Authorization In Process,High,1,,,
FR2416856649,Creative Veteran Productions,Federal Immersive Learning Management System (FED-ILMS),ai_featured,high,"Immersive learning management system whose main job is training delivery, with a material AI feature: course and exhibit content is indexed via Cognitive Search and connected to OpenAI through a RAG pipeline for in-context conversational Q&A.",FedRAMP Authorized,Moderate,1,Adobe Creative Cloud Suite (0.50); Federal Docket Management System (0.50),,
FR2135180018,CuraPatient,Composite Apps/ CuraPatient,ai_featured,medium,"CuraPatient is a healthcare operations and patient-engagement platform that the vendor describes as AI-powered, applying AI to streamline medical claims processing and administrative workflows. The description is high-level about the specific models, so confidence is moderate.",Agency Authorization In Process,Moderate,1,,,
FR2618046015,Cyera,Cyera for Government,ai_featured,high,"Data security posture management platform whose primary job is data security, powered materially by an AI-native classification engine that discovers and contextually classifies PII, PHI, and CUI; it also adds AI Security Posture Management for securing agency AI pipelines.",Agency Authorization In Process,High,1,,,
FR2402468053,Darktrace Federal Inc.,Cyber AI Mission Defense and Email Protection,core_ai,high,"Darktrace's product is AI-native cyber defense: its Self-Learning AI models normal behavior of every device, user, and email pattern and autonomously detects and responds to anomalies — the AI is the detection engine itself, not an add-on feature.",FedRAMP Authorized,High,1,,,
FR2432940371,Docebo,Docebo Learning Platform for Gov (DCBO-GOV),ai_featured,low,"The description covers only standard LMS functions, but Docebo's commercial platform is known for material AI features such as AI-driven content suggestions, auto-tagging, and skills recommendations. Classified ai_featured on product knowledge; the FedRAMP description itself names no AI capability, so confidence is low.",FedRAMP Authorized,Moderate,1,,,
FR2600167032,Drata,Drata Trust Management Platform,ai_featured,low,GRC and trust management platform; this description names automation and integrations but no AI capability. Drata's commercial product ships material AI features (AI-powered questionnaire automation and control mapping); classified on product knowledge with low confidence.,FedRAMP Authorized,Low,1,Federal Docket Management System (0.50),,
FR2606141075,Entratus,Entratus Conversational AI Platform,core_ai,high,"Conversational AI platform for building and deploying intelligent virtual assistants across voice, web, and SMS, including custom AI agent development and real-time transcription. AI agents are the product itself.",FedRAMP Authorized,Moderate,1,,,
FR2615854261,Everbridge,Critical Event Management - GovCloud,ai_featured,high,"Critical event management suite whose main job is mass notification and incident response; it ships material AI via the Risk Intelligence Monitoring Center, which applies machine learning to thousands of data sources for real-time threat alerting.",Agency Authorization In Process,High,1,Critical Mention (0.50); Federal Docket Management System (0.50),,
FR2510664395,ExtraHop Networks,ExtraHop RevealX Federal,ai_featured,high,"ExtraHop RevealX is a network detection and response (NDR) product whose core job is network security monitoring, explicitly leveraging cloud-scale AI and machine learning for real-time threat detection and behavioral analytics.",FedRAMP Authorized,Moderate,1,Vectra AI (0.50),,
FR2427818523,"Feith Sytems and Software, Inc.",RMA iQ™,ai_featured,high,"Federal records management platform whose main job is retention and compliance, with a material AI feature: artificial-intelligence-based automated classification of records and application of GRS/RCS retention schedules.",FedRAMP Authorized,Moderate,1,Amped Software (0.50),,
FR2523857656,"Forescout Technologies, Inc.",Forescout for Government,ai_featured,high,"Forescout is an asset visibility and network security platform whose core job is device discovery and policy enforcement, with material AI capabilities named throughout: AI-powered context augmentation for asset classification, AI modeling for device trust evaluation, and AI-based recommendations for risk mitigation.",FedRAMP Authorized,High,1,,,
FR2601536221,Get A-Head,Get A-Head (Keel Mind),ai_featured,low,"Behavioral-health training and supervision platform; this description covers secure audio, notes, and recorded sessions without naming AI. Keel Mind's commercial platform markets AI-assisted session analysis and note-taking; classified on product knowledge with low confidence.",FedRAMP Ready,Moderate,1,,,
FR2210851632,GetWellNetwork,GetWellNetwork  - Get Well Anywhere - Federal,ai_featured,low,"GetWell Anywhere is a digital patient-engagement platform that delivers personalized, proactive guidance and automates clinician tasks like documentation. The personalization/automation suggests algorithmic features but no specific AI/ML technique is named.",FedRAMP Authorized,Moderate,1,,,
FR2617333263,GovDash,GovDash,core_ai,medium,"GovDash is an AI-native platform for government contractors whose central value is LLM-driven proposal work: automated compliance matrices, outlines, and content drafting across the capture-to-award lifecycle. The AI drafting capability is the product's primary differentiator rather than an add-on feature.",FedRAMP Ready,Moderate,1,,,
FR2620251735,Ground Control Software Inc.,GroundControl,ai_featured,medium,"Manufacturing quality-control documentation platform whose main job is QC workflow and document management, with material AI capability via integrated large language models and neural-network processing of QC documents.",FedRAMP Ready,Moderate,1,Amped Software (0.50),,
FR2524349489,IBM,IBM Data Services for Government,core_ai,high,"IBM Data Services for Government is the watsonx portfolio: watsonx.ai (AI development studio with foundation models and RAG), watsonx.governance (AI governance), and watsonx Orchestrate (building and deploying AI agents), plus AI-ready data services. Building and running AI is the product's primary purpose.",FedRAMP Authorized,Moderate,1,Aretec EDP (0.50); Democratizing Data (0.50); IBM ARGOS (0.50); IBM CoreDF (0.50); IBM Watson (0.50),,
F1208031461A,IBM,IBM Platform Services for Government,ai_featured,medium,"A device management, identity, and observability suite (MaaS360, Verify, Instana, Turbonomic) whose core jobs are not AI, but IBM Concert provides generative-AI-driven operational recommendations and Turbonomic ships analytics-driven automated resource optimization — material AI features inside a broader platform.",Agency Authorization In Process,High,1,IBM ARGOS (0.50); IBM CoreDF (0.50); IBM Watson (0.50),,
FR2022963780,Icertis Inc.,Icertis Contract Intelligence (ICI) for Government,ai_featured,high,Icertis Contract Intelligence is a contract-lifecycle-management platform with AI-powered clause management that extracts and analyzes contract clauses and obligations.,FedRAMP Ready,Moderate,1,Apple Intelligence (0.50); Asana (0.50); Lexical Intelligence (0.50),,
FR2510341317,Incode Technologies Inc.,Incode Platform,ai_featured,high,"Incode is an identity verification platform whose verification flows materially depend on AI computer vision — ID validation and face match with liveness detection — alongside fraud checks. The platform's broader job is verification workflow and compliance management, with AI biometrics embedded.",FedRAMP Ready,Moderate,1,,,
FR2017257053,Infoblox,Infoblox Threat Defense,ai_featured,low,"Infoblox Threat Defense is DNS-layer threat intelligence and detection. It uses rapid correlation and contextualization over millions of indicators; this is largely threat-intel data, and no explicit ML model is named, so the AI claim is weak.",FedRAMP Authorized,Moderate,1,,,
FR1710033970,Infor,Infor Government Solutions (IGS) Software as a Service,ai_featured,medium,Infor Government Solutions is an ERP/HCM/EAM suite that includes Infor Burst BI built with machine-learning technologies and EAM that leverages IoT and analytics to predict asset failure for predictive maintenance.,FedRAMP Authorized,Moderate,1,Amped Software (0.50),,
FR2321143030,"Information First, Inc.",Content Manager Records Management Application (RMA) Cloud Service Offering (CSO),ai_featured,high,"Records-management application whose core job is DoD 5015.02-certified records and content management, with an explicitly stated AI/ML capability for advanced search and automatic categorization of records.",FedRAMP Ready,Moderate,1,OpenText Records Management (0.67); EPA Agency Records Management System (0.50); Federal Docket Management System (0.50); FirstTwo (0.50); Provar Manager (0.50),,
FR2532766956,"IntelliGRC, Inc.",IntelliGRC,ai_featured,high,"GRC platform whose primary job is compliance management, shipping material AI capability: an integrated AI assistant trained on compliance methodologies for evidence analysis, control interpretation, gap evaluation, and documentation generation.",FedRAMP Ready,Moderate,1,,,
FR2605341343,"IntelliGRC, Inc.",IntelliGRC,ai_featured,high,"GRC platform whose primary job is compliance management, shipping material AI capability: an integrated AI assistant trained on compliance methodologies for evidence analysis, control interpretation, gap evaluation, and documentation generation.",FedRAMP Authorized,Low,1,,,
FR2031155471,Iron Mountain,Iron Mountain InSight,core_ai,high,"Iron Mountain InSight is a content-services platform whose core function is using machine learning and AI to automatically classify, extract, and enrich physical and digital content.",FedRAMP Authorized,Moderate,1,,,
FR2535459236,Iron Mountain,Iron Mountain InSight for Government,ai_featured,high,"Content services platform whose main job is managing physical and digital records, with material AI/ML capability to automatically classify, extract, and enrich content.",FedRAMP Authorized,High,1,,,
FR2614247985,Ironclad Inc.,Ironclad CLM,ai_featured,medium,"The listing text only describes the authorization boundary, but Ironclad CLM is a contract lifecycle management platform that ships flagship AI capabilities (Ironclad AI / AI Assist) for contract data extraction, clause review, and drafting. Classified from product knowledge since the description names no AI feature.",FedRAMP Ready,Moderate,1,,,
FR2614439182,Island,Island Enterprise Platform,ai_featured,low,"Island's primary product is a secure enterprise browser; the description covers only hosting architecture with no AI feature. The commercial product embeds the Island AI assistant and AI-usage governance controls, so material AI capability likely exists but is unevidenced here.",Agency Authorization In Process,High,1,,,
FR2027958176,"Issio Solutions, Inc.",Issio Information System,ai_featured,medium,"Issio is a healthcare workforce-optimization and scheduling SaaS that provides predictive visibility into staffing, indicating a forecasting/ML capability within a broader scheduling product.",FedRAMP Ready,Low,1,,,
FR2118080669,"Knightscope, Inc.",Knightscope Autonomous Security Robot (Knightscope ASR),core_ai,high,"The Knightscope ASR is an autonomous security robot whose core capabilities are AI: autonomous navigation and patrol, computer-vision people detection, and license plate recognition.",FedRAMP Authorized,Moderate,1,Lasso Security (0.50); Microsoft Copilot for Security (0.50),,
FR2528033654,Knox Systems,Knox Systems FedRAMP High Managed Platform,ai_featured,medium,"Knox itself is a managed hosting platform, but the authorized boundary includes hosted offerings with material AI: Sierra (conversational AI agents for citizen services) and Altana (AI-driven supply-chain mapping). AI is a feature of the bundle, not the platform's primary purpose.",FedRAMP Authorized,High,1,,,
FR2607537684,Kovr.ai,Kovr Nova,ai_featured,high,"Compliance automation platform whose main job is producing ATO artifacts (SSPs, SARs, POA&Ms); it is built around an AI engine for evidence processing and document generation, including Artemis, a secure AI enclave for narrative drafting.",FedRAMP Ready,Moderate,1,,,
FR2428168490,LogicMonitor,LM for Gov,ai_featured,medium,"Infrastructure observability platform whose main job is performance monitoring; it brands itself 'powered by AI' and LogicMonitor is known to ship AIOps capabilities (anomaly detection, dynamic thresholds, forecasting), though the description gives little AI detail.",FedRAMP Authorized,Moderate,1,NotebookLM (0.50),,
FR2226144516,"MARi, LLC",MARi,core_ai,high,"MARi is an AI-driven career intelligence platform using predictive and prescriptive analytics to match people to jobs/skills and recommend gap-closing actions, backed by an AI/ML knowledge repository. AI is the core of the product.",FedRAMP Authorized,Moderate,1,,,
FR2032665434,Menlo Security,Cloud Security Platform powered by Isolation Core,ai_featured,medium,"Menlo Security is a browser-isolation/security platform that leverages machine learning and AI-based URL analysis to identify and block sophisticated phishing sites, an ML feature within a broader security product.",FedRAMP Authorized,Moderate,1,Lasso Security (0.50); Microsoft Copilot for Security (0.50),,
FR2215946050,MicroFocus,"ITMX Platform featuring Service & Asset Management, Universal Discovery, CMDB and Project & Portfolio Management",ai_featured,medium,OpenText ITMX is an IT service/asset management and PPM platform; its core is ITSM/ITAM/CMDB. It ships built-in AI within the ITSM module for self-service and automation as a feature.,FedRAMP Authorized,Moderate,1,Federal Docket Management System (0.50); Microsoft Discovery (0.50); Microsoft Project (0.50),,
FR2126176344,MicroStrategy,MicroStrategy Cloud for Government,ai_featured,low,"MicroStrategy Cloud for Government delivers the full MicroStrategy Intelligence Platform, which commercially includes AI-assisted analytics (e.g., the Auto AI assistant atop its semantic graph). The FedRAMP description names no AI feature, so this rests on product knowledge and confidence is low.",FedRAMP Authorized,Moderate,1,,,
FR2527245282,"Mimic Networks, Inc.",Mimic Enterprise Ransomware Defense Platform (ERDP),ai_featured,medium,Ransomware defense platform whose core is kernel-level runtime protection and recovery; it ships an identifiable AI feature — AI-generated decoy data used for deception when an attack is detected.,FedRAMP Ready,Moderate,1,Vectra AI (0.50),,
FR2332364851,Moveworks,Moveworks GovCloud,core_ai,high,"Moveworks is an agentic AI assistant platform — its primary purpose is AI: a natural-language enterprise copilot powered by an LLM-based Reasoning Engine, plus Agent Studio for building and deploying custom AI agents across agency systems.",FedRAMP Authorized,Moderate,1,,,
FR2602138115,Nozomi Networks Inc.,Vantage for Government,ai_featured,high,"OT/IoT security platform whose main job is asset visibility and threat detection, with material AI capability: AI-driven asset analysis and enrichment, the Vantage IQ alert-correlation engine, and AI-driven remediation recommendations.",Agency Authorization In Process,Moderate,1,Vectra AI (0.50),,
FR2526343759,OmniSync,OmniSync - TurboInnovate Gov,ai_featured,medium,"Core product is a searchable database of DoD-relevant innovation projects, but it ships material generative-AI capability: AI-powered conversational exploration and automated generation of market research reports.",FedRAMP Ready,Moderate,1,,,
FR2231648178,"Onspring Technologies, LLC",Onspring GovCloud,ai_featured,medium,"Onspring GovCloud is a GRC platform whose core is governance/risk/compliance workflows, but it includes AI-powered capabilities to accelerate documentation, improve consistency, and surface insights.",FedRAMP Authorized,Moderate,1,,,
FR2310974411,PagerDuty,PagerDuty Operations Cloud,ai_featured,high,"Incident-response platform whose primary purpose is on-call and incident management, but PagerDuty's Event Intelligence/AIOps uses machine learning to group related alerts and reduce noise — the 'intelligent aggregation' the description cites is that ML capability.",FedRAMP Authorized,Low,1,,,
FR2235229299,"Paperless Innovations, Inc.",Actus,ai_featured,medium,"Actus is a government purchase-card financial-management platform; its core is GPC compliance automation. It uses RPA and intelligent digital document processing with AI for records authentication, validation, and suspicious pattern detection.",FedRAMP Authorized,Moderate,1,Emerald Innovations (0.50),,
FR2620043771,"Patlytics, Inc.",Patlytics AI Platform,core_ai,high,"AI-first patent intelligence platform: the product's primary purpose is AI-powered patent drafting, prior-art and invalidity analysis, infringement detection, and claim mapping.",Agency Authorization In Process,Moderate,1,,,
FR2135637226,Pearson VUE,Pearson Federal Cloud System,ai_featured,low,"Pearson Federal Cloud is an assessment-delivery system whose boundary includes the OnVUE online proctoring platform, which in the commercial product uses AI-assisted identity verification and session monitoring. The description itself claims no AI capability, so confidence is low.",FedRAMP Authorized,Moderate,1,Pearson Q-interactive (0.50),,
FR2500967834,"Peniel Solutions, LLC",TransAccess GovCloud Records (GCR),ai_featured,high,"TransAccess GCR is a records management platform whose core job is electronic records, but it ships material AI features: AI-powered entity detection for FOIA redaction, AI-driven records classification, automated metadata tagging, intelligent redaction, and predictive compliance alerts.",FedRAMP Authorized,Moderate,1,,,
FR2609449664,Pepelwerk LLC,Pepelwerk Government,ai_featured,medium,"Workforce and talent management platform whose main job is talent-profile management; it ships identifiable AI features including an AI Career Assistant, AI-driven talent management tools, and predictive analytics.",Agency Authorization In Process,Moderate,1,,,
FR2504154395,Persona,Persona for Government,ai_featured,high,"Persona is an identity verification platform whose verification pipeline materially relies on AI: computer-vision document checks, selfie biometric liveness detection, and algorithmic detection of deepfakes and spoofing. The platform's overall job is identity workflow/compliance, with AI as a major embedded capability.",FedRAMP Ready,Moderate,1,,,
FR2504154395XL,"Persona Identities, LLC",Persona for Government,ai_featured,high,"Persona is an identity verification platform whose verification pipeline materially relies on AI: computer-vision document checks, selfie biometric liveness detection, and algorithmic detection of deepfakes and spoofing. The platform's overall job is identity workflow/compliance, with AI as a major embedded capability.",FedRAMP Authorized,Moderate,1,,,
FR2613731293,"Phenom People, Inc. (Phenom)",Phenom for Government (PHGOV),ai_featured,high,"Talent acquisition and HR platform whose core job is hiring workflows, with substantive AI features throughout: AI-powered candidate matching, intelligent career sites, and automated screening and scheduling. Phenom is well known for its applied-AI recruiting stack.",FedRAMP Ready,Moderate,1,,,
FR2101000225,PlanStreet,PlanStreet Case Management System,ai_featured,low,"PlanStreet is a case-management platform citing 'intelligent automation' for workflow reduction. No specific ML/AI model is named and the term reads as workflow automation, so the AI signal is weak.",FedRAMP Ready,Moderate,1,Federal Docket Management System (0.50); Palantir Case Management & Analytics (CMA) (0.40),,
FR2406651384,Precisely Software,Data Integrity Suite for Government,ai_featured,high,"Data quality and governance suite whose primary job is cataloging, metadata, and address verification, but it ships machine-learning-assisted data classification and automated metadata discovery as identifiable AI features.",FedRAMP Authorized,Moderate,1,Amped Software (0.50); Aretec EDP (0.50); Democratizing Data (0.50),,
FR2214150164,"Quzara, LLC.",Quzara Cybertorch (SOC-as-a-Service),ai_featured,high,"Quzara Cybertorch is a managed SOC/MXDR security platform whose core is managed security services, but it materially uses AI-assisted analytics, triage, risk scoring, and a NISTcompliance.ai engine throughout detection and compliance.",FedRAMP Authorized,High,1,,,
FR2527004900,RChilli Inc.,RChilli Resume Parser (RRP),core_ai,high,"RChilli's entire product is automated resume and job-description parsing — an NLP/ML document-extraction service. Although the description avoids the word AI, machine-learning text extraction is the product's primary purpose.",FedRAMP Ready,Moderate,1,,,
FR2516072131,Ramp,Ramp for Government (RampGov),ai_featured,low,"The description covers only charge cards, expense management, and bill payments, but Ramp's commercial platform is known for material AI features (Ramp Intelligence: AI receipt matching, expense coding, and finance copilots). Classified ai_featured on product knowledge; the FedRAMP description names no AI capability, so confidence is low.",FedRAMP Ready,Moderate,1,,,
FR2428740308,ReliaQuest,GreyMatter for Government,ai_featured,high,"Security operations platform whose main job is threat detection and response, shipping agentic AI as a central capability for automated investigation and response across cloud and on-prem telemetry.",Agency Authorization In Process,Moderate,1,,,
FR1915765924,Repario,Repario Government Solutions (RGS),ai_featured,low,"Hosted eDiscovery environment providing Relativity tooling for government data. Relativity includes ML-assisted document review (active learning, analytics) as standard capability, but the description itself names no AI feature, so this rests on product knowledge.",FedRAMP Authorized,Moderate,1,,,
FR2209555576,RingMD USA Inc.,RingMD Telemedicine,ai_featured,low,"RingMD is a telemedicine/video-consultation platform; its core is telehealth, not AI. It offers optional AI-enhanced screening and clinical decision support modules, but these are described as optional add-ons.",FedRAMP Authorized,Moderate,1,,,
FR2612446381,Ripcord,Canopy,core_ai,medium,"Document intelligence platform whose primary purpose is automated AI processing of documents: machine learning and LLM-based data extraction, automated classification, and OCR/ICR pipelines. The AI processing is the product, not an add-on feature.",Agency Authorization In Process,High,1,,,
FR2310239588,Riverbed Technology,Riverbed Platform for Government (RP4G),ai_featured,medium,"Network and digital-experience observability platform whose primary job is telemetry collection and performance monitoring; Riverbed's platform includes AIOps-style intelligent analytics and ML-driven anomaly detection/root-cause correlation (Riverbed IQ), referenced here only as 'intelligent analytics'.",FedRAMP Authorized,High,1,OnCue Trial Presentation (0.50),,
FR2204842850,"Rosalind, Inc.",ROSALIND,ai_featured,medium,ROSALIND is a bioinformatics analysis platform offering NGS/RNA-seq pipelines and knowledge graphs for genomic data. It is analytics-centered with knowledge-graph data modeling rather than an AI-first product; substantive ML is not explicitly claimed.,FedRAMP Authorized,Moderate,1,,,
FR2623840126,Saviynt,Saviynt High Security Identity Platform,ai_featured,low,"Identity governance and PAM platform whose core job is access lifecycle management; Saviynt's 'intelligent IGA' with usage and risk analytics reflects its ML-driven identity analytics (peer-group analysis, risk-based access recommendations), though the description's AI claim is thin.",Agency Authorization In Process,High,1,Lasso Security (0.50); Microsoft Copilot for Security (0.50),,
FR2023666173,"Scale AI, Inc",Scale AI Data Platform,core_ai,high,"Scale AI Data Platform is an AI-first product: training-data labeling, a Generative AI Platform (SGP) for model test/evaluation/operationalization, and Donovan, an enterprise AI chat solution. AI development is its entire purpose.",FedRAMP Authorized,High,1,Aretec EDP (0.50); Democratizing Data (0.50),,
FR2418039495,"ScienceLogic, Inc.",ScienceLogic Government Cloud,ai_featured,medium,"IT infrastructure monitoring and event management platform; the description stays at 'analytics engine' and automation, but ScienceLogic SL1 is a known AIOps platform shipping ML-based anomaly detection and event correlation.",FedRAMP Authorized,Moderate,1,,,
FR2529360449,Secureframe,Secureframe Platform,ai_featured,low,"Compliance readiness platform; this description names no AI capability, but Secureframe's commercial product ships material AI features (Comply AI for remediation and questionnaire automation). Classified ai_featured on product knowledge with low confidence.",FedRAMP Authorized,Low,1,,,
FR2518943913,SentiLink Corp,SentiLink,core_ai,medium,"SentiLink's product is machine-learning fraud risk scoring: model-generated synthetic identity and ID theft scores (0-999) and fraud-flag models are the core offering, making it an AI-first decision platform for identity fraud. The description references the underlying models without using the term ML, hence medium confidence.",Agency Authorization In Process,Moderate,1,,,
FR2028958787,"Signature Performance, Inc.",ClaimsXM,ai_featured,low,"ClaimsXM is a rules-based healthcare claims-processing platform that detects fraud, waste, and abuse. Detection is described as rules-based rather than ML, so the AI signal is weak.",FedRAMP Authorized,Moderate,1,,,
