use_case_id,agency,use_case_name,vendor_name,system_name,development_type,ai_classification,problem_statement,expected_benefits,candidate_products,pre_classification
61781,DOE,AGN-201 DT,Not available,,Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,Aid safeguards analysts for determining if a reactor is being used in a non-declared way.,Reduce the burden for inspectors by increasing synthesizing data and announcing anomalies.,,high_signal
61783,DOE,AI Drafting of Operational Procedures and Training Materials,SRNS - OT In House Staff,,Developed in house,Generative AI,"""To automate and enhance the drafting of operational  procedures and training materials, reducing time, effort, and errors.""","""Reduced development time, reduced errors, and rework,  better context understanding, and improved standardization and formatting, cutting time spent on document creation by half.""",,high_signal
61793,DOE,QuantomVision,Open AI,,,Generative AI,Workforce upskilling,Predict workforce evolution  and analiyze skills mapping.,,high_signal
61802,DOE,Georeference Figures,Tesseract,LMGSS,Purchased from a vendor,Classical/Predictive Machine Learning,"AI-powered georeferencing will improve automation, speed, and efficiency. Manual georeferencing is expensive.",Georeferenced of historical paper maps.,,high_signal
61809,DOE,Advanced Fuels Campaign,Not available,,Developed with both contracting and in-house resources,Other,Not available,"Accelerates fuel development cycles and improves performance predictions, reducing R&D costs and time to deployment.",,high_signal
61816,DOE,Groundwater Modeling,PEST,LMGSS,Purchased from a vendor,Classical/Predictive Machine Learning,Solves critical challenges in water modeling by providing forward-looking monitoring.,Forward cast ground water behavior,,high_signal
61820,DOE,DevSec Ops AI,Not available,"CS-SSP-123,Cybersecurity System Security Plan for Azure Platform",Developed with both contracting and in-house resources,Other,Not available,accelerates secure software delivery,,high_signal
61825,DOE,Microsoft Visual C++ Minimum Runtime,Microsoft,GSS,Purchased from a vendor,Generative AI,N/A,AI was automatically integrated into the product without an identified benefit to the organization.,,high_signal
61830,DOE,LISA Chatbot Pilot,AWS,Multiple,Developed with both contracting and in-house resources,Generative AI,Quick access to specific mission data sets and documentation,Ability to quickly find and access relevant mission data and experiment documentation,,high_signal
61832,DOE,Climate Weather Data,Not available,,Developed with both contracting and in-house resources,Other,Not available,speeds up climate model analysis,,high_signal
61834,DOE,EES&T Document Processing,Not available,,Developed with both contracting and in-house resources,Other,Not available,"Cuts manual processing time and improves data accessibility by automating document classification and extraction, increasing operational efficiency.",,high_signal
61848,DOE,COREII,1899-12-31 11:59:00,,Developed with both contracting and in-house resources,Generative AI,"Support decision making for critical infrastructure OT cybersecurity operations. Provides a secure environment where senstive data can be ingested and retreived reliably. Reduces the time it takes to perform threat analysis, supply chain analysis, kn",Making information and knowledge easier to retreive and digest. Signficantly improves analysis time. Maximizes the transfer of knowledge to users of various backgrounds. Translates complex and complicated research results into accessible practical solutions.,Aretec SEARCH (via 'SEARCH'),high_signal
61849,DOE,GenAI for Classified Subject Area Categorization,Open source development with INL Advanced Analytics Center of Excellence,aaportal.inl.gov/sorterai/ (internal),Developed with both contracting and in-house resources,Generative AI,"Help users, DCs and classification analysts more quickly determine Classified Subject Areas.","Help users, DCs and classification analysts more quickly determine Classified Subject Areas.",,high_signal
61863,DOE,AI-Form and Questionnaire Assistant,SRNS - OT In House Staff,,Developed in house,Generative AI,"""To automate and enhance the completion of standard  forms and questionnaires used onsite at SRNS. This AI aims to reduce time, effort, errors, and enhance context understanding, consistent formatting, and independent outputs from the system.""","Reduced development time, reduced errors and rework,  better context understanding, and improved standardization and formatting, reducing time spent on forms by half.",,high_signal
61869,DOE,Advanced Long Term Environmental Monitoring Systems (ALTEMIS),Python,SRNL-SRS ATO,Developed in house,Classical/Predictive Machine Learning,Reduce the cost of long-term monitoring using integrated sensing technologies and AI/ML to forecast groundwater plume migration and anomalies.,"Proactive, rather than reactive, monitoring of complex geochemical systems.",,high_signal
61881,DOE,Machine Learning to support Operational Efficiency,SRNS - OT In House Staff,,Developed in house,Classical/Predictive Machine Learning,Reducing risk of losing institutional knowledge associated with an aging workforce.  Ensure time to proficiency for junior operators is minimized through storing and accessing institutional knowledge to understand how operational efficiency can be im,"Less unanticipated downtime, improved decision making and improved manufacturing processes with optimized output.",,high_signal
61888,DOE,Chatlab,Not available,,Developed with both contracting and in-house resources,Generative AI,Not available,Not available,,high_signal
61889,DOE,CoPilot,Microsoft,GSS,Purchased from a vendor,Other,Communication suggestions,better communication,,high_signal
61894,DOE,Geo Threat Observable for structure cyber threat related to the energy sector,Not available,,Developed with both contracting and in-house resources,Other,Not available,"Correlations, recommendations and predictions for improved cyber response.",,high_signal
61898,DOE,EES&T Communications Impact,Not available,,Developed with both contracting and in-house resources,Other,Not available,"Provides actionable insights into communication effectiveness, enabling data-driven improvements in outreach and stakeholder engagement.",,high_signal
61904,DOE,Deep Learning Malware Analysis for reusable cyber defenses.,Not available,,Developed with both contracting and in-house resources,Other,Not available,Identify commonalities in malware,,high_signal
61918,DOI,Level 1 Survey Report Corrosion Level Classification,NASA,,Developed with both contracting and in-house resources,Computer Vision,"Offshore operators conduct Level 1 surveys annually to report on platform structural integrity, as mandated by 30 CFR 250.901(a)(7), and submit these surveys to BSEE. Each survey includes a corrosion assessment of the platform with accompanying photos. Each area is assigned a coating grade and are key indicators of a platforms overall structural health. Currently, BSEE manually reviews each report to determine if a platform requires further audits, a process that is both time and labor intensive.",Support a more efficient and accurate review of Level 1 Survey photo corrosion levels,,high_signal
61985,DOI,Machine Learning Image Classification of Wetlands and Soil moisture [2024 INV#WO0000000108779],Google,,Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,"inform land managers, planners, and researchers about historical and current changes to human and natural environments, focused on floods, droughts, and fires",ability to classify wetlands and soil moisture at large scales,Aretec SEARCH (via 'SEARCH'),high_signal
62024,DOI,AI to survey boat traffic,Ultralytics,,Purchased from a vendor,Classical/Predictive Machine Learning,"We are using AI to collect boat traffic times when traveling in a specific area by scanning video.  Typically, this type of data would be collected by manually watching video and recording boat entrance and exit times.  Using AI, we can dramatically lower the time a person monitors videos, making a more efficient use of the employee's time at work.",cost savings,,high_signal
62044,DOI,Wildfire Risk Assessment & Predictive Modeling,Open Geospatial Consortium,,Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,"Assess fire risk potential using historical data, fuel conditions, weather and other conditions.",Minimize loss of life and property,,high_signal
62055,DOI,USGS Flow Photo Explorer [2024 INV#WO0000000109196],Walker Environmental Research LLC,,Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,"The Flow Photo Explorer (FPE) is an integrated database, machine learning, and data visualization platform for monitoring streamflow and other hydrologic conditions using timelapse images.  The goal of this project is to develop new approaches for collecting hydrologic data in streams, lakes, and other waterbodies, especially in places where traditional monitoring methods and technologies are not feasible or cost-prohibitive.  FPE uses an artificial intelligence/machine learning (AI/ML) deep learning model to estimate relative streamflow using timelapse imagery. The model is trained using pairs of images for which a person (a.k.a. an annotator) has selected which of the two images in each pair appears to have more flow. From this, the model learns how to sort the images from lowest to highest apparent flow. The rankings of the sorted images then serve as indicators of the relative amount of streamflow.","cost savings, increased safety for employees and the public",Aretec SEARCH (via 'SEARCH'),high_signal
62154,DOI,"Integration of AI, specifically CoPilot for GitHub,  for BTFA Software Development Life Cycle Process for DME and O&M applications.",Microsoft,,Purchased from a vendor,Generative AI,"Reductions in BTFA Application and Database Staff has lead to increase workload for remaining staff for DME and O&M activities of applications and servers. This code is considered sophisticated in nature, code resides in Azure App Workspace (Web/Function/Logic Apps) and standalone applications and servers.","Due to reduce staffing, BTFA needs to integrate AI for its DME and O&M of  applications and servers (database/application/web/etc) which has sophisticated code base.  AI has show promise in reducing staff hours for all phases of SDLC.",,high_signal
62161,DOJ,Azure Zen 2 Storage,Microsoft,Redacted for cybersecurity purposes.,c) Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,"ATF recently enabled Storage subscription in Azure, which included smart features automatic data indexing. While we do not use these features directly, they are embedded within the tools, enabling automatic data indexing based on the data fed into the system.",Automatic data indexing increases the efficiency and effectiveness with which ATF is able to locate and analyze our data.,,high_signal
62169,DOJ,Federal Docket Management System,General Services Administration (GSA),Redacted for cybersecurity purposes.,a) Purchased from a vendor,Computer Vision,"This system allows agencies to receive comments that are submitted electronically in response to rulemaking initiatives. The system has features that categorize comments based on text analytics, allows agencies to make those comments public facing or redact them, and allows agencies to download the comments.","This product permits agencies to review the electronic comments received in response to rulemaking. The features in FDMS allow agencies to bulk post up to 1,000 comments allowing the public to see their comments faster.",,high_signal
62170,DOJ,FINDER,FINDER,Redacted for cybersecurity purposes.,a) Purchased from a vendor,Classical/Predictive Machine Learning,"The purpose of the AI use case in FINDER is to sift through violent crime and firearms trafficking data more efficiently. By employing machine learning to highlight significant patterns, suspects, or trends, it automates tasks that would normally require manual, resource-intensive reviews. This leads to quicker identification of essential insights, improves operational effectiveness, and ensures that effort is directed at the most pertinent leads, enhancing both speed and precision in investigative processes.",The expected benefit is more strategic attention to areas that may reduce negative outcomes or enhance preparedness.,,high_signal
62179,DOJ,Southwest Border Transaction Record Analysis Center (SWBTRAC),Western Union,Redacted for cybersecurity purposes.,a) Purchased from a vendor,Classical/Predictive Machine Learning,"The purpose of the AI use case in Southwest Border Transaction Record Analysis Center (SWBTRAC) is to monitor cross-border financial transactions and identify unusual activities more efficiently. By integrating AI-driven anomaly detection, trend analysis, and risk scoring, it simplifies manual review and directs attention to truly irregular transfers. This approach ensures that investigative focus is applied judiciously, improves accuracy, and enhances strategic use of resources in addressing cross-border financial concerns.","The expected benefit is faster recognition of outlier scenarios, focusing on meaningful transactions rather than all equally.",,high_signal
62199,DOJ,AWS/cloud.gov -  Network Routing,Amazon,Redacted for cybersecurity purposes.,a) Purchased from a vendor,Classical/Predictive Machine Learning,Support public complaint submission by enabling network routing technology to optimize speed of routing and re-route traffic around any configuration issues.,Expected benefits: Helps sustain reliable networks access to CRT networked infrastructure by CRT staff and by Public users for complaint submissions.,,high_signal
62200,DOJ,Azure Platform/Tools - Network Routing,Microsoft,Redacted for cybersecurity purposes.,a) Purchased from a vendor,Generative AI,Decision and action relating to network routing and load management.,Expected benefits: Helps sustain reliable networks access to CRT networked infrastructure by CRT staff.,,high_signal
62226,DOJ,Generative AI R&D Sandbox,NVIDIA,Redacted for cybersecurity purposes.,a) Purchased from a vendor,Generative AI,The purpose of this use case is to create a R&D environment to enable DEA to test and prototype Generative AI based solutions.,To provide a safe environment to prototype and test experimental AI based use cases.,,high_signal
62264,DOJ,ASCVD (Atherosclerotic Cardiovascular Disease) Risk Estimator,American College of Cardiology,Redacted for cybersecurity purposes.,a) Purchased from a vendor,Classical/Predictive Machine Learning,The ASCVD is used as a preventative measure to identify inmates that are at risk for heart disease in order to provide more aggressive treatment to reduce that risk.,The expected outcome would be to have less heart disease or related complications due to the proactive assessment of potential risk.,,high_signal
62266,DOJ,Automated Staffing Tool,Microsoft,Redacted for cybersecurity purposes.,a) Purchased from a vendor,Classical/Predictive Machine Learning,It will assess staffing levels within the FBOP.,The expected benefit of the AI use case is to maximize cost effectiveness of staffing needs for each institution.,,high_signal
62277,DOJ,Pathfinder,Azure,Redacted for cybersecurity purposes.,a) Purchased from a vendor,Classical/Predictive Machine Learning,To assist FBOP employees with career pathways.,The system generates assessments based on user input.  It scores the assessments taken to provide a user with options for career pathways.,,high_signal
62286,DOJ,Truview,Advanced Technologies Group,Redacted for cybersecurity purposes.,a) Purchased from a vendor,Classical/Predictive Machine Learning,"Analysis of data held within the TRU, visiting, case management, and volunteer systems.","To assist with the FBOP's mission by completing assessments and analysis of the data input into the TRU, visiting, case management, and volunteer systems.",,high_signal
62291,DOJ,Exiger Supply Chain Risk Management - DDIQ Research Engine,Exiger,Redacted for cybersecurity purposes.,a) Purchased from a vendor,Generative AI,Provides DOJ with capabilities to perform Supply Chain Risk Management assessments to support agency cybersecurity posture.,Provides DOJ vendor profiles that aggregate data from open source repositories using API keys. This data gives DOJ information to make an informed decisions on whether or not to move forward with the acquisition of a goods/services based on the risks identified during research.,Aretec SEARCH (via 'SEARCH'),high_signal
62292,DOJ,Exiger Supply Chain Risk Management - DDIQ Due Diligence Analytics,Exiger,Redacted for cybersecurity purposes.,a) Purchased from a vendor,Generative AI,Provides DOJ with capabilities to perform Supply Chain Risk Management assessments to support agency cybersecurity posture.,Provides DOJ with  analytical risk dashboards and company cybersecurity scorecards which provides DOJ with capabilities to make an informed decisions on whether or not to move forward with the acquisition of a goods/services based on the risks identified during research.,Aretec SEARCH (via 'SEARCH'),high_signal
62309,DOJ,Axon,Axon,Redacted for cybersecurity purposes.,a) Purchased from a vendor,Generative AI,"No AI utilized.  But, the use case captures raw video and audio footage that are accessed only to the extent needed for prosecution or investigation purposes.  AI functionalities for analysis, voice transcription, and redaction are not utilized or relevant for our use.","This use case does not utilize AI functions.  AI features are included in the product, but have not been installed and not relevant for our use.",,high_signal
62323,DOJ,JAWS (Text-to-Speech Assistant for Accessibility),Freedom Scientific Inc.,Redacted for cybersecurity purposes.,a) Purchased from a vendor,Generative AI,Visually impaired personnel need assistance interpreting pictures and other visual objects and interacting with documents in a non-linear way,Aids visually impaired personnel with documents.,,high_signal
62338,DOJ,"Voicemail Transcription, Translation and Summarization",Amazon,Redacted for cybersecurity purposes.,a) Purchased from a vendor,Generative AI,"PARDON would like to leverage transcription, translation and summarization services available in the GCC high cloud environment to help reduce the processing time and level of effort associated with responding to voicemail inquiries.","Cost savings, reducing customer wait times, improving customer experiences, improving PARDON Attorney experiences, and improving multi-lingual access to the government.",Custom In-House AI (via 'Custom'),high_signal
62389,DOJ,FOIA Production Tools,"FOIA Xpress, Forum One, Adobe, and Polydelta",Redacted for cybersecurity purposes.,a) Purchased from a vendor,Classical/Predictive Machine Learning,"Enhances and streamlines the processing of Freedom of Information Act (FOIA) requests. Automates tasks such as document classification, intelligent identification and redaction of sensitive or confidential information, and deduplication of documents.","The AI capabilities enable more accurate and efficient organization and retrieval of FOIA-related documents. Additionally, AI optimizes workflows by automating repetitive tasks and minimizing human error, leading to faster processing times and increased operational efficiency. Overall, the incorporation of AI into FOIAXpress is designed to improve the efficiency, accuracy, and compliance of FOIA request processing, enabling staff to respond more promptly, reduce operational costs, and maintain higher standards of transparency and accountability.",,high_signal
62391,DOJ,Extracting Data from Receipts to Speed Travel Reimbursement or Provide Logbook Documentation,Microsoft,Redacted for cybersecurity purposes.,a) Purchased from a vendor,Computer Vision,Gas receipts need to be reconciled / logged into FIRM – the AI would capture the data and can be used to record the receipt (reducing loss of paper) and eventually upload into FIRM reducing human data entry and time. IN also inspects receipts as part of their inspection. The laboratories also audit their OGV logbooks more than once annually. This would be a great pilot to expand into scanning and recording information from other purchases into UFMS and automate that process as well.,"Cost savings, live data entry of OGV use (miles and fuel consumption), streamlining of voucher packet creation",,high_signal
62406,DOJ,Code Development,"GitHub, Microsoft",Redacted for cybersecurity purposes.,a) Purchased from a vendor,Generative AI,More efficient writing and maintenance of code.,Improve developer productivity and streamline development lifecycle.,,high_signal
62416,DOJ,Background Searches,"TransUnion Risk and Alternative Data Solutions, Inc.",Redacted for cybersecurity purposes.,a) Purchased from a vendor,Classical/Predictive Machine Learning,To perform background searches to inform an EOIR character and fitness determination for individuals applying to be an EOIR accredited representative.,"Timely, comprehensive, and efficient background check. Character and fitness determinations made based on accurate background information. EOIR approves accreditation applicants with the requisite character and fitness. Individuals in EOIR immigration proceedings are assisted by accredited representatives with the requisite character and fitness.",Aretec SEARCH (via 'SEARCH'),high_signal
62421,DOJ,Audio and Written Transcription and Translation,MIT Lincoln Laboratory,Redacted for cybersecurity purposes.,c) Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,This technology automates the transcription and translation of Spanish and Mandarin Chinese audio files from lawfully seized devices and authorized communications.,"The immediate benefits are speed and lower cost, and to enable investigators to quickly identify which parts of the conversations should be reviewed and interpreted by human translators.",,high_signal
62424,DOJ,ATR Expert/Consulting with Bates White,"Bates White, using Microsoft Azure",Redacted for cybersecurity purposes.,a) Purchased from a vendor,Generative AI,The AI tool will ingest all the data sets and work to standardize them so that the Bates White expert and team can use the data to run economic models.,"Assist in preliminary data processing, including document summarization, name standardization, and text extraction. This includes “cleaning” the data for additional processing, performing the equivalent of a “find and replace” function to standardize names. The Bates White system may use AI to summarize the general content of documents.",,high_signal
62443,DOJ,Adobe Premiere,Adobe,Redacted for cybersecurity purposes.,a) Purchased from a vendor,Generative AI,Seamless editing of videos and speech transcripts.,"The videos are for public-relations or educational, and not used for LE purposes.",,high_signal
62458,DOL,Audio Transcription,Azure PIID: NNG15SD60B,Azure,Developed with contracting resources.,Generative AI,"The AI is intended to ensure accurate records of voicemails for tracking and follow-up purposes on claims.  The transcription service allows more time for the claims examiner to focus on more critical tasks such as decisions on claims as opposed to spending time documenting the call themselves.  Having more time to focus on critical tasks, in turn, enables higher levels of customer service.",Transcription of speech to text for records keeping using natural language processing models.,Custom In-House AI (via 'Custom'),high_signal
62462,DOL,Hololens,BGC/CLIRIO,Hololens,a) Purchased from a vendor,Computer Vision,AI used to train Inspectors to visually inspect  unsafe areas from a safe location.,Vastly more cost effective in using the AI tool. Reduction of FTE costs from months to hours.,,high_signal
62466,DOL,Automatic Document Processing,"Synergy PIID: 1605DC19A0004
Azure PIID: NNG15SD60B",Azure,Developed with both contracting and in-house resources.,Generative AI,"The AI is intended to allow the claims examiner more time to focus on more critical adjudication tasks.  The CM-929 and CM-908 forms amount to tens of thousands of incoming correspondence on an annual basis.  Claims examiners were cumulatively spending an excess amount of time each year reviewing the forms only for indications of a change in circumstances (based on a check-the-box indicator) or similar notice.  This would then be followed by the entry of a code signifying receipt in the Automated Support Package.  Only a very small number of forms received each year require a modification of benefits.  AI is easily able to handle this task, and ensures that forms indicating a change in circumstances are reviewed by a human, while the remainder are processed by the AI, reducing wait times in other areas of the adjudication process for claimants.",Automatic processing of continuation of benefits form to extract pre-defined selection boxes. AI tool will extract data from the forms.,,high_signal
62474,DOL,"Expenditure Classification 
Autocoder",1605TA-21-F-00064,"BLS Internal
System",c) Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,Assigns expense classification categories to reported expenses from Consumer Expenditure Diary Survey respondents.,Efficiency of expenditure classification efforts,,high_signal
62475,DOL,PII Redaction,Amazon,PII Redaction,c) Developed with both contracting and in-house resources,Natural Language Processing (NLP),Using Amazon Web Services Personal Identifying Information scrubber for ITA text fields and Named Entity Recognition to remove additional names from the text fields.,Vastly more cost effective in using the AI tool. Reduction of FTE costs from months to hours.,,high_signal
62476,DOL,Workforce Recruitment Program (WRP) Website Chatbot Assistant,"AWS PIID: NNG15SD22B
Synergy PIID: 1605DC19A0004",AWS,Developed with both contracting and in-house resources.,Generative AI,"This use case cuts down on the number of emails that ODEP’s WRP team needs to respond to in their program inbox, wrp@dol.gov. It helps address routine questions with straightforward answers without requiring WRP staff involvement. It also provides much faster responses to WRP applicants and stakeholders, who would otherwise need to wait 2-3 business days for WRP staff to write a response to their email.","The chatbot helps the end user with basic information about the Workforce Recruitment Program and information on who to contact. This chatbot is managed by DOL staff. ODEP manages the script, while OCIO manages the technical aspects and updates to Amazon Lex.",,high_signal
62479,DOL,Worker PLUS Microsimulation Program,DOLQ129633247,N/A,Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,The Worker PLUS model was developed as an evolutionary iteration of the Paid Family and Medical Leave  Simulator Model developed by Albelda and Clayton-Matthews (the ACM model),"Worker Paid Leave Usage Simulation (Worker PLUS) is an open-source simulation tool that can be used by researchers and federal, state, and local policy makers to estimate the effects of various worker leave scenarios and policy options on worker leave-taking behavior, and to estimate the benefits paid as well as costs of administering any given program.​",Aretec SEARCH (via 'SEARCH'),high_signal
62483,DOL,Note Taking Bot,"Synergy PIID: 1605DC19A0004
Azure PIID: NNG15SD60B",AUNTEE BOT,Developed with both contracting and in-house resources,Generative AI,The bot will take the transcript and summarize the meeting notes,"An AI bot that converts meeting transcripts into concise, searchable notes improves productivity and information sharing by reducing manual effort.",Aretec SEARCH (via 'SEARCH'),high_signal
62493,DOL,AI Headset,ResolveSoft 1605TA-25-F-00018,MSHA AI Head Gear,a) Purchased from a vendor,Computer Vision,"Inspection: An AI headset offers a hands-free, voice-controlled solution that enhances the efficiency, safety, and accuracy of MSHA inspectors using the Inspection Application System (IAS). By enabling inspectors to access inspection checklists, capture photos and videos, and input data through voice commands, the headset reduces reliance on manual data entry and handheld devices in mining environments. It also supports real-time communication with field office supervisors and data collection, streamlining the inspection process and improving documentation. When integrated with IAS or compatible platforms, an AI headset  can significantly modernize field inspections, ensuring better compliance and faster reporting.","Improve Inspection Onsite Documentation Time: The intended purpose of the AI headset is to provide a hands-free, voice-activated wearable solution that enhances the productivity, safety, and effectiveness of frontline government workers, such as MSHA inspectors. The expected benefits include significant cost savings through reduced inspection times and fewer repeat site visits, as well as improved documentation accuracy through real-time photo, video, and voice note capture. The device also enables live communication with remote experts, accelerating decision-making and reducing downtime.",,high_signal
62567,ED,Aidan Chat-bot,Accenture,DCC,c) Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,Easing the access to information for borrowers,"Federal Student Aid's (FSA) virtual assistant uses natural language processing to answer common financial aid questions and help customers get information about their federal aid on StudentAid.gov. In just over two years, Aidan has interacted with over 2.6 million unique customers, resulting in more than 11 million user messages.",Custom In-House AI (via 'Custom'),high_signal
62568,ED,IPAC RPA Bot,iCatalyst Inc,ENT_Tech,c) Developed with both contracting and in-house resources,Other,Reducing the manual data processing steps from inter-agency financial requests,"The IPAC Workflow bot downloads a date range csv file from the Treasury Department's IPAC system, reformats the entries to fit the ED system, and uploads them to the ED SharePoint sites and the Financial system, ensuring data quality and reliability.",,high_signal
62569,ED,CAISY - Artificial Intelligence System Skillsoft Percipio Assessment for the Department Use,Skillsoft,EDSPO,a) Purchased from a vendor,Classical/Predictive Machine Learning,Enhancing user experience and knowledge gained from training platform,"CAISY is designed to enhance decision-making and operational efficiency by delivering real-time insights, predictive analytics, and intelligent automation. By streamlining repetitive tasks and improving situational awareness, it helps organizations reduce costs, boost productivity, and make more accurate, data-driven decisions.",Aware Biometrics (via 'Aware'),high_signal
62572,ED,Legislation Comment Categorization,iCatalyst Inc,ENT_Tech,c) Developed with both contracting and in-house resources,Generative AI,Reducing required manual processing of public comments,"RAG Chatbot helping a business analyst to categorize user comments from a provided document by identifying applicable categories, summarizing each comment, quoting relevant sections, and listing the Document ID with corresponding categories in a clear and concise format.",,high_signal
62573,ED,Customer Service Support,iCatalyst Inc,ENT_Tech,c) Developed with both contracting and in-house resources,Generative AI,Easing access to solutions and information for customer support reprezentatives,"RAG Chatbot supporting customer service reps answering StudentAid.gov troubleshooting questions by using details from a provided document, including ticket numbers, issues, fixes, and confidence levels, while avoiding topics outside the document’s scope.",Custom In-House AI (via 'Custom'),high_signal
62574,ED,Comment Categorization,iCatalyst Inc,ENT_Tech,c) Developed with both contracting and in-house resources,Generative AI,Reducing required manual processing of public comments,"Rag Chatbot referencing collected FAFSA Comments from public mailbox. Comments are provided to Bot, which provides statistics on the content, scope, and sentiment of the comments while grouping them for resolution",,high_signal
62575,ED,Azure AI Internal General Q&A,iCatalyst Inc,ENT_Tech,c) Developed with both contracting and in-house resources,Generative AI,Providing information to agency staff regarding provided documents,Rag Chatbot used in the secure resolution of internal questions.,,high_signal
62623,EPA,Agency Records Management System,Savan Group,Agency Records Management System (ARMS),c) Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,reduce burden on staff when identifying appropriate records schedules,"cost savings, reducing administrative burden on staff and improving accuracy of records management",,high_signal
62628,EPA,RCRA PA,University of Chicago Energy and Environment Lab,Environmental Compliance and History Online,c) Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,Risk scoring of Large Quantity Generators (LQGs) to support RCRA inspections,Reducing staff time and better identification of potential violators,,high_signal
62669,FDIC,Criminal Background Investigation,CLEAR,CLEAR,a) Purchased from a vendor,Generative AI,"By automating the verification process for conducting background screenings, the tool helps FDIC make faster and more informed hiring and investigatory decisions.","Improving the time in completing background screening.  Reduce inaccurate and/or incomplete information on individuals.  Reduce the manual verification process, which can be cumbersome and place a heavy administration burden on HR staff. Protects FDIC insured institutions from high risk individuals.",,high_signal
62670,FDIC,Financial Background Investigation,"Equifax, Trans Union",,a) Purchased from a vendor,Classical/Predictive Machine Learning,"By automating the verification process for conducting background screenings, the tool helps FDIC make faster and more informed hiring and investigatory decisions.","Improving the time in completing background screening.  Reduce inaccurate and/or incomplete information on individuals.  Reduce the manual verification process, which can be cumbersome and place a heavy administration burden on HR staff.",,high_signal
62673,FDIC,Background Check Web Application,CLEAR,CLEAR,a) Purchased from a vendor,Classical/Predictive Machine Learning,FDIC can only maintain contact details of individuals or entities if they are self reported by them. The CLEAR service provides potentially the most current contact and entity information for Individuals or Companies who may be holding monetary assets or bonds in failed institutions and may need to be reimbursed.,Expected benefits are the most current contact information for individuals/companies including any related subsidiary entities.,,high_signal
62678,FDIC,Background Check Tool for Fraud Investigations,CLEAR,,a) Purchased from a vendor,Other,CLEAR is used to assist with fraud investigations.  It searches and retrieves publicly available data on individuals and businesses.,Rapidly obtaining information on individuals and businesses from publicly available data sources.,Aretec SEARCH (via 'SEARCH'),high_signal
62681,FDIC,OIG computer forensics investigation tools.,"Adobe, Auto Split, Microsoft, Scan Writer, Social Discovery",,a) Purchased from a vendor,Natural Language Processing (NLP),Access and store information from electronic devices in support of criminal investigations.,Assists in law enforcement investigations.,,high_signal
62682,FERC,Summarization & Policy Analysis for Regulatory Comments (originally Leverage AI in the Rulemaking Process Use Case),Zvolvant (Small Business),Microsoft Azure Commercial,c) Developed with both contracting and in-house resources,Natural Language Processing (NLP),"Addresses duration, efficiencies, and accuracies in initial comment analysis.",Reduces the time required for comment analysis as part of mission processes.,,high_signal
62683,FERC,Improve Safety Inspections Use Case,Zvolvant (Small Business),N/A,c) Developed with both contracting and in-house resources,Other,"The AI solution is intended to enhance the efficiency and accuracy of dam and LNG pipeline structure inspections by FERCs Dam inspectors. It will analyze historical and real-time images, videos, and notes to identify potential safety defects and trends. This approach reduces the manual workload of safety inspectors and improve inspection timelines.",,,high_signal
62684,FERC,Enhance Market Surveillance and Fraud Detection Use Case,Zvolvant (Small Business),N/A,c) Developed with both contracting and in-house resources,Other,"The AI solution aims to assist staff in analyzing large and complex market datasets for market integrity and compliance purposes. It will process and interpret vast amounts of trading data at high speed, identifying anomalies, trends, and potential regulatory violations. This capability will help maintain fair and transparent markets, enabling staff to focus on strategic decision-making. The AI’s efficiency and precision will save time, improve compliance, and uphold public trust in market operations.",,,high_signal
62685,FERC,Support Interconnection Request Responses Use Case,Zvolvant (Small Business),N/A,c) Developed with both contracting and in-house resources,Other,"The AI solution will be designed to address the growing backlog of project interconnection requests and reduce the average three-year wait time. By accelerating the processing of proposals, the AI will help FERC with cost savings and shorting the timelines of requests.",,,high_signal
62686,FERC,Gas Blanket Certificates (Permitting),Zvolvant (Small Business),Microsoft Azure Commercial,c) Developed with both contracting and in-house resources,Generative AI,"It is designed to streamline the classification, tracking, and summarization of filings and issuances related to blanket certificates, reducing manual workload and improving consistency across document types.","Improves operational efficiency by automating repetitive tasks, enhances transparency in regulatory processes, and accelerates access to structured data for both internal analysts and stakeholders from the analyst's responses.",,high_signal
62687,FERC,AI Enabled Assistant Legal Research,Thomson Reuters,N/A,a) Purchased from a vendor,Generative AI,"Addresses streamlining legal workflows by automating research, document analysis, and drafting. It addresses inefficiencies in legal operations and reduces the time required for complex legal tasks.","Enhances productivity, improves accuracy in legal analysis, and supports faster decision-making. It enables legal professionals to focus on high-value strategic work, improves client service, and reduces operational costs.",Aretec SEARCH (via 'SEARCH'),high_signal
62699,FHFA,"Analytics, Indexing, and Anomaly Detection for Data Management on SQL Server",Microsoft,GSS,a) Purchased from a vendor,Classical/Predictive Machine Learning,"Predictive analytics, automated indexing, and anomaly detection in data management and queries.",Efficiency and Risk Reduction,,high_signal
